request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
0,1,0,0,0,0,9.589610572904348,0.0
10,1,0,0,0,0,10.625346754677594,0.0
101,1,0,0,0,0,9.341990525834262,0.0
105,1,0,0,0,0,9.646283804439008,0.0
106,1,0,0,0,0,9.237600412219763,0.0
110,1,0,0,0,0,9.688647363334894,0.0
111,1,0,0,0,0,3.883043193258345,0.0
113,1,0,0,0,0,4.7185197519138455,0.0
119,1,0,0,0,0,9.125330492854118,0.0
12,1,0,0,0,0,5.556563848629594,0.0
129,1,0,0,0,0,6.839662102982402,0.0
134,1,0,0,0,0,2.9469752199947834,0.0
135,1,0,0,0,0,7.16815390996635,0.0
136,1,0,0,0,0,10.200376366265118,0.0
146,1,0,0,0,0,0.4772491678595543,0.0
148,1,0,0,0,0,10.187729129567742,0.0
151,1,0,0,0,0,3.5038282927125692,0.0
154,1,0,0,0,0,10.35017776209861,0.0
159,1,0,0,0,0,1.9375254353508353,0.0
166,1,0,0,0,0,0.513931792229414,0.0
168,1,0,0,0,0,0.6701261308044195,0.0
171,1,0,0,0,0,10.882718653418124,0.0
177,1,0,0,0,0,8.597894585691392,0.0
18,1,0,0,0,0,9.808650366030633,0.0
181,1,0,0,0,0,0.41603291034698486,0.0
187,1,0,0,0,0,0.4895049426704645,0.0
189,1,0,0,0,0,9.42625908460468,0.0
195,1,0,0,0,0,7.909371742978692,0.0
199,1,0,0,0,0,3.836312456987798,0.0
203,1,0,0,0,0,2.336656798608601,0.0
207,1,0,0,0,0,7.00517647061497,0.0
208,1,0,0,0,0,3.968792906962335,0.0
210,1,0,0,0,0,10.50229595322162,0.0
216,1,0,0,0,0,0.9281650055199862,0.0
219,1,0,0,0,0,0.6605630489066243,0.0
22,1,0,0,0,0,4.616520268842578,0.0
221,1,0,0,0,0,3.0428932923823595,0.0
222,1,0,0,0,0,0.4243270931765437,0.0
230,1,0,0,0,0,9.588398485444486,0.0
232,1,0,0,0,0,9.033040241338313,0.0
246,1,0,0,0,0,9.32884893193841,0.0
247,1,0,0,0,0,4.58345796726644,0.0
250,1,0,0,0,0,0.465335002169013,0.0
253,1,0,0,0,0,9.78583016898483,0.0
254,1,0,0,0,0,2.617572907358408,0.0
257,1,0,0,0,0,1.3014652486890554,0.0
26,1,0,0,0,0,10.401815515942872,0.0
260,1,0,0,0,0,9.09898168221116,0.0
265,1,0,0,0,0,9.260955683887005,0.0
267,1,0,0,0,0,9.651676464825869,0.0
277,1,0,0,0,0,0.2594069894403219,0.0
281,1,0,0,0,0,8.92870962806046,0.0
287,1,0,0,0,0,10.105751889757812,0.0
288,1,0,0,0,0,0.4960223725065589,0.0
289,1,0,0,0,0,0.330134492367506,0.0
295,1,0,0,0,0,6.167744215577841,0.0
299,1,0,0,0,0,3.627335256896913,0.0
30,1,0,0,0,0,9.44957721605897,0.0
303,1,0,0,0,0,8.769458583556116,0.0
308,1,0,0,0,0,9.768632059916854,0.0
31,1,0,0,0,0,10.244386452250183,0.0
313,1,0,0,0,0,0.5322334030643106,0.0
317,1,0,0,0,0,7.379376207478344,0.0
322,1,0,0,0,0,6.912921410053968,0.0
324,1,0,0,0,0,0.6665300531312823,0.0
33,1,0,0,0,0,9.896544033661485,0.0
330,1,0,0,0,0,3.859201293438673,0.0
343,1,0,0,0,0,0.7487106518819928,0.0
344,1,0,0,0,0,0.8233947986736894,0.0
346,1,0,0,0,0,0.3592348601669073,0.0
347,1,0,0,0,0,0.3755894498899579,0.0
349,1,0,0,0,0,0.476152116432786,0.0
357,1,0,0,0,0,9.480974321253598,0.0
358,1,0,0,0,0,2.2910488238558173,0.0
360,1,0,0,0,0,5.838803505524993,0.0
368,1,0,0,0,0,9.265407950617373,0.0
375,1,0,0,0,0,4.551972755230963,0.0
381,1,0,0,0,0,1.31074389629066,0.0
384,1,0,0,0,0,0.36577021051198244,0.0
387,1,0,0,0,0,9.236021517775953,0.0
388,1,0,0,0,0,5.235927169211209,0.0
39,1,0,0,0,0,10.24982429202646,0.0
398,1,0,0,0,0,9.797271468676627,0.0
399,1,0,0,0,0,9.289776492863894,0.0
4,1,0,0,0,0,10.496069486252964,0.0
405,1,0,0,0,0,9.318883775733411,0.0
407,1,0,0,0,0,7.968921291641891,0.0
413,1,0,0,0,0,9.50120943877846,0.0
414,1,0,0,0,0,9.526719567365944,0.0
417,1,0,0,0,0,10.033237083815038,0.0
418,1,0,0,0,0,9.46507091075182,0.0
42,1,0,0,0,0,9.48360418714583,0.0
425,1,0,0,0,0,8.084991842508316,0.0
426,1,0,0,0,0,9.644114250317216,0.0
427,1,0,0,0,0,4.3632299564778805,0.0
429,1,0,0,0,0,9.202997949905694,0.0
437,1,0,0,0,0,9.767877236939967,0.0
44,1,0,0,0,0,9.278339639306068,0.0
442,1,0,0,0,0,0.5929604563862085,0.0
444,1,0,0,0,0,0.3816761914640665,0.0
445,1,0,0,0,0,8.539000516757369,0.0
45,1,0,0,0,0,6.823844695463777,0.0
450,1,0,0,0,0,10.128624639473855,0.0
453,1,0,0,0,0,9.316955914720893,0.0
462,1,0,0,0,0,10.325597431510687,0.0
465,1,0,0,0,0,9.169278010725975,0.0
466,1,0,0,0,0,8.26641334965825,0.0
476,1,0,0,0,0,9.733541987836361,0.0
477,1,0,0,0,0,9.36726089939475,0.0
479,1,0,0,0,0,8.983846671879292,0.0
480,1,0,0,0,0,2.86304921656847,0.0
483,1,0,0,0,0,0.3617753451690078,0.0
493,1,0,0,0,0,9.445176176726818,0.0
495,1,0,0,0,0,9.703573926351964,0.0
496,1,0,0,0,0,9.790460034273565,0.0
497,1,0,0,0,0,9.282123078592122,0.0
498,1,0,0,0,0,7.028450128622353,0.0
510,1,0,0,0,0,5.205894695594907,0.0
512,1,0,0,0,0,9.694550952874124,0.0
513,1,0,0,0,0,2.899458898231387,0.0
517,1,0,0,0,0,9.608565730042756,0.0
524,1,0,0,0,0,9.714104807935655,0.0
528,1,0,0,0,0,9.417018451727927,0.0
529,1,0,0,0,0,9.503003199584782,0.0
531,1,0,0,0,0,9.487976215779781,0.0
533,1,0,0,0,0,0.5879131546244025,0.0
539,1,0,0,0,0,10.579347095452249,0.0
546,1,0,0,0,0,9.756347401067615,0.0
549,1,0,0,0,0,0.4467170899733901,0.0
55,1,0,0,0,0,9.387128277681768,0.0
564,1,0,0,0,0,4.819116436876357,0.0
568,1,0,0,0,0,10.117853107862175,0.0
572,1,0,0,0,0,10.126347462646663,0.0
577,1,0,0,0,0,9.331179529428482,0.0
584,1,0,0,0,0,9.846479395404458,0.0
585,1,0,0,0,0,6.238996343687177,0.0
593,1,0,0,0,0,0.38331351336091757,0.0
595,1,0,0,0,0,0.9054270414635539,0.0
600,1,0,0,0,0,1.2301697116345167,0.0
602,1,0,0,0,0,5.241662630811334,0.0
605,1,0,0,0,0,3.592299798503518,0.0
606,1,0,0,0,0,9.58539660833776,0.0
612,1,0,0,0,0,8.09582372289151,0.0
613,1,0,0,0,0,8.527015388011932,0.0
616,1,0,0,0,0,0.23995517753064632,0.0
623,1,0,0,0,0,0.6122798239812255,0.0
631,1,0,0,0,0,6.677279976196587,0.0
635,1,0,0,0,0,9.843271957710385,0.0
638,1,0,0,0,0,10.50671918131411,0.0
641,1,0,0,0,0,7.2045447221025825,0.0
646,1,0,0,0,0,10.111784691922367,0.0
649,1,0,0,0,0,0.425064854323864,0.0
650,1,0,0,0,0,9.354647492058575,0.0
651,1,0,0,0,0,7.495539479888976,0.0
652,1,0,0,0,0,9.524988695979118,0.0
653,1,0,0,0,0,9.637170024216175,0.0
654,1,0,0,0,0,7.917530659586191,0.0
657,1,0,0,0,0,9.32159937825054,0.0
658,1,0,0,0,0,9.287927183322608,0.0
659,1,0,0,0,0,0.7833953220397234,0.0
66,1,0,0,0,0,10.204561099410057,0.0
669,1,0,0,0,0,9.226313387043774,0.0
67,1,0,0,0,0,9.454399346373975,0.0
670,1,0,0,0,0,9.274049200117588,0.0
676,1,0,0,0,0,9.318482900038362,0.0
686,1,0,0,0,0,7.936221067793667,0.0
698,1,0,0,0,0,8.41087203193456,0.0
70,1,0,0,0,0,8.807028338313103,0.0
701,1,0,0,0,0,0.3831427237018943,0.0
706,1,0,0,0,0,6.639423887245357,0.0
709,1,0,0,0,0,6.175172012299299,0.0
715,1,0,0,0,0,9.262471623718739,0.0
717,1,0,0,0,0,9.17844944819808,0.0
720,1,0,0,0,0,9.175941874273121,0.0
724,1,0,0,0,0,4.0879362765699625,0.0
730,1,0,0,0,0,0.3851614547893405,0.0
732,1,0,0,0,0,0.5879899635910988,0.0
738,1,0,0,0,0,6.007174658589065,0.0
742,1,0,0,0,0,6.830428630113602,0.0
748,1,0,0,0,0,5.710350580513477,0.0
750,1,0,0,0,0,5.036639412865043,0.0
751,1,0,0,0,0,0.4017353290691972,0.0
753,1,0,0,0,0,1.6908153425902128,0.0
755,1,0,0,0,0,3.875014348886907,0.0
76,1,0,0,0,0,9.433716725558043,0.0
760,1,0,0,0,0,7.562848977744579,0.0
765,1,0,0,0,0,10.147402294911444,0.0
769,1,0,0,0,0,8.29404185526073,0.0
77,1,0,0,0,0,5.5702331848442554,0.0
775,1,0,0,0,0,1.2637305445969105,0.0
78,1,0,0,0,0,9.330255577340722,0.0
781,1,0,0,0,0,7.1341337179765105,0.0
787,1,0,0,0,0,10.433419012464583,0.0
788,1,0,0,0,0,9.670733110047877,0.0
790,1,0,0,0,0,9.3905339082703,0.0
793,1,0,0,0,0,0.4565352015197277,0.0
84,1,0,0,0,0,6.449997781775892,0.0
89,1,0,0,0,0,10.176569095812738,0.0
93,1,0,0,0,0,0.38137001637369394,0.0
97,1,0,0,0,0,9.063672233372927,0.0
