method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
JBShield,in,1,concept_manipulated_decode,local,0,0,0,0,10.463596141897142
JBShield,in,2,concept_manipulated_decode,local,0,0,0,0,8.249278307892382
JBShield,in,3,concept_manipulated_decode,local,0,0,0,0,0.3781573437154293
JBShield,in,4,concept_manipulated_decode,local,0,0,0,0,10.14614864718169
JBShield,in,5,concept_manipulated_decode,local,0,0,0,0,9.420374067500234
JBShield,in,6,concept_manipulated_decode,local,0,0,0,0,8.902130336500704
JBShield,in,7,concept_manipulated_decode,local,0,0,0,0,6.774989591911435
JBShield,in,8,concept_manipulated_decode,local,0,0,0,0,8.723071564920247
JBShield,in,9,concept_manipulated_decode,local,0,0,0,0,10.159613531082869
JBShield,in,10,concept_manipulated_decode,local,0,0,0,0,8.791101518087089
JBShield,in,11,concept_manipulated_decode,local,0,0,0,0,7.66362439095974
JBShield,in,12,concept_manipulated_decode,local,0,0,0,0,8.690989865921438
JBShield,in,13,concept_manipulated_decode,local,0,0,0,0,10.945069159381092
JBShield,in,14,concept_manipulated_decode,local,0,0,0,0,0.2595665715634823
JBShield,in,15,concept_manipulated_decode,local,0,0,0,0,9.347699269652367
JBShield,in,16,concept_manipulated_decode,local,0,0,0,0,2.6795062040910125
JBShield,in,17,concept_manipulated_decode,local,0,0,0,0,5.634722892194986
JBShield,in,18,concept_manipulated_decode,local,0,0,0,0,0.2688786219805479
JBShield,in,19,concept_manipulated_decode,local,0,0,0,0,9.87470231577754
JBShield,in,20,concept_manipulated_decode,local,0,0,0,0,7.062424874864519
JBShield,in,21,concept_manipulated_decode,local,0,0,0,0,10.107223759405315
JBShield,in,22,concept_manipulated_decode,local,0,0,0,0,0.5248523550108075
JBShield,in,23,concept_manipulated_decode,local,0,0,0,0,9.728344083763659
JBShield,in,24,concept_manipulated_decode,local,0,0,0,0,9.361934591084719
JBShield,in,25,concept_manipulated_decode,local,0,0,0,0,0.47030800580978394
JBShield,in,51,concept_manipulated_decode,local,0,0,0,0,10.074919587001204
JBShield,in,52,concept_manipulated_decode,local,0,0,0,0,0.7742619616910815
JBShield,in,53,concept_manipulated_decode,local,0,0,0,0,9.55504148826003
JBShield,in,54,concept_manipulated_decode,local,0,0,0,0,9.759034652262926
JBShield,in,55,concept_manipulated_decode,local,0,0,0,0,9.169989163056016
JBShield,in,56,concept_manipulated_decode,local,0,0,0,0,7.515430170111358
JBShield,in,57,concept_manipulated_decode,local,0,0,0,0,0.5624030251055956
JBShield,in,58,concept_manipulated_decode,local,0,0,0,0,9.54315909743309
JBShield,in,59,concept_manipulated_decode,local,0,0,0,0,0.4764038175344467
JBShield,in,60,concept_manipulated_decode,local,0,0,0,0,4.28620196133852
JBShield,in,61,concept_manipulated_decode,local,0,0,0,0,9.252622365951538
JBShield,in,62,concept_manipulated_decode,local,0,0,0,0,9.919147370383143
JBShield,in,63,concept_manipulated_decode,local,0,0,0,0,8.976631306111813
JBShield,in,64,concept_manipulated_decode,local,0,0,0,0,8.316711051389575
