request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
1,1,0,0,18,29,0.85253397654742,0.0
2,1,0,0,18,512,8.654811635613441,0.0
3,1,0,0,19,512,9.161118279211223,0.0
4,1,0,0,19,21,0.3558484017848968,0.0
10,1,0,0,18,21,0.3521161824464798,0.0
101,1,0,0,21,34,0.5746510345488787,0.0
102,1,0,0,20,20,0.36005106754601,0.0
103,1,0,0,21,15,0.254650236107409,0.0
104,1,0,0,20,20,0.33492609672248363,0.0
105,1,0,0,21,24,0.3994318163022399,0.0
106,1,0,0,20,19,0.32003904692828655,0.0
107,1,0,0,19,21,0.35755295399576426,0.0
108,1,0,0,20,21,0.35052814427763224,0.0
109,1,0,0,24,17,0.2841626461595297,0.0
11,1,0,0,20,21,0.3563903346657753,0.0
110,1,0,0,22,512,8.734568187966943,0.0
111,1,0,0,24,23,0.38479260727763176,0.0
112,1,0,0,16,512,8.666600284166634,0.0
113,1,0,0,20,512,8.636000701226294,0.0
114,1,0,0,22,21,0.35117898415774107,0.0
115,1,0,0,24,29,0.48500289022922516,0.0
116,1,0,0,19,21,0.3516906648874283,0.0
117,1,0,0,22,38,0.640200954861939,0.0
118,1,0,0,23,28,0.46667669620364904,0.0
119,1,0,0,19,512,8.618467249907553,0.0
12,1,0,0,19,22,0.36631379649043083,0.0
120,1,0,0,21,495,8.332665832713246,0.0
121,1,0,0,19,512,8.621685764752328,0.0
122,1,0,0,25,24,0.40739862248301506,0.0
123,1,0,0,24,31,0.5168654872104526,0.0
124,1,0,0,20,512,8.653748845681548,0.0
125,1,0,0,18,33,0.5565902767702937,0.0
13,1,0,0,18,512,8.709281519055367,0.0
14,1,0,0,22,28,0.48787696566432714,0.0
15,1,0,0,21,512,8.620562716387212,0.0
151,1,0,0,20,29,0.504419008269906,0.0
152,1,0,0,22,21,0.3520349357277155,0.0
153,1,0,0,24,25,0.42080265283584595,0.0
154,1,0,0,19,26,0.4331100257113576,0.0
155,1,0,0,23,21,0.35420784167945385,0.0
156,1,0,0,22,21,0.3534542936831713,0.0
157,1,0,0,22,21,0.35467273835092783,0.0
158,1,0,0,25,21,0.3522455133497715,0.0
159,1,0,0,24,21,0.35352665930986404,0.0
16,1,0,0,20,411,6.896223993971944,0.0
160,1,0,0,27,21,0.3534339126199484,0.0
161,1,0,0,22,21,0.35489998664706945,0.0
162,1,0,0,21,30,0.504945739172399,0.0
163,1,0,0,21,26,0.4352625450119376,0.0
164,1,0,0,23,29,0.48430076241493225,0.0
165,1,0,0,20,25,0.42108392994850874,0.0
166,1,0,0,21,21,0.3499803729355335,0.0
167,1,0,0,24,28,0.47039045579731464,0.0
168,1,0,0,21,21,0.35011771880090237,0.0
169,1,0,0,28,28,0.47377270832657814,0.0
17,1,0,0,19,191,3.1920007737353444,0.0
170,1,0,0,26,29,0.4854596760123968,0.0
171,1,0,0,26,25,0.4165835212916136,0.0
172,1,0,0,26,21,0.3503161408007145,0.0
173,1,0,0,24,21,0.34960487112402916,0.0
174,1,0,0,25,26,0.43269483372569084,0.0
175,1,0,0,26,21,0.35091501474380493,0.0
18,1,0,0,19,30,0.5009935488924384,0.0
19,1,0,0,23,28,0.46703002881258726,0.0
20,1,0,0,21,25,0.4173586405813694,0.0
201,1,0,0,17,17,0.28969512041658163,0.0
202,1,0,0,14,40,0.6676134383305907,0.0
203,1,0,0,15,29,0.4811592511832714,0.0
204,1,0,0,15,21,0.3489675438031554,0.0
205,1,0,0,19,18,0.30128001887351274,0.0
206,1,0,0,14,24,0.39851564448326826,0.0
207,1,0,0,15,25,0.4150355663150549,0.0
208,1,0,0,15,25,0.4151066169142723,0.0
209,1,0,0,19,477,7.993812574073672,0.0
21,1,0,0,20,512,8.659563515335321,0.0
210,1,0,0,14,478,8.071543941274285,0.0
211,1,0,0,22,28,0.46724377293139696,0.0
212,1,0,0,20,32,0.535196996293962,0.0
213,1,0,0,21,21,0.3546828664839268,0.0
214,1,0,0,22,26,0.43572560139000416,0.0
215,1,0,0,20,362,6.109064821153879,0.0
216,1,0,0,14,27,0.4562851032242179,0.0
217,1,0,0,16,25,0.429019738920033,0.0
218,1,0,0,17,28,0.4665108360350132,0.0
219,1,0,0,18,27,0.4526005517691374,0.0
22,1,0,0,23,31,0.5170766599476337,0.0
220,1,0,0,14,25,0.41655120998620987,0.0
221,1,0,0,14,24,0.398175616748631,0.0
222,1,0,0,15,512,8.830772903747857,0.0
223,1,0,0,14,512,8.627543778158724,0.0
224,1,0,0,15,512,8.616068914532661,0.0
225,1,0,0,14,331,5.546229696832597,0.0
23,1,0,0,22,512,9.166211489588022,0.0
24,1,0,0,21,512,9.254397076554596,0.0
25,1,0,0,22,25,0.4226708561182022,0.0
251,1,0,0,18,21,0.356003831140697,0.0
252,1,0,0,20,27,0.45469298772513866,0.0
253,1,0,0,19,128,2.1471785996109247,0.0
254,1,0,0,21,21,0.35271233040839434,0.0
255,1,0,0,23,195,3.2875183429569006,0.0
256,1,0,0,20,39,0.6651641214266419,0.0
257,1,0,0,18,21,0.35590676683932543,0.0
258,1,0,0,17,177,3.0219604447484016,0.0
259,1,0,0,18,31,0.5330430241301656,0.0
260,1,0,0,20,142,2.3672579377889633,0.0
261,1,0,0,22,21,0.35248693730682135,0.0
262,1,0,0,20,21,0.3535850364714861,0.0
