method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
SafeDecoding,in,0,guided_decode,local,0,0,0,0,9.216486719436944
SafeDecoding,in,4,guided_decode,local,0,0,0,0,8.385561761446297
SafeDecoding,in,10,guided_decode,local,0,0,0,0,8.9845988182351
SafeDecoding,in,12,guided_decode,local,0,0,0,0,4.861537856049836
SafeDecoding,in,18,guided_decode,local,0,0,0,0,8.952073232270777
SafeDecoding,in,22,guided_decode,local,0,0,0,0,6.072438213974237
SafeDecoding,in,26,guided_decode,local,0,0,0,0,9.2678506616503
SafeDecoding,in,30,guided_decode,local,0,0,0,0,8.82105603814125
SafeDecoding,in,31,guided_decode,local,0,0,0,0,7.829687124118209
SafeDecoding,in,33,guided_decode,local,0,0,0,0,8.463647659868002
SafeDecoding,in,39,guided_decode,local,0,0,0,0,9.311252178624272
SafeDecoding,in,42,guided_decode,local,0,0,0,0,8.850803567096591
SafeDecoding,in,44,guided_decode,local,0,0,0,0,8.476453518494964
SafeDecoding,in,45,guided_decode,local,0,0,0,0,6.236843197606504
SafeDecoding,in,55,guided_decode,local,0,0,0,0,9.159504382871091
SafeDecoding,in,66,guided_decode,local,0,0,0,0,8.898075652308762
SafeDecoding,in,67,guided_decode,local,0,0,0,0,9.82349070161581
SafeDecoding,in,70,guided_decode,local,0,0,0,0,8.717394661158323
SafeDecoding,in,76,guided_decode,local,0,0,0,0,9.014873343519866
SafeDecoding,in,77,guided_decode,local,0,0,0,0,6.086507952772081
SafeDecoding,in,78,guided_decode,local,0,0,0,0,9.580167388543487
SafeDecoding,in,84,guided_decode,local,0,0,0,0,8.233675187453628
SafeDecoding,in,89,guided_decode,local,0,0,0,0,9.93411261960864
SafeDecoding,in,93,guided_decode,local,0,0,0,0,0.5256618363782763
SafeDecoding,in,97,guided_decode,local,0,0,0,0,9.683279352262616
SafeDecoding,in,101,guided_decode,local,0,0,0,0,7.5266889510676265
SafeDecoding,in,105,guided_decode,local,0,0,0,0,9.958399650640786
SafeDecoding,in,106,guided_decode,local,0,0,0,0,9.051347953267395
SafeDecoding,in,110,guided_decode,local,0,0,0,0,9.190149256028235
SafeDecoding,in,111,guided_decode,local,0,0,0,0,3.541644908487797
SafeDecoding,in,113,guided_decode,local,0,0,0,0,8.22172906063497
SafeDecoding,in,119,guided_decode,local,0,0,0,0,0.3691783929243684
SafeDecoding,in,129,guided_decode,local,0,0,0,0,7.142397463321686
SafeDecoding,in,134,guided_decode,local,0,0,0,0,3.1429741540923715
SafeDecoding,in,135,guided_decode,local,0,0,0,0,5.5008679842576385
SafeDecoding,in,136,guided_decode,local,0,0,0,0,9.288785768672824
SafeDecoding,in,146,guided_decode,local,0,0,0,0,9.360069772228599
SafeDecoding,in,148,guided_decode,local,0,0,0,0,9.595634307712317
SafeDecoding,in,151,guided_decode,local,0,0,0,0,2.077187024988234
SafeDecoding,in,154,guided_decode,local,0,0,0,0,9.770758423022926
SafeDecoding,in,159,guided_decode,local,0,0,0,0,1.272516056895256
SafeDecoding,in,166,guided_decode,local,0,0,0,0,0.6951624387875199
SafeDecoding,in,168,guided_decode,local,0,0,0,0,9.805443142540753
SafeDecoding,in,171,guided_decode,local,0,0,0,0,9.239761930890381
SafeDecoding,in,177,guided_decode,local,0,0,0,0,7.44015256036073
SafeDecoding,in,181,guided_decode,local,0,0,0,0,0.53945092856884
SafeDecoding,in,187,guided_decode,local,0,0,0,0,9.3484141593799
SafeDecoding,in,189,guided_decode,local,0,0,0,0,9.082370890304446
SafeDecoding,in,195,guided_decode,local,0,0,0,0,8.825539560988545
SafeDecoding,in,199,guided_decode,local,0,0,0,0,0.8067585490643978
SafeDecoding,in,203,guided_decode,local,0,0,0,0,1.5620376151055098
SafeDecoding,in,207,guided_decode,local,0,0,0,0,8.794966996647418
SafeDecoding,in,208,guided_decode,local,0,0,0,0,0.42538065649569035
