method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
CAT,intra,0,target,local,0,0,25,376,11.933526287786663
CAT,intra,4,target,local,0,0,18,341,11.960993248037994
CAT,intra,10,target,local,0,0,25,344,12.022864202968776
CAT,intra,12,target,local,0,0,24,244,7.732052266597748
CAT,intra,18,target,local,0,0,19,297,9.721838512457907
CAT,intra,22,target,local,0,0,16,125,3.979530810378492
CAT,intra,26,target,local,0,0,19,285,9.585637715645134
CAT,intra,30,target,local,0,0,19,407,13.267780986614525
CAT,intra,31,target,local,0,0,19,350,11.21328132133931
CAT,intra,33,target,local,0,0,14,331,10.61080529075116
CAT,intra,39,target,local,0,0,19,395,13.58096570149064
CAT,intra,42,target,local,0,0,19,385,12.870227615348995
CAT,intra,44,target,local,0,0,23,350,11.11850673519075
CAT,intra,45,target,local,0,0,20,231,8.056117508560419
CAT,intra,55,target,local,0,0,25,235,7.388792172074318
CAT,intra,66,target,local,0,0,23,378,12.53644395340234
CAT,intra,67,target,local,0,0,22,344,11.197289590723813
CAT,intra,70,target,local,0,0,33,273,9.762480564415455
CAT,intra,76,target,local,0,0,28,445,15.29884809628129
CAT,intra,77,target,local,0,0,19,201,6.5369902197271585
CAT,intra,78,target,local,0,0,32,407,14.112283777445555
CAT,intra,84,target,local,0,0,20,290,10.02730986662209
CAT,intra,89,target,local,0,0,35,414,14.176214530132711
CAT,intra,93,target,local,0,0,23,303,10.132668798789382
CAT,intra,97,target,local,0,0,17,196,6.537244254723191
CAT,intra,101,target,local,0,0,24,296,9.482675166800618
CAT,intra,105,target,local,0,0,30,310,9.94092374201864
CAT,intra,106,target,local,0,0,20,512,16.441239565610886
CAT,intra,110,target,local,0,0,27,413,14.098489696159959
CAT,intra,111,target,local,0,0,17,115,3.6544834915548563
CAT,intra,113,target,local,0,0,29,326,10.687735632061958
CAT,intra,119,target,local,0,0,25,342,11.553259754553437
CAT,intra,129,target,local,0,0,26,363,12.16497970931232
CAT,intra,134,target,local,0,0,23,145,5.615130657330155
CAT,intra,135,target,local,0,0,19,141,4.561367825604975
CAT,intra,136,target,local,0,0,21,484,15.760685669258237
CAT,intra,146,target,local,0,0,33,512,16.359355760738254
CAT,intra,148,target,local,0,0,21,403,14.227854330092669
CAT,intra,151,target,local,0,0,138,113,3.5965143274515867
CAT,intra,154,target,local,0,0,21,512,16.02053693588823
CAT,intra,159,target,local,0,0,20,80,2.447263919748366
CAT,intra,166,target,local,0,0,25,44,1.3299787817522883
CAT,intra,168,target,local,0,0,20,148,4.919441587291658
CAT,intra,171,target,local,0,0,40,422,13.622779403813183
CAT,intra,177,target,local,0,0,19,135,4.340586869977415
CAT,intra,181,target,local,0,0,24,54,1.7688177088275552
CAT,intra,187,target,local,0,0,34,290,9.361355694010854
CAT,intra,189,target,local,0,0,33,368,11.985894468612969
CAT,intra,195,target,local,0,0,21,218,6.884611460380256
CAT,intra,199,target,local,0,0,19,121,3.944720813073218
CAT,intra,203,target,local,0,0,18,71,2.439220699481666
CAT,intra,207,target,local,0,0,19,250,8.00756180100143
CAT,intra,208,target,local,0,0,15,34,1.0652320021763444
CAT,intra,210,target,local,0,0,25,350,11.45049848034978
CAT,intra,216,target,local,0,0,16,17,0.5621675262227654
CAT,intra,219,target,local,0,0,39,62,1.974262180738151
CAT,intra,221,target,local,0,0,16,117,3.821381368674338
CAT,intra,222,target,local,0,0,30,98,3.086345632560551
CAT,intra,230,target,local,0,0,48,240,7.5462250439450145
CAT,intra,232,target,local,0,0,17,366,12.025289206765592
CAT,intra,246,target,local,0,0,35,333,12.36357856914401
CAT,intra,247,target,local,0,0,19,155,5.845089324750006
CAT,intra,250,target,local,0,0,26,56,1.9450289625674486
CAT,intra,253,target,local,0,0,19,240,8.162347040139139
CAT,intra,254,target,local,0,0,34,42,1.7901293728500605
CAT,intra,257,target,local,0,0,35,25,1.0489731589332223
CAT,intra,260,target,local,0,0,30,256,8.36377281229943
CAT,intra,265,target,local,0,0,21,49,1.5961112901568413
CAT,intra,267,target,local,0,0,26,257,8.400755735114217
CAT,intra,277,target,local,0,0,54,31,0.9597880821675062
CAT,intra,281,target,local,0,0,22,105,3.34452145639807
CAT,intra,287,target,local,0,0,24,438,14.688050603494048
CAT,intra,288,target,local,0,0,28,172,5.379141912795603
CAT,intra,289,target,local,0,0,32,374,11.695877531543374
CAT,intra,295,target,local,0,0,32,378,12.069166347384453
CAT,intra,299,target,local,0,0,40,286,9.634571619331837
CAT,intra,303,target,local,0,0,50,307,9.319513467140496
CAT,intra,308,target,local,0,0,34,267,8.72205569781363
CAT,intra,313,target,local,0,0,247,334,10.901586541906
CAT,intra,317,target,local,0,0,25,347,11.098634008318186
CAT,intra,322,target,local,0,0,27,144,4.561382092535496
CAT,intra,324,target,local,0,0,26,112,3.5675431452691555
CAT,intra,330,target,local,0,0,25,312,9.753382349386811
CAT,intra,343,target,local,0,0,29,47,1.4829757874831557
CAT,intra,344,target,local,0,0,57,125,4.008329915814102
CAT,intra,346,target,local,0,0,34,98,3.1067024832591414
CAT,intra,347,target,local,0,0,20,247,8.228964381851256
CAT,intra,349,target,local,0,0,94,116,3.6918778298422694
CAT,intra,357,target,local,0,0,26,113,3.731193005107343
CAT,intra,358,target,local,0,0,33,69,2.13783869612962
CAT,intra,360,target,local,0,0,44,106,3.319586439989507
CAT,intra,368,target,local,0,0,29,361,12.214244807139039
CAT,intra,375,target,local,0,0,45,17,0.5622100029140711
CAT,intra,381,target,local,0,0,32,11,0.38658746518194675
