method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
CAT,intra,1,target,local,0,0,18,230,7.469863848760724
CAT,intra,2,target,local,0,0,18,394,12.553945591673255
CAT,intra,3,target,local,0,0,19,276,9.056487647816539
CAT,intra,4,target,local,0,0,19,36,1.1323544178158045
CAT,intra,5,target,local,0,0,20,257,8.178258934058249
CAT,intra,6,target,local,0,0,18,464,14.963683768175542
CAT,intra,7,target,local,0,0,19,330,10.59666211064905
CAT,intra,8,target,local,0,0,19,360,13.22269615996629
CAT,intra,9,target,local,0,0,22,318,9.953356335870922
CAT,intra,10,target,local,0,0,18,113,4.238174287602305
CAT,intra,11,target,local,0,0,20,179,5.729003630578518
CAT,intra,12,target,local,0,0,19,244,8.01676751114428
CAT,intra,13,target,local,0,0,18,366,12.082048915326595
CAT,intra,14,target,local,0,0,22,39,1.5634034546092153
CAT,intra,15,target,local,0,0,21,370,12.737212415784597
CAT,intra,16,target,local,0,0,20,212,6.814595520496368
CAT,intra,17,target,local,0,0,19,88,2.96351511310786
CAT,intra,18,target,local,0,0,19,33,1.052018305286765
CAT,intra,19,target,local,0,0,23,104,3.2898162733763456
CAT,intra,20,target,local,0,0,21,116,3.6982355546206236
CAT,intra,21,target,local,0,0,20,321,10.203673020005226
CAT,intra,22,target,local,0,0,23,44,1.3969017835333943
CAT,intra,23,target,local,0,0,22,305,9.923905270174146
CAT,intra,24,target,local,0,0,21,379,11.973510852083564
CAT,intra,25,target,local,0,0,22,38,1.1949020074680448
CAT,intra,51,target,local,0,0,21,347,11.006482936441898
CAT,intra,52,target,local,0,0,23,182,6.0507206078618765
CAT,intra,53,target,local,0,0,22,198,6.2995660323649645
CAT,intra,54,target,local,0,0,20,288,9.293550048023462
CAT,intra,55,target,local,0,0,21,313,10.093981936573982
CAT,intra,56,target,local,0,0,22,213,6.92497197445482
CAT,intra,57,target,local,0,0,24,39,1.2435937263071537
CAT,intra,58,target,local,0,0,22,356,11.514714144170284
CAT,intra,59,target,local,0,0,18,40,1.2322620460763574
CAT,intra,60,target,local,0,0,22,31,0.9926694435998797
CAT,intra,61,target,local,0,0,20,277,8.909621322527528
CAT,intra,62,target,local,0,0,23,39,1.2927359277382493
CAT,intra,63,target,local,0,0,22,81,2.693521289154887
CAT,intra,64,target,local,0,0,19,38,1.257095786742866
CAT,intra,65,target,local,0,0,21,370,11.64087491389364
CAT,intra,66,target,local,0,0,20,358,11.40964901726693
CAT,intra,67,target,local,0,0,21,33,1.0460990881547332
CAT,intra,68,target,local,0,0,18,134,4.2925198106095195
CAT,intra,69,target,local,0,0,19,407,12.96824376937002
CAT,intra,70,target,local,0,0,18,368,11.919291098602116
CAT,intra,71,target,local,0,0,21,255,8.251873978413641
CAT,intra,72,target,local,0,0,22,231,7.658562264405191
CAT,intra,73,target,local,0,0,22,374,11.946690291166306
CAT,intra,74,target,local,0,0,21,298,9.413056563585997
CAT,intra,75,target,local,0,0,23,395,12.849047225899994
CAT,intra,101,target,local,0,0,21,350,12.400503433309495
CAT,intra,102,target,local,0,0,20,100,3.1479239966720343
CAT,intra,103,target,local,0,0,21,51,1.6781585030257702
CAT,intra,104,target,local,0,0,20,118,3.9211137294769287
CAT,intra,105,target,local,0,0,21,33,1.0246253898367286
CAT,intra,106,target,local,0,0,20,103,3.4459873512387276
CAT,intra,107,target,local,0,0,19,43,1.4088292913511395
CAT,intra,108,target,local,0,0,20,100,3.2515090769156814
CAT,intra,109,target,local,0,0,24,17,0.5702471872791648
CAT,intra,110,target,local,0,0,22,313,10.16887558158487
CAT,intra,111,target,local,0,0,24,56,1.9641383094713092
CAT,intra,112,target,local,0,0,16,374,12.029801075346768
CAT,intra,113,target,local,0,0,20,271,9.080205378122628
CAT,intra,114,target,local,0,0,22,119,3.949727000668645
CAT,intra,115,target,local,0,0,24,39,1.1809474742040038
CAT,intra,116,target,local,0,0,19,17,0.520969201810658
CAT,intra,117,target,local,0,0,22,422,14.375731514766812
CAT,intra,118,target,local,0,0,23,314,11.378853627480567
CAT,intra,119,target,local,0,0,19,337,10.793138977140188
CAT,intra,120,target,local,0,0,21,365,11.786664512008429
CAT,intra,121,target,local,0,0,19,296,9.418277343735099
CAT,intra,122,target,local,0,0,25,37,1.1839156216010451
CAT,intra,123,target,local,0,0,24,40,1.303238877095282
CAT,intra,124,target,local,0,0,20,37,1.2227358473464847
CAT,intra,125,target,local,0,0,18,190,6.359935391694307
CAT,intra,151,target,local,0,0,20,41,1.5600409479811788
CAT,intra,152,target,local,0,0,22,275,10.294817024841905
CAT,intra,153,target,local,0,0,24,36,1.2038331497460604
CAT,intra,154,target,local,0,0,19,38,1.2959728008136153
CAT,intra,155,target,local,0,0,23,47,1.5422853948548436
CAT,intra,156,target,local,0,0,22,97,2.999285797588527
CAT,intra,157,target,local,0,0,22,29,0.9596824096515775
CAT,intra,158,target,local,0,0,25,29,0.9806324876844883
CAT,intra,159,target,local,0,0,24,36,1.1669240584596992
CAT,intra,160,target,local,0,0,27,118,4.029669037088752
CAT,intra,161,target,local,0,0,22,314,10.196169820614159
CAT,intra,162,target,local,0,0,21,62,2.0852128714323044
CAT,intra,163,target,local,0,0,21,87,2.9017840372398496
CAT,intra,164,target,local,0,0,23,36,1.157560620456934
CAT,intra,165,target,local,0,0,20,38,1.2494314787909389
CAT,intra,166,target,local,0,0,21,43,1.4330930765718222
CAT,intra,167,target,local,0,0,24,49,1.7460574014112353
CAT,intra,168,target,local,0,0,21,15,0.5430632885545492
CAT,intra,169,target,local,0,0,28,41,1.5390413608402014
CAT,intra,170,target,local,0,0,26,39,1.2568028047680855
CAT,intra,171,target,local,0,0,26,27,0.8357786638662219
CAT,intra,172,target,local,0,0,26,49,1.6987939001992345
CAT,intra,173,target,local,0,0,24,55,1.8080507842823863
CAT,intra,174,target,local,0,0,25,15,0.49035237822681665
CAT,intra,175,target,local,0,0,26,37,1.2859906470403075
CAT,intra,201,target,local,0,0,17,114,3.579576381482184
CAT,intra,202,target,local,0,0,14,95,3.2211611289530993
CAT,intra,203,target,local,0,0,15,139,5.418033443391323
CAT,intra,204,target,local,0,0,15,255,9.391268519684672
CAT,intra,205,target,local,0,0,19,111,3.995102575980127
CAT,intra,206,target,local,0,0,14,17,0.7117647081613541
CAT,intra,207,target,local,0,0,15,17,0.6468999199569225
CAT,intra,208,target,local,0,0,15,213,7.393893648870289
CAT,intra,209,target,local,0,0,19,435,14.928277271799743
CAT,intra,210,target,local,0,0,14,332,10.910416226834059
CAT,intra,211,target,local,0,0,22,74,2.3508675936609507
CAT,intra,212,target,local,0,0,20,45,1.4051463576033711
CAT,intra,213,target,local,0,0,21,35,1.1515585407614708
CAT,intra,214,target,local,0,0,22,40,1.2988036861643195
CAT,intra,215,target,local,0,0,20,133,4.25031319912523
CAT,intra,216,target,local,0,0,14,26,0.8069679979234934
CAT,intra,217,target,local,0,0,16,272,8.8431415297091
CAT,intra,218,target,local,0,0,17,38,1.2670048894360662
CAT,intra,219,target,local,0,0,18,38,1.338371048681438
CAT,intra,220,target,local,0,0,14,26,0.8954048147425056
CAT,intra,221,target,local,0,0,14,229,7.4045161651447415
CAT,intra,222,target,local,0,0,15,262,8.488648063503206
CAT,intra,223,target,local,0,0,14,181,5.8525330778211355
CAT,intra,224,target,local,0,0,15,403,13.699779216200113
CAT,intra,225,target,local,0,0,14,176,6.660487338900566
CAT,intra,251,target,local,0,0,18,101,3.831690047867596
CAT,intra,252,target,local,0,0,20,100,3.358169904910028
CAT,intra,253,target,local,0,0,19,100,3.206066306680441
CAT,intra,254,target,local,0,0,21,65,2.088509370572865
CAT,intra,255,target,local,0,0,23,62,1.9895893624052405
CAT,intra,256,target,local,0,0,20,105,3.4779584920033813
CAT,intra,257,target,local,0,0,18,66,2.2845779405906796
CAT,intra,258,target,local,0,0,17,127,4.469191653653979
CAT,intra,259,target,local,0,0,18,70,2.1995214773342013
CAT,intra,260,target,local,0,0,20,84,2.6545002963393927
CAT,intra,261,target,local,0,0,22,64,1.9692435748875141
CAT,intra,262,target,local,0,0,20,134,4.613308669067919
CAT,intra,263,target,local,0,0,19,82,2.5672507118433714
CAT,intra,264,target,local,0,0,22,91,3.023246147669852
CAT,intra,265,target,local,0,0,27,50,1.5439726067706943
CAT,intra,266,target,local,0,0,24,99,3.1901697665452957
CAT,intra,267,target,local,0,0,22,93,3.727248404175043
CAT,intra,268,target,local,0,0,19,88,2.9815967082977295
CAT,intra,269,target,local,0,0,21,91,3.195466948673129
