method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
CircuitBreakers,intra,0,target,local,0,0,25,512,12.974396355450153
CircuitBreakers,intra,4,target,local,0,0,18,512,13.056511050090194
CircuitBreakers,intra,10,target,local,0,0,25,512,12.886279368773103
CircuitBreakers,intra,12,target,local,0,0,24,310,7.811322728171945
CircuitBreakers,intra,18,target,local,0,0,19,512,13.021177502349019
CircuitBreakers,intra,22,target,local,0,0,16,257,6.4864914836362
CircuitBreakers,intra,26,target,local,0,0,19,512,13.066643881611526
CircuitBreakers,intra,30,target,local,0,0,19,512,12.968862890265882
CircuitBreakers,intra,31,target,local,0,0,19,481,12.269293755292892
CircuitBreakers,intra,33,target,local,0,0,14,447,11.388764032162726
CircuitBreakers,intra,39,target,local,0,0,19,504,12.735425451770425
CircuitBreakers,intra,42,target,local,0,0,19,508,12.738432746380568
CircuitBreakers,intra,44,target,local,0,0,23,476,12.12184360716492
CircuitBreakers,intra,45,target,local,0,0,20,503,12.65151350852102
CircuitBreakers,intra,55,target,local,0,0,25,487,12.242418263107538
CircuitBreakers,intra,66,target,local,0,0,23,512,12.91798238735646
CircuitBreakers,intra,67,target,local,0,0,22,512,12.82414089050144
CircuitBreakers,intra,70,target,local,0,0,33,506,12.735406657680869
CircuitBreakers,intra,76,target,local,0,0,28,512,12.921773728914559
CircuitBreakers,intra,77,target,local,0,0,19,405,10.228882908821106
CircuitBreakers,intra,78,target,local,0,0,32,512,13.0304481908679
CircuitBreakers,intra,84,target,local,0,0,20,377,9.421460102312267
CircuitBreakers,intra,89,target,local,0,0,35,512,12.928377752192318
CircuitBreakers,intra,93,target,local,0,0,23,431,11.717933533713222
CircuitBreakers,intra,97,target,local,0,0,17,388,9.864108105190098
CircuitBreakers,intra,101,target,local,0,0,24,431,10.869816835038364
CircuitBreakers,intra,105,target,local,0,0,30,512,13.847066063433886
CircuitBreakers,intra,106,target,local,0,0,20,512,13.039706320501864
CircuitBreakers,intra,110,target,local,0,0,27,512,13.579873451963067
CircuitBreakers,intra,111,target,local,0,0,17,166,4.220509419217706
CircuitBreakers,intra,113,target,local,0,0,29,224,5.761389399878681
CircuitBreakers,intra,119,target,local,0,0,25,371,9.292750185355544
CircuitBreakers,intra,129,target,local,0,0,26,493,12.55751820653677
CircuitBreakers,intra,134,target,local,0,0,23,271,7.532707925885916
CircuitBreakers,intra,135,target,local,0,0,19,327,8.36798917222768
CircuitBreakers,intra,136,target,local,0,0,21,512,13.100543157197535
CircuitBreakers,intra,146,target,local,0,0,33,512,12.947798803448677
CircuitBreakers,intra,148,target,local,0,0,21,512,13.54847271181643
CircuitBreakers,intra,151,target,local,0,0,138,109,2.808599070645869
