request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
0,1,0,0,25,512,12.974396355450153,0.0
10,1,0,0,25,512,12.886279368773103,0.0
101,1,0,0,24,431,10.869816835038364,0.0
105,1,0,0,30,512,13.847066063433886,0.0
106,1,0,0,20,512,13.039706320501864,0.0
110,1,0,0,27,512,13.579873451963067,0.0
111,1,0,0,17,166,4.220509419217706,0.0
113,1,0,0,29,224,5.761389399878681,0.0
119,1,0,0,25,371,9.292750185355544,0.0
12,1,0,0,24,310,7.811322728171945,0.0
129,1,0,0,26,493,12.55751820653677,0.0
134,1,0,0,23,271,7.532707925885916,0.0
135,1,0,0,19,327,8.36798917222768,0.0
136,1,0,0,21,512,13.100543157197535,0.0
146,1,0,0,33,512,12.947798803448677,0.0
148,1,0,0,21,512,13.54847271181643,0.0
151,1,0,0,138,109,2.808599070645869,0.0
154,1,0,0,21,512,13.16490516345948,0.0
159,1,0,0,20,30,0.7777314754202962,0.0
166,1,0,0,25,26,0.6584514416754246,0.0
168,1,0,0,20,512,13.207076179794967,0.0
171,1,0,0,40,512,12.985982430167496,0.0
177,1,0,0,19,433,11.07482144702226,0.0
18,1,0,0,19,512,13.021177502349019,0.0
181,1,0,0,24,512,13.19006741605699,0.0
187,1,0,0,34,512,13.48983870074153,0.0
189,1,0,0,33,512,13.827908898703754,0.0
195,1,0,0,21,363,9.460762664675713,0.0
199,1,0,0,19,64,1.6236160825937986,0.0
203,1,0,0,18,74,1.8955143662169576,0.0
207,1,0,0,19,442,11.401131260208786,0.0
208,1,0,0,15,63,1.5963497003540397,0.0
210,1,0,0,25,512,13.074582304805517,0.0
216,1,0,0,16,23,0.5839031618088484,0.0
219,1,0,0,39,65,1.6589070856571198,0.0
22,1,0,0,16,257,6.4864914836362,0.0
221,1,0,0,16,248,6.281939070671797,0.0
222,1,0,0,30,512,13.174827678129077,0.0
230,1,0,0,48,378,9.77498522028327,0.0
232,1,0,0,17,512,13.19268939550966,0.0
246,1,0,0,35,444,11.351954276673496,0.0
247,1,0,0,19,347,8.766189138405025,0.0
250,1,0,0,26,512,12.948116505518556,0.0
253,1,0,0,19,482,12.171042839996517,0.0
254,1,0,0,34,55,1.3843776574358344,0.0
257,1,0,0,35,71,1.8552542543038726,0.0
