method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
CircuitBreakers,intra,1,target,local,0,0,18,512,13.096136828884482
CircuitBreakers,intra,2,target,local,0,0,18,435,11.001253561116755
CircuitBreakers,intra,3,target,local,0,0,19,512,12.980506277643144
CircuitBreakers,intra,4,target,local,0,0,19,512,13.039241965860128
CircuitBreakers,intra,5,target,local,0,0,20,423,10.769167352467775
CircuitBreakers,intra,6,target,local,0,0,18,506,12.922859710641205
CircuitBreakers,intra,7,target,local,0,0,19,512,12.93754027877003
CircuitBreakers,intra,8,target,local,0,0,19,512,12.961662651970983
CircuitBreakers,intra,9,target,local,0,0,22,479,12.233396528288722
CircuitBreakers,intra,10,target,local,0,0,18,407,10.3133944272995
CircuitBreakers,intra,11,target,local,0,0,20,512,14.280496242456138
CircuitBreakers,intra,12,target,local,0,0,19,484,12.374463254585862
CircuitBreakers,intra,13,target,local,0,0,18,512,13.061428136192262
CircuitBreakers,intra,14,target,local,0,0,22,12,0.30622875038534403
CircuitBreakers,intra,15,target,local,0,0,21,506,12.903730106540024
CircuitBreakers,intra,16,target,local,0,0,20,149,3.800334154628217
CircuitBreakers,intra,17,target,local,0,0,19,262,6.796120835468173
CircuitBreakers,intra,18,target,local,0,0,19,512,13.065913263708353
CircuitBreakers,intra,19,target,local,0,0,23,512,13.040838197804987
CircuitBreakers,intra,20,target,local,0,0,21,332,8.465647985227406
CircuitBreakers,intra,21,target,local,0,0,20,493,13.329497309401631
CircuitBreakers,intra,22,target,local,0,0,23,425,11.241283657960594
CircuitBreakers,intra,23,target,local,0,0,22,512,13.107641669921577
CircuitBreakers,intra,24,target,local,0,0,21,438,11.267658622935414
CircuitBreakers,intra,25,target,local,0,0,22,512,13.21257711108774
CircuitBreakers,intra,51,target,local,0,0,21,512,13.087926538661122
CircuitBreakers,intra,52,target,local,0,0,23,293,7.505296554416418
CircuitBreakers,intra,53,target,local,0,0,22,425,10.876619526185095
CircuitBreakers,intra,54,target,local,0,0,20,483,12.31839791033417
CircuitBreakers,intra,55,target,local,0,0,21,462,11.811659534461796
CircuitBreakers,intra,56,target,local,0,0,22,440,11.275958543643355
CircuitBreakers,intra,57,target,local,0,0,24,470,11.909831249155104
CircuitBreakers,intra,58,target,local,0,0,22,512,12.948144192807376
CircuitBreakers,intra,59,target,local,0,0,18,429,10.870258719660342
CircuitBreakers,intra,60,target,local,0,0,22,505,12.908606789074838
CircuitBreakers,intra,61,target,local,0,0,20,469,12.075017560273409
CircuitBreakers,intra,62,target,local,0,0,23,512,13.259702297858894
CircuitBreakers,intra,63,target,local,0,0,22,512,13.099240683950484
CircuitBreakers,intra,64,target,local,0,0,19,442,11.222375106997788
CircuitBreakers,intra,65,target,local,0,0,21,512,13.156855620443821
CircuitBreakers,intra,66,target,local,0,0,20,465,11.95293627306819
CircuitBreakers,intra,67,target,local,0,0,21,512,13.08721214812249
CircuitBreakers,intra,68,target,local,0,0,18,380,10.058535885997117
CircuitBreakers,intra,69,target,local,0,0,19,479,13.221637819893658
CircuitBreakers,intra,70,target,local,0,0,18,512,13.077833468094468
CircuitBreakers,intra,71,target,local,0,0,21,512,13.26488334313035
CircuitBreakers,intra,72,target,local,0,0,22,512,13.405409585684538
CircuitBreakers,intra,73,target,local,0,0,22,512,12.987639158032835
CircuitBreakers,intra,74,target,local,0,0,21,512,13.115523342043161
CircuitBreakers,intra,75,target,local,0,0,23,512,13.748506448231637
CircuitBreakers,intra,101,target,local,0,0,21,507,12.869439301081002
CircuitBreakers,intra,102,target,local,0,0,20,413,10.450448888354003
CircuitBreakers,intra,103,target,local,0,0,21,404,10.245816418901086
CircuitBreakers,intra,104,target,local,0,0,20,512,14.375834767706692
CircuitBreakers,intra,105,target,local,0,0,21,512,13.05441087204963
CircuitBreakers,intra,106,target,local,0,0,20,374,9.93748389557004
CircuitBreakers,intra,107,target,local,0,0,19,512,13.131390757858753
CircuitBreakers,intra,108,target,local,0,0,20,512,12.981300665996969
CircuitBreakers,intra,109,target,local,0,0,24,321,8.140836608596146
CircuitBreakers,intra,110,target,local,0,0,22,512,12.997056348249316
CircuitBreakers,intra,111,target,local,0,0,24,452,11.598734592087567
CircuitBreakers,intra,112,target,local,0,0,16,512,13.021132042631507
CircuitBreakers,intra,113,target,local,0,0,20,370,9.42202213127166
CircuitBreakers,intra,114,target,local,0,0,22,417,10.610429133288562
CircuitBreakers,intra,115,target,local,0,0,24,512,12.992259812541306
CircuitBreakers,intra,116,target,local,0,0,19,325,8.195097562856972
CircuitBreakers,intra,117,target,local,0,0,22,512,13.102780100889504
CircuitBreakers,intra,118,target,local,0,0,23,512,13.062065375968814
CircuitBreakers,intra,119,target,local,0,0,19,512,12.958252742886543
CircuitBreakers,intra,120,target,local,0,0,21,512,13.052802860736847
CircuitBreakers,intra,121,target,local,0,0,19,465,11.879687801934779
CircuitBreakers,intra,122,target,local,0,0,25,512,13.11015997827053
CircuitBreakers,intra,123,target,local,0,0,24,512,12.982532786205411
CircuitBreakers,intra,124,target,local,0,0,20,509,12.949284584261477
CircuitBreakers,intra,125,target,local,0,0,18,451,11.387883563525975
CircuitBreakers,intra,151,target,local,0,0,20,512,12.934229608625174
CircuitBreakers,intra,152,target,local,0,0,22,443,11.291185124777257
CircuitBreakers,intra,153,target,local,0,0,24,27,0.6818115804344416
CircuitBreakers,intra,154,target,local,0,0,19,412,10.465693591162562
CircuitBreakers,intra,155,target,local,0,0,23,440,11.090449001640081
CircuitBreakers,intra,156,target,local,0,0,22,299,7.625494587235153
CircuitBreakers,intra,157,target,local,0,0,22,436,11.115728895179927
CircuitBreakers,intra,158,target,local,0,0,25,113,2.912151725962758
CircuitBreakers,intra,159,target,local,0,0,24,135,3.4353614170104265
CircuitBreakers,intra,160,target,local,0,0,27,201,5.2153148064389825
CircuitBreakers,intra,161,target,local,0,0,22,512,13.723587022162974
CircuitBreakers,intra,162,target,local,0,0,21,29,0.8150147385895252
CircuitBreakers,intra,163,target,local,0,0,21,512,14.385481471195817
CircuitBreakers,intra,164,target,local,0,0,23,512,13.093139320611954
CircuitBreakers,intra,165,target,local,0,0,20,512,13.037721051834524
CircuitBreakers,intra,166,target,local,0,0,21,512,13.060767280869186
CircuitBreakers,intra,167,target,local,0,0,24,512,13.031635510735214
CircuitBreakers,intra,168,target,local,0,0,21,30,0.7598474668338895
CircuitBreakers,intra,169,target,local,0,0,28,512,12.856431905180216
CircuitBreakers,intra,170,target,local,0,0,26,512,12.999816162511706
CircuitBreakers,intra,171,target,local,0,0,26,27,0.6836035093292594
CircuitBreakers,intra,172,target,local,0,0,26,428,10.770143642090261
CircuitBreakers,intra,173,target,local,0,0,24,512,12.965134202502668
CircuitBreakers,intra,174,target,local,0,0,25,512,13.469120448455215
CircuitBreakers,intra,175,target,local,0,0,26,116,2.9645229456946254
CircuitBreakers,intra,201,target,local,0,0,17,404,10.453066467307508
CircuitBreakers,intra,202,target,local,0,0,14,90,2.250966565683484
CircuitBreakers,intra,203,target,local,0,0,15,270,6.831642797216773
CircuitBreakers,intra,204,target,local,0,0,15,333,8.428568424656987
CircuitBreakers,intra,205,target,local,0,0,19,279,7.045294467359781
CircuitBreakers,intra,206,target,local,0,0,14,390,9.944337235763669
CircuitBreakers,intra,207,target,local,0,0,15,315,8.068858574144542
CircuitBreakers,intra,208,target,local,0,0,15,439,11.071311593987048
CircuitBreakers,intra,209,target,local,0,0,19,396,10.026292447000742
CircuitBreakers,intra,210,target,local,0,0,14,306,7.723671242594719
CircuitBreakers,intra,211,target,local,0,0,22,28,0.7165461834520102
CircuitBreakers,intra,212,target,local,0,0,20,227,5.792323661036789
CircuitBreakers,intra,213,target,local,0,0,21,339,8.74553847964853
CircuitBreakers,intra,214,target,local,0,0,22,272,6.971455172635615
CircuitBreakers,intra,215,target,local,0,0,20,323,8.261551606468856
CircuitBreakers,intra,216,target,local,0,0,14,387,9.881599810905755
CircuitBreakers,intra,217,target,local,0,0,16,435,10.917200312018394
CircuitBreakers,intra,218,target,local,0,0,17,328,8.328076836653054
CircuitBreakers,intra,219,target,local,0,0,18,255,6.477499856613576
CircuitBreakers,intra,220,target,local,0,0,14,512,12.929574063047767
CircuitBreakers,intra,221,target,local,0,0,14,380,9.642765305936337
CircuitBreakers,intra,222,target,local,0,0,15,356,9.086410889402032
CircuitBreakers,intra,223,target,local,0,0,14,512,13.072605445981026
CircuitBreakers,intra,224,target,local,0,0,15,512,14.110506201162934
CircuitBreakers,intra,225,target,local,0,0,14,384,9.992734071798623
CircuitBreakers,intra,251,target,local,0,0,18,127,3.323768110945821
