method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
DeRTa,intra,0,target,local,0,0,25,433,15.100188662298024
DeRTa,intra,4,target,local,0,0,18,405,13.340846398845315
DeRTa,intra,10,target,local,0,0,25,512,18.58501949813217
DeRTa,intra,12,target,local,0,0,24,315,11.17950754147023
DeRTa,intra,18,target,local,0,0,19,457,17.159370223991573
DeRTa,intra,22,target,local,0,0,16,92,3.2721050903201103
DeRTa,intra,26,target,local,0,0,19,379,14.035629198886454
DeRTa,intra,30,target,local,0,0,19,480,15.705174800008535
DeRTa,intra,31,target,local,0,0,19,359,12.183514728210866
DeRTa,intra,33,target,local,0,0,14,326,12.70237827859819
DeRTa,intra,39,target,local,0,0,19,388,13.608631345443428
DeRTa,intra,42,target,local,0,0,19,503,16.772698014974594
DeRTa,intra,44,target,local,0,0,23,307,10.107650906778872
DeRTa,intra,45,target,local,0,0,20,295,10.482374468818307
DeRTa,intra,55,target,local,0,0,25,489,17.28083799686283
DeRTa,intra,66,target,local,0,0,23,460,16.51977833919227
DeRTa,intra,67,target,local,0,0,22,348,12.863165170885623
DeRTa,intra,70,target,local,0,0,33,326,11.500534364022315
DeRTa,intra,76,target,local,0,0,28,512,19.06208958476782
DeRTa,intra,77,target,local,0,0,19,302,9.760747561231256
DeRTa,intra,78,target,local,0,0,32,512,19.476011858321726
DeRTa,intra,84,target,local,0,0,20,364,12.597961721010506
DeRTa,intra,89,target,local,0,0,35,512,18.146214552223682
DeRTa,intra,93,target,local,0,0,23,21,0.7444069860503078
DeRTa,intra,97,target,local,0,0,17,286,9.629019892774522
DeRTa,intra,101,target,local,0,0,24,263,9.469901317730546
DeRTa,intra,105,target,local,0,0,30,484,17.607916908338666
DeRTa,intra,106,target,local,0,0,20,504,17.682741946540773
DeRTa,intra,110,target,local,0,0,27,512,17.358027460053563
DeRTa,intra,111,target,local,0,0,17,110,3.6609237547963858
DeRTa,intra,113,target,local,0,0,29,26,1.101310484111309
DeRTa,intra,119,target,local,0,0,25,294,10.079391739331186
DeRTa,intra,129,target,local,0,0,26,414,13.953645270317793
DeRTa,intra,134,target,local,0,0,23,75,2.501435026526451
DeRTa,intra,135,target,local,0,0,19,265,8.705484062433243
DeRTa,intra,136,target,local,0,0,21,512,17.032180609181523
DeRTa,intra,146,target,local,0,0,33,512,17.256166007369757
DeRTa,intra,148,target,local,0,0,21,512,17.20942427124828
DeRTa,intra,151,target,local,0,0,138,112,4.080150723457336
DeRTa,intra,154,target,local,0,0,21,512,18.28729596082121
DeRTa,intra,159,target,local,0,0,20,30,1.1551990387961268
DeRTa,intra,166,target,local,0,0,25,23,0.7353636818006635
DeRTa,intra,168,target,local,0,0,20,512,17.599471596069634
DeRTa,intra,171,target,local,0,0,40,360,12.059963039122522
DeRTa,intra,177,target,local,0,0,19,243,8.334150069393218
DeRTa,intra,181,target,local,0,0,24,22,0.738197635859251
DeRTa,intra,187,target,local,0,0,34,178,5.807692405767739
DeRTa,intra,189,target,local,0,0,33,512,17.84082586877048
DeRTa,intra,195,target,local,0,0,21,274,10.39464601688087
DeRTa,intra,199,target,local,0,0,19,64,2.211919250898063
DeRTa,intra,203,target,local,0,0,18,33,1.069263817742467
DeRTa,intra,207,target,local,0,0,19,286,10.114574276842177
DeRTa,intra,208,target,local,0,0,15,4,0.16649471037089825
DeRTa,intra,210,target,local,0,0,25,434,14.914662765339017
DeRTa,intra,216,target,local,0,0,16,31,1.0792587827891111
DeRTa,intra,219,target,local,0,0,39,46,1.545689895749092
DeRTa,intra,221,target,local,0,0,16,49,1.5994843281805515
DeRTa,intra,222,target,local,0,0,30,21,0.7109177717939019
DeRTa,intra,230,target,local,0,0,48,151,5.023532629944384
DeRTa,intra,232,target,local,0,0,17,512,16.866915421560407
DeRTa,intra,246,target,local,0,0,35,317,10.743538384325802
DeRTa,intra,247,target,local,0,0,19,186,6.159245751798153
DeRTa,intra,250,target,local,0,0,26,21,0.6965909004211426
DeRTa,intra,253,target,local,0,0,19,309,10.456541453488171
DeRTa,intra,254,target,local,0,0,34,21,0.6853558653965592
DeRTa,intra,257,target,local,0,0,35,40,1.2994010113179684
DeRTa,intra,260,target,local,0,0,30,367,12.278696118853986
DeRTa,intra,265,target,local,0,0,21,23,0.761568570509553
DeRTa,intra,267,target,local,0,0,26,48,1.5636106953024864
DeRTa,intra,277,target,local,0,0,54,31,1.050715709105134
DeRTa,intra,281,target,local,0,0,22,186,6.302275146357715
DeRTa,intra,287,target,local,0,0,24,456,15.834801114164293
DeRTa,intra,288,target,local,0,0,28,131,5.118620681576431
DeRTa,intra,289,target,local,0,0,32,410,14.592382437549531
DeRTa,intra,295,target,local,0,0,32,335,11.377116341143847
DeRTa,intra,299,target,local,0,0,40,163,6.011381896212697
DeRTa,intra,303,target,local,0,0,50,210,6.930555955506861
DeRTa,intra,308,target,local,0,0,34,445,14.86587228346616
DeRTa,intra,313,target,local,0,0,247,270,8.930589941330254
DeRTa,intra,317,target,local,0,0,25,324,12.167242920026183
DeRTa,intra,322,target,local,0,0,27,213,7.7164756348356605
DeRTa,intra,324,target,local,0,0,26,206,7.096519749611616
DeRTa,intra,330,target,local,0,0,25,79,2.762746254913509
DeRTa,intra,343,target,local,0,0,29,37,1.384102906100452
DeRTa,intra,344,target,local,0,0,57,49,1.662912456318736
DeRTa,intra,346,target,local,0,0,34,49,1.6711640991270542
DeRTa,intra,347,target,local,0,0,20,352,12.614393227733672
DeRTa,intra,349,target,local,0,0,94,65,2.129430095665157
DeRTa,intra,357,target,local,0,0,26,377,12.971487688831985
DeRTa,intra,358,target,local,0,0,33,11,0.47845733258873224
DeRTa,intra,360,target,local,0,0,44,80,2.9231679840013385
DeRTa,intra,368,target,local,0,0,29,446,16.529927839525044
DeRTa,intra,375,target,local,0,0,45,17,0.5696755982935429
DeRTa,intra,381,target,local,0,0,32,22,0.7261430853977799
DeRTa,intra,384,target,local,0,0,41,13,0.4303538929671049
DeRTa,intra,387,target,local,0,0,23,371,12.560450991615653
DeRTa,intra,388,target,local,0,0,21,138,4.605661894194782
DeRTa,intra,398,target,local,0,0,34,461,15.59530131611973
DeRTa,intra,399,target,local,0,0,25,508,17.263690808787942
DeRTa,intra,405,target,local,0,0,31,262,8.871425984427333
DeRTa,intra,407,target,local,0,0,26,212,7.035847838968039
DeRTa,intra,413,target,local,0,0,41,378,12.655048162676394
DeRTa,intra,414,target,local,0,0,39,512,17.535226951353252
DeRTa,intra,417,target,local,0,0,40,387,13.700109750963748
DeRTa,intra,418,target,local,0,0,45,253,8.682481061667204
DeRTa,intra,425,target,local,0,0,27,314,10.76298509631306
DeRTa,intra,426,target,local,0,0,36,512,17.22760938014835
DeRTa,intra,427,target,local,0,0,80,90,2.9718891605734825
DeRTa,intra,429,target,local,0,0,31,84,2.8821079712361097
DeRTa,intra,437,target,local,0,0,71,512,17.825442993082106
DeRTa,intra,442,target,local,0,0,35,21,0.6923267003148794
DeRTa,intra,444,target,local,0,0,23,246,8.127877318300307
DeRTa,intra,445,target,local,0,0,33,251,9.090719983913004
DeRTa,intra,450,target,local,0,0,23,484,16.525742103345692
DeRTa,intra,453,target,local,0,0,20,512,16.94669268745929
DeRTa,intra,462,target,local,0,0,70,512,17.213943055830896
DeRTa,intra,465,target,local,0,0,22,479,15.803879865445197
DeRTa,intra,466,target,local,0,0,27,411,13.574793067760766
DeRTa,intra,476,target,local,0,0,37,56,1.8829092625528574
DeRTa,intra,477,target,local,0,0,20,328,11.361550027504563
DeRTa,intra,479,target,local,0,0,31,321,11.654093525372446
DeRTa,intra,480,target,local,0,0,175,65,2.173928927630186
DeRTa,intra,483,target,local,0,0,42,14,0.5146729834377766
DeRTa,intra,493,target,local,0,0,32,498,17.30532214883715
DeRTa,intra,495,target,local,0,0,33,467,16.027811634354293
DeRTa,intra,496,target,local,0,0,33,431,15.021684663370252
DeRTa,intra,497,target,local,0,0,106,319,10.918990236707032
DeRTa,intra,498,target,local,0,0,53,260,8.74494980275631
DeRTa,intra,510,target,local,0,0,21,166,5.543599762953818
DeRTa,intra,512,target,local,0,0,29,512,17.545838904567063
DeRTa,intra,513,target,local,0,0,19,168,5.89048835542053
DeRTa,intra,517,target,local,0,0,21,460,15.963747180998325
DeRTa,intra,524,target,local,0,0,26,512,17.133273355662823
DeRTa,intra,528,target,local,0,0,20,484,15.92720127850771
DeRTa,intra,529,target,local,0,0,23,487,16.18479346856475
DeRTa,intra,531,target,local,0,0,39,476,15.923444426618516
DeRTa,intra,533,target,local,0,0,25,512,16.858569604344666
DeRTa,intra,539,target,local,0,0,24,404,13.298605659045279
DeRTa,intra,546,target,local,0,0,36,432,14.806009970605373
DeRTa,intra,549,target,local,0,0,24,106,3.5443343222141266
DeRTa,intra,564,target,local,0,0,24,124,4.050178023055196
DeRTa,intra,568,target,local,0,0,45,512,16.71352661307901
DeRTa,intra,572,target,local,0,0,33,416,13.504584192298353
DeRTa,intra,577,target,local,0,0,52,263,8.68507266882807
DeRTa,intra,584,target,local,0,0,22,450,15.220213329419494
DeRTa,intra,585,target,local,0,0,24,177,5.825897230766714
DeRTa,intra,593,target,local,0,0,16,182,6.508998493663967
DeRTa,intra,595,target,local,0,0,36,28,1.2045589620247483
