request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
0,1,0,0,25,433,15.100188662298024,0.0
10,1,0,0,25,512,18.58501949813217,0.0
101,1,0,0,24,263,9.469901317730546,0.0
105,1,0,0,30,484,17.607916908338666,0.0
106,1,0,0,20,504,17.682741946540773,0.0
110,1,0,0,27,512,17.358027460053563,0.0
111,1,0,0,17,110,3.6609237547963858,0.0
113,1,0,0,29,26,1.101310484111309,0.0
119,1,0,0,25,294,10.079391739331186,0.0
12,1,0,0,24,315,11.17950754147023,0.0
129,1,0,0,26,414,13.953645270317793,0.0
134,1,0,0,23,75,2.501435026526451,0.0
135,1,0,0,19,265,8.705484062433243,0.0
136,1,0,0,21,512,17.032180609181523,0.0
146,1,0,0,33,512,17.256166007369757,0.0
148,1,0,0,21,512,17.20942427124828,0.0
151,1,0,0,138,112,4.080150723457336,0.0
154,1,0,0,21,512,18.28729596082121,0.0
159,1,0,0,20,30,1.1551990387961268,0.0
166,1,0,0,25,23,0.7353636818006635,0.0
168,1,0,0,20,512,17.599471596069634,0.0
171,1,0,0,40,360,12.059963039122522,0.0
177,1,0,0,19,243,8.334150069393218,0.0
18,1,0,0,19,457,17.159370223991573,0.0
181,1,0,0,24,22,0.738197635859251,0.0
187,1,0,0,34,178,5.807692405767739,0.0
189,1,0,0,33,512,17.84082586877048,0.0
195,1,0,0,21,274,10.39464601688087,0.0
199,1,0,0,19,64,2.211919250898063,0.0
203,1,0,0,18,33,1.069263817742467,0.0
207,1,0,0,19,286,10.114574276842177,0.0
208,1,0,0,15,4,0.16649471037089825,0.0
210,1,0,0,25,434,14.914662765339017,0.0
216,1,0,0,16,31,1.0792587827891111,0.0
219,1,0,0,39,46,1.545689895749092,0.0
22,1,0,0,16,92,3.2721050903201103,0.0
221,1,0,0,16,49,1.5994843281805515,0.0
222,1,0,0,30,21,0.7109177717939019,0.0
230,1,0,0,48,151,5.023532629944384,0.0
232,1,0,0,17,512,16.866915421560407,0.0
246,1,0,0,35,317,10.743538384325802,0.0
247,1,0,0,19,186,6.159245751798153,0.0
250,1,0,0,26,21,0.6965909004211426,0.0
253,1,0,0,19,309,10.456541453488171,0.0
254,1,0,0,34,21,0.6853558653965592,0.0
257,1,0,0,35,40,1.2994010113179684,0.0
26,1,0,0,19,379,14.035629198886454,0.0
260,1,0,0,30,367,12.278696118853986,0.0
265,1,0,0,21,23,0.761568570509553,0.0
267,1,0,0,26,48,1.5636106953024864,0.0
277,1,0,0,54,31,1.050715709105134,0.0
281,1,0,0,22,186,6.302275146357715,0.0
287,1,0,0,24,456,15.834801114164293,0.0
288,1,0,0,28,131,5.118620681576431,0.0
289,1,0,0,32,410,14.592382437549531,0.0
295,1,0,0,32,335,11.377116341143847,0.0
299,1,0,0,40,163,6.011381896212697,0.0
30,1,0,0,19,480,15.705174800008535,0.0
303,1,0,0,50,210,6.930555955506861,0.0
308,1,0,0,34,445,14.86587228346616,0.0
31,1,0,0,19,359,12.183514728210866,0.0
313,1,0,0,247,270,8.930589941330254,0.0
317,1,0,0,25,324,12.167242920026183,0.0
322,1,0,0,27,213,7.7164756348356605,0.0
324,1,0,0,26,206,7.096519749611616,0.0
33,1,0,0,14,326,12.70237827859819,0.0
330,1,0,0,25,79,2.762746254913509,0.0
343,1,0,0,29,37,1.384102906100452,0.0
344,1,0,0,57,49,1.662912456318736,0.0
346,1,0,0,34,49,1.6711640991270542,0.0
347,1,0,0,20,352,12.614393227733672,0.0
349,1,0,0,94,65,2.129430095665157,0.0
357,1,0,0,26,377,12.971487688831985,0.0
358,1,0,0,33,11,0.47845733258873224,0.0
360,1,0,0,44,80,2.9231679840013385,0.0
368,1,0,0,29,446,16.529927839525044,0.0
375,1,0,0,45,17,0.5696755982935429,0.0
381,1,0,0,32,22,0.7261430853977799,0.0
384,1,0,0,41,13,0.4303538929671049,0.0
387,1,0,0,23,371,12.560450991615653,0.0
388,1,0,0,21,138,4.605661894194782,0.0
39,1,0,0,19,388,13.608631345443428,0.0
398,1,0,0,34,461,15.59530131611973,0.0
399,1,0,0,25,508,17.263690808787942,0.0
4,1,0,0,18,405,13.340846398845315,0.0
405,1,0,0,31,262,8.871425984427333,0.0
407,1,0,0,26,212,7.035847838968039,0.0
413,1,0,0,41,378,12.655048162676394,0.0
414,1,0,0,39,512,17.535226951353252,0.0
417,1,0,0,40,387,13.700109750963748,0.0
418,1,0,0,45,253,8.682481061667204,0.0
42,1,0,0,19,503,16.772698014974594,0.0
425,1,0,0,27,314,10.76298509631306,0.0
426,1,0,0,36,512,17.22760938014835,0.0
427,1,0,0,80,90,2.9718891605734825,0.0
429,1,0,0,31,84,2.8821079712361097,0.0
437,1,0,0,71,512,17.825442993082106,0.0
44,1,0,0,23,307,10.107650906778872,0.0
442,1,0,0,35,21,0.6923267003148794,0.0
444,1,0,0,23,246,8.127877318300307,0.0
445,1,0,0,33,251,9.090719983913004,0.0
45,1,0,0,20,295,10.482374468818307,0.0
450,1,0,0,23,484,16.525742103345692,0.0
453,1,0,0,20,512,16.94669268745929,0.0
462,1,0,0,70,512,17.213943055830896,0.0
465,1,0,0,22,479,15.803879865445197,0.0
466,1,0,0,27,411,13.574793067760766,0.0
476,1,0,0,37,56,1.8829092625528574,0.0
477,1,0,0,20,328,11.361550027504563,0.0
479,1,0,0,31,321,11.654093525372446,0.0
480,1,0,0,175,65,2.173928927630186,0.0
483,1,0,0,42,14,0.5146729834377766,0.0
493,1,0,0,32,498,17.30532214883715,0.0
495,1,0,0,33,467,16.027811634354293,0.0
496,1,0,0,33,431,15.021684663370252,0.0
497,1,0,0,106,319,10.918990236707032,0.0
498,1,0,0,53,260,8.74494980275631,0.0
510,1,0,0,21,166,5.543599762953818,0.0
512,1,0,0,29,512,17.545838904567063,0.0
513,1,0,0,19,168,5.89048835542053,0.0
517,1,0,0,21,460,15.963747180998325,0.0
524,1,0,0,26,512,17.133273355662823,0.0
528,1,0,0,20,484,15.92720127850771,0.0
529,1,0,0,23,487,16.18479346856475,0.0
531,1,0,0,39,476,15.923444426618516,0.0
533,1,0,0,25,512,16.858569604344666,0.0
539,1,0,0,24,404,13.298605659045279,0.0
546,1,0,0,36,432,14.806009970605373,0.0
549,1,0,0,24,106,3.5443343222141266,0.0
55,1,0,0,25,489,17.28083799686283,0.0
564,1,0,0,24,124,4.050178023055196,0.0
568,1,0,0,45,512,16.71352661307901,0.0
572,1,0,0,33,416,13.504584192298353,0.0
577,1,0,0,52,263,8.68507266882807,0.0
584,1,0,0,22,450,15.220213329419494,0.0
585,1,0,0,24,177,5.825897230766714,0.0
593,1,0,0,16,182,6.508998493663967,0.0
595,1,0,0,36,28,1.2045589620247483,0.0
600,1,0,0,25,12,0.4217445198446512,0.0
602,1,0,0,27,113,3.5871136114001274,0.0
605,1,0,0,88,71,2.246062356978655,0.0
606,1,0,0,38,77,2.4266394237056375,0.0
612,1,0,0,28,450,16.03680911194533,0.0
613,1,0,0,21,23,0.7485706666484475,0.0
616,1,0,0,43,512,17.469449474476278,0.0
623,1,0,0,47,388,12.876194794662297,0.0
631,1,0,0,54,262,8.584993682801723,0.0
635,1,0,0,33,512,17.676947006955743,0.0
638,1,0,0,41,512,17.208350197412074,0.0
