method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
DeRTa,intra,1,target,local,0,0,18,21,0.6848936760798097
DeRTa,intra,2,target,local,0,0,18,376,12.263623530976474
DeRTa,intra,3,target,local,0,0,19,354,13.268767971545458
DeRTa,intra,4,target,local,0,0,19,21,0.7192485211417079
DeRTa,intra,5,target,local,0,0,20,389,13.905742213129997
DeRTa,intra,6,target,local,0,0,18,358,12.857493200339377
DeRTa,intra,7,target,local,0,0,19,354,12.661353047005832
DeRTa,intra,8,target,local,0,0,19,34,1.4433073811233044
DeRTa,intra,9,target,local,0,0,22,356,13.286210214719176
DeRTa,intra,10,target,local,0,0,18,153,5.049373445101082
DeRTa,intra,11,target,local,0,0,20,309,10.2645915588364
DeRTa,intra,12,target,local,0,0,19,338,11.883874980732799
DeRTa,intra,13,target,local,0,0,18,506,18.155493252910674
DeRTa,intra,14,target,local,0,0,22,22,0.7066691825166345
DeRTa,intra,15,target,local,0,0,21,408,14.339244929142296
DeRTa,intra,16,target,local,0,0,20,100,3.2383978441357613
DeRTa,intra,17,target,local,0,0,19,168,5.404334076680243
DeRTa,intra,18,target,local,0,0,19,22,0.7111296439543366
DeRTa,intra,19,target,local,0,0,23,359,11.915234544314444
DeRTa,intra,20,target,local,0,0,21,208,7.545353073626757
DeRTa,intra,21,target,local,0,0,20,483,18.108584507368505
DeRTa,intra,22,target,local,0,0,23,51,1.688290341757238
DeRTa,intra,23,target,local,0,0,22,492,16.857824723236263
DeRTa,intra,24,target,local,0,0,21,281,10.742269480600953
DeRTa,intra,25,target,local,0,0,22,26,1.0864932956174016
DeRTa,intra,51,target,local,0,0,21,389,13.04358187597245
DeRTa,intra,52,target,local,0,0,23,10,0.3978031137958169
DeRTa,intra,53,target,local,0,0,22,263,9.218307516537607
DeRTa,intra,54,target,local,0,0,20,431,15.4076665090397
DeRTa,intra,55,target,local,0,0,21,396,15.097095679491758
DeRTa,intra,56,target,local,0,0,22,307,10.750042792409658
DeRTa,intra,57,target,local,0,0,24,21,0.7895379047840834
DeRTa,intra,58,target,local,0,0,22,335,11.571174569427967
DeRTa,intra,59,target,local,0,0,18,21,0.6882357243448496
DeRTa,intra,60,target,local,0,0,22,22,0.738538290373981
DeRTa,intra,61,target,local,0,0,20,295,10.223541718907654
DeRTa,intra,62,target,local,0,0,23,395,14.885153392329812
DeRTa,intra,63,target,local,0,0,22,28,0.9723003497347236
DeRTa,intra,64,target,local,0,0,19,12,0.3967280723154545
DeRTa,intra,65,target,local,0,0,21,453,15.564183602109551
DeRTa,intra,66,target,local,0,0,20,466,16.162466939538717
DeRTa,intra,67,target,local,0,0,21,444,15.786803242750466
DeRTa,intra,68,target,local,0,0,18,247,9.196610084734857
DeRTa,intra,69,target,local,0,0,19,386,13.064545695669949
DeRTa,intra,70,target,local,0,0,18,483,17.154192932881415
DeRTa,intra,71,target,local,0,0,21,388,12.61135523300618
DeRTa,intra,72,target,local,0,0,22,463,15.655907270498574
DeRTa,intra,73,target,local,0,0,22,331,11.881175096146762
DeRTa,intra,74,target,local,0,0,21,308,11.453498154878616
DeRTa,intra,75,target,local,0,0,23,422,13.979621071368456
DeRTa,intra,101,target,local,0,0,21,393,13.499954914674163
DeRTa,intra,102,target,local,0,0,20,340,11.600659159943461
DeRTa,intra,103,target,local,0,0,21,20,0.6639613788574934
DeRTa,intra,104,target,local,0,0,20,375,13.10672530438751
DeRTa,intra,105,target,local,0,0,21,20,0.7433960884809494
DeRTa,intra,106,target,local,0,0,20,35,1.1113956030458212
DeRTa,intra,107,target,local,0,0,19,21,0.6902147559449077
DeRTa,intra,108,target,local,0,0,20,416,13.819984957575798
DeRTa,intra,109,target,local,0,0,24,26,0.8496373649686575
DeRTa,intra,110,target,local,0,0,22,430,15.381488218903542
DeRTa,intra,111,target,local,0,0,24,25,0.8396208835765719
DeRTa,intra,112,target,local,0,0,16,512,17.346469866111875
DeRTa,intra,113,target,local,0,0,20,325,12.112604355439544
