request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
1,1,0,0,18,21,0.6848936760798097,0.0
10,1,0,0,18,153,5.049373445101082,0.0
101,1,0,0,21,393,13.499954914674163,0.0
102,1,0,0,20,340,11.600659159943461,0.0
103,1,0,0,21,20,0.6639613788574934,0.0
104,1,0,0,20,375,13.10672530438751,0.0
105,1,0,0,21,20,0.7433960884809494,0.0
106,1,0,0,20,35,1.1113956030458212,0.0
107,1,0,0,19,21,0.6902147559449077,0.0
108,1,0,0,20,416,13.819984957575798,0.0
109,1,0,0,24,26,0.8496373649686575,0.0
11,1,0,0,20,309,10.2645915588364,0.0
110,1,0,0,22,430,15.381488218903542,0.0
111,1,0,0,24,25,0.8396208835765719,0.0
112,1,0,0,16,512,17.346469866111875,0.0
113,1,0,0,20,325,12.112604355439544,0.0
114,1,0,0,22,21,0.6764861764386296,0.0
115,1,0,0,24,29,0.996036465279758,0.0
116,1,0,0,19,22,0.7154076443985105,0.0
117,1,0,0,22,466,16.077887346036732,0.0
118,1,0,0,23,403,13.281662970781326,0.0
119,1,0,0,19,496,17.251961363479495,0.0
12,1,0,0,19,338,11.883874980732799,0.0
120,1,0,0,21,438,14.440255144611001,0.0
121,1,0,0,19,311,10.224408804439008,0.0
122,1,0,0,25,27,0.8810812383890152,0.0
123,1,0,0,24,27,0.8828057087957859,0.0
124,1,0,0,20,343,11.226187537424266,0.0
125,1,0,0,18,221,7.256269121542573,0.0
13,1,0,0,18,506,18.155493252910674,0.0
14,1,0,0,22,22,0.7066691825166345,0.0
15,1,0,0,21,408,14.339244929142296,0.0
151,1,0,0,20,26,0.8540351921692491,0.0
152,1,0,0,22,363,12.756719093769789,0.0
153,1,0,0,24,27,0.8571970518678427,0.0
154,1,0,0,19,24,0.7946439338847995,0.0
155,1,0,0,23,27,1.0849042292684317,0.0
156,1,0,0,22,236,9.424011633731425,0.0
157,1,0,0,22,21,0.87063252273947,0.0
158,1,0,0,25,21,0.8695478262379766,0.0
159,1,0,0,24,21,0.9214744456112385,0.0
16,1,0,0,20,100,3.2383978441357613,0.0
160,1,0,0,27,103,4.280442077666521,0.0
161,1,0,0,22,424,15.225941830314696,0.0
162,1,0,0,21,30,1.197732850909233,0.0
163,1,0,0,21,26,0.8445810517296195,0.0
164,1,0,0,23,21,0.6592154782265425,0.0
165,1,0,0,20,300,9.734452195465565,0.0
166,1,0,0,21,23,0.9600397730246186,0.0
167,1,0,0,24,21,0.8965369984507561,0.0
168,1,0,0,21,21,0.6757681677117944,0.0
169,1,0,0,28,21,0.6825430979952216,0.0
17,1,0,0,19,168,5.404334076680243,0.0
170,1,0,0,26,474,15.685738597996533,0.0
171,1,0,0,26,27,0.8692919248715043,0.0
172,1,0,0,26,21,0.713083166629076,0.0
173,1,0,0,24,24,0.8428564378991723,0.0
174,1,0,0,25,21,0.6941467309370637,0.0
175,1,0,0,26,20,0.6661644540727139,0.0
18,1,0,0,19,22,0.7111296439543366,0.0
19,1,0,0,23,359,11.915234544314444,0.0
2,1,0,0,18,376,12.263623530976474,0.0
20,1,0,0,21,208,7.545353073626757,0.0
201,1,0,0,17,224,7.349437746219337,0.0
202,1,0,0,14,61,1.978916167281568,0.0
203,1,0,0,15,21,0.7037263624370098,0.0
204,1,0,0,15,209,6.9219901394099,0.0
205,1,0,0,19,30,1.0642297342419624,0.0
206,1,0,0,14,24,0.8094267034903169,0.0
207,1,0,0,15,25,0.8341997405514121,0.0
208,1,0,0,15,383,12.66001805383712,0.0
209,1,0,0,19,455,15.00806222949177,0.0
21,1,0,0,20,483,18.108584507368505,0.0
210,1,0,0,14,339,11.497733101248741,0.0
211,1,0,0,22,28,0.9919722490012646,0.0
212,1,0,0,20,21,0.7377991210669279,0.0
213,1,0,0,21,21,0.6902734767645597,0.0
214,1,0,0,22,21,0.6806447934359312,0.0
215,1,0,0,20,206,7.069579939357936,0.0
216,1,0,0,14,336,11.697909698821604,0.0
217,1,0,0,16,238,7.651933985762298,0.0
218,1,0,0,17,19,0.6358123170211911,0.0
219,1,0,0,18,19,0.6784328557550907,0.0
22,1,0,0,23,51,1.688290341757238,0.0
220,1,0,0,14,258,9.506826428696513,0.0
221,1,0,0,14,216,7.52310786396265,0.0
222,1,0,0,15,364,12.067306167446077,0.0
223,1,0,0,14,263,8.63079318124801,0.0
224,1,0,0,15,366,13.22253627050668,0.0
225,1,0,0,14,222,7.823454240337014,0.0
23,1,0,0,22,492,16.857824723236263,0.0
24,1,0,0,21,281,10.742269480600953,0.0
25,1,0,0,22,26,1.0864932956174016,0.0
251,1,0,0,18,29,0.9748063758015633,0.0
252,1,0,0,20,25,0.8225289648398757,0.0
253,1,0,0,19,67,2.168951006606221,0.0
254,1,0,0,21,22,0.686606795527041,0.0
255,1,0,0,23,52,1.7435086527839303,0.0
256,1,0,0,20,25,0.8944220962002873,0.0
257,1,0,0,18,70,2.876639130525291,0.0
258,1,0,0,17,126,4.276298854500055,0.0
259,1,0,0,18,61,2.0634920112788677,0.0
260,1,0,0,20,62,2.0629337430000305,0.0
261,1,0,0,22,162,6.212104448117316,0.0
262,1,0,0,20,122,4.04386065993458,0.0
263,1,0,0,19,24,0.8843577848747373,0.0
264,1,0,0,22,76,3.054488663561642,0.0
265,1,0,0,27,21,0.6787487175315619,0.0
266,1,0,0,24,63,2.038745899684727,0.0
267,1,0,0,22,74,2.440727887675166,0.0
268,1,0,0,19,24,0.7747974144294858,0.0
269,1,0,0,21,76,2.416145097464323,0.0
270,1,0,0,22,21,0.7081947233527899,0.0
271,1,0,0,24,28,0.9034749595448375,0.0
272,1,0,0,21,21,0.6792312664911151,0.0
273,1,0,0,23,78,3.033092526718974,0.0
274,1,0,0,25,71,2.467688450589776,0.0
275,1,0,0,22,86,2.780972819775343,0.0
276,1,0,0,18,108,3.4965407587587833,0.0
277,1,0,0,23,21,0.7100040717050433,0.0
278,1,0,0,19,136,4.4400110533460975,0.0
279,1,0,0,19,124,4.181907523423433,0.0
280,1,0,0,22,135,5.049609477631748,0.0
281,1,0,0,18,246,8.78289036732167,0.0
282,1,0,0,18,122,4.078547153621912,0.0
283,1,0,0,17,125,4.1533265840262175,0.0
284,1,0,0,23,206,6.663744393736124,0.0
285,1,0,0,24,21,0.6847380548715591,0.0
286,1,0,0,21,13,0.40288891177624464,0.0
287,1,0,0,18,89,2.8700550571084023,0.0
288,1,0,0,18,121,3.790057862177491,0.0
289,1,0,0,23,183,5.972517244517803,0.0
290,1,0,0,20,83,2.7435546759516,0.0
291,1,0,0,24,341,11.029044665396214,0.0
292,1,0,0,18,25,0.81138776242733,0.0
293,1,0,0,20,29,0.9551464188843966,0.0
294,1,0,0,20,99,3.210508493706584,0.0
295,1,0,0,21,117,3.8645621379837394,0.0
296,1,0,0,18,194,6.418542039580643,0.0
297,1,0,0,20,202,7.081856739707291,0.0
298,1,0,0,21,126,4.494104910641909,0.0
299,1,0,0,23,170,5.529399598017335,0.0
3,1,0,0,19,354,13.268767971545458,0.0
300,1,0,0,20,212,6.8837447902187705,0.0
326,1,0,0,21,396,13.912279271520674,0.0
327,1,0,0,21,25,0.7843143064528704,0.0
328,1,0,0,21,33,1.0982267409563065,0.0
329,1,0,0,18,396,13.216376293450594,0.0
330,1,0,0,25,417,14.120065417140722,0.0
331,1,0,0,18,512,16.950930467806756,0.0
332,1,0,0,20,24,0.8109835768118501,0.0
333,1,0,0,18,364,11.982348528690636,0.0
334,1,0,0,22,308,10.259072282351553,0.0
335,1,0,0,24,33,1.0943202544003725,0.0
336,1,0,0,24,341,11.783800307661295,0.0
337,1,0,0,23,25,0.792947318404913,0.0
338,1,0,0,16,21,0.6885642064735293,0.0
339,1,0,0,24,21,0.7019979106262326,0.0
340,1,0,0,23,418,14.426169593818486,0.0
341,1,0,0,17,36,1.279067306779325,0.0
342,1,0,0,16,80,3.0547538567334414,0.0
343,1,0,0,17,298,9.877003406174481,0.0
344,1,0,0,18,21,0.7195516806095839,0.0
345,1,0,0,17,307,10.652344966307282,0.0
346,1,0,0,20,512,16.646549025550485,0.0
347,1,0,0,23,273,9.664624257013202,0.0
348,1,0,0,20,512,17.357887912541628,0.0
349,1,0,0,25,506,16.73771744593978,0.0
350,1,0,0,25,512,17.323004497215152,0.0
376,1,0,0,19,23,0.7258918220177293,0.0
377,1,0,0,20,25,0.8290370116010308,0.0
378,1,0,0,19,41,1.5591194527223706,0.0
379,1,0,0,19,12,0.5378144653514028,0.0
380,1,0,0,17,146,5.0489026149734855,0.0
381,1,0,0,17,294,10.07584514748305,0.0
382,1,0,0,19,310,10.16907043941319,0.0
383,1,0,0,21,147,4.843117167241871,0.0
384,1,0,0,21,39,1.2537430105730891,0.0
385,1,0,0,19,269,9.749754157848656,0.0
386,1,0,0,22,190,7.585110982879996,0.0
387,1,0,0,20,25,1.0782095156610012,0.0
388,1,0,0,21,15,0.5540041858330369,0.0
389,1,0,0,16,15,0.5019477242603898,0.0
390,1,0,0,20,17,0.5783110167831182,0.0
391,1,0,0,24,19,0.6463924013078213,0.0
392,1,0,0,18,346,12.38253173418343,0.0
393,1,0,0,23,85,3.1779958494007587,0.0
394,1,0,0,20,228,8.258546669967473,0.0
395,1,0,0,18,416,13.616964001208544,0.0
396,1,0,0,21,25,0.8217526599764824,0.0
397,1,0,0,15,27,0.8838239628821611,0.0
398,1,0,0,18,97,3.177113023586571,0.0
399,1,0,0,19,94,3.4288670662790537,0.0
4,1,0,0,19,21,0.7192485211417079,0.0
400,1,0,0,19,205,8.164952604100108,0.0
401,1,0,0,19,46,1.589084249921143,0.0
402,1,0,0,26,26,0.8518394632264972,0.0
403,1,0,0,22,29,0.9863275578245521,0.0
404,1,0,0,19,21,0.6839964631944895,0.0
405,1,0,0,19,64,2.0831430228427052,0.0
406,1,0,0,18,43,1.4124186392873526,0.0
407,1,0,0,19,13,0.4498689901083708,0.0
408,1,0,0,19,29,0.9615078680217266,0.0
409,1,0,0,20,30,1.046981519088149,0.0
410,1,0,0,19,34,1.2267928067594767,0.0
411,1,0,0,18,24,0.797556028701365,0.0
412,1,0,0,18,22,0.7161210589110851,0.0
413,1,0,0,20,46,1.4991540042683482,0.0
414,1,0,0,18,116,3.927283076569438,0.0
415,1,0,0,18,40,1.269301719032228,0.0
416,1,0,0,22,134,4.3708145301789045,0.0
417,1,0,0,19,42,1.3530791876837611,0.0
