method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
DeepRefusal,intra,2,target,local,0,0,18,512,70.68667944241315
DeepRefusal,intra,3,target,local,0,0,19,269,35.292266813106835
DeepRefusal,intra,4,target,local,0,0,19,47,6.310987031087279
DeepRefusal,intra,5,target,local,0,0,20,387,61.68380789272487
DeepRefusal,intra,6,target,local,0,0,18,482,70.9066025102511
DeepRefusal,intra,7,target,local,0,0,19,394,58.78762991167605
DeepRefusal,intra,8,target,local,0,0,19,44,6.403130146674812
DeepRefusal,intra,9,target,local,0,0,22,495,78.21373517345637
DeepRefusal,intra,10,target,local,0,0,18,338,50.57977632153779
DeepRefusal,intra,11,target,local,0,0,20,37,6.706660001538694
DeepRefusal,intra,12,target,local,0,0,19,328,50.19546175003052
DeepRefusal,intra,13,target,local,0,0,18,349,54.09351893234998
DeepRefusal,intra,14,target,local,0,0,22,44,6.002295669168234
DeepRefusal,intra,15,target,local,0,0,21,512,76.60051565803587
DeepRefusal,intra,16,target,local,0,0,20,286,42.99873437080532
DeepRefusal,intra,17,target,local,0,0,19,149,18.19695307034999
DeepRefusal,intra,18,target,local,0,0,19,57,0.9754321919754148
DeepRefusal,intra,19,target,local,0,0,23,68,1.1536588054150343
DeepRefusal,intra,20,target,local,0,0,21,40,0.6877024453133345
DeepRefusal,intra,21,target,local,0,0,20,512,9.275340587832034
DeepRefusal,intra,22,target,local,0,0,23,45,0.7666658721864223
DeepRefusal,intra,23,target,local,0,0,22,384,7.159961169585586
DeepRefusal,intra,24,target,local,0,0,21,40,0.6915303850546479
DeepRefusal,intra,25,target,local,0,0,22,63,1.080867146141827
DeepRefusal,intra,51,target,local,0,0,21,333,6.558885600417852
DeepRefusal,intra,52,target,local,0,0,23,68,1.4274417059496045
DeepRefusal,intra,53,target,local,0,0,22,490,8.611762149259448
DeepRefusal,intra,54,target,local,0,0,20,350,6.683316849172115
DeepRefusal,intra,55,target,local,0,0,21,498,8.958057814277709
DeepRefusal,intra,56,target,local,0,0,22,297,5.984448651783168
DeepRefusal,intra,57,target,local,0,0,24,62,1.0442551141604781
DeepRefusal,intra,58,target,local,0,0,22,380,6.469107884913683
DeepRefusal,intra,59,target,local,0,0,18,51,0.8725554579868913
DeepRefusal,intra,60,target,local,0,0,22,53,0.9152679461985826
DeepRefusal,intra,61,target,local,0,0,20,46,0.8239011894911528
DeepRefusal,intra,62,target,local,0,0,23,512,8.878906186670065
