request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
10,1,0,0,18,338,50.57977632153779,0.0
101,1,0,0,21,48,0.8162850746884942,0.0
102,1,0,0,20,173,3.3958116276189685,0.0
103,1,0,0,21,180,3.0790323251858354,0.0
104,1,0,0,20,512,9.224452517926693,0.0
105,1,0,0,21,35,0.7273155767470598,0.0
106,1,0,0,20,56,1.1789874276146293,0.0
107,1,0,0,19,482,9.142418706789613,0.0
108,1,0,0,20,43,0.8840343719348311,0.0
109,1,0,0,24,237,4.601108037866652,0.0
11,1,0,0,20,37,6.706660001538694,0.0
110,1,0,0,22,469,8.365435156971216,0.0
111,1,0,0,24,316,6.1163842137902975,0.0
112,1,0,0,16,410,8.484304240904748,0.0
113,1,0,0,20,39,0.8186218934133649,0.0
114,1,0,0,22,379,7.2482904875651,0.0
115,1,0,0,24,49,0.8348728269338608,0.0
116,1,0,0,19,44,0.7602782249450684,0.0
117,1,0,0,22,48,0.8104183785617352,0.0
118,1,0,0,23,424,7.928674487397075,0.0
119,1,0,0,19,367,6.374593646265566,0.0
12,1,0,0,19,328,50.19546175003052,0.0
120,1,0,0,21,460,7.97209538333118,0.0
121,1,0,0,19,389,7.239762267097831,0.0
122,1,0,0,25,60,1.0141445687040687,0.0
123,1,0,0,24,59,0.993324663490057,0.0
124,1,0,0,20,395,6.848581206053495,0.0
125,1,0,0,18,211,3.6016320884227753,0.0
13,1,0,0,18,349,54.09351893234998,0.0
14,1,0,0,22,44,6.002295669168234,0.0
15,1,0,0,21,512,76.60051565803587,0.0
151,1,0,0,20,31,0.5174003168940544,0.0
152,1,0,0,22,44,0.7481062337756157,0.0
153,1,0,0,24,40,0.6835373658686876,0.0
154,1,0,0,19,51,0.9547076616436243,0.0
155,1,0,0,23,46,0.886601785197854,0.0
156,1,0,0,22,40,0.7767818886786699,0.0
157,1,0,0,22,46,0.9475872963666916,0.0
158,1,0,0,25,48,0.9928379198536277,0.0
159,1,0,0,24,79,1.441305711865425,0.0
16,1,0,0,20,286,42.99873437080532,0.0
160,1,0,0,27,29,0.49764624051749706,0.0
161,1,0,0,22,366,6.315267409197986,0.0
162,1,0,0,21,59,0.9973759604617953,0.0
163,1,0,0,21,54,0.9187430115416646,0.0
164,1,0,0,23,42,0.7112846821546555,0.0
165,1,0,0,20,57,0.9694752302020788,0.0
166,1,0,0,21,45,0.7663793954998255,0.0
167,1,0,0,24,56,0.950436738319695,0.0
168,1,0,0,21,60,1.022328782826662,0.0
169,1,0,0,28,70,1.240527612157166,0.0
17,1,0,0,19,149,18.19695307034999,0.0
170,1,0,0,26,505,9.31478802766651,0.0
171,1,0,0,26,44,0.7463401900604367,0.0
172,1,0,0,26,67,1.2932940451428294,0.0
173,1,0,0,24,410,7.075378648005426,0.0
174,1,0,0,25,52,0.8772708531469107,0.0
175,1,0,0,26,73,1.3396926317363977,0.0
18,1,0,0,19,57,0.9754321919754148,0.0
19,1,0,0,23,68,1.1536588054150343,0.0
2,1,0,0,18,512,70.68667944241315,0.0
20,1,0,0,21,40,0.6877024453133345,0.0
201,1,0,0,17,56,1.1609013052657247,0.0
202,1,0,0,14,66,1.3513413546606898,0.0
203,1,0,0,15,33,0.6457574032247066,0.0
204,1,0,0,15,57,1.1729300189763308,0.0
205,1,0,0,19,59,1.3089082948863506,0.0
206,1,0,0,14,62,1.0921491952612996,0.0
207,1,0,0,15,66,1.2204573499038815,0.0
208,1,0,0,15,50,1.01614741794765,0.0
209,1,0,0,19,93,1.6576913483440876,0.0
21,1,0,0,20,512,9.275340587832034,0.0
210,1,0,0,14,262,5.104501464404166,0.0
211,1,0,0,22,63,1.0748189194127917,0.0
212,1,0,0,20,54,0.9170226436108351,0.0
213,1,0,0,21,59,1.019225667230785,0.0
214,1,0,0,22,63,1.1576156998053193,0.0
215,1,0,0,20,192,3.902854253537953,0.0
216,1,0,0,14,59,1.003736162558198,0.0
217,1,0,0,16,52,0.9236971139907837,0.0
218,1,0,0,17,61,1.0205352250486612,0.0
219,1,0,0,18,59,1.0002069445326924,0.0
22,1,0,0,23,45,0.7666658721864223,0.0
220,1,0,0,14,36,0.6036848928779364,0.0
221,1,0,0,14,173,3.3640300603583455,0.0
222,1,0,0,15,151,2.8821294475346804,0.0
223,1,0,0,14,167,2.8711098479107022,0.0
224,1,0,0,15,217,3.7338957907631993,0.0
225,1,0,0,14,178,3.0526247331872582,0.0
23,1,0,0,22,384,7.159961169585586,0.0
24,1,0,0,21,40,0.6915303850546479,0.0
25,1,0,0,22,63,1.080867146141827,0.0
251,1,0,0,18,46,0.7660756688565016,0.0
252,1,0,0,20,357,6.614688916131854,0.0
253,1,0,0,19,40,0.6770576471462846,0.0
254,1,0,0,21,44,0.7555151749402285,0.0
255,1,0,0,23,39,0.6686704959720373,0.0
256,1,0,0,20,48,0.8982640532776713,0.0
257,1,0,0,18,54,1.1129637360572815,0.0
258,1,0,0,17,232,4.855337743647397,0.0
259,1,0,0,18,41,0.8420908562839031,0.0
260,1,0,0,20,44,0.9780668476596475,0.0
261,1,0,0,22,257,5.12665219604969,0.0
262,1,0,0,20,61,1.0503627294674516,0.0
263,1,0,0,19,40,0.6707715895026922,0.0
264,1,0,0,22,37,0.638969311490655,0.0
265,1,0,0,27,46,0.8427972076460719,0.0
266,1,0,0,24,273,5.149147316813469,0.0
267,1,0,0,22,49,1.0135086355730891,0.0
268,1,0,0,19,33,0.570648055523634,0.0
269,1,0,0,21,48,0.8270554486662149,0.0
270,1,0,0,22,44,0.7388786682859063,0.0
271,1,0,0,24,45,0.7614771109074354,0.0
272,1,0,0,21,59,1.0040695173665881,0.0
273,1,0,0,23,47,0.7895104503259063,0.0
274,1,0,0,25,236,4.641532244160771,0.0
275,1,0,0,22,197,3.4644092340022326,0.0
276,1,0,0,18,36,0.614533806219697,0.0
277,1,0,0,23,53,0.9183494923636317,0.0
278,1,0,0,19,58,1.006646603345871,0.0
279,1,0,0,19,32,0.5448592621833086,0.0
280,1,0,0,22,46,0.8092931183055043,0.0
281,1,0,0,18,67,1.1521300207823515,0.0
282,1,0,0,18,228,4.38497222494334,0.0
283,1,0,0,17,53,1.0819396441802382,0.0
284,1,0,0,23,72,1.309420413337648,0.0
285,1,0,0,24,34,0.7037296006456017,0.0
286,1,0,0,21,58,1.2149704555049539,0.0
287,1,0,0,18,36,0.7546843690797687,0.0
288,1,0,0,18,122,2.2107145683839917,0.0
289,1,0,0,23,41,0.701147030107677,0.0
290,1,0,0,20,30,0.5079266196116805,0.0
291,1,0,0,24,343,5.822293764911592,0.0
292,1,0,0,18,53,0.8899765852838755,0.0
293,1,0,0,20,47,0.8033945662900805,0.0
294,1,0,0,20,39,0.6645098645240068,0.0
295,1,0,0,21,123,2.2213222440332174,0.0
296,1,0,0,18,51,0.8800057983025908,0.0
297,1,0,0,20,51,0.8513344284147024,0.0
298,1,0,0,21,58,0.9734321478754282,0.0
299,1,0,0,23,169,3.113663907162845,0.0
3,1,0,0,19,269,35.292266813106835,0.0
300,1,0,0,20,296,5.6568989884108305,0.0
326,1,0,0,21,436,7.561740104109049,0.0
327,1,0,0,21,56,0.9547233395278454,0.0
328,1,0,0,21,66,1.1721597043797374,0.0
329,1,0,0,18,360,6.130441184155643,0.0
330,1,0,0,25,360,7.41845359839499,0.0
331,1,0,0,18,448,8.285779133439064,0.0
332,1,0,0,20,64,1.0856939181685448,0.0
333,1,0,0,18,384,6.573651080019772,0.0
334,1,0,0,22,32,0.5617388607934117,0.0
335,1,0,0,24,37,0.621009643189609,0.0
336,1,0,0,24,416,7.195049721747637,0.0
337,1,0,0,23,49,0.8612161353230476,0.0
338,1,0,0,16,47,0.8052510926499963,0.0
339,1,0,0,24,53,1.0416381871327758,0.0
340,1,0,0,23,56,1.1646034335717559,0.0
341,1,0,0,17,32,0.6640605265274644,0.0
342,1,0,0,16,102,1.9598723147064447,0.0
343,1,0,0,17,131,2.8173743318766356,0.0
344,1,0,0,18,51,0.9049190869554877,0.0
345,1,0,0,17,198,3.799118209630251,0.0
346,1,0,0,20,64,1.2695912029594183,0.0
347,1,0,0,23,390,8.203138486482203,0.0
348,1,0,0,20,425,7.369466588832438,0.0
349,1,0,0,25,512,9.515823584981263,0.0
350,1,0,0,25,54,0.9187473263591528,0.0
376,1,0,0,19,23,0.3954669991508126,0.0
377,1,0,0,20,34,0.5768338423222303,0.0
378,1,0,0,19,46,0.7815710427239537,0.0
379,1,0,0,19,12,0.220989222638309,0.0
380,1,0,0,17,278,5.690059042535722,0.0
381,1,0,0,17,263,4.834290677681565,0.0
382,1,0,0,19,33,0.7240137616172433,0.0
383,1,0,0,21,38,0.8019943190738559,0.0
384,1,0,0,21,42,0.7610895540565252,0.0
