request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
0,1,0,0,25,512,8.56772599555552,0.0
10,1,0,0,25,512,8.604142013005912,0.0
101,1,0,0,24,401,6.743292708881199,0.0
105,1,0,0,30,40,0.6711328262463212,0.0
106,1,0,0,20,512,9.152440237812698,0.0
110,1,0,0,27,512,8.906798779964447,0.0
111,1,0,0,17,169,2.8281078906729817,0.0
113,1,0,0,29,224,3.7656714767217636,0.0
119,1,0,0,25,315,5.311565236188471,0.0
12,1,0,0,24,295,4.923810415901244,0.0
129,1,0,0,26,40,0.6631526984274387,0.0
134,1,0,0,23,40,0.6650789007544518,0.0
135,1,0,0,19,237,3.9538924489170313,0.0
136,1,0,0,21,512,8.57318158634007,0.0
146,1,0,0,33,40,0.666887522675097,0.0
148,1,0,0,21,511,8.533091022633016,0.0
151,1,0,0,138,85,1.4337817691266537,0.0
154,1,0,0,21,512,8.597957225516438,0.0
159,1,0,0,20,30,0.49718236178159714,0.0
166,1,0,0,25,40,0.6683842716738582,0.0
168,1,0,0,20,512,8.623603713698685,0.0
171,1,0,0,40,469,7.88280067127198,0.0
177,1,0,0,19,373,6.741158405318856,0.0
18,1,0,0,19,512,8.61023283097893,0.0
181,1,0,0,24,40,0.6679360382258892,0.0
187,1,0,0,34,40,0.665253035724163,0.0
189,1,0,0,33,512,8.579694057814777,0.0
195,1,0,0,21,346,5.766084499657154,0.0
199,1,0,0,19,64,1.05871756747365,0.0
203,1,0,0,18,65,1.0805322360247374,0.0
207,1,0,0,19,372,6.239426588639617,0.0
208,1,0,0,15,34,0.5649461392313242,0.0
210,1,0,0,25,512,8.668591594323516,0.0
216,1,0,0,16,26,0.43371132016181946,0.0
219,1,0,0,39,36,0.5979780526831746,0.0
22,1,0,0,16,298,4.986201460473239,0.0
221,1,0,0,16,173,2.876110227778554,0.0
222,1,0,0,30,40,0.6650989735499024,0.0
230,1,0,0,48,335,5.619125212542713,0.0
232,1,0,0,17,447,7.474922737106681,0.0
246,1,0,0,35,445,7.445022356696427,0.0
247,1,0,0,19,306,5.106957880780101,0.0
250,1,0,0,26,40,0.6691620424389839,0.0
253,1,0,0,19,455,7.683944733813405,0.0
254,1,0,0,34,71,1.1821348499506712,0.0
257,1,0,0,35,61,1.0230756411328912,0.0
26,1,0,0,19,484,8.098040678538382,0.0
260,1,0,0,30,512,8.600400145165622,0.0
265,1,0,0,21,40,0.6643895488232374,0.0
267,1,0,0,26,512,8.621859975159168,0.0
277,1,0,0,54,113,1.9017869336530566,0.0
281,1,0,0,22,254,4.244124626740813,0.0
287,1,0,0,24,502,8.448033248074353,0.0
288,1,0,0,28,97,1.6279725031927228,0.0
289,1,0,0,32,366,6.135510937310755,0.0
295,1,0,0,32,323,5.4021055065095425,0.0
299,1,0,0,40,167,2.77961462456733,0.0
30,1,0,0,19,512,8.566405697725713,0.0
303,1,0,0,50,397,6.632582549005747,0.0
308,1,0,0,34,512,8.571253515779972,0.0
31,1,0,0,19,370,6.620979226194322,0.0
313,1,0,0,247,394,7.181539545767009,0.0
317,1,0,0,25,342,5.7414159793406725,0.0
322,1,0,0,27,480,8.515264008194208,0.0
324,1,0,0,26,31,0.5147445518523455,0.0
33,1,0,0,14,381,6.3674180675297976,0.0
330,1,0,0,25,204,3.4161100517958403,0.0
