method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
ReFAT,intra,0,refat_decode,local,0,0,25,414,14.046380581334233
ReFAT,intra,4,refat_decode,local,0,0,18,466,15.35332515090704
ReFAT,intra,10,refat_decode,local,0,0,25,306,10.8959239423275
ReFAT,intra,12,refat_decode,local,0,0,24,84,2.690132424235344
ReFAT,intra,18,refat_decode,local,0,0,19,226,7.253191391937435
ReFAT,intra,22,refat_decode,local,0,0,16,95,3.101537896320224
ReFAT,intra,26,refat_decode,local,0,0,19,481,15.327449241653085
ReFAT,intra,30,refat_decode,local,0,0,19,437,14.529531727544963
ReFAT,intra,31,refat_decode,local,0,0,19,318,10.214050931856036
ReFAT,intra,33,refat_decode,local,0,0,14,319,10.176158653572202
ReFAT,intra,39,refat_decode,local,0,0,19,368,11.747869160026312
ReFAT,intra,42,refat_decode,local,0,0,19,243,7.705641482025385
ReFAT,intra,44,refat_decode,local,0,0,23,338,11.358868971467018
ReFAT,intra,45,refat_decode,local,0,0,20,56,1.7781108478084207
ReFAT,intra,55,refat_decode,local,0,0,25,507,15.955202981829643
ReFAT,intra,66,refat_decode,local,0,0,23,409,13.812269929796457
ReFAT,intra,67,refat_decode,local,0,0,22,353,11.86685409490019
ReFAT,intra,70,refat_decode,local,0,0,33,295,9.68966566119343
ReFAT,intra,76,refat_decode,local,0,0,28,512,17.22617018222809
ReFAT,intra,77,refat_decode,local,0,0,19,198,6.136281721293926
ReFAT,intra,78,refat_decode,local,0,0,32,509,16.826432730071247
ReFAT,intra,84,refat_decode,local,0,0,20,269,8.407852315343916
ReFAT,intra,89,refat_decode,local,0,0,35,512,16.866811104118824
ReFAT,intra,93,refat_decode,local,0,0,23,306,10.789617371745408
ReFAT,intra,97,refat_decode,local,0,0,17,225,7.501330661587417
ReFAT,intra,101,refat_decode,local,0,0,24,226,7.188972436822951
ReFAT,intra,105,refat_decode,local,0,0,30,39,1.2300942968577147
ReFAT,intra,106,refat_decode,local,0,0,20,512,17.26733406446874
ReFAT,intra,110,refat_decode,local,0,0,27,491,16.624528960324824
ReFAT,intra,111,refat_decode,local,0,0,17,110,3.562651814892888
ReFAT,intra,113,refat_decode,local,0,0,29,88,2.9155878191813827
ReFAT,intra,119,refat_decode,local,0,0,25,263,8.66158945672214
ReFAT,intra,129,refat_decode,local,0,0,26,410,13.591899644583464
ReFAT,intra,134,refat_decode,local,0,0,23,73,2.431935153901577
ReFAT,intra,135,refat_decode,local,0,0,19,136,4.337173725478351
ReFAT,intra,136,refat_decode,local,0,0,21,501,17.609682321548462
ReFAT,intra,146,refat_decode,local,0,0,33,40,1.353489457629621
ReFAT,intra,148,refat_decode,local,0,0,21,397,14.776751085184515
ReFAT,intra,151,refat_decode,local,0,0,138,109,3.5218002488836646
ReFAT,intra,154,refat_decode,local,0,0,21,512,17.412612548097968
ReFAT,intra,159,refat_decode,local,0,0,20,30,0.9478812105953693
ReFAT,intra,166,refat_decode,local,0,0,25,40,1.2610107026994228
ReFAT,intra,168,refat_decode,local,0,0,20,512,17.505178880877793
ReFAT,intra,171,refat_decode,local,0,0,40,512,17.395452050492167
ReFAT,intra,177,refat_decode,local,0,0,19,170,5.5597650883719325
ReFAT,intra,181,refat_decode,local,0,0,24,36,1.13507788348943
ReFAT,intra,187,refat_decode,local,0,0,34,512,17.5420805728063
ReFAT,intra,189,refat_decode,local,0,0,33,468,15.955631938762963
ReFAT,intra,195,refat_decode,local,0,0,21,34,1.4284202009439468
ReFAT,intra,199,refat_decode,local,0,0,19,64,2.14488210901618
ReFAT,intra,203,refat_decode,local,0,0,18,67,2.37306927703321
ReFAT,intra,207,refat_decode,local,0,0,19,291,10.402945838868618
ReFAT,intra,208,refat_decode,local,0,0,15,16,0.5049588456749916
ReFAT,intra,210,refat_decode,local,0,0,25,512,17.661279428750277
ReFAT,intra,216,refat_decode,local,0,0,16,11,0.3619894841685891
ReFAT,intra,219,refat_decode,local,0,0,39,52,1.722265100106597
ReFAT,intra,221,refat_decode,local,0,0,16,60,1.9522938402369618
ReFAT,intra,222,refat_decode,local,0,0,30,200,6.37801209371537
ReFAT,intra,230,refat_decode,local,0,0,48,144,4.617082981392741
ReFAT,intra,232,refat_decode,local,0,0,17,415,13.43133330438286
ReFAT,intra,246,refat_decode,local,0,0,35,252,8.357082943432033
ReFAT,intra,247,refat_decode,local,0,0,19,69,2.2516247238963842
ReFAT,intra,250,refat_decode,local,0,0,26,321,10.30754029750824
ReFAT,intra,253,refat_decode,local,0,0,19,211,6.819110321812332
ReFAT,intra,254,refat_decode,local,0,0,34,41,1.3391742259263992
ReFAT,intra,257,refat_decode,local,0,0,35,60,1.9356577824801207
ReFAT,intra,260,refat_decode,local,0,0,30,271,9.864794288761914
ReFAT,intra,265,refat_decode,local,0,0,21,40,1.6840807385742664
ReFAT,intra,267,refat_decode,local,0,0,26,512,16.890104008838534
ReFAT,intra,277,refat_decode,local,0,0,54,31,1.307370095513761
ReFAT,intra,281,refat_decode,local,0,0,22,140,4.925242067314684
ReFAT,intra,287,refat_decode,local,0,0,24,512,17.56843852996826
ReFAT,intra,288,refat_decode,local,0,0,28,90,3.0055120224133134
ReFAT,intra,289,refat_decode,local,0,0,32,403,15.065593807026744
ReFAT,intra,295,refat_decode,local,0,0,32,512,17.591978883370757
ReFAT,intra,299,refat_decode,local,0,0,40,343,12.403191423043609
ReFAT,intra,303,refat_decode,local,0,0,50,345,11.095419423654675
ReFAT,intra,308,refat_decode,local,0,0,34,465,14.669482256285846
ReFAT,intra,313,refat_decode,local,0,0,247,226,7.216679450124502
ReFAT,intra,317,refat_decode,local,0,0,25,299,9.456272162497044
ReFAT,intra,322,refat_decode,local,0,0,27,330,10.406407464295626
ReFAT,intra,324,refat_decode,local,0,0,26,132,4.080761329270899
ReFAT,intra,330,refat_decode,local,0,0,25,52,1.6961439717561007
ReFAT,intra,343,refat_decode,local,0,0,29,45,1.43884112033993
ReFAT,intra,344,refat_decode,local,0,0,57,68,2.185443166643381
ReFAT,intra,346,refat_decode,local,0,0,34,22,0.6936628129333258
ReFAT,intra,347,refat_decode,local,0,0,20,299,9.576628187671304
ReFAT,intra,349,refat_decode,local,0,0,94,26,0.8373816944658756
ReFAT,intra,357,refat_decode,local,0,0,26,502,15.866909340955317
ReFAT,intra,358,refat_decode,local,0,0,33,10,0.36247193068265915
ReFAT,intra,360,refat_decode,local,0,0,44,64,2.0034722546115518
ReFAT,intra,368,refat_decode,local,0,0,29,512,16.436016504652798
ReFAT,intra,375,refat_decode,local,0,0,45,17,0.5388932898640633
ReFAT,intra,381,refat_decode,local,0,0,32,11,0.3651317059993744
ReFAT,intra,384,refat_decode,local,0,0,41,13,0.4340162891894579
ReFAT,intra,387,refat_decode,local,0,0,23,407,13.145726880989969
ReFAT,intra,388,refat_decode,local,0,0,21,104,3.347518322058022
ReFAT,intra,398,refat_decode,local,0,0,34,339,10.804447397589684
ReFAT,intra,399,refat_decode,local,0,0,25,421,13.613424108363688
ReFAT,intra,405,refat_decode,local,0,0,31,458,16.342285963706672
ReFAT,intra,407,refat_decode,local,0,0,26,307,10.035297934897244
