request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
0,1,0,0,25,414,14.046380581334233,0.0
10,1,0,0,25,306,10.8959239423275,0.0
101,1,0,0,24,226,7.188972436822951,0.0
105,1,0,0,30,39,1.2300942968577147,0.0
106,1,0,0,20,512,17.26733406446874,0.0
110,1,0,0,27,491,16.624528960324824,0.0
111,1,0,0,17,110,3.562651814892888,0.0
113,1,0,0,29,88,2.9155878191813827,0.0
119,1,0,0,25,263,8.66158945672214,0.0
12,1,0,0,24,84,2.690132424235344,0.0
129,1,0,0,26,410,13.591899644583464,0.0
134,1,0,0,23,73,2.431935153901577,0.0
135,1,0,0,19,136,4.337173725478351,0.0
136,1,0,0,21,501,17.609682321548462,0.0
146,1,0,0,33,40,1.353489457629621,0.0
148,1,0,0,21,397,14.776751085184515,0.0
151,1,0,0,138,109,3.5218002488836646,0.0
154,1,0,0,21,512,17.412612548097968,0.0
159,1,0,0,20,30,0.9478812105953693,0.0
166,1,0,0,25,40,1.2610107026994228,0.0
168,1,0,0,20,512,17.505178880877793,0.0
171,1,0,0,40,512,17.395452050492167,0.0
177,1,0,0,19,170,5.5597650883719325,0.0
18,1,0,0,19,226,7.253191391937435,0.0
181,1,0,0,24,36,1.13507788348943,0.0
187,1,0,0,34,512,17.5420805728063,0.0
189,1,0,0,33,468,15.955631938762963,0.0
195,1,0,0,21,34,1.4284202009439468,0.0
199,1,0,0,19,64,2.14488210901618,0.0
203,1,0,0,18,67,2.37306927703321,0.0
207,1,0,0,19,291,10.402945838868618,0.0
208,1,0,0,15,16,0.5049588456749916,0.0
210,1,0,0,25,512,17.661279428750277,0.0
216,1,0,0,16,11,0.3619894841685891,0.0
219,1,0,0,39,52,1.722265100106597,0.0
22,1,0,0,16,95,3.101537896320224,0.0
221,1,0,0,16,60,1.9522938402369618,0.0
222,1,0,0,30,200,6.37801209371537,0.0
230,1,0,0,48,144,4.617082981392741,0.0
232,1,0,0,17,415,13.43133330438286,0.0
246,1,0,0,35,252,8.357082943432033,0.0
247,1,0,0,19,69,2.2516247238963842,0.0
250,1,0,0,26,321,10.30754029750824,0.0
253,1,0,0,19,211,6.819110321812332,0.0
254,1,0,0,34,41,1.3391742259263992,0.0
257,1,0,0,35,60,1.9356577824801207,0.0
26,1,0,0,19,481,15.327449241653085,0.0
260,1,0,0,30,271,9.864794288761914,0.0
265,1,0,0,21,40,1.6840807385742664,0.0
267,1,0,0,26,512,16.890104008838534,0.0
277,1,0,0,54,31,1.307370095513761,0.0
281,1,0,0,22,140,4.925242067314684,0.0
287,1,0,0,24,512,17.56843852996826,0.0
288,1,0,0,28,90,3.0055120224133134,0.0
289,1,0,0,32,403,15.065593807026744,0.0
295,1,0,0,32,512,17.591978883370757,0.0
299,1,0,0,40,343,12.403191423043609,0.0
30,1,0,0,19,437,14.529531727544963,0.0
303,1,0,0,50,345,11.095419423654675,0.0
308,1,0,0,34,465,14.669482256285846,0.0
31,1,0,0,19,318,10.214050931856036,0.0
313,1,0,0,247,226,7.216679450124502,0.0
317,1,0,0,25,299,9.456272162497044,0.0
322,1,0,0,27,330,10.406407464295626,0.0
324,1,0,0,26,132,4.080761329270899,0.0
33,1,0,0,14,319,10.176158653572202,0.0
330,1,0,0,25,52,1.6961439717561007,0.0
343,1,0,0,29,45,1.43884112033993,0.0
344,1,0,0,57,68,2.185443166643381,0.0
346,1,0,0,34,22,0.6936628129333258,0.0
347,1,0,0,20,299,9.576628187671304,0.0
349,1,0,0,94,26,0.8373816944658756,0.0
357,1,0,0,26,502,15.866909340955317,0.0
358,1,0,0,33,10,0.36247193068265915,0.0
360,1,0,0,44,64,2.0034722546115518,0.0
368,1,0,0,29,512,16.436016504652798,0.0
375,1,0,0,45,17,0.5388932898640633,0.0
381,1,0,0,32,11,0.3651317059993744,0.0
384,1,0,0,41,13,0.4340162891894579,0.0
387,1,0,0,23,407,13.145726880989969,0.0
388,1,0,0,21,104,3.347518322058022,0.0
39,1,0,0,19,368,11.747869160026312,0.0
398,1,0,0,34,339,10.804447397589684,0.0
399,1,0,0,25,421,13.613424108363688,0.0
4,1,0,0,18,466,15.35332515090704,0.0
405,1,0,0,31,458,16.342285963706672,0.0
407,1,0,0,26,307,10.035297934897244,0.0
413,1,0,0,41,335,10.802516153082252,0.0
414,1,0,0,39,375,12.148083040490746,0.0
417,1,0,0,40,512,17.46407713368535,0.0
418,1,0,0,45,232,7.579885977320373,0.0
42,1,0,0,19,243,7.705641482025385,0.0
425,1,0,0,27,326,10.599910797551274,0.0
426,1,0,0,36,482,15.442208731546998,0.0
427,1,0,0,80,73,2.442456644028425,0.0
429,1,0,0,31,269,9.431073708459735,0.0
437,1,0,0,71,353,12.334956899285316,0.0
44,1,0,0,23,338,11.358868971467018,0.0
442,1,0,0,35,357,12.79498210735619,0.0
444,1,0,0,23,394,13.372424000874162,0.0
445,1,0,0,33,225,7.294110002927482,0.0
45,1,0,0,20,56,1.7781108478084207,0.0
450,1,0,0,23,462,17.381317161023617,0.0
453,1,0,0,20,512,17.2485687173903,0.0
462,1,0,0,70,512,16.413445160724223,0.0
465,1,0,0,22,512,18.85230127815157,0.0
466,1,0,0,27,291,9.3862788612023,0.0
476,1,0,0,37,455,14.587632135488093,0.0
477,1,0,0,20,426,14.101583134382963,0.0
479,1,0,0,31,257,8.269366058520973,0.0
480,1,0,0,175,55,1.823989126831293,0.0
483,1,0,0,42,40,1.261537934653461,0.0
493,1,0,0,32,428,13.630129164084792,0.0
495,1,0,0,33,396,12.81803029589355,0.0
496,1,0,0,33,500,16.097278816625476,0.0
497,1,0,0,106,353,11.533764484338462,0.0
498,1,0,0,53,61,1.9941083630546927,0.0
510,1,0,0,21,42,1.39075299911201,0.0
512,1,0,0,29,74,2.4927789475768805,0.0
513,1,0,0,19,53,1.7070241449400783,0.0
517,1,0,0,21,413,13.379740375094116,0.0
524,1,0,0,26,447,15.59953609853983,0.0
528,1,0,0,20,378,12.966793991625309,0.0
529,1,0,0,23,396,14.376354143954813,0.0
531,1,0,0,39,512,16.695348690263927,0.0
533,1,0,0,25,436,15.641825779341161,0.0
539,1,0,0,24,344,11.87770369835198,0.0
546,1,0,0,36,352,11.500495633110404,0.0
549,1,0,0,24,114,3.7387455850839615,0.0
55,1,0,0,25,507,15.955202981829643,0.0
564,1,0,0,24,156,5.057688408531249,0.0
568,1,0,0,45,464,15.846481601707637,0.0
572,1,0,0,33,398,13.728384501300752,0.0
577,1,0,0,52,194,6.429336776956916,0.0
584,1,0,0,22,480,15.626915549859405,0.0
585,1,0,0,24,261,8.731707024388015,0.0
593,1,0,0,16,210,6.944352701306343,0.0
595,1,0,0,36,40,1.3001824403181672,0.0
600,1,0,0,25,22,0.7404521638527513,0.0
602,1,0,0,27,102,3.405936653725803,0.0
605,1,0,0,88,71,2.4183289613574743,0.0
606,1,0,0,38,187,6.213432867079973,0.0
612,1,0,0,28,335,11.145904988981783,0.0
613,1,0,0,21,374,12.60755911655724,0.0
616,1,0,0,43,469,17.91654623299837,0.0
623,1,0,0,47,345,13.811431910842657,0.0
631,1,0,0,54,181,6.3159239161759615,0.0
635,1,0,0,33,512,17.06102312915027,0.0
638,1,0,0,41,512,16.814425165764987,0.0
641,1,0,0,17,294,9.712164452299476,0.0
646,1,0,0,18,368,12.117021625861526,0.0
649,1,0,0,25,346,11.24141953419894,0.0
650,1,0,0,80,512,17.23308555688709,0.0
651,1,0,0,20,296,10.882031995803118,0.0
652,1,0,0,20,310,10.485180551186204,0.0
653,1,0,0,29,416,13.655351920984685,0.0
654,1,0,0,21,220,8.209008803591132,0.0
657,1,0,0,22,505,17.412703035399318,0.0
658,1,0,0,78,334,11.49431659374386,0.0
659,1,0,0,23,392,14.108051680028439,0.0
66,1,0,0,23,409,13.812269929796457,0.0
669,1,0,0,26,286,9.530743338167667,0.0
67,1,0,0,22,353,11.86685409490019,0.0
670,1,0,0,21,512,17.173432641662657,0.0
676,1,0,0,25,454,16.479724836535752,0.0
686,1,0,0,35,159,5.036908760666847,0.0
698,1,0,0,26,390,12.602698707953095,0.0
70,1,0,0,33,295,9.68966566119343,0.0
701,1,0,0,44,329,11.262051042169333,0.0
706,1,0,0,17,206,6.7567127868533134,0.0
709,1,0,0,22,269,9.430330312810838,0.0
715,1,0,0,70,311,10.131434503011405,0.0
717,1,0,0,23,365,11.783507800661027,0.0
720,1,0,0,32,480,16.195311550050974,0.0
724,1,0,0,32,195,6.3651611767709255,0.0
730,1,0,0,42,85,2.837834572419524,0.0
732,1,0,0,82,370,12.027087986469269,0.0
738,1,0,0,49,113,4.334660186432302,0.0
742,1,0,0,32,210,8.283630184829235,0.0
748,1,0,0,62,123,3.951034577563405,0.0
750,1,0,0,45,146,6.0909131821244955,0.0
751,1,0,0,58,60,2.3584043588489294,0.0
753,1,0,0,32,120,3.893756188452244,0.0
755,1,0,0,31,333,11.290239793248475,0.0
76,1,0,0,28,512,17.22617018222809,0.0
760,1,0,0,37,324,10.988300386816263,0.0
765,1,0,0,38,449,15.462945086881518,0.0
769,1,0,0,28,223,7.384307502768934,0.0
77,1,0,0,19,198,6.136281721293926,0.0
775,1,0,0,271,15,0.5319276433438063,0.0
78,1,0,0,32,509,16.826432730071247,0.0
781,1,0,0,53,220,7.201204987242818,0.0
787,1,0,0,46,512,17.3101687990129,0.0
788,1,0,0,42,280,9.544919210486114,0.0
790,1,0,0,38,512,18.834560194052756,0.0
793,1,0,0,63,512,16.890440388582647,0.0
84,1,0,0,20,269,8.407852315343916,0.0
89,1,0,0,35,512,16.866811104118824,0.0
93,1,0,0,23,306,10.789617371745408,0.0
97,1,0,0,17,225,7.501330661587417,0.0
