method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
ReFAT,intra,1,refat_decode,local,0,0,18,273,8.524265577085316
ReFAT,intra,2,refat_decode,local,0,0,18,224,7.0385203789919615
ReFAT,intra,3,refat_decode,local,0,0,19,300,9.479955761693418
ReFAT,intra,4,refat_decode,local,0,0,19,454,14.281939228996634
ReFAT,intra,5,refat_decode,local,0,0,20,272,9.01285697054118
ReFAT,intra,6,refat_decode,local,0,0,18,463,14.841740894131362
ReFAT,intra,7,refat_decode,local,0,0,19,387,12.254685030318797
ReFAT,intra,8,refat_decode,local,0,0,19,454,14.383293740451336
ReFAT,intra,9,refat_decode,local,0,0,22,306,9.751718807034194
ReFAT,intra,10,refat_decode,local,0,0,18,164,5.141274027526379
ReFAT,intra,11,refat_decode,local,0,0,20,264,8.319609519094229
ReFAT,intra,12,refat_decode,local,0,0,19,344,10.85793043486774
ReFAT,intra,13,refat_decode,local,0,0,18,412,13.445786158554256
ReFAT,intra,14,refat_decode,local,0,0,22,36,1.1043924074620008
ReFAT,intra,15,refat_decode,local,0,0,21,384,12.130634689703584
ReFAT,intra,16,refat_decode,local,0,0,20,346,10.909402410499752
ReFAT,intra,17,refat_decode,local,0,0,19,176,5.655584481544793
ReFAT,intra,18,refat_decode,local,0,0,19,512,16.808513594791293
ReFAT,intra,19,refat_decode,local,0,0,23,402,13.797492710873485
ReFAT,intra,20,refat_decode,local,0,0,21,292,11.588604230433702
ReFAT,intra,21,refat_decode,local,0,0,20,397,12.484043730422854
ReFAT,intra,22,refat_decode,local,0,0,23,108,3.431092046201229
ReFAT,intra,23,refat_decode,local,0,0,22,342,10.777158255688846
ReFAT,intra,24,refat_decode,local,0,0,21,512,16.154625484719872
ReFAT,intra,25,refat_decode,local,0,0,22,469,15.674379986710846
ReFAT,intra,51,refat_decode,local,0,0,21,354,11.805639296770096
ReFAT,intra,52,refat_decode,local,0,0,23,51,1.5851066820323467
ReFAT,intra,53,refat_decode,local,0,0,22,402,12.650413203053176
ReFAT,intra,54,refat_decode,local,0,0,20,54,1.7606846010312438
ReFAT,intra,55,refat_decode,local,0,0,21,373,11.755574057810009
ReFAT,intra,56,refat_decode,local,0,0,22,146,4.582763790152967
ReFAT,intra,57,refat_decode,local,0,0,24,293,9.18048566672951
ReFAT,intra,58,refat_decode,local,0,0,22,344,10.854474246501923
ReFAT,intra,59,refat_decode,local,0,0,18,429,13.630354733206332
ReFAT,intra,60,refat_decode,local,0,0,22,325,10.929092342033982
ReFAT,intra,61,refat_decode,local,0,0,20,482,15.989332793280482
ReFAT,intra,62,refat_decode,local,0,0,23,424,13.665421756915748
ReFAT,intra,63,refat_decode,local,0,0,22,471,15.026554914191365
ReFAT,intra,64,refat_decode,local,0,0,19,460,14.728358861990273
ReFAT,intra,65,refat_decode,local,0,0,21,385,12.346907874569297
ReFAT,intra,66,refat_decode,local,0,0,20,415,12.979344980791211
ReFAT,intra,67,refat_decode,local,0,0,21,61,1.9018074180930853
ReFAT,intra,68,refat_decode,local,0,0,18,244,7.739572941325605
ReFAT,intra,69,refat_decode,local,0,0,19,418,13.755816340446472
ReFAT,intra,70,refat_decode,local,0,0,18,353,11.242199279367924
ReFAT,intra,71,refat_decode,local,0,0,21,423,13.097902194596827
ReFAT,intra,72,refat_decode,local,0,0,22,383,12.844696697779
ReFAT,intra,73,refat_decode,local,0,0,22,512,16.027572879567742
ReFAT,intra,74,refat_decode,local,0,0,21,512,16.144780077971518
ReFAT,intra,75,refat_decode,local,0,0,23,386,12.252537018619478
ReFAT,intra,101,refat_decode,local,0,0,21,426,14.080661579035223
ReFAT,intra,102,refat_decode,local,0,0,20,275,8.723159971646965
ReFAT,intra,103,refat_decode,local,0,0,21,228,7.280961997807026
ReFAT,intra,104,refat_decode,local,0,0,20,461,16.62460079230368
ReFAT,intra,105,refat_decode,local,0,0,21,433,13.83693149778992
ReFAT,intra,106,refat_decode,local,0,0,20,74,2.3952016634866595
ReFAT,intra,107,refat_decode,local,0,0,19,362,12.772893250919878
ReFAT,intra,108,refat_decode,local,0,0,20,437,15.44458066020161
ReFAT,intra,109,refat_decode,local,0,0,24,154,4.874728097580373
ReFAT,intra,110,refat_decode,local,0,0,22,385,11.994018426164985
ReFAT,intra,111,refat_decode,local,0,0,24,399,12.374150563962758
ReFAT,intra,112,refat_decode,local,0,0,16,392,12.994737971574068
ReFAT,intra,113,refat_decode,local,0,0,20,268,8.286188017576933
ReFAT,intra,114,refat_decode,local,0,0,22,247,7.753097182139754
ReFAT,intra,115,refat_decode,local,0,0,24,362,12.222698593512177
ReFAT,intra,116,refat_decode,local,0,0,19,237,7.533557719551027
ReFAT,intra,117,refat_decode,local,0,0,22,512,16.635341776534915
ReFAT,intra,118,refat_decode,local,0,0,23,290,9.944913229905069
ReFAT,intra,119,refat_decode,local,0,0,19,342,10.886292455717921
ReFAT,intra,120,refat_decode,local,0,0,21,427,14.24741102848202
ReFAT,intra,121,refat_decode,local,0,0,19,402,13.887119359336793
ReFAT,intra,122,refat_decode,local,0,0,25,344,10.950962303206325
ReFAT,intra,123,refat_decode,local,0,0,24,350,11.201434318907559
ReFAT,intra,124,refat_decode,local,0,0,20,377,12.099869390949607
ReFAT,intra,125,refat_decode,local,0,0,18,220,7.241906774230301
ReFAT,intra,151,refat_decode,local,0,0,20,311,10.09199321269989
ReFAT,intra,152,refat_decode,local,0,0,22,53,1.6608096063137054
ReFAT,intra,153,refat_decode,local,0,0,24,40,1.2699743788689375
ReFAT,intra,154,refat_decode,local,0,0,19,317,10.63039662502706
ReFAT,intra,155,refat_decode,local,0,0,23,370,11.921074539422989
ReFAT,intra,156,refat_decode,local,0,0,22,184,5.827973042614758
ReFAT,intra,157,refat_decode,local,0,0,22,212,6.786715691909194
ReFAT,intra,158,refat_decode,local,0,0,25,213,6.733074447140098
ReFAT,intra,159,refat_decode,local,0,0,24,65,2.043116799555719
ReFAT,intra,160,refat_decode,local,0,0,27,76,2.3811670672148466
ReFAT,intra,161,refat_decode,local,0,0,22,293,9.367103340104222
ReFAT,intra,162,refat_decode,local,0,0,21,176,5.6677068788558245
ReFAT,intra,163,refat_decode,local,0,0,21,375,13.655062291771173
ReFAT,intra,164,refat_decode,local,0,0,23,348,10.909694259054959
ReFAT,intra,165,refat_decode,local,0,0,20,428,14.335592651739717
ReFAT,intra,166,refat_decode,local,0,0,21,40,1.6848532492294908
ReFAT,intra,167,refat_decode,local,0,0,24,274,8.934240917675197
ReFAT,intra,168,refat_decode,local,0,0,21,40,1.383726148866117
ReFAT,intra,169,refat_decode,local,0,0,28,40,1.3740802621468902
ReFAT,intra,170,refat_decode,local,0,0,26,422,14.404069376178086
ReFAT,intra,171,refat_decode,local,0,0,26,40,1.2666446501389146
ReFAT,intra,172,refat_decode,local,0,0,26,93,2.9261817522346973
ReFAT,intra,173,refat_decode,local,0,0,24,464,14.954309131018817
ReFAT,intra,174,refat_decode,local,0,0,25,326,11.765168552286923
ReFAT,intra,175,refat_decode,local,0,0,26,85,3.352973892353475
ReFAT,intra,201,refat_decode,local,0,0,17,61,1.9407180808484554
ReFAT,intra,202,refat_decode,local,0,0,14,88,2.7210319386795163
ReFAT,intra,203,refat_decode,local,0,0,15,47,1.4683524398133159
ReFAT,intra,204,refat_decode,local,0,0,15,86,2.6808915436267853
ReFAT,intra,205,refat_decode,local,0,0,19,97,3.032787786796689
ReFAT,intra,206,refat_decode,local,0,0,14,104,3.2667769249528646
ReFAT,intra,207,refat_decode,local,0,0,15,97,3.093742163851857
ReFAT,intra,208,refat_decode,local,0,0,15,290,9.071344781666994
ReFAT,intra,209,refat_decode,local,0,0,19,411,13.006353672593832
ReFAT,intra,210,refat_decode,local,0,0,14,215,6.877259326167405
ReFAT,intra,211,refat_decode,local,0,0,22,70,2.1976368157193065
ReFAT,intra,212,refat_decode,local,0,0,20,98,3.1445708451792598
ReFAT,intra,213,refat_decode,local,0,0,21,56,1.7691432954743505
ReFAT,intra,214,refat_decode,local,0,0,22,150,4.630970341153443
ReFAT,intra,215,refat_decode,local,0,0,20,88,2.8093101354315877
ReFAT,intra,216,refat_decode,local,0,0,14,307,9.651378203183413
ReFAT,intra,217,refat_decode,local,0,0,16,116,3.682145065627992
ReFAT,intra,218,refat_decode,local,0,0,17,99,3.1856465078890324
ReFAT,intra,219,refat_decode,local,0,0,18,120,3.800110785290599
ReFAT,intra,220,refat_decode,local,0,0,14,230,7.274180342443287
ReFAT,intra,221,refat_decode,local,0,0,14,105,3.230981731787324
ReFAT,intra,222,refat_decode,local,0,0,15,257,7.996036592870951
ReFAT,intra,223,refat_decode,local,0,0,14,94,2.995906611904502
ReFAT,intra,224,refat_decode,local,0,0,15,369,11.677981920540333
ReFAT,intra,225,refat_decode,local,0,0,14,310,11.300614555366337
ReFAT,intra,251,refat_decode,local,0,0,18,70,2.6580986296758056
ReFAT,intra,252,refat_decode,local,0,0,20,65,2.029609713703394
ReFAT,intra,253,refat_decode,local,0,0,19,45,1.4422485874965787
ReFAT,intra,254,refat_decode,local,0,0,21,98,3.1377155343070626
ReFAT,intra,255,refat_decode,local,0,0,23,70,2.150083572603762
ReFAT,intra,256,refat_decode,local,0,0,20,75,2.3612958304584026
ReFAT,intra,257,refat_decode,local,0,0,18,52,1.6378154922276735
ReFAT,intra,258,refat_decode,local,0,0,17,73,2.6049411222338676
ReFAT,intra,259,refat_decode,local,0,0,18,75,2.9693986335769296
ReFAT,intra,260,refat_decode,local,0,0,20,59,1.919611882418394
ReFAT,intra,261,refat_decode,local,0,0,22,111,3.5355960642918944
ReFAT,intra,262,refat_decode,local,0,0,20,47,1.4852261859923601
ReFAT,intra,263,refat_decode,local,0,0,19,75,2.388331609778106
ReFAT,intra,264,refat_decode,local,0,0,22,56,1.8024431187659502
ReFAT,intra,265,refat_decode,local,0,0,27,40,1.2566047823056579
ReFAT,intra,266,refat_decode,local,0,0,24,113,3.6173133244737983
ReFAT,intra,267,refat_decode,local,0,0,22,63,1.96472242847085
ReFAT,intra,268,refat_decode,local,0,0,19,69,2.1794560169801116
ReFAT,intra,269,refat_decode,local,0,0,21,58,1.8382622422650456
ReFAT,intra,270,refat_decode,local,0,0,22,56,1.7776650814339519
ReFAT,intra,271,refat_decode,local,0,0,24,77,3.2221595495939255
ReFAT,intra,272,refat_decode,local,0,0,21,64,2.056570429354906
ReFAT,intra,273,refat_decode,local,0,0,23,68,2.1952249938622117
ReFAT,intra,274,refat_decode,local,0,0,25,70,2.2174276933073997
ReFAT,intra,275,refat_decode,local,0,0,22,80,2.5419244589284062
ReFAT,intra,276,refat_decode,local,0,0,18,78,2.453842058777809
ReFAT,intra,277,refat_decode,local,0,0,23,98,3.221267999149859
ReFAT,intra,278,refat_decode,local,0,0,19,91,2.935553123243153
