request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
1,1,0,0,18,273,8.524265577085316,0.0
10,1,0,0,18,164,5.141274027526379,0.0
101,1,0,0,21,426,14.080661579035223,0.0
102,1,0,0,20,275,8.723159971646965,0.0
103,1,0,0,21,228,7.280961997807026,0.0
104,1,0,0,20,461,16.62460079230368,0.0
105,1,0,0,21,433,13.83693149778992,0.0
106,1,0,0,20,74,2.3952016634866595,0.0
107,1,0,0,19,362,12.772893250919878,0.0
108,1,0,0,20,437,15.44458066020161,0.0
109,1,0,0,24,154,4.874728097580373,0.0
11,1,0,0,20,264,8.319609519094229,0.0
110,1,0,0,22,385,11.994018426164985,0.0
111,1,0,0,24,399,12.374150563962758,0.0
112,1,0,0,16,392,12.994737971574068,0.0
113,1,0,0,20,268,8.286188017576933,0.0
114,1,0,0,22,247,7.753097182139754,0.0
115,1,0,0,24,362,12.222698593512177,0.0
116,1,0,0,19,237,7.533557719551027,0.0
117,1,0,0,22,512,16.635341776534915,0.0
118,1,0,0,23,290,9.944913229905069,0.0
119,1,0,0,19,342,10.886292455717921,0.0
12,1,0,0,19,344,10.85793043486774,0.0
120,1,0,0,21,427,14.24741102848202,0.0
121,1,0,0,19,402,13.887119359336793,0.0
122,1,0,0,25,344,10.950962303206325,0.0
123,1,0,0,24,350,11.201434318907559,0.0
124,1,0,0,20,377,12.099869390949607,0.0
125,1,0,0,18,220,7.241906774230301,0.0
13,1,0,0,18,412,13.445786158554256,0.0
14,1,0,0,22,36,1.1043924074620008,0.0
15,1,0,0,21,384,12.130634689703584,0.0
151,1,0,0,20,311,10.09199321269989,0.0
152,1,0,0,22,53,1.6608096063137054,0.0
153,1,0,0,24,40,1.2699743788689375,0.0
154,1,0,0,19,317,10.63039662502706,0.0
155,1,0,0,23,370,11.921074539422989,0.0
156,1,0,0,22,184,5.827973042614758,0.0
157,1,0,0,22,212,6.786715691909194,0.0
158,1,0,0,25,213,6.733074447140098,0.0
159,1,0,0,24,65,2.043116799555719,0.0
16,1,0,0,20,346,10.909402410499752,0.0
160,1,0,0,27,76,2.3811670672148466,0.0
161,1,0,0,22,293,9.367103340104222,0.0
162,1,0,0,21,176,5.6677068788558245,0.0
163,1,0,0,21,375,13.655062291771173,0.0
164,1,0,0,23,348,10.909694259054959,0.0
165,1,0,0,20,428,14.335592651739717,0.0
166,1,0,0,21,40,1.6848532492294908,0.0
