method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
SafeUnlearning,intra,0,safe_unlearning_decode,local,0,0,25,456,14.035265104845166
SafeUnlearning,intra,4,safe_unlearning_decode,local,0,0,18,512,16.36221183091402
SafeUnlearning,intra,10,safe_unlearning_decode,local,0,0,25,324,10.922676839865744
SafeUnlearning,intra,12,safe_unlearning_decode,local,0,0,24,223,7.622258205898106
SafeUnlearning,intra,18,safe_unlearning_decode,local,0,0,19,141,4.33737859223038
SafeUnlearning,intra,22,safe_unlearning_decode,local,0,0,16,82,2.562987216748297
SafeUnlearning,intra,26,safe_unlearning_decode,local,0,0,19,413,12.646438159048557
SafeUnlearning,intra,30,safe_unlearning_decode,local,0,0,19,512,16.649701026268303
SafeUnlearning,intra,31,safe_unlearning_decode,local,0,0,19,332,10.10239056032151
SafeUnlearning,intra,33,safe_unlearning_decode,local,0,0,14,390,11.99384530261159
SafeUnlearning,intra,39,safe_unlearning_decode,local,0,0,19,406,13.262197603471577
SafeUnlearning,intra,42,safe_unlearning_decode,local,0,0,19,308,9.515206426382065
SafeUnlearning,intra,44,safe_unlearning_decode,local,0,0,23,180,5.46029391605407
SafeUnlearning,intra,45,safe_unlearning_decode,local,0,0,20,97,2.9663922488689423
SafeUnlearning,intra,55,safe_unlearning_decode,local,0,0,25,455,13.937332335859537
SafeUnlearning,intra,66,safe_unlearning_decode,local,0,0,23,379,11.76218300126493
SafeUnlearning,intra,67,safe_unlearning_decode,local,0,0,22,362,11.026403321884573
SafeUnlearning,intra,70,safe_unlearning_decode,local,0,0,33,341,11.229467795230448
SafeUnlearning,intra,76,safe_unlearning_decode,local,0,0,28,512,15.715688181109726
SafeUnlearning,intra,77,safe_unlearning_decode,local,0,0,19,87,2.633956115692854
SafeUnlearning,intra,78,safe_unlearning_decode,local,0,0,32,512,15.71787786949426
SafeUnlearning,intra,84,safe_unlearning_decode,local,0,0,20,347,10.570648687891662
SafeUnlearning,intra,89,safe_unlearning_decode,local,0,0,35,512,17.1482417806983
SafeUnlearning,intra,93,safe_unlearning_decode,local,0,0,23,289,8.876747323200107
SafeUnlearning,intra,97,safe_unlearning_decode,local,0,0,17,283,8.543227866292
SafeUnlearning,intra,101,safe_unlearning_decode,local,0,0,24,262,8.024651882238686
SafeUnlearning,intra,105,safe_unlearning_decode,local,0,0,30,152,4.66555605083704
SafeUnlearning,intra,106,safe_unlearning_decode,local,0,0,20,430,13.799671120010316
SafeUnlearning,intra,110,safe_unlearning_decode,local,0,0,27,512,15.530516277998686
SafeUnlearning,intra,111,safe_unlearning_decode,local,0,0,17,110,3.3165134945884347
