method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
SafeUnlearning,intra,1,safe_unlearning_decode,local,0,0,18,179,5.373041285201907
SafeUnlearning,intra,2,safe_unlearning_decode,local,0,0,18,331,10.047896473668516
SafeUnlearning,intra,3,safe_unlearning_decode,local,0,0,19,325,9.792742257006466
SafeUnlearning,intra,4,safe_unlearning_decode,local,0,0,19,82,2.504350371658802
SafeUnlearning,intra,5,safe_unlearning_decode,local,0,0,20,280,8.455254910513759
SafeUnlearning,intra,6,safe_unlearning_decode,local,0,0,18,386,11.598541751503944
SafeUnlearning,intra,7,safe_unlearning_decode,local,0,0,19,410,12.289882337674499
SafeUnlearning,intra,8,safe_unlearning_decode,local,0,0,19,512,15.419673613272607
SafeUnlearning,intra,9,safe_unlearning_decode,local,0,0,22,380,11.462942492216825
SafeUnlearning,intra,10,safe_unlearning_decode,local,0,0,18,165,4.976252268999815
SafeUnlearning,intra,11,safe_unlearning_decode,local,0,0,20,322,9.830608285963535
SafeUnlearning,intra,12,safe_unlearning_decode,local,0,0,19,283,8.456419636495411
SafeUnlearning,intra,13,safe_unlearning_decode,local,0,0,18,366,11.059316283091903
SafeUnlearning,intra,14,safe_unlearning_decode,local,0,0,22,110,3.341952540911734
SafeUnlearning,intra,15,safe_unlearning_decode,local,0,0,21,459,13.936788907274604
SafeUnlearning,intra,16,safe_unlearning_decode,local,0,0,20,124,3.772955983877182
SafeUnlearning,intra,17,safe_unlearning_decode,local,0,0,19,195,5.941149950027466
SafeUnlearning,intra,18,safe_unlearning_decode,local,0,0,19,92,2.8340411158278584
SafeUnlearning,intra,19,safe_unlearning_decode,local,0,0,23,454,13.777974024415016
SafeUnlearning,intra,20,safe_unlearning_decode,local,0,0,21,179,5.400024242699146
SafeUnlearning,intra,21,safe_unlearning_decode,local,0,0,20,368,11.316300075501204
SafeUnlearning,intra,22,safe_unlearning_decode,local,0,0,23,146,4.398008951917291
SafeUnlearning,intra,23,safe_unlearning_decode,local,0,0,22,376,11.438132771290839
SafeUnlearning,intra,24,safe_unlearning_decode,local,0,0,21,377,11.433470238931477
SafeUnlearning,intra,25,safe_unlearning_decode,local,0,0,22,65,2.022645157761872
SafeUnlearning,intra,51,safe_unlearning_decode,local,0,0,21,363,11.224935127422214
SafeUnlearning,intra,52,safe_unlearning_decode,local,0,0,23,70,2.131955675780773
SafeUnlearning,intra,53,safe_unlearning_decode,local,0,0,22,108,3.2422536183148623
SafeUnlearning,intra,54,safe_unlearning_decode,local,0,0,20,261,7.95188538171351
SafeUnlearning,intra,55,safe_unlearning_decode,local,0,0,21,409,13.091922394931316
SafeUnlearning,intra,56,safe_unlearning_decode,local,0,0,22,152,4.752083628438413
SafeUnlearning,intra,57,safe_unlearning_decode,local,0,0,24,90,2.771016551181674
SafeUnlearning,intra,58,safe_unlearning_decode,local,0,0,22,360,10.854683593846858
SafeUnlearning,intra,59,safe_unlearning_decode,local,0,0,18,110,3.3291888469830155
SafeUnlearning,intra,60,safe_unlearning_decode,local,0,0,22,98,3.0100475111976266
SafeUnlearning,intra,61,safe_unlearning_decode,local,0,0,20,97,2.9368649246171117
