request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
1,1,0,0,18,179,5.373041285201907,0.0
10,1,0,0,18,165,4.976252268999815,0.0
101,1,0,0,21,318,9.654265251941979,0.0
102,1,0,0,20,283,8.577947893179953,0.0
103,1,0,0,21,51,1.5577860716730356,0.0
104,1,0,0,20,368,11.148668984882534,0.0
105,1,0,0,21,36,1.0911238500848413,0.0
106,1,0,0,20,134,4.670573130249977,0.0
107,1,0,0,19,372,11.208265241235495,0.0
108,1,0,0,20,450,13.561814056709409,0.0
109,1,0,0,24,122,4.432699059136212,0.0
11,1,0,0,20,322,9.830608285963535,0.0
110,1,0,0,22,384,11.691776397638023,0.0
111,1,0,0,24,58,1.7388582285493612,0.0
112,1,0,0,16,512,15.378963348455727,0.0
113,1,0,0,20,317,9.699003809131682,0.0
114,1,0,0,22,63,1.9275231072679162,0.0
115,1,0,0,24,99,3.466846398077905,0.0
116,1,0,0,19,79,2.6505979346111417,0.0
117,1,0,0,22,512,15.53883234784007,0.0
118,1,0,0,23,370,11.307991776615381,0.0
119,1,0,0,19,271,8.23418199736625,0.0
12,1,0,0,19,283,8.456419636495411,0.0
120,1,0,0,21,477,14.448514466173947,0.0
121,1,0,0,19,322,9.863348322920501,0.0
122,1,0,0,25,445,13.565422450192273,0.0
123,1,0,0,24,202,6.102754024788737,0.0
124,1,0,0,20,308,9.348979078233242,0.0
125,1,0,0,18,228,6.9110715566203,0.0
13,1,0,0,18,366,11.059316283091903,0.0
14,1,0,0,22,110,3.341952540911734,0.0
15,1,0,0,21,459,13.936788907274604,0.0
151,1,0,0,20,63,1.8965854216367006,0.0
152,1,0,0,22,64,2.427455256693065,0.0
153,1,0,0,24,56,1.6679975483566523,0.0
154,1,0,0,19,88,2.674517626874149,0.0
155,1,0,0,23,100,3.0166903845965862,0.0
156,1,0,0,22,284,8.603442156687379,0.0
157,1,0,0,22,59,1.8977521108463407,0.0
158,1,0,0,25,55,2.114562274888158,0.0
159,1,0,0,24,96,2.8500058008357882,0.0
16,1,0,0,20,124,3.772955983877182,0.0
160,1,0,0,27,86,2.5752777410671115,0.0
161,1,0,0,22,195,5.965005110949278,0.0
162,1,0,0,21,151,4.60982935782522,0.0
163,1,0,0,21,78,2.3399769188836217,0.0
164,1,0,0,23,86,2.623236450366676,0.0
165,1,0,0,20,79,2.3923483388498425,0.0
166,1,0,0,21,75,2.301645270548761,0.0
167,1,0,0,24,7,0.2198383528739214,0.0
168,1,0,0,21,61,1.8448772691190243,0.0
169,1,0,0,28,100,3.0220280550420284,0.0
17,1,0,0,19,195,5.941149950027466,0.0
170,1,0,0,26,418,12.907042647711933,0.0
171,1,0,0,26,63,1.9369799541309476,0.0
172,1,0,0,26,61,1.8427260145545006,0.0
173,1,0,0,24,222,6.732430135831237,0.0
174,1,0,0,25,80,2.4673638744279742,0.0
175,1,0,0,26,106,3.297630403190851,0.0
18,1,0,0,19,92,2.8340411158278584,0.0
19,1,0,0,23,454,13.777974024415016,0.0
2,1,0,0,18,331,10.047896473668516,0.0
20,1,0,0,21,179,5.400024242699146,0.0
201,1,0,0,17,42,1.2930857054889202,0.0
202,1,0,0,14,71,2.206315618008375,0.0
203,1,0,0,15,95,2.8942597061395645,0.0
204,1,0,0,15,82,2.526292597874999,0.0
205,1,0,0,19,108,3.2914673071354628,0.0
206,1,0,0,14,35,1.0550543833523989,0.0
207,1,0,0,15,46,1.4107961291447282,0.0
208,1,0,0,15,292,8.940133077092469,0.0
209,1,0,0,19,332,10.476411705836654,0.0
21,1,0,0,20,368,11.316300075501204,0.0
210,1,0,0,14,187,5.674860740080476,0.0
211,1,0,0,22,70,2.131742412224412,0.0
212,1,0,0,20,98,3.012078012339771,0.0
213,1,0,0,21,96,2.8701532147824764,0.0
214,1,0,0,22,44,1.379311298020184,0.0
215,1,0,0,20,115,3.5322320125997066,0.0
216,1,0,0,14,150,4.515459006652236,0.0
217,1,0,0,16,125,3.7506246380507946,0.0
218,1,0,0,17,76,2.2855354584753513,0.0
219,1,0,0,18,116,3.5384494066238403,0.0
22,1,0,0,23,146,4.398008951917291,0.0
220,1,0,0,14,207,6.2187212305143476,0.0
221,1,0,0,14,82,2.4485833710059524,0.0
222,1,0,0,15,341,10.415230921469629,0.0
223,1,0,0,14,101,3.1289032995700836,0.0
224,1,0,0,15,271,8.263386502861977,0.0
225,1,0,0,14,236,7.303795964457095,0.0
23,1,0,0,22,376,11.438132771290839,0.0
24,1,0,0,21,377,11.433470238931477,0.0
25,1,0,0,22,65,2.022645157761872,0.0
251,1,0,0,18,88,2.6653239112347364,0.0
252,1,0,0,20,109,3.320817716419697,0.0
253,1,0,0,19,70,2.1157551063224673,0.0
254,1,0,0,21,94,2.850149237550795,0.0
255,1,0,0,23,62,1.8966199643909931,0.0
256,1,0,0,20,101,3.0683105029165745,0.0
257,1,0,0,18,76,2.2920225439593196,0.0
258,1,0,0,17,53,1.6515127290040255,0.0
259,1,0,0,18,85,2.550783146172762,0.0
