method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
TargetedLAT,intra,1,target,local,0,0,18,72,1.9682487146928906
TargetedLAT,intra,2,target,local,0,0,18,370,6.678096606396139
TargetedLAT,intra,3,target,local,0,0,19,435,9.100409945473075
TargetedLAT,intra,4,target,local,0,0,19,31,0.5691911354660988
TargetedLAT,intra,5,target,local,0,0,20,507,9.20154869183898
TargetedLAT,intra,6,target,local,0,0,18,512,8.795332959853113
TargetedLAT,intra,7,target,local,0,0,19,512,9.230217648670077
TargetedLAT,intra,8,target,local,0,0,19,428,8.43624524306506
TargetedLAT,intra,9,target,local,0,0,22,512,8.951385005377233
TargetedLAT,intra,10,target,local,0,0,18,397,6.7542802626267076
TargetedLAT,intra,11,target,local,0,0,20,432,8.218801585026085
TargetedLAT,intra,12,target,local,0,0,19,512,9.396838205866516
TargetedLAT,intra,13,target,local,0,0,18,508,9.739447504281998
TargetedLAT,intra,14,target,local,0,0,22,85,1.6986006954684854
TargetedLAT,intra,15,target,local,0,0,21,512,9.03691627830267
TargetedLAT,intra,16,target,local,0,0,20,147,2.9727763524279
TargetedLAT,intra,17,target,local,0,0,19,256,4.409729558043182
TargetedLAT,intra,18,target,local,0,0,19,512,9.352995234541595
TargetedLAT,intra,19,target,local,0,0,23,512,9.45280827768147
TargetedLAT,intra,20,target,local,0,0,21,342,6.03034966532141
TargetedLAT,intra,21,target,local,0,0,20,512,9.081613399088383
TargetedLAT,intra,22,target,local,0,0,23,98,2.0126589881256223
TargetedLAT,intra,23,target,local,0,0,22,512,9.024592313915491
TargetedLAT,intra,24,target,local,0,0,21,439,7.553096218034625
TargetedLAT,intra,25,target,local,0,0,22,31,0.5773284984752536
TargetedLAT,intra,51,target,local,0,0,21,512,9.058752352371812
TargetedLAT,intra,52,target,local,0,0,23,55,1.139620227739215
TargetedLAT,intra,53,target,local,0,0,22,461,8.98268767260015
TargetedLAT,intra,54,target,local,0,0,20,429,7.631179308518767
TargetedLAT,intra,55,target,local,0,0,21,470,8.189066933467984
TargetedLAT,intra,56,target,local,0,0,22,486,8.395563296042383
TargetedLAT,intra,57,target,local,0,0,24,61,1.3227777192369103
TargetedLAT,intra,58,target,local,0,0,22,487,10.012207727879286
TargetedLAT,intra,59,target,local,0,0,18,91,1.5733210053294897
TargetedLAT,intra,60,target,local,0,0,22,52,0.8942590923979878
TargetedLAT,intra,61,target,local,0,0,20,455,7.741625877097249
TargetedLAT,intra,62,target,local,0,0,23,512,9.494818106293678
TargetedLAT,intra,63,target,local,0,0,22,354,6.493836352601647
TargetedLAT,intra,64,target,local,0,0,19,335,6.442271374166012
TargetedLAT,intra,65,target,local,0,0,21,512,8.97722477838397
TargetedLAT,intra,66,target,local,0,0,20,450,7.696099232882261
TargetedLAT,intra,67,target,local,0,0,21,458,7.904792011715472
TargetedLAT,intra,68,target,local,0,0,18,321,6.352918612770736
TargetedLAT,intra,69,target,local,0,0,19,512,9.331565976142883
TargetedLAT,intra,70,target,local,0,0,18,512,9.58207422029227
TargetedLAT,intra,71,target,local,0,0,21,512,10.181973645463586
TargetedLAT,intra,72,target,local,0,0,22,512,8.943949523381889
TargetedLAT,intra,73,target,local,0,0,22,512,9.869098115712404
TargetedLAT,intra,74,target,local,0,0,21,512,9.266848909668624
TargetedLAT,intra,75,target,local,0,0,23,512,9.181882610544562
TargetedLAT,intra,101,target,local,0,0,21,481,8.564210063777864
TargetedLAT,intra,102,target,local,0,0,20,420,7.377611908130348
TargetedLAT,intra,103,target,local,0,0,21,31,0.5437258454039693
TargetedLAT,intra,104,target,local,0,0,20,512,9.485308486968279
TargetedLAT,intra,105,target,local,0,0,21,47,0.7877334915101528
TargetedLAT,intra,106,target,local,0,0,20,43,0.7208307608962059
TargetedLAT,intra,107,target,local,0,0,19,465,7.917272417806089
TargetedLAT,intra,108,target,local,0,0,20,512,8.83830556832254
TargetedLAT,intra,109,target,local,0,0,24,44,0.7482534730806947
TargetedLAT,intra,110,target,local,0,0,22,512,9.679907828569412
TargetedLAT,intra,111,target,local,0,0,24,512,8.942103554494679
TargetedLAT,intra,112,target,local,0,0,16,512,10.353986168280244
TargetedLAT,intra,113,target,local,0,0,20,372,6.945563370361924
TargetedLAT,intra,114,target,local,0,0,22,408,7.3845377722755075
TargetedLAT,intra,115,target,local,0,0,24,51,0.8591391099616885
TargetedLAT,intra,116,target,local,0,0,19,44,0.7417253339663148
TargetedLAT,intra,117,target,local,0,0,22,512,8.740423627197742
TargetedLAT,intra,118,target,local,0,0,23,512,9.769793727435172
TargetedLAT,intra,119,target,local,0,0,19,512,8.95259193982929
TargetedLAT,intra,120,target,local,0,0,21,512,8.759788659401238
TargetedLAT,intra,121,target,local,0,0,19,446,7.669411381706595
TargetedLAT,intra,122,target,local,0,0,25,63,1.3078041383996606
TargetedLAT,intra,123,target,local,0,0,24,94,1.8292025020346045
TargetedLAT,intra,124,target,local,0,0,20,512,9.558676357381046
TargetedLAT,intra,125,target,local,0,0,18,472,8.95427976269275
TargetedLAT,intra,151,target,local,0,0,20,31,0.6223360011354089
TargetedLAT,intra,152,target,local,0,0,22,494,10.017696484923363
TargetedLAT,intra,153,target,local,0,0,24,44,0.7510342206805944
TargetedLAT,intra,154,target,local,0,0,19,31,0.538662544451654
TargetedLAT,intra,155,target,local,0,0,23,39,0.7939574150368571
TargetedLAT,intra,156,target,local,0,0,22,235,4.378143625333905
TargetedLAT,intra,157,target,local,0,0,22,40,0.6930677555501461
TargetedLAT,intra,158,target,local,0,0,25,41,0.7126930095255375
TargetedLAT,intra,159,target,local,0,0,24,43,0.7263428429141641
TargetedLAT,intra,160,target,local,0,0,27,155,3.344855135306716
TargetedLAT,intra,161,target,local,0,0,22,512,8.810419221408665
TargetedLAT,intra,162,target,local,0,0,21,81,1.3623053235933185
TargetedLAT,intra,163,target,local,0,0,21,60,1.0104099912568927
TargetedLAT,intra,164,target,local,0,0,23,512,9.504162054508924
TargetedLAT,intra,165,target,local,0,0,20,56,1.1555504342541099
TargetedLAT,intra,166,target,local,0,0,21,42,0.8374325269833207
TargetedLAT,intra,167,target,local,0,0,24,32,0.5384824741631746
TargetedLAT,intra,168,target,local,0,0,21,31,0.5238936590030789
TargetedLAT,intra,169,target,local,0,0,28,80,1.4261714713647962
TargetedLAT,intra,170,target,local,0,0,26,512,9.57018157467246
TargetedLAT,intra,171,target,local,0,0,26,31,0.5342189939692616
TargetedLAT,intra,172,target,local,0,0,26,44,0.7491188505664468
TargetedLAT,intra,173,target,local,0,0,24,512,8.847587524913251
TargetedLAT,intra,174,target,local,0,0,25,31,0.5217446926981211
TargetedLAT,intra,175,target,local,0,0,26,41,0.6883958429098129
TargetedLAT,intra,201,target,local,0,0,17,337,5.825603048317134
TargetedLAT,intra,202,target,local,0,0,14,71,1.1838894858956337
