method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
no_defense,none,0,target,api,50,450,0,0,0.0
no_defense,none,4,target,api,43,512,0,0,0.0
no_defense,none,10,target,api,50,512,0,0,0.0
no_defense,none,12,target,api,49,342,0,0,0.0
no_defense,none,18,target,api,44,512,0,0,0.0
no_defense,none,22,target,api,41,67,0,0,0.0
no_defense,none,26,target,api,44,471,0,0,0.0
no_defense,none,30,target,api,44,510,0,0,0.0
no_defense,none,31,target,api,44,512,0,0,0.0
no_defense,none,33,target,api,39,506,0,0,0.0
no_defense,none,39,target,api,44,512,0,0,0.0
no_defense,none,42,target,api,44,512,0,0,0.0
no_defense,none,44,target,api,48,512,0,0,0.0
no_defense,none,45,target,api,45,292,0,0,0.0
no_defense,none,55,target,api,50,512,0,0,0.0
no_defense,none,66,target,api,48,466,0,0,0.0
no_defense,none,67,target,api,47,512,0,0,0.0
no_defense,none,70,target,api,58,454,0,0,0.0
no_defense,none,76,target,api,53,512,0,0,0.0
no_defense,none,77,target,api,44,272,0,0,0.0
no_defense,none,78,target,api,57,512,0,0,0.0
no_defense,none,84,target,api,45,348,0,0,0.0
no_defense,none,89,target,api,60,512,0,0,0.0
no_defense,none,93,target,api,48,379,0,0,0.0
no_defense,none,97,target,api,42,512,0,0,0.0
no_defense,none,101,target,api,49,335,0,0,0.0
no_defense,none,105,target,api,55,512,0,0,0.0
no_defense,none,106,target,api,45,512,0,0,0.0
no_defense,none,110,target,api,52,512,0,0,0.0
no_defense,none,111,target,api,42,146,0,0,0.0
no_defense,none,113,target,api,54,512,0,0,0.0
no_defense,none,119,target,api,50,493,0,0,0.0
no_defense,none,129,target,api,51,512,0,0,0.0
no_defense,none,134,target,api,48,31,0,0,0.0
no_defense,none,135,target,api,44,272,0,0,0.0
no_defense,none,136,target,api,46,512,0,0,0.0
no_defense,none,146,target,api,58,512,0,0,0.0
no_defense,none,148,target,api,46,512,0,0,0.0
no_defense,none,151,target,api,163,80,0,0,0.0
no_defense,none,154,target,api,46,512,0,0,0.0
no_defense,none,159,target,api,45,25,0,0,0.0
no_defense,none,166,target,api,50,512,0,0,0.0
no_defense,none,168,target,api,45,512,0,0,0.0
no_defense,none,171,target,api,65,512,0,0,0.0
no_defense,none,177,target,api,44,38,0,0,0.0
no_defense,none,181,target,api,49,512,0,0,0.0
no_defense,none,187,target,api,59,419,0,0,0.0
no_defense,none,189,target,api,58,432,0,0,0.0
no_defense,none,195,target,api,46,372,0,0,0.0
no_defense,none,199,target,api,44,81,0,0,0.0
no_defense,none,203,target,api,43,142,0,0,0.0
no_defense,none,207,target,api,44,257,0,0,0.0
no_defense,none,208,target,api,40,43,0,0,0.0
no_defense,none,210,target,api,50,512,0,0,0.0
no_defense,none,216,target,api,41,35,0,0,0.0
no_defense,none,219,target,api,64,117,0,0,0.0
no_defense,none,221,target,api,41,205,0,0,0.0
no_defense,none,222,target,api,55,512,0,0,0.0
no_defense,none,230,target,api,73,302,0,0,0.0
no_defense,none,232,target,api,42,512,0,0,0.0
no_defense,none,246,target,api,60,512,0,0,0.0
no_defense,none,247,target,api,44,359,0,0,0.0
no_defense,none,250,target,api,51,422,0,0,0.0
no_defense,none,253,target,api,44,301,0,0,0.0
no_defense,none,254,target,api,59,55,0,0,0.0
no_defense,none,257,target,api,60,100,0,0,0.0
no_defense,none,260,target,api,55,512,0,0,0.0
no_defense,none,265,target,api,46,512,0,0,0.0
no_defense,none,267,target,api,51,512,0,0,0.0
no_defense,none,277,target,api,79,125,0,0,0.0
no_defense,none,281,target,api,47,512,0,0,0.0
no_defense,none,287,target,api,49,512,0,0,0.0
no_defense,none,288,target,api,53,156,0,0,0.0
no_defense,none,289,target,api,57,455,0,0,0.0
no_defense,none,295,target,api,57,459,0,0,0.0
no_defense,none,299,target,api,65,512,0,0,0.0
no_defense,none,303,target,api,75,512,0,0,0.0
no_defense,none,308,target,api,59,512,0,0,0.0
no_defense,none,313,target,api,272,512,0,0,0.0
no_defense,none,317,target,api,50,486,0,0,0.0
no_defense,none,322,target,api,52,478,0,0,0.0
no_defense,none,324,target,api,51,245,0,0,0.0
no_defense,none,330,target,api,50,301,0,0,0.0
no_defense,none,343,target,api,54,34,0,0,0.0
no_defense,none,344,target,api,82,254,0,0,0.0
no_defense,none,346,target,api,59,307,0,0,0.0
no_defense,none,347,target,api,45,466,0,0,0.0
no_defense,none,349,target,api,119,117,0,0,0.0
no_defense,none,357,target,api,51,468,0,0,0.0
no_defense,none,358,target,api,58,54,0,0,0.0
no_defense,none,360,target,api,69,162,0,0,0.0
no_defense,none,368,target,api,54,487,0,0,0.0
no_defense,none,375,target,api,70,298,0,0,0.0
no_defense,none,381,target,api,57,22,0,0,0.0
no_defense,none,384,target,api,66,88,0,0,0.0
no_defense,none,387,target,api,48,512,0,0,0.0
no_defense,none,388,target,api,46,402,0,0,0.0
no_defense,none,398,target,api,59,512,0,0,0.0
no_defense,none,399,target,api,50,512,0,0,0.0
no_defense,none,405,target,api,56,439,0,0,0.0
no_defense,none,407,target,api,51,380,0,0,0.0
no_defense,none,413,target,api,66,459,0,0,0.0
no_defense,none,414,target,api,64,512,0,0,0.0
no_defense,none,417,target,api,65,512,0,0,0.0
no_defense,none,418,target,api,70,512,0,0,0.0
no_defense,none,425,target,api,52,474,0,0,0.0
no_defense,none,426,target,api,61,512,0,0,0.0
no_defense,none,427,target,api,105,138,0,0,0.0
no_defense,none,429,target,api,56,497,0,0,0.0
no_defense,none,437,target,api,96,512,0,0,0.0
no_defense,none,442,target,api,60,512,0,0,0.0
no_defense,none,444,target,api,48,512,0,0,0.0
no_defense,none,445,target,api,58,406,0,0,0.0
no_defense,none,450,target,api,48,512,0,0,0.0
no_defense,none,453,target,api,45,512,0,0,0.0
no_defense,none,462,target,api,95,512,0,0,0.0
no_defense,none,465,target,api,47,512,0,0,0.0
no_defense,none,466,target,api,52,495,0,0,0.0
no_defense,none,476,target,api,62,512,0,0,0.0
no_defense,none,477,target,api,45,512,0,0,0.0
no_defense,none,479,target,api,56,451,0,0,0.0
no_defense,none,480,target,api,200,248,0,0,0.0
no_defense,none,483,target,api,67,512,0,0,0.0
no_defense,none,493,target,api,57,512,0,0,0.0
no_defense,none,495,target,api,58,512,0,0,0.0
no_defense,none,496,target,api,58,512,0,0,0.0
no_defense,none,497,target,api,131,512,0,0,0.0
no_defense,none,498,target,api,78,381,0,0,0.0
no_defense,none,510,target,api,46,337,0,0,0.0
no_defense,none,512,target,api,54,512,0,0,0.0
no_defense,none,513,target,api,44,201,0,0,0.0
no_defense,none,517,target,api,46,512,0,0,0.0
no_defense,none,524,target,api,51,512,0,0,0.0
no_defense,none,528,target,api,45,431,0,0,0.0
no_defense,none,529,target,api,48,512,0,0,0.0
no_defense,none,531,target,api,64,512,0,0,0.0
no_defense,none,533,target,api,50,479,0,0,0.0
no_defense,none,539,target,api,49,494,0,0,0.0
no_defense,none,546,target,api,61,512,0,0,0.0
no_defense,none,549,target,api,49,299,0,0,0.0
no_defense,none,564,target,api,49,275,0,0,0.0
no_defense,none,568,target,api,70,512,0,0,0.0
no_defense,none,572,target,api,58,512,0,0,0.0
no_defense,none,577,target,api,77,511,0,0,0.0
no_defense,none,584,target,api,47,512,0,0,0.0
no_defense,none,585,target,api,49,267,0,0,0.0
no_defense,none,593,target,api,41,390,0,0,0.0
no_defense,none,595,target,api,61,512,0,0,0.0
no_defense,none,600,target,api,50,26,0,0,0.0
no_defense,none,602,target,api,52,227,0,0,0.0
no_defense,none,605,target,api,113,171,0,0,0.0
no_defense,none,606,target,api,63,438,0,0,0.0
no_defense,none,612,target,api,53,512,0,0,0.0
no_defense,none,613,target,api,46,512,0,0,0.0
no_defense,none,616,target,api,68,512,0,0,0.0
no_defense,none,623,target,api,72,512,0,0,0.0
no_defense,none,631,target,api,79,274,0,0,0.0
no_defense,none,635,target,api,58,512,0,0,0.0
no_defense,none,638,target,api,67,512,0,0,0.0
no_defense,none,641,target,api,42,361,0,0,0.0
no_defense,none,646,target,api,43,512,0,0,0.0
no_defense,none,649,target,api,50,512,0,0,0.0
no_defense,none,650,target,api,105,512,0,0,0.0
no_defense,none,651,target,api,45,442,0,0,0.0
no_defense,none,652,target,api,45,512,0,0,0.0
no_defense,none,653,target,api,54,512,0,0,0.0
no_defense,none,654,target,api,46,374,0,0,0.0
no_defense,none,657,target,api,47,512,0,0,0.0
no_defense,none,658,target,api,103,512,0,0,0.0
no_defense,none,659,target,api,48,512,0,0,0.0
no_defense,none,669,target,api,51,461,0,0,0.0
no_defense,none,670,target,api,46,512,0,0,0.0
no_defense,none,676,target,api,50,512,0,0,0.0
no_defense,none,686,target,api,60,345,0,0,0.0
no_defense,none,698,target,api,51,434,0,0,0.0
no_defense,none,701,target,api,69,512,0,0,0.0
no_defense,none,706,target,api,42,406,0,0,0.0
no_defense,none,709,target,api,47,400,0,0,0.0
no_defense,none,715,target,api,95,512,0,0,0.0
no_defense,none,717,target,api,48,512,0,0,0.0
no_defense,none,720,target,api,57,512,0,0,0.0
no_defense,none,724,target,api,57,210,0,0,0.0
no_defense,none,730,target,api,67,389,0,0,0.0
no_defense,none,732,target,api,107,512,0,0,0.0
no_defense,none,738,target,api,74,111,0,0,0.0
no_defense,none,742,target,api,57,407,0,0,0.0
no_defense,none,748,target,api,87,164,0,0,0.0
no_defense,none,750,target,api,70,223,0,0,0.0
no_defense,none,751,target,api,83,123,0,0,0.0
no_defense,none,753,target,api,57,201,0,0,0.0
no_defense,none,755,target,api,56,512,0,0,0.0
no_defense,none,760,target,api,62,512,0,0,0.0
no_defense,none,765,target,api,63,512,0,0,0.0
no_defense,none,769,target,api,53,481,0,0,0.0
no_defense,none,775,target,api,296,20,0,0,0.0
no_defense,none,781,target,api,78,512,0,0,0.0
no_defense,none,787,target,api,71,512,0,0,0.0
no_defense,none,788,target,api,67,512,0,0,0.0
no_defense,none,790,target,api,63,512,0,0,0.0
no_defense,none,793,target,api,88,512,0,0,0.0
