request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
0,1,50,450,0,0,0.0,0.0
4,1,43,512,0,0,0.0,0.0
10,1,50,512,0,0,0.0,0.0
101,1,49,335,0,0,0.0,0.0
105,1,55,512,0,0,0.0,0.0
106,1,45,512,0,0,0.0,0.0
110,1,52,512,0,0,0.0,0.0
111,1,42,146,0,0,0.0,0.0
113,1,54,512,0,0,0.0,0.0
119,1,50,493,0,0,0.0,0.0
12,1,49,342,0,0,0.0,0.0
129,1,51,512,0,0,0.0,0.0
134,1,48,31,0,0,0.0,0.0
135,1,44,272,0,0,0.0,0.0
136,1,46,512,0,0,0.0,0.0
146,1,58,512,0,0,0.0,0.0
148,1,46,512,0,0,0.0,0.0
151,1,163,80,0,0,0.0,0.0
154,1,46,512,0,0,0.0,0.0
159,1,45,25,0,0,0.0,0.0
166,1,50,512,0,0,0.0,0.0
168,1,45,512,0,0,0.0,0.0
171,1,65,512,0,0,0.0,0.0
177,1,44,38,0,0,0.0,0.0
18,1,44,512,0,0,0.0,0.0
181,1,49,512,0,0,0.0,0.0
187,1,59,419,0,0,0.0,0.0
189,1,58,432,0,0,0.0,0.0
195,1,46,372,0,0,0.0,0.0
199,1,44,81,0,0,0.0,0.0
203,1,43,142,0,0,0.0,0.0
207,1,44,257,0,0,0.0,0.0
208,1,40,43,0,0,0.0,0.0
210,1,50,512,0,0,0.0,0.0
216,1,41,35,0,0,0.0,0.0
219,1,64,117,0,0,0.0,0.0
22,1,41,67,0,0,0.0,0.0
221,1,41,205,0,0,0.0,0.0
222,1,55,512,0,0,0.0,0.0
230,1,73,302,0,0,0.0,0.0
232,1,42,512,0,0,0.0,0.0
246,1,60,512,0,0,0.0,0.0
247,1,44,359,0,0,0.0,0.0
250,1,51,422,0,0,0.0,0.0
253,1,44,301,0,0,0.0,0.0
254,1,59,55,0,0,0.0,0.0
257,1,60,100,0,0,0.0,0.0
26,1,44,471,0,0,0.0,0.0
260,1,55,512,0,0,0.0,0.0
265,1,46,512,0,0,0.0,0.0
267,1,51,512,0,0,0.0,0.0
277,1,79,125,0,0,0.0,0.0
281,1,47,512,0,0,0.0,0.0
287,1,49,512,0,0,0.0,0.0
288,1,53,156,0,0,0.0,0.0
289,1,57,455,0,0,0.0,0.0
295,1,57,459,0,0,0.0,0.0
299,1,65,512,0,0,0.0,0.0
30,1,44,510,0,0,0.0,0.0
303,1,75,512,0,0,0.0,0.0
308,1,59,512,0,0,0.0,0.0
31,1,44,512,0,0,0.0,0.0
313,1,272,512,0,0,0.0,0.0
317,1,50,486,0,0,0.0,0.0
322,1,52,478,0,0,0.0,0.0
324,1,51,245,0,0,0.0,0.0
33,1,39,506,0,0,0.0,0.0
330,1,50,301,0,0,0.0,0.0
343,1,54,34,0,0,0.0,0.0
344,1,82,254,0,0,0.0,0.0
346,1,59,307,0,0,0.0,0.0
347,1,45,466,0,0,0.0,0.0
349,1,119,117,0,0,0.0,0.0
357,1,51,468,0,0,0.0,0.0
358,1,58,54,0,0,0.0,0.0
360,1,69,162,0,0,0.0,0.0
368,1,54,487,0,0,0.0,0.0
375,1,70,298,0,0,0.0,0.0
381,1,57,22,0,0,0.0,0.0
384,1,66,88,0,0,0.0,0.0
387,1,48,512,0,0,0.0,0.0
388,1,46,402,0,0,0.0,0.0
39,1,44,512,0,0,0.0,0.0
398,1,59,512,0,0,0.0,0.0
399,1,50,512,0,0,0.0,0.0
405,1,56,439,0,0,0.0,0.0
407,1,51,380,0,0,0.0,0.0
413,1,66,459,0,0,0.0,0.0
414,1,64,512,0,0,0.0,0.0
417,1,65,512,0,0,0.0,0.0
418,1,70,512,0,0,0.0,0.0
42,1,44,512,0,0,0.0,0.0
425,1,52,474,0,0,0.0,0.0
426,1,61,512,0,0,0.0,0.0
427,1,105,138,0,0,0.0,0.0
429,1,56,497,0,0,0.0,0.0
437,1,96,512,0,0,0.0,0.0
44,1,48,512,0,0,0.0,0.0
442,1,60,512,0,0,0.0,0.0
444,1,48,512,0,0,0.0,0.0
445,1,58,406,0,0,0.0,0.0
45,1,45,292,0,0,0.0,0.0
450,1,48,512,0,0,0.0,0.0
453,1,45,512,0,0,0.0,0.0
462,1,95,512,0,0,0.0,0.0
465,1,47,512,0,0,0.0,0.0
466,1,52,495,0,0,0.0,0.0
476,1,62,512,0,0,0.0,0.0
477,1,45,512,0,0,0.0,0.0
479,1,56,451,0,0,0.0,0.0
480,1,200,248,0,0,0.0,0.0
483,1,67,512,0,0,0.0,0.0
493,1,57,512,0,0,0.0,0.0
495,1,58,512,0,0,0.0,0.0
496,1,58,512,0,0,0.0,0.0
497,1,131,512,0,0,0.0,0.0
498,1,78,381,0,0,0.0,0.0
510,1,46,337,0,0,0.0,0.0
512,1,54,512,0,0,0.0,0.0
513,1,44,201,0,0,0.0,0.0
517,1,46,512,0,0,0.0,0.0
524,1,51,512,0,0,0.0,0.0
528,1,45,431,0,0,0.0,0.0
529,1,48,512,0,0,0.0,0.0
531,1,64,512,0,0,0.0,0.0
533,1,50,479,0,0,0.0,0.0
539,1,49,494,0,0,0.0,0.0
546,1,61,512,0,0,0.0,0.0
549,1,49,299,0,0,0.0,0.0
55,1,50,512,0,0,0.0,0.0
564,1,49,275,0,0,0.0,0.0
568,1,70,512,0,0,0.0,0.0
572,1,58,512,0,0,0.0,0.0
577,1,77,511,0,0,0.0,0.0
584,1,47,512,0,0,0.0,0.0
585,1,49,267,0,0,0.0,0.0
593,1,41,390,0,0,0.0,0.0
595,1,61,512,0,0,0.0,0.0
600,1,50,26,0,0,0.0,0.0
602,1,52,227,0,0,0.0,0.0
605,1,113,171,0,0,0.0,0.0
606,1,63,438,0,0,0.0,0.0
612,1,53,512,0,0,0.0,0.0
613,1,46,512,0,0,0.0,0.0
616,1,68,512,0,0,0.0,0.0
623,1,72,512,0,0,0.0,0.0
631,1,79,274,0,0,0.0,0.0
635,1,58,512,0,0,0.0,0.0
638,1,67,512,0,0,0.0,0.0
641,1,42,361,0,0,0.0,0.0
646,1,43,512,0,0,0.0,0.0
649,1,50,512,0,0,0.0,0.0
650,1,105,512,0,0,0.0,0.0
