request_id,n_calls,api_in_tokens,api_out_tokens,local_sec
1,1,43,512,0.0
10,1,43,353,0.0
101,1,46,512,0.0
102,1,45,404,0.0
103,1,46,281,0.0
104,1,45,512,0.0
105,1,46,512,0.0
106,1,45,38,0.0
107,1,44,458,0.0
108,1,45,512,0.0
109,1,49,286,0.0
11,1,45,404,0.0
110,1,47,512,0.0
111,1,49,420,0.0
112,1,41,512,0.0
113,1,45,425,0.0
114,1,47,471,0.0
115,1,49,512,0.0
116,1,44,358,0.0
117,1,47,512,0.0
118,1,48,512,0.0
119,1,44,512,0.0
12,1,44,482,0.0
120,1,46,463,0.0
121,1,44,497,0.0
122,1,50,512,0.0
123,1,49,512,0.0
124,1,45,512,0.0
125,1,43,383,0.0
13,1,43,512,0.0
14,1,47,19,0.0
15,1,46,512,0.0
151,1,45,300,0.0
152,1,47,317,0.0
153,1,49,421,0.0
154,1,44,501,0.0
155,1,48,340,0.0
156,1,47,452,0.0
157,1,47,269,0.0
158,1,50,336,0.0
159,1,49,93,0.0
16,1,45,137,0.0
160,1,52,52,0.0
161,1,47,476,0.0
162,1,46,18,0.0
163,1,46,512,0.0
164,1,48,512,0.0
165,1,45,475,0.0
166,1,46,478,0.0
167,1,49,512,0.0
168,1,46,8,0.0
169,1,53,487,0.0
17,1,44,285,0.0
170,1,51,512,0.0
171,1,51,311,0.0
172,1,51,344,0.0
173,1,49,512,0.0
174,1,50,490,0.0
175,1,51,31,0.0
18,1,44,512,0.0
19,1,48,512,0.0
2,1,43,490,0.0
20,1,46,312,0.0
201,1,42,304,0.0
202,1,39,512,0.0
203,1,40,291,0.0
204,1,40,296,0.0
205,1,44,211,0.0
206,1,39,469,0.0
207,1,40,469,0.0
208,1,40,442,0.0
209,1,44,512,0.0
21,1,45,512,0.0
210,1,39,372,0.0
211,1,47,347,0.0
212,1,45,280,0.0
213,1,46,196,0.0
214,1,47,213,0.0
215,1,45,230,0.0
216,1,39,358,0.0
217,1,41,407,0.0
