method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
no_defense_local,none,1,target,local,0,0,18,512,9.070641607046127
no_defense_local,none,2,target,local,0,0,18,495,8.77200889121741
no_defense_local,none,3,target,local,0,0,19,512,8.825491827912629
no_defense_local,none,4,target,local,0,0,19,512,9.016920112073421
no_defense_local,none,5,target,local,0,0,20,412,7.079888980835676
no_defense_local,none,6,target,local,0,0,18,487,8.392306856811047
no_defense_local,none,7,target,local,0,0,19,512,8.789538907818496
no_defense_local,none,8,target,local,0,0,19,512,8.628104931674898
no_defense_local,none,9,target,local,0,0,22,512,9.003166656009853
no_defense_local,none,10,target,local,0,0,18,377,7.166467641480267
no_defense_local,none,11,target,local,0,0,20,462,7.912102768197656
no_defense_local,none,12,target,local,0,0,19,512,8.519939132966101
no_defense_local,none,13,target,local,0,0,18,512,8.78346685692668
no_defense_local,none,14,target,local,0,0,22,512,9.141710562631488
no_defense_local,none,15,target,local,0,0,21,512,8.678322424180806
no_defense_local,none,16,target,local,0,0,20,142,2.521213353611529
no_defense_local,none,17,target,local,0,0,19,284,5.226264074444771
no_defense_local,none,18,target,local,0,0,19,512,9.238019625656307
no_defense_local,none,19,target,local,0,0,23,512,8.745843197219074
no_defense_local,none,20,target,local,0,0,21,337,5.849137347191572
no_defense_local,none,21,target,local,0,0,20,512,9.38085578661412
no_defense_local,none,22,target,local,0,0,23,462,8.304210984148085
no_defense_local,none,23,target,local,0,0,22,512,8.571210716851056
no_defense_local,none,24,target,local,0,0,21,476,9.291161959059536
no_defense_local,none,25,target,local,0,0,22,512,8.91909993905574
no_defense_local,none,51,target,local,0,0,21,512,8.871559393592179
no_defense_local,none,52,target,local,0,0,23,197,3.2915239529684186
no_defense_local,none,53,target,local,0,0,22,452,8.81884755473584
no_defense_local,none,54,target,local,0,0,20,483,8.177723060362041
no_defense_local,none,55,target,local,0,0,21,488,8.64125804696232
no_defense_local,none,56,target,local,0,0,22,403,6.720887307077646
no_defense_local,none,57,target,local,0,0,24,409,7.1826209696009755
no_defense_local,none,58,target,local,0,0,22,462,8.16828759200871
no_defense_local,none,59,target,local,0,0,18,445,7.61807822342962
no_defense_local,none,60,target,local,0,0,22,498,8.420449690893292
no_defense_local,none,61,target,local,0,0,20,453,7.731615962460637
no_defense_local,none,62,target,local,0,0,23,512,8.649598292075098
no_defense_local,none,63,target,local,0,0,22,512,9.477656752802432
no_defense_local,none,64,target,local,0,0,19,428,7.3221991481259465
no_defense_local,none,65,target,local,0,0,21,512,9.234238168224692
no_defense_local,none,66,target,local,0,0,20,487,8.542471075430512
no_defense_local,none,67,target,local,0,0,21,412,6.882382046431303
no_defense_local,none,68,target,local,0,0,18,441,7.651541611179709
no_defense_local,none,69,target,local,0,0,19,503,8.828476389870048
no_defense_local,none,70,target,local,0,0,18,512,9.711528065614402
no_defense_local,none,71,target,local,0,0,21,512,8.701163994148374
no_defense_local,none,72,target,local,0,0,22,512,8.666639113798738
no_defense_local,none,73,target,local,0,0,22,512,8.924025080166757
no_defense_local,none,74,target,local,0,0,21,512,8.979686383157969
no_defense_local,none,75,target,local,0,0,23,512,8.740019269287586
no_defense_local,none,101,target,local,0,0,21,512,8.62200416624546
no_defense_local,none,102,target,local,0,0,20,448,7.501877274364233
no_defense_local,none,103,target,local,0,0,21,418,6.999163988046348
no_defense_local,none,104,target,local,0,0,20,512,9.213723751716316
no_defense_local,none,105,target,local,0,0,21,498,8.761556341312826
no_defense_local,none,106,target,local,0,0,20,433,7.370604829862714
no_defense_local,none,107,target,local,0,0,19,512,9.433805757202208
no_defense_local,none,108,target,local,0,0,20,512,9.257382921874523
no_defense_local,none,109,target,local,0,0,24,289,4.929325393401086
no_defense_local,none,110,target,local,0,0,22,490,8.470912706106901
no_defense_local,none,111,target,local,0,0,24,512,9.173317237757146
no_defense_local,none,112,target,local,0,0,16,512,8.7901505343616
no_defense_local,none,113,target,local,0,0,20,428,7.203975110314786
no_defense_local,none,114,target,local,0,0,22,448,7.5318324053660035
no_defense_local,none,115,target,local,0,0,24,512,8.687093374319375
no_defense_local,none,116,target,local,0,0,19,393,6.894954411312938
no_defense_local,none,117,target,local,0,0,22,512,8.976515328511596
no_defense_local,none,118,target,local,0,0,23,512,8.660938429646194
no_defense_local,none,119,target,local,0,0,19,512,8.52934323810041
no_defense_local,none,120,target,local,0,0,21,408,6.797124528326094
no_defense_local,none,121,target,local,0,0,19,467,7.829566517844796
no_defense_local,none,122,target,local,0,0,25,512,8.855419314466417
no_defense_local,none,123,target,local,0,0,24,512,8.7982570650056
no_defense_local,none,124,target,local,0,0,20,512,8.970928295515478
no_defense_local,none,125,target,local,0,0,18,434,7.405574440024793
no_defense_local,none,151,target,local,0,0,20,512,8.587377713993192
no_defense_local,none,152,target,local,0,0,22,391,6.927209400571883
no_defense_local,none,153,target,local,0,0,24,25,0.5167393516749144
no_defense_local,none,154,target,local,0,0,19,419,7.4868657030165195
no_defense_local,none,155,target,local,0,0,23,512,8.964808990247548
no_defense_local,none,156,target,local,0,0,22,380,6.424528318457305
no_defense_local,none,157,target,local,0,0,22,404,6.924321468919516
no_defense_local,none,158,target,local,0,0,25,113,1.883360255509615
no_defense_local,none,159,target,local,0,0,24,171,2.9932447653263807
no_defense_local,none,160,target,local,0,0,27,229,3.8338491106405854
no_defense_local,none,161,target,local,0,0,22,512,8.954986901022494
no_defense_local,none,162,target,local,0,0,21,29,0.5028752125799656
no_defense_local,none,163,target,local,0,0,21,512,9.362760700285435
no_defense_local,none,164,target,local,0,0,23,512,9.301022131927311
no_defense_local,none,165,target,local,0,0,20,503,8.949536518193781
no_defense_local,none,166,target,local,0,0,21,184,3.1114213913679123
no_defense_local,none,167,target,local,0,0,24,512,9.181980619207025
no_defense_local,none,168,target,local,0,0,21,30,0.49953020364046097
no_defense_local,none,169,target,local,0,0,28,512,9.31151978764683
no_defense_local,none,170,target,local,0,0,26,512,8.866516980342567
no_defense_local,none,171,target,local,0,0,26,27,0.44790482986718416
no_defense_local,none,172,target,local,0,0,26,434,7.352898163720965
no_defense_local,none,173,target,local,0,0,24,512,8.584042437374592
no_defense_local,none,174,target,local,0,0,25,512,8.658561305142939
no_defense_local,none,175,target,local,0,0,26,116,2.2083422150462866
no_defense_local,none,201,target,local,0,0,17,399,7.012566382996738
no_defense_local,none,202,target,local,0,0,14,469,7.943270149640739
no_defense_local,none,203,target,local,0,0,15,269,4.527676091529429
no_defense_local,none,204,target,local,0,0,15,332,5.8378004571422935
no_defense_local,none,205,target,local,0,0,19,260,4.512594770640135
no_defense_local,none,206,target,local,0,0,14,395,6.65652372315526
no_defense_local,none,207,target,local,0,0,15,402,6.812299460172653
no_defense_local,none,208,target,local,0,0,15,371,6.378577288240194
no_defense_local,none,209,target,local,0,0,19,512,8.88574085664004
no_defense_local,none,210,target,local,0,0,14,458,7.717712596990168
no_defense_local,none,211,target,local,0,0,22,28,0.46821290999650955
no_defense_local,none,212,target,local,0,0,20,280,4.791406536474824
no_defense_local,none,213,target,local,0,0,21,339,6.298472948372364
no_defense_local,none,214,target,local,0,0,22,246,4.110374544747174
no_defense_local,none,215,target,local,0,0,20,323,5.418890381231904
no_defense_local,none,216,target,local,0,0,14,360,6.286691008135676
no_defense_local,none,217,target,local,0,0,16,338,5.899505994282663
no_defense_local,none,218,target,local,0,0,17,336,5.609658446162939
no_defense_local,none,219,target,local,0,0,18,249,4.262444364838302
no_defense_local,none,220,target,local,0,0,14,369,6.697653605602682
no_defense_local,none,221,target,local,0,0,14,315,5.354318207129836
no_defense_local,none,222,target,local,0,0,15,473,7.969196411781013
no_defense_local,none,223,target,local,0,0,14,498,9.309059121645987
no_defense_local,none,224,target,local,0,0,15,490,8.522144835442305
no_defense_local,none,225,target,local,0,0,14,429,7.498450118117034
no_defense_local,none,251,target,local,0,0,18,121,2.0285809263587
no_defense_local,none,252,target,local,0,0,20,228,4.001150701195002
no_defense_local,none,253,target,local,0,0,19,107,2.1781731862574816
no_defense_local,none,254,target,local,0,0,21,140,2.4457010999321938
no_defense_local,none,255,target,local,0,0,23,115,1.913394320756197
no_defense_local,none,256,target,local,0,0,20,171,2.866382410749793
no_defense_local,none,257,target,local,0,0,18,204,3.427726022899151
no_defense_local,none,258,target,local,0,0,17,124,2.2163980416953564
no_defense_local,none,259,target,local,0,0,18,104,1.734065524302423
no_defense_local,none,260,target,local,0,0,20,100,1.9466499872505665
no_defense_local,none,261,target,local,0,0,22,376,6.64206550642848
no_defense_local,none,262,target,local,0,0,20,147,2.559730153530836
no_defense_local,none,263,target,local,0,0,19,94,1.6366186402738094
no_defense_local,none,264,target,local,0,0,22,114,1.8912426559254527
no_defense_local,none,265,target,local,0,0,27,23,0.38398287910968065
no_defense_local,none,266,target,local,0,0,24,152,2.660866130143404
no_defense_local,none,267,target,local,0,0,22,105,1.7668420961126685
no_defense_local,none,268,target,local,0,0,19,195,3.3318924056366086
no_defense_local,none,269,target,local,0,0,21,126,2.107428395189345
no_defense_local,none,270,target,local,0,0,22,171,2.8809646191075444
no_defense_local,none,271,target,local,0,0,24,103,1.963055644184351
no_defense_local,none,272,target,local,0,0,21,122,2.162926879711449
no_defense_local,none,273,target,local,0,0,23,147,2.443483845330775
no_defense_local,none,274,target,local,0,0,25,197,3.335387844592333
no_defense_local,none,275,target,local,0,0,22,225,3.7443804470822215
no_defense_local,none,276,target,local,0,0,18,145,2.4615144077688456
no_defense_local,none,277,target,local,0,0,23,152,2.549641757272184
no_defense_local,none,278,target,local,0,0,19,168,2.784556420519948
no_defense_local,none,279,target,local,0,0,19,165,2.90728378854692
no_defense_local,none,280,target,local,0,0,22,219,3.724907706491649
no_defense_local,none,281,target,local,0,0,18,355,6.152194851078093
no_defense_local,none,282,target,local,0,0,18,205,3.5292525673285127
no_defense_local,none,283,target,local,0,0,17,177,3.110708269290626
no_defense_local,none,284,target,local,0,0,23,243,4.272834817878902
no_defense_local,none,285,target,local,0,0,24,173,3.0525802187621593
no_defense_local,none,286,target,local,0,0,21,376,6.393149106763303
no_defense_local,none,287,target,local,0,0,18,170,2.865981675684452
no_defense_local,none,288,target,local,0,0,18,116,1.9096146803349257
no_defense_local,none,289,target,local,0,0,23,223,3.702227267436683
no_defense_local,none,290,target,local,0,0,20,156,2.6028851652517915
no_defense_local,none,291,target,local,0,0,24,444,7.512788014486432
no_defense_local,none,292,target,local,0,0,18,216,3.751318536698818
no_defense_local,none,293,target,local,0,0,20,209,3.5451243352144957
no_defense_local,none,294,target,local,0,0,20,161,2.6781918313354254
no_defense_local,none,295,target,local,0,0,21,161,2.7378897657617927
no_defense_local,none,296,target,local,0,0,18,174,3.299302877858281
no_defense_local,none,297,target,local,0,0,20,168,2.8129606200382113
no_defense_local,none,298,target,local,0,0,21,196,3.2756074322387576
no_defense_local,none,299,target,local,0,0,23,158,2.6186979692429304
no_defense_local,none,300,target,local,0,0,20,412,6.998638082295656
no_defense_local,none,326,target,local,0,0,21,512,8.686940018087626
no_defense_local,none,327,target,local,0,0,21,512,9.405558115802705
no_defense_local,none,328,target,local,0,0,21,473,8.390685142017901
no_defense_local,none,329,target,local,0,0,18,419,7.5683769369497895
no_defense_local,none,330,target,local,0,0,25,512,9.312639960087836
no_defense_local,none,331,target,local,0,0,18,512,8.60296147596091
no_defense_local,none,332,target,local,0,0,20,385,6.745481451973319
no_defense_local,none,333,target,local,0,0,18,512,9.34028806257993
no_defense_local,none,334,target,local,0,0,22,321,5.603185394778848
no_defense_local,none,335,target,local,0,0,24,316,5.462750400416553
no_defense_local,none,336,target,local,0,0,24,512,8.9951311936602
no_defense_local,none,337,target,local,0,0,23,475,7.991940372623503
no_defense_local,none,338,target,local,0,0,16,479,8.070779568515718
no_defense_local,none,339,target,local,0,0,24,252,4.941721944138408
no_defense_local,none,340,target,local,0,0,23,512,8.823997580446303
no_defense_local,none,341,target,local,0,0,17,291,4.908323388546705
no_defense_local,none,342,target,local,0,0,16,256,4.388374905101955
no_defense_local,none,343,target,local,0,0,17,373,6.316970808431506
no_defense_local,none,344,target,local,0,0,18,252,4.187494763173163
no_defense_local,none,345,target,local,0,0,17,317,5.297568955458701
no_defense_local,none,346,target,local,0,0,20,512,8.887120579369366
no_defense_local,none,347,target,local,0,0,23,356,6.493793522939086
no_defense_local,none,348,target,local,0,0,20,502,8.866039998829365
no_defense_local,none,349,target,local,0,0,25,512,8.79614139162004
no_defense_local,none,350,target,local,0,0,25,512,8.733190805651248
no_defense_local,none,376,target,local,0,0,19,65,1.0747957434505224
no_defense_local,none,377,target,local,0,0,20,48,0.806281971745193
no_defense_local,none,378,target,local,0,0,19,139,2.3093573078513145
no_defense_local,none,379,target,local,0,0,19,46,0.7589845545589924
no_defense_local,none,380,target,local,0,0,17,400,6.815586970187724
no_defense_local,none,381,target,local,0,0,17,375,6.471024744212627
no_defense_local,none,382,target,local,0,0,19,265,4.4676035810261965
no_defense_local,none,383,target,local,0,0,21,410,7.198346805758774
no_defense_local,none,384,target,local,0,0,21,127,2.157575709745288
no_defense_local,none,385,target,local,0,0,19,296,5.1365642715245485
no_defense_local,none,386,target,local,0,0,22,268,4.5037213852629066
no_defense_local,none,387,target,local,0,0,20,269,4.914119742810726
no_defense_local,none,388,target,local,0,0,21,15,0.25221157632768154
no_defense_local,none,389,target,local,0,0,16,15,0.2545984163880348
no_defense_local,none,390,target,local,0,0,20,25,0.41753811575472355
no_defense_local,none,391,target,local,0,0,24,28,0.47088425792753696
no_defense_local,none,392,target,local,0,0,18,408,6.86588378995657
no_defense_local,none,393,target,local,0,0,23,239,4.005207805894315
no_defense_local,none,394,target,local,0,0,20,351,6.074382229708135
no_defense_local,none,395,target,local,0,0,18,407,7.382090502418578
no_defense_local,none,396,target,local,0,0,21,43,0.8120266944169998
no_defense_local,none,397,target,local,0,0,15,74,1.230051975697279
no_defense_local,none,398,target,local,0,0,18,112,1.9564590202644467
no_defense_local,none,399,target,local,0,0,19,157,2.616307587362826
no_defense_local,none,400,target,local,0,0,19,324,5.5109283942729235
no_defense_local,none,401,target,local,0,0,19,143,2.4807971604168415
no_defense_local,none,402,target,local,0,0,26,107,2.042485320009291
no_defense_local,none,403,target,local,0,0,22,88,1.7413300601765513
no_defense_local,none,404,target,local,0,0,19,137,2.2943438766524196
no_defense_local,none,405,target,local,0,0,19,463,7.71381753962487
no_defense_local,none,406,target,local,0,0,18,92,1.536423895508051
no_defense_local,none,407,target,local,0,0,19,158,2.856858402490616
no_defense_local,none,408,target,local,0,0,19,151,3.145292868837714
no_defense_local,none,409,target,local,0,0,20,154,2.6751969354227185
no_defense_local,none,410,target,local,0,0,19,60,1.033470656722784
no_defense_local,none,411,target,local,0,0,18,156,2.672581576742232
no_defense_local,none,412,target,local,0,0,18,249,4.739092720672488
no_defense_local,none,413,target,local,0,0,20,150,2.664329028688371
no_defense_local,none,414,target,local,0,0,18,375,6.581729399971664
no_defense_local,none,415,target,local,0,0,18,243,4.165086408145726
no_defense_local,none,416,target,local,0,0,22,144,2.3975329948589206
no_defense_local,none,417,target,local,0,0,19,139,2.311276582069695
no_defense_local,none,418,target,local,0,0,20,178,2.9694654094055295
no_defense_local,none,419,target,local,0,0,23,143,2.366189142689109
no_defense_local,none,420,target,local,0,0,20,87,1.4451085645705462
no_defense_local,none,421,target,local,0,0,19,132,2.247148680500686
no_defense_local,none,422,target,local,0,0,18,309,5.561608509160578
no_defense_local,none,423,target,local,0,0,20,134,2.7558636413887143
no_defense_local,none,424,target,local,0,0,21,288,5.2024477841332555
no_defense_local,none,425,target,local,0,0,18,216,3.649076650850475
