request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
0,4,3583,1166,0,0,0.0,0.0
4,4,3519,1101,0,0,0.0,0.0
10,4,3549,1120,0,0,0.0,0.0
12,4,3397,1026,0,0,0.0,0.0
18,4,3547,1086,0,0,0.0,0.0
22,4,2562,732,0,0,0.0,0.0
26,4,3510,1111,0,0,0.0,0.0
30,4,3358,1061,0,0,0.0,0.0
31,4,3573,1131,0,0,0.0,0.0
33,4,3518,1080,0,0,0.0,0.0
39,4,3634,1165,0,0,0.0,0.0
42,4,3766,1251,0,0,0.0,0.0
44,4,3604,1165,0,0,0.0,0.0
45,4,2901,887,0,0,0.0,0.0
55,4,3504,1128,0,0,0.0,0.0
66,4,3431,1072,0,0,0.0,0.0
67,4,3699,1172,0,0,0.0,0.0
70,4,3444,1044,0,0,0.0,0.0
76,4,3559,1061,0,0,0.0,0.0
77,4,2844,940,0,0,0.0,0.0
78,4,3587,1104,0,0,0.0,0.0
84,4,3002,966,0,0,0.0,0.0
89,4,3604,1110,0,0,0.0,0.0
93,4,3665,1200,0,0,0.0,0.0
97,4,3559,1099,0,0,0.0,0.0
101,4,3208,987,0,0,0.0,0.0
105,4,3626,1152,0,0,0.0,0.0
106,4,3606,1146,0,0,0.0,0.0
110,4,3536,1167,0,0,0.0,0.0
111,4,2492,760,0,0,0.0,0.0
113,4,3583,1020,0,0,0.0,0.0
119,4,3666,1166,0,0,0.0,0.0
129,4,3403,1038,0,0,0.0,0.0
134,4,1961,483,0,0,0.0,0.0
135,4,2849,904,0,0,0.0,0.0
136,4,3720,1180,0,0,0.0,0.0
146,4,3700,1200,0,0,0.0,0.0
148,4,3614,1144,0,0,0.0,0.0
151,4,2363,638,0,0,0.0,0.0
154,4,3607,1141,0,0,0.0,0.0
159,4,1931,463,0,0,0.0,0.0
166,4,4085,1501,0,0,0.0,0.0
168,4,3553,1137,0,0,0.0,0.0
171,4,3726,1176,0,0,0.0,0.0
177,4,3315,1032,0,0,0.0,0.0
181,4,3673,1264,0,0,0.0,0.0
187,4,3559,1102,0,0,0.0,0.0
189,4,3414,1068,0,0,0.0,0.0
195,4,3108,901,0,0,0.0,0.0
199,4,2097,466,0,0,0.0,0.0
203,4,2349,720,0,0,0.0,0.0
207,4,2530,829,0,0,0.0,0.0
208,4,1995,500,0,0,0.0,0.0
210,4,3334,1057,0,0,0.0,0.0
216,4,2069,574,0,0,0.0,0.0
219,4,2367,660,0,0,0.0,0.0
221,4,2421,704,0,0,0.0,0.0
222,4,3593,1154,0,0,0.0,0.0
230,4,3033,896,0,0,0.0,0.0
232,4,3566,1150,0,0,0.0,0.0
246,4,3617,1139,0,0,0.0,0.0
247,4,2874,859,0,0,0.0,0.0
250,4,3696,1268,0,0,0.0,0.0
253,4,2839,863,0,0,0.0,0.0
