request_id,n_calls,api_in_tokens,api_out_tokens,local_sec
1,4,3771,1212,0.0
2,4,3328,1107,0.0
10,4,2801,826,0.0
101,4,3422,1048,0.0
102,4,3356,1064,0.0
103,4,2730,764,0.0
104,4,3500,1061,0.0
105,4,3793,1278,0.0
106,4,3641,1312,0.0
107,4,3632,1184,0.0
108,4,3505,1117,0.0
109,4,2802,856,0.0
11,4,3537,1142,0.0
110,4,3494,1078,0.0
111,4,3248,939,0.0
112,4,3856,1264,0.0
113,4,3411,1118,0.0
114,4,3262,984,0.0
115,4,3689,1199,0.0
116,4,3104,975,0.0
117,4,3550,1101,0.0
118,4,3854,1350,0.0
119,4,3565,1060,0.0
12,4,3594,1130,0.0
120,4,3406,1103,0.0
121,4,3516,1059,0.0
122,4,3622,1108,0.0
123,4,3617,1107,0.0
124,4,3542,1064,0.0
125,4,3271,1009,0.0
13,4,3469,1032,0.0
14,4,2089,588,0.0
15,4,3602,1082,0.0
151,4,3101,920,0.0
152,4,3095,940,0.0
153,4,3372,1154,0.0
154,4,3301,1003,0.0
155,4,3444,1076,0.0
156,4,3310,1011,0.0
157,4,3037,1084,0.0
158,4,3108,974,0.0
159,4,2258,583,0.0
16,4,2553,851,0.0
160,4,2127,526,0.0
161,4,3654,1201,0.0
162,4,3683,1204,0.0
163,4,3620,1088,0.0
164,4,3593,1145,0.0
165,4,3698,1193,0.0
166,4,3671,1232,0.0
167,4,3636,1182,0.0
168,4,1859,451,0.0
169,4,3685,1169,0.0
17,4,2738,811,0.0
170,4,3667,1172,0.0
171,4,2977,893,0.0
172,4,3184,1003,0.0
173,4,3605,1120,0.0
174,4,3498,1162,0.0
175,4,2296,638,0.0
18,4,3619,1214,0.0
19,4,3716,1175,0.0
20,4,2801,834,0.0
201,4,2588,757,0.0
202,4,3747,1292,0.0
203,4,3002,919,0.0
204,4,3053,979,0.0
205,4,2851,877,0.0
206,4,3386,1190,0.0
207,4,3056,945,0.0
208,4,3160,1016,0.0
209,4,3236,1018,0.0
21,4,3591,1099,0.0
210,4,3231,1009,0.0
211,4,2965,1014,0.0
212,4,2852,901,0.0
213,4,2914,878,0.0
214,4,2555,826,0.0
215,4,2695,772,0.0
216,4,3287,1100,0.0
217,4,3174,1013,0.0
218,4,2936,1047,0.0
