request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
0,3,645,969,0,0,0.0,0.0
10,3,700,1034,0,0,0.0,0.0
101,3,529,865,0,0,0.0,0.0
105,3,721,1050,0,0,0.0,0.0
106,3,704,1043,0,0,0.0,0.0
110,3,709,1041,0,0,0.0,0.0
111,3,337,680,0,0,0.0,0.0
113,3,709,780,0,0,0.0,0.0
119,3,675,1011,0,0,0.0,0.0
12,3,541,789,0,0,0.0,0.0
129,3,714,954,0,0,0.0,0.0
134,3,224,96,0,0,0.0,0.0
135,3,476,817,0,0,0.0,0.0
136,3,706,1044,0,0,0.0,0.0
146,3,717,1044,0,0,0.0,0.0
148,3,710,1048,0,0,0.0,0.0
151,3,389,611,0,0,0.0,0.0
154,3,703,1041,0,0,0.0,0.0
159,3,209,212,0,0,0.0,0.0
166,3,728,560,0,0,0.0,0.0
168,3,700,1039,0,0,0.0,0.0
171,3,724,1044,0,0,0.0,0.0
177,1,44,38,0,0,0.0,0.0
18,3,696,1036,0,0,0.0,0.0
181,3,703,893,0,0,0.0,0.0
187,3,621,889,0,0,0.0,0.0
189,3,633,960,0,0,0.0,0.0
195,3,556,895,0,0,0.0,0.0
199,3,264,605,0,0,0.0,0.0
203,3,328,670,0,0,0.0,0.0
207,3,461,802,0,0,0.0,0.0
208,3,228,573,0,0,0.0,0.0
210,3,710,1044,0,0,0.0,0.0
216,3,217,78,0,0,0.0,0.0
219,3,327,155,0,0,0.0,0.0
22,3,252,596,0,0,0.0,0.0
221,3,391,471,0,0,0.0,0.0
222,3,721,1050,0,0,0.0,0.0
230,3,524,465,0,0,0.0,0.0
232,3,697,1039,0,0,0.0,0.0
246,3,723,1047,0,0,0.0,0.0
247,1,44,359,0,0,0.0,0.0
250,3,606,940,0,0,0.0,0.0
253,3,489,757,0,0,0.0,0.0
254,3,255,123,0,0,0.0,0.0
257,3,301,466,0,0,0.0,0.0
26,3,660,1001,0,0,0.0,0.0
260,3,708,1038,0,0,0.0,0.0
265,3,718,1056,0,0,0.0,0.0
267,3,709,1042,0,0,0.0,0.0
277,3,346,223,0,0,0.0,0.0
281,3,703,995,0,0,0.0,0.0
287,3,711,1046,0,0,0.0,0.0
288,3,350,682,0,0,0.0,0.0
289,3,659,987,0,0,0.0,0.0
295,3,660,988,0,0,0.0,0.0
299,3,727,1046,0,0,0.0,0.0
30,3,696,1037,0,0,0.0,0.0
303,3,730,904,0,0,0.0,0.0
