request_id,n_calls,api_in_tokens,api_out_tokens,local_sec
1,3,692,1033,0.0
2,3,675,1017,0.0
10,3,567,909,0.0
101,3,700,999,0.0
102,3,591,859,0.0
103,3,468,725,0.0
104,3,706,1045,0.0
105,3,704,1042,0.0
106,3,228,103,0.0
107,3,645,986,0.0
108,3,709,1048,0.0
109,3,477,618,0.0
11,3,593,933,0.0
110,3,704,1041,0.0
111,3,621,957,0.0
112,3,696,1039,0.0
113,3,629,943,0.0
114,3,664,1002,0.0
115,3,714,1049,0.0
116,3,527,842,0.0
117,3,706,1043,0.0
118,3,629,966,0.0
119,3,705,1045,0.0
12,3,673,1014,0.0
120,3,654,993,0.0
121,3,681,1022,0.0
122,3,709,1043,0.0
123,3,694,1030,0.0
124,3,709,1048,0.0
125,3,569,909,0.0
13,3,660,1002,0.0
14,3,204,50,0.0
15,3,701,1039,0.0
151,3,488,827,0.0
152,3,506,844,0.0
153,3,559,871,0.0
154,3,689,1030,0.0
155,3,534,813,0.0
156,3,646,984,0.0
157,3,462,800,0.0
158,3,416,291,0.0
159,3,282,333,0.0
16,3,322,383,0.0
160,3,249,582,0.0
161,3,708,1045,0.0
162,3,209,456,0.0
163,3,681,1020,0.0
164,3,705,1041,0.0
165,3,669,1009,0.0
166,3,666,1005,0.0
167,3,640,976,0.0
168,3,191,490,0.0
169,3,683,1014,0.0
17,3,472,610,0.0
170,3,709,1042,0.0
171,3,538,840,0.0
172,3,547,840,0.0
173,3,704,1039,0.0
174,3,689,1024,0.0
175,3,222,556,0.0
18,3,704,1044,0.0
19,3,705,1041,0.0
20,3,504,637,0.0
201,3,487,830,0.0
202,3,713,1058,0.0
203,3,478,745,0.0
204,3,474,819,0.0
205,3,397,738,0.0
206,3,661,1007,0.0
207,3,651,996,0.0
208,3,623,968,0.0
209,3,699,1039,0.0
21,3,698,1037,0.0
210,3,548,894,0.0
211,3,526,864,0.0
212,3,433,725,0.0
213,3,393,652,0.0
214,3,404,408,0.0
215,3,419,579,0.0
216,3,578,924,0.0
217,3,585,929,0.0
218,3,511,854,0.0
219,3,401,743,0.0
22,1,48,43,0.0
220,3,694,1039,0.0
221,3,542,888,0.0
222,3,592,937,0.0
223,3,546,892,0.0
224,3,654,999,0.0
225,3,525,871,0.0
23,3,703,1040,0.0
24,3,683,1022,0.0
25,3,214,336,0.0
251,3,432,677,0.0
252,3,570,910,0.0
253,3,313,467,0.0
254,3,324,380,0.0
255,3,286,616,0.0
256,3,476,692,0.0
257,3,342,345,0.0
258,3,321,459,0.0
259,3,320,159,0.0
260,3,431,522,0.0
261,3,660,998,0.0
262,3,317,657,0.0
263,3,399,740,0.0
264,3,382,720,0.0
265,1,52,26,0.0
266,3,398,534,0.0
267,3,382,493,0.0
268,3,459,796,0.0
269,3,331,350,0.0
270,3,371,420,0.0
271,3,327,663,0.0
272,3,397,352,0.0
273,3,299,581,0.0
274,3,454,649,0.0
275,3,512,766,0.0
276,3,311,291,0.0
277,3,378,715,0.0
278,3,396,737,0.0
279,3,327,464,0.0
280,3,432,499,0.0
281,3,611,857,0.0
282,3,406,666,0.0
283,3,442,716,0.0
284,3,495,699,0.0
285,3,419,661,0.0
286,3,588,927,0.0
287,3,462,804,0.0
288,3,421,408,0.0
289,3,603,660,0.0
290,3,328,576,0.0
291,3,709,1044,0.0
292,3,397,739,0.0
293,3,382,722,0.0
294,3,343,429,0.0
295,3,378,717,0.0
296,3,484,691,0.0
297,3,478,818,0.0
298,3,348,455,0.0
299,3,553,841,0.0
3,3,702,1042,0.0
300,3,592,932,0.0
326,3,697,1035,0.0
327,3,709,1047,0.0
328,3,643,982,0.0
329,3,697,1038,0.0
330,3,707,1041,0.0
331,3,696,1037,0.0
332,3,654,994,0.0
333,3,700,1041,0.0
334,3,626,964,0.0
335,3,482,818,0.0
336,3,629,965,0.0
337,3,520,774,0.0
338,3,601,945,0.0
339,3,516,852,0.0
340,3,710,1046,0.0
341,3,382,725,0.0
342,3,396,740,0.0
343,3,499,842,0.0
344,3,391,514,0.0
345,3,430,773,0.0
346,3,698,1037,0.0
347,3,607,944,0.0
348,3,685,1024,0.0
349,3,708,1042,0.0
350,3,714,1048,0.0
376,3,207,59,0.0
377,3,223,241,0.0
378,3,218,276,0.0
379,3,233,560,0.0
380,3,620,948,0.0
381,3,460,589,0.0
382,3,400,421,0.0
383,3,453,527,0.0
384,3,361,699,0.0
385,3,502,834,0.0
386,3,375,379,0.0
387,3,383,606,0.0
388,3,203,45,0.0
389,3,197,51,0.0
390,3,203,543,0.0
391,3,213,549,0.0
392,3,578,920,0.0
393,3,235,572,0.0
394,3,459,522,0.0
395,3,697,1038,0.0
396,3,213,97,0.0
397,3,258,603,0.0
398,3,206,227,0.0
399,3,297,404,0.0
4,3,701,1041,0.0
400,3,408,749,0.0
401,1,44,24,0.0
402,3,343,184,0.0
403,3,215,66,0.0
404,3,254,561,0.0
405,3,499,840,0.0
406,3,227,289,0.0
407,1,44,24,0.0
408,1,44,40,0.0
409,1,45,25,0.0
410,3,224,77,0.0
411,3,227,338,0.0
412,3,253,375,0.0
413,3,393,608,0.0
414,3,557,898,0.0
415,3,231,124,0.0
416,3,303,154,0.0
417,1,44,24,0.0
418,3,211,57,0.0
419,3,213,503,0.0
420,3,278,222,0.0
421,1,44,27,0.0
422,3,580,922,0.0
423,3,283,357,0.0
424,3,238,445,0.0
425,3,418,446,0.0
5,3,663,941,0.0
51,3,702,1040,0.0
52,3,436,537,0.0
53,3,704,1041,0.0
54,3,671,1011,0.0
55,3,695,1034,0.0
56,3,623,467,0.0
57,3,621,941,0.0
58,3,658,996,0.0
59,3,700,1041,0.0
6,3,696,1037,0.0
60,3,706,1043,0.0
61,3,700,1039,0.0
62,3,707,1044,0.0
63,3,701,1038,0.0
64,3,705,1045,0.0
65,3,698,1037,0.0
66,3,700,1039,0.0
67,3,709,1047,0.0
68,3,577,843,0.0
69,3,698,1038,0.0
7,3,583,924,0.0
70,3,698,1039,0.0
71,3,700,1038,0.0
72,3,706,1043,0.0
73,3,703,1040,0.0
74,3,705,1042,0.0
75,3,706,1042,0.0
8,3,669,1010,0.0
9,3,704,1019,0.0
