method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
SelfDefend,post,0,target,api,50,450,0,0,0.0
SelfDefend,post,0,shadow_detect,api,125,2,0,0,0.0
SelfDefend,post,4,target,api,43,512,0,0,0.0
SelfDefend,post,4,shadow_detect,api,118,2,0,0,0.0
SelfDefend,post,10,target,api,50,512,0,0,0.0
SelfDefend,post,10,shadow_detect,api,125,2,0,0,0.0
SelfDefend,post,12,target,api,49,342,0,0,0.0
SelfDefend,post,12,shadow_detect,api,124,2,0,0,0.0
SelfDefend,post,18,target,api,44,512,0,0,0.0
SelfDefend,post,18,shadow_detect,api,119,2,0,0,0.0
SelfDefend,post,22,target,api,41,67,0,0,0.0
SelfDefend,post,22,shadow_detect,api,116,2,0,0,0.0
SelfDefend,post,26,target,api,44,471,0,0,0.0
SelfDefend,post,26,shadow_detect,api,119,2,0,0,0.0
SelfDefend,post,30,target,api,44,510,0,0,0.0
SelfDefend,post,30,shadow_detect,api,120,2,0,0,0.0
SelfDefend,post,31,target,api,44,441,0,0,0.0
SelfDefend,post,31,shadow_detect,api,119,2,0,0,0.0
SelfDefend,post,33,target,api,39,506,0,0,0.0
SelfDefend,post,33,shadow_detect,api,114,2,0,0,0.0
SelfDefend,post,39,target,api,44,512,0,0,0.0
SelfDefend,post,39,shadow_detect,api,119,2,0,0,0.0
SelfDefend,post,42,target,api,44,512,0,0,0.0
SelfDefend,post,42,shadow_detect,api,119,2,0,0,0.0
SelfDefend,post,44,target,api,48,512,0,0,0.0
SelfDefend,post,44,shadow_detect,api,123,2,0,0,0.0
SelfDefend,post,45,target,api,45,292,0,0,0.0
SelfDefend,post,45,shadow_detect,api,120,2,0,0,0.0
SelfDefend,post,55,target,api,50,512,0,0,0.0
SelfDefend,post,55,shadow_detect,api,125,2,0,0,0.0
SelfDefend,post,66,target,api,48,466,0,0,0.0
SelfDefend,post,66,shadow_detect,api,123,2,0,0,0.0
SelfDefend,post,67,target,api,47,512,0,0,0.0
SelfDefend,post,67,shadow_detect,api,122,2,0,0,0.0
SelfDefend,post,70,target,api,58,454,0,0,0.0
SelfDefend,post,70,shadow_detect,api,133,2,0,0,0.0
SelfDefend,post,76,target,api,53,512,0,0,0.0
SelfDefend,post,76,shadow_detect,api,128,2,0,0,0.0
SelfDefend,post,77,target,api,44,272,0,0,0.0
SelfDefend,post,77,shadow_detect,api,119,2,0,0,0.0
SelfDefend,post,78,target,api,57,512,0,0,0.0
SelfDefend,post,78,shadow_detect,api,132,2,0,0,0.0
SelfDefend,post,84,target,api,45,348,0,0,0.0
SelfDefend,post,84,shadow_detect,api,120,2,0,0,0.0
SelfDefend,post,89,target,api,60,512,0,0,0.0
SelfDefend,post,89,shadow_detect,api,135,2,0,0,0.0
SelfDefend,post,93,target,api,48,379,0,0,0.0
SelfDefend,post,93,shadow_detect,api,123,2,0,0,0.0
SelfDefend,post,97,target,api,42,512,0,0,0.0
SelfDefend,post,97,shadow_detect,api,117,2,0,0,0.0
SelfDefend,post,101,target,api,49,335,0,0,0.0
SelfDefend,post,101,shadow_detect,api,124,2,0,0,0.0
SelfDefend,post,105,target,api,55,512,0,0,0.0
SelfDefend,post,105,shadow_detect,api,130,21,0,0,0.0
SelfDefend,post,106,target,api,45,512,0,0,0.0
SelfDefend,post,106,shadow_detect,api,121,2,0,0,0.0
SelfDefend,post,110,target,api,52,512,0,0,0.0
SelfDefend,post,110,shadow_detect,api,127,2,0,0,0.0
SelfDefend,post,111,target,api,42,146,0,0,0.0
SelfDefend,post,111,shadow_detect,api,118,2,0,0,0.0
SelfDefend,post,113,target,api,54,512,0,0,0.0
SelfDefend,post,113,shadow_detect,api,130,2,0,0,0.0
SelfDefend,post,119,target,api,50,483,0,0,0.0
SelfDefend,post,119,shadow_detect,api,126,2,0,0,0.0
SelfDefend,post,129,target,api,51,512,0,0,0.0
SelfDefend,post,129,shadow_detect,api,127,2,0,0,0.0
SelfDefend,post,134,target,api,48,31,0,0,0.0
SelfDefend,post,134,shadow_detect,api,123,2,0,0,0.0
SelfDefend,post,135,target,api,44,285,0,0,0.0
SelfDefend,post,135,shadow_detect,api,120,2,0,0,0.0
SelfDefend,post,136,target,api,46,512,0,0,0.0
SelfDefend,post,136,shadow_detect,api,122,2,0,0,0.0
SelfDefend,post,146,target,api,58,512,0,0,0.0
SelfDefend,post,146,shadow_detect,api,134,2,0,0,0.0
SelfDefend,post,148,target,api,46,512,0,0,0.0
SelfDefend,post,148,shadow_detect,api,122,2,0,0,0.0
SelfDefend,post,151,target,api,163,80,0,0,0.0
SelfDefend,post,151,shadow_detect,api,238,89,0,0,0.0
SelfDefend,post,154,target,api,46,512,0,0,0.0
SelfDefend,post,154,shadow_detect,api,122,2,0,0,0.0
SelfDefend,post,159,target,api,45,25,0,0,0.0
SelfDefend,post,159,shadow_detect,api,121,2,0,0,0.0
SelfDefend,post,166,target,api,50,512,0,0,0.0
SelfDefend,post,166,shadow_detect,api,126,61,0,0,0.0
SelfDefend,post,168,target,api,45,512,0,0,0.0
SelfDefend,post,168,shadow_detect,api,121,2,0,0,0.0
SelfDefend,post,171,target,api,65,512,0,0,0.0
SelfDefend,post,171,shadow_detect,api,141,2,0,0,0.0
SelfDefend,post,177,target,api,44,38,0,0,0.0
SelfDefend,post,177,shadow_detect,api,119,2,0,0,0.0
SelfDefend,post,181,target,api,49,492,0,0,0.0
SelfDefend,post,181,shadow_detect,api,125,15,0,0,0.0
SelfDefend,post,187,target,api,59,419,0,0,0.0
SelfDefend,post,187,shadow_detect,api,135,2,0,0,0.0
SelfDefend,post,189,target,api,58,432,0,0,0.0
SelfDefend,post,189,shadow_detect,api,133,2,0,0,0.0
SelfDefend,post,195,target,api,46,372,0,0,0.0
SelfDefend,post,195,shadow_detect,api,122,53,0,0,0.0
