request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
0,2,175,452,0,0,0.0,0.0
4,2,161,514,0,0,0.0,0.0
10,2,175,514,0,0,0.0,0.0
12,2,173,344,0,0,0.0,0.0
18,2,163,514,0,0,0.0,0.0
22,2,157,69,0,0,0.0,0.0
26,2,163,473,0,0,0.0,0.0
30,2,164,512,0,0,0.0,0.0
31,2,163,443,0,0,0.0,0.0
33,2,153,508,0,0,0.0,0.0
39,2,163,514,0,0,0.0,0.0
42,2,163,514,0,0,0.0,0.0
44,2,171,514,0,0,0.0,0.0
45,2,165,294,0,0,0.0,0.0
55,2,175,514,0,0,0.0,0.0
66,2,171,468,0,0,0.0,0.0
67,2,169,514,0,0,0.0,0.0
70,2,191,456,0,0,0.0,0.0
76,2,181,514,0,0,0.0,0.0
77,2,163,274,0,0,0.0,0.0
78,2,189,514,0,0,0.0,0.0
84,2,165,350,0,0,0.0,0.0
89,2,195,514,0,0,0.0,0.0
93,2,171,381,0,0,0.0,0.0
97,2,159,514,0,0,0.0,0.0
101,2,173,337,0,0,0.0,0.0
105,2,185,533,0,0,0.0,0.0
106,2,166,514,0,0,0.0,0.0
110,2,179,514,0,0,0.0,0.0
111,2,160,148,0,0,0.0,0.0
113,2,184,514,0,0,0.0,0.0
119,2,176,485,0,0,0.0,0.0
129,2,178,514,0,0,0.0,0.0
134,2,171,33,0,0,0.0,0.0
135,2,164,287,0,0,0.0,0.0
136,2,168,514,0,0,0.0,0.0
146,2,192,514,0,0,0.0,0.0
148,2,168,514,0,0,0.0,0.0
151,2,401,169,0,0,0.0,0.0
154,2,168,514,0,0,0.0,0.0
159,2,166,27,0,0,0.0,0.0
166,2,176,573,0,0,0.0,0.0
168,2,166,514,0,0,0.0,0.0
171,2,206,514,0,0,0.0,0.0
177,2,163,40,0,0,0.0,0.0
181,2,174,507,0,0,0.0,0.0
187,2,194,421,0,0,0.0,0.0
189,2,191,434,0,0,0.0,0.0
195,2,168,425,0,0,0.0,0.0
199,2,163,83,0,0,0.0,0.0
203,2,161,144,0,0,0.0,0.0
207,2,163,259,0,0,0.0,0.0
208,2,155,45,0,0,0.0,0.0
210,2,175,514,0,0,0.0,0.0
216,2,158,37,0,0,0.0,0.0
219,2,204,122,0,0,0.0,0.0
221,2,157,210,0,0,0.0,0.0
222,2,185,571,0,0,0.0,0.0
230,2,221,376,0,0,0.0,0.0
232,2,159,514,0,0,0.0,0.0
246,2,195,514,0,0,0.0,0.0
247,2,163,361,0,0,0.0,0.0
250,2,177,412,0,0,0.0,0.0
253,2,163,303,0,0,0.0,0.0
254,2,193,67,0,0,0.0,0.0
257,2,195,102,0,0,0.0,0.0
260,2,185,514,0,0,0.0,0.0
265,2,168,514,0,0,0.0,0.0
267,2,178,566,0,0,0.0,0.0
277,2,233,166,0,0,0.0,0.0
281,2,169,514,0,0,0.0,0.0
287,2,173,514,0,0,0.0,0.0
288,2,181,158,0,0,0.0,0.0
289,2,190,457,0,0,0.0,0.0
295,2,190,461,0,0,0.0,0.0
299,2,206,514,0,0,0.0,0.0
303,2,226,514,0,0,0.0,0.0
308,2,194,514,0,0,0.0,0.0
313,2,619,514,0,0,0.0,0.0
317,2,175,488,0,0,0.0,0.0
322,2,179,480,0,0,0.0,0.0
324,2,178,247,0,0,0.0,0.0
330,2,176,303,0,0,0.0,0.0
343,2,183,36,0,0,0.0,0.0
344,2,240,257,0,0,0.0,0.0
346,2,194,309,0,0,0.0,0.0
347,2,166,468,0,0,0.0,0.0
349,2,313,136,0,0,0.0,0.0
357,2,178,470,0,0,0.0,0.0
358,2,191,62,0,0,0.0,0.0
360,2,213,162,0,0,0.0,0.0
368,2,184,490,0,0,0.0,0.0
375,2,215,392,0,0,0.0,0.0
381,2,189,28,0,0,0.0,0.0
384,2,207,167,0,0,0.0,0.0
387,2,171,514,0,0,0.0,0.0
388,2,167,404,0,0,0.0,0.0
398,2,193,514,0,0,0.0,0.0
399,2,175,509,0,0,0.0,0.0
405,2,187,441,0,0,0.0,0.0
407,2,177,382,0,0,0.0,0.0
413,2,207,461,0,0,0.0,0.0
414,2,203,514,0,0,0.0,0.0
417,2,205,514,0,0,0.0,0.0
418,2,215,514,0,0,0.0,0.0
425,2,179,514,0,0,0.0,0.0
426,2,198,514,0,0,0.0,0.0
427,2,285,151,0,0,0.0,0.0
429,2,187,499,0,0,0.0,0.0
437,2,267,562,0,0,0.0,0.0
442,2,195,550,0,0,0.0,0.0
444,2,171,514,0,0,0.0,0.0
445,2,191,408,0,0,0.0,0.0
450,2,172,514,0,0,0.0,0.0
453,2,165,514,0,0,0.0,0.0
462,2,265,514,0,0,0.0,0.0
465,2,169,514,0,0,0.0,0.0
466,2,179,514,0,0,0.0,0.0
476,2,199,525,0,0,0.0,0.0
477,2,165,514,0,0,0.0,0.0
479,2,187,453,0,0,0.0,0.0
480,2,475,250,0,0,0.0,0.0
483,2,209,581,0,0,0.0,0.0
493,2,189,514,0,0,0.0,0.0
495,2,191,514,0,0,0.0,0.0
496,2,191,514,0,0,0.0,0.0
497,2,337,514,0,0,0.0,0.0
498,2,231,383,0,0,0.0,0.0
510,2,167,339,0,0,0.0,0.0
512,2,183,570,0,0,0.0,0.0
513,2,163,203,0,0,0.0,0.0
517,2,167,514,0,0,0.0,0.0
524,2,177,514,0,0,0.0,0.0
528,2,165,433,0,0,0.0,0.0
529,2,171,514,0,0,0.0,0.0
531,2,203,514,0,0,0.0,0.0
533,2,175,481,0,0,0.0,0.0
539,2,173,496,0,0,0.0,0.0
546,2,197,514,0,0,0.0,0.0
549,2,173,301,0,0,0.0,0.0
564,2,173,277,0,0,0.0,0.0
568,2,215,514,0,0,0.0,0.0
572,2,191,514,0,0,0.0,0.0
577,2,229,561,0,0,0.0,0.0
584,2,169,514,0,0,0.0,0.0
585,2,173,269,0,0,0.0,0.0
593,2,157,392,0,0,0.0,0.0
595,2,198,523,0,0,0.0,0.0
600,2,175,28,0,0,0.0,0.0
602,2,179,229,0,0,0.0,0.0
605,2,301,173,0,0,0.0,0.0
606,2,201,440,0,0,0.0,0.0
612,2,181,514,0,0,0.0,0.0
613,2,167,514,0,0,0.0,0.0
616,2,211,514,0,0,0.0,0.0
623,2,219,519,0,0,0.0,0.0
631,2,233,334,0,0,0.0,0.0
635,2,191,514,0,0,0.0,0.0
638,2,209,514,0,0,0.0,0.0
641,2,159,363,0,0,0.0,0.0
646,2,161,514,0,0,0.0,0.0
649,2,175,514,0,0,0.0,0.0
650,2,285,524,0,0,0.0,0.0
651,2,165,444,0,0,0.0,0.0
652,2,165,514,0,0,0.0,0.0
653,2,183,514,0,0,0.0,0.0
654,2,167,376,0,0,0.0,0.0
657,2,169,514,0,0,0.0,0.0
658,2,281,572,0,0,0.0,0.0
659,2,171,514,0,0,0.0,0.0
669,2,177,463,0,0,0.0,0.0
670,2,167,514,0,0,0.0,0.0
676,2,175,514,0,0,0.0,0.0
686,2,195,326,0,0,0.0,0.0
698,2,177,436,0,0,0.0,0.0
701,2,213,566,0,0,0.0,0.0
706,2,159,408,0,0,0.0,0.0
709,2,169,402,0,0,0.0,0.0
715,2,265,514,0,0,0.0,0.0
717,2,171,514,0,0,0.0,0.0
720,2,189,514,0,0,0.0,0.0
724,2,189,212,0,0,0.0,0.0
730,2,209,392,0,0,0.0,0.0
732,2,289,514,0,0,0.0,0.0
738,2,223,113,0,0,0.0,0.0
742,2,189,389,0,0,0.0,0.0
748,2,249,166,0,0,0.0,0.0
750,2,215,225,0,0,0.0,0.0
751,2,241,122,0,0,0.0,0.0
753,2,189,203,0,0,0.0,0.0
755,2,188,514,0,0,0.0,0.0
760,2,199,514,0,0,0.0,0.0
765,2,201,654,0,0,0.0,0.0
769,2,181,483,0,0,0.0,0.0
775,2,667,102,0,0,0.0,0.0
781,2,231,514,0,0,0.0,0.0
787,2,217,514,0,0,0.0,0.0
788,2,209,514,0,0,0.0,0.0
790,2,201,514,0,0,0.0,0.0
793,2,252,514,0,0,0.0,0.0
