method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
SelfDefend,post,1,target,api,43,512,0,0,0.0
SelfDefend,post,1,shadow_detect,api,118,54,0,0,0.0
SelfDefend,post,2,target,api,43,490,0,0,0.0
SelfDefend,post,2,shadow_detect,api,118,76,0,0,0.0
SelfDefend,post,3,target,api,44,512,0,0,0.0
SelfDefend,post,3,shadow_detect,api,119,2,0,0,0.0
SelfDefend,post,4,target,api,44,512,0,0,0.0
SelfDefend,post,4,shadow_detect,api,119,10,0,0,0.0
SelfDefend,post,5,target,api,45,475,0,0,0.0
SelfDefend,post,5,shadow_detect,api,120,50,0,0,0.0
SelfDefend,post,6,target,api,43,493,0,0,0.0
SelfDefend,post,6,shadow_detect,api,118,2,0,0,0.0
SelfDefend,post,7,target,api,44,385,0,0,0.0
SelfDefend,post,7,shadow_detect,api,119,2,0,0,0.0
SelfDefend,post,8,target,api,44,481,0,0,0.0
SelfDefend,post,8,shadow_detect,api,119,35,0,0,0.0
SelfDefend,post,9,target,api,47,498,0,0,0.0
SelfDefend,post,9,shadow_detect,api,122,2,0,0,0.0
SelfDefend,post,10,target,api,43,395,0,0,0.0
SelfDefend,post,10,shadow_detect,api,118,64,0,0,0.0
SelfDefend,post,11,target,api,45,404,0,0,0.0
SelfDefend,post,11,shadow_detect,api,120,2,0,0,0.0
SelfDefend,post,12,target,api,44,512,0,0,0.0
SelfDefend,post,12,shadow_detect,api,119,2,0,0,0.0
SelfDefend,post,13,target,api,43,512,0,0,0.0
SelfDefend,post,13,shadow_detect,api,118,2,0,0,0.0
SelfDefend,post,14,target,api,47,19,0,0,0.0
SelfDefend,post,14,shadow_detect,api,122,13,0,0,0.0
SelfDefend,post,15,target,api,46,512,0,0,0.0
SelfDefend,post,15,shadow_detect,api,121,2,0,0,0.0
SelfDefend,post,16,target,api,45,137,0,0,0.0
SelfDefend,post,16,shadow_detect,api,120,2,0,0,0.0
SelfDefend,post,17,target,api,44,285,0,0,0.0
SelfDefend,post,17,shadow_detect,api,119,2,0,0,0.0
SelfDefend,post,18,target,api,44,512,0,0,0.0
SelfDefend,post,18,shadow_detect,api,119,23,0,0,0.0
SelfDefend,post,19,target,api,48,511,0,0,0.0
SelfDefend,post,19,shadow_detect,api,123,2,0,0,0.0
