request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
1,2,161,566,0,0,0.0,0.0
10,2,161,459,0,0,0.0,0.0
101,2,167,514,0,0,0.0,0.0
102,2,165,376,0,0,0.0,0.0
103,2,167,292,0,0,0.0,0.0
104,2,165,514,0,0,0.0,0.0
105,2,167,514,0,0,0.0,0.0
106,2,165,52,0,0,0.0,0.0
107,2,163,509,0,0,0.0,0.0
108,2,165,521,0,0,0.0,0.0
109,2,173,301,0,0,0.0,0.0
11,2,165,406,0,0,0.0,0.0
110,2,169,514,0,0,0.0,0.0
111,2,173,436,0,0,0.0,0.0
112,2,157,514,0,0,0.0,0.0
113,2,165,363,0,0,0.0,0.0
114,2,169,484,0,0,0.0,0.0
115,2,173,532,0,0,0.0,0.0
116,2,163,316,0,0,0.0,0.0
117,2,169,546,0,0,0.0,0.0
118,2,171,476,0,0,0.0,0.0
119,2,163,514,0,0,0.0,0.0
12,2,163,514,0,0,0.0,0.0
120,2,167,465,0,0,0.0,0.0
121,2,163,507,0,0,0.0,0.0
122,2,175,545,0,0,0.0,0.0
123,2,173,513,0,0,0.0,0.0
124,2,165,530,0,0,0.0,0.0
125,2,161,360,0,0,0.0,0.0
13,2,161,514,0,0,0.0,0.0
14,2,169,32,0,0,0.0,0.0
15,2,167,514,0,0,0.0,0.0
151,2,165,338,0,0,0.0,0.0
152,2,169,319,0,0,0.0,0.0
153,2,173,436,0,0,0.0,0.0
154,2,163,511,0,0,0.0,0.0
155,2,171,354,0,0,0.0,0.0
156,2,169,454,0,0,0.0,0.0
157,2,169,271,0,0,0.0,0.0
158,2,175,230,0,0,0.0,0.0
159,2,173,95,0,0,0.0,0.0
16,2,165,139,0,0,0.0,0.0
160,2,179,54,0,0,0.0,0.0
161,2,169,478,0,0,0.0,0.0
162,2,167,27,0,0,0.0,0.0
163,2,167,541,0,0,0.0,0.0
164,2,171,514,0,0,0.0,0.0
165,2,165,497,0,0,0.0,0.0
166,2,167,480,0,0,0.0,0.0
167,2,173,470,0,0,0.0,0.0
168,2,167,20,0,0,0.0,0.0
169,2,181,519,0,0,0.0,0.0
17,2,163,287,0,0,0.0,0.0
170,2,177,514,0,0,0.0,0.0
171,2,177,379,0,0,0.0,0.0
172,2,177,358,0,0,0.0,0.0
173,2,173,527,0,0,0.0,0.0
174,2,175,510,0,0,0.0,0.0
175,2,177,33,0,0,0.0,0.0
18,2,163,535,0,0,0.0,0.0
19,2,171,513,0,0,0.0,0.0
2,2,161,566,0,0,0.0,0.0
20,2,167,326,0,0,0.0,0.0
201,2,159,316,0,0,0.0,0.0
202,2,153,514,0,0,0.0,0.0
203,2,155,293,0,0,0.0,0.0
204,2,155,298,0,0,0.0,0.0
205,2,163,213,0,0,0.0,0.0
206,2,153,471,0,0,0.0,0.0
207,2,155,499,0,0,0.0,0.0
208,2,155,444,0,0,0.0,0.0
209,2,163,514,0,0,0.0,0.0
21,2,165,514,0,0,0.0,0.0
210,2,153,374,0,0,0.0,0.0
211,2,169,312,0,0,0.0,0.0
212,2,165,282,0,0,0.0,0.0
213,2,167,188,0,0,0.0,0.0
214,2,169,215,0,0,0.0,0.0
215,2,165,232,0,0,0.0,0.0
216,2,153,398,0,0,0.0,0.0
217,2,157,409,0,0,0.0,0.0
218,2,159,353,0,0,0.0,0.0
219,2,161,222,0,0,0.0,0.0
22,2,171,57,0,0,0.0,0.0
220,2,153,534,0,0,0.0,0.0
221,2,153,368,0,0,0.0,0.0
222,2,155,411,0,0,0.0,0.0
223,2,153,369,0,0,0.0,0.0
224,2,155,495,0,0,0.0,0.0
225,2,153,306,0,0,0.0,0.0
23,2,169,514,0,0,0.0,0.0
24,2,167,511,0,0,0.0,0.0
25,2,169,37,0,0,0.0,0.0
251,2,161,165,0,0,0.0,0.0
252,2,165,367,0,0,0.0,0.0
253,2,163,127,0,0,0.0,0.0
254,2,167,134,0,0,0.0,0.0
255,2,171,97,0,0,0.0,0.0
256,2,165,290,0,0,0.0,0.0
257,2,161,129,0,0,0.0,0.0
258,2,159,140,0,0,0.0,0.0
259,2,161,157,0,0,0.0,0.0
260,2,165,212,0,0,0.0,0.0
261,2,169,455,0,0,0.0,0.0
262,2,165,93,0,0,0.0,0.0
263,2,163,205,0,0,0.0,0.0
264,2,169,195,0,0,0.0,0.0
265,2,179,43,0,0,0.0,0.0
266,2,173,258,0,0,0.0,0.0
267,2,169,291,0,0,0.0,0.0
268,2,163,273,0,0,0.0,0.0
269,2,167,145,0,0,0.0,0.0
270,2,169,262,0,0,0.0,0.0
271,2,173,131,0,0,0.0,0.0
272,2,167,208,0,0,0.0,0.0
273,2,171,111,0,0,0.0,0.0
274,2,175,256,0,0,0.0,0.0
275,2,169,299,0,0,0.0,0.0
276,2,161,113,0,0,0.0,0.0
277,2,171,178,0,0,0.0,0.0
278,2,163,205,0,0,0.0,0.0
279,2,163,142,0,0,0.0,0.0
280,2,169,242,0,0,0.0,0.0
281,2,161,429,0,0,0.0,0.0
282,2,161,201,0,0,0.0,0.0
283,2,159,238,0,0,0.0,0.0
284,2,171,291,0,0,0.0,0.0
285,2,173,225,0,0,0.0,0.0
286,2,167,401,0,0,0.0,0.0
287,2,161,278,0,0,0.0,0.0
288,2,161,225,0,0,0.0,0.0
289,2,171,370,0,0,0.0,0.0
290,2,165,144,0,0,0.0,0.0
291,2,173,488,0,0,0.0,0.0
292,2,161,208,0,0,0.0,0.0
293,2,165,221,0,0,0.0,0.0
294,2,165,118,0,0,0.0,0.0
295,2,167,192,0,0,0.0,0.0
296,2,161,299,0,0,0.0,0.0
297,2,165,282,0,0,0.0,0.0
298,2,167,160,0,0,0.0,0.0
299,2,171,325,0,0,0.0,0.0
3,2,163,514,0,0,0.0,0.0
300,2,165,414,0,0,0.0,0.0
326,2,167,514,0,0,0.0,0.0
327,2,167,514,0,0,0.0,0.0
328,2,167,453,0,0,0.0,0.0
329,2,161,514,0,0,0.0,0.0
330,2,175,514,0,0,0.0,0.0
331,2,161,514,0,0,0.0,0.0
332,2,165,480,0,0,0.0,0.0
333,2,161,514,0,0,0.0,0.0
334,2,169,453,0,0,0.0,0.0
335,2,173,280,0,0,0.0,0.0
336,2,173,467,0,0,0.0,0.0
337,2,171,330,0,0,0.0,0.0
338,2,157,417,0,0,0.0,0.0
339,2,173,321,0,0,0.0,0.0
340,2,171,514,0,0,0.0,0.0
341,2,159,244,0,0,0.0,0.0
342,2,157,155,0,0,0.0,0.0
343,2,159,319,0,0,0.0,0.0
344,2,161,221,0,0,0.0,0.0
345,2,159,322,0,0,0.0,0.0
346,2,165,514,0,0,0.0,0.0
347,2,171,467,0,0,0.0,0.0
348,2,165,491,0,0,0.0,0.0
349,2,175,514,0,0,0.0,0.0
350,2,175,514,0,0,0.0,0.0
376,2,163,51,0,0,0.0,0.0
377,2,165,35,0,0,0.0,0.0
378,2,163,32,0,0,0.0,0.0
379,2,163,48,0,0,0.0,0.0
380,2,159,439,0,0,0.0,0.0
381,2,159,281,0,0,0.0,0.0
382,2,163,219,0,0,0.0,0.0
383,2,167,268,0,0,0.0,0.0
384,2,167,194,0,0,0.0,0.0
385,2,163,334,0,0,0.0,0.0
386,2,169,217,0,0,0.0,0.0
387,2,165,196,0,0,0.0,0.0
388,2,167,17,0,0,0.0,0.0
389,2,157,17,0,0,0.0,0.0
390,2,165,19,0,0,0.0,0.0
391,2,173,23,0,0,0.0,0.0
392,2,161,393,0,0,0.0,0.0
393,2,171,48,0,0,0.0,0.0
394,2,165,271,0,0,0.0,0.0
395,2,161,514,0,0,0.0,0.0
396,2,167,26,0,0,0.0,0.0
397,2,155,79,0,0,0.0,0.0
398,2,161,24,0,0,0.0,0.0
399,2,163,118,0,0,0.0,0.0
4,2,163,522,0,0,0.0,0.0
400,2,163,221,0,0,0.0,0.0
401,2,163,34,0,0,0.0,0.0
402,2,177,194,0,0,0.0,0.0
403,2,169,50,0,0,0.0,0.0
404,2,163,185,0,0,0.0,0.0
405,2,163,309,0,0,0.0,0.0
406,2,161,50,0,0,0.0,0.0
407,2,163,34,0,0,0.0,0.0
408,2,163,106,0,0,0.0,0.0
409,2,165,36,0,0,0.0,0.0
410,2,163,50,0,0,0.0,0.0
411,2,161,47,0,0,0.0,0.0
412,2,161,76,0,0,0.0,0.0
413,2,165,203,0,0,0.0,0.0
414,2,163,369,0,0,0.0,0.0
415,2,161,57,0,0,0.0,0.0
416,2,169,182,0,0,0.0,0.0
417,2,163,34,0,0,0.0,0.0
418,2,165,34,0,0,0.0,0.0
419,2,171,116,0,0,0.0,0.0
420,2,165,95,0,0,0.0,0.0
421,2,163,37,0,0,0.0,0.0
422,2,161,386,0,0,0.0,0.0
423,2,165,154,0,0,0.0,0.0
424,2,167,51,0,0,0.0,0.0
425,2,161,225,0,0,0.0,0.0
5,2,165,525,0,0,0.0,0.0
51,2,167,499,0,0,0.0,0.0
52,2,171,293,0,0,0.0,0.0
53,2,169,569,0,0,0.0,0.0
54,2,165,508,0,0,0.0,0.0
55,2,167,510,0,0,0.0,0.0
56,2,169,425,0,0,0.0,0.0
57,2,173,445,0,0,0.0,0.0
58,2,169,473,0,0,0.0,0.0
59,2,161,505,0,0,0.0,0.0
6,2,161,495,0,0,0.0,0.0
60,2,169,525,0,0,0.0,0.0
61,2,165,535,0,0,0.0,0.0
62,2,171,565,0,0,0.0,0.0
63,2,169,514,0,0,0.0,0.0
64,2,163,551,0,0,0.0,0.0
65,2,167,514,0,0,0.0,0.0
66,2,165,514,0,0,0.0,0.0
67,2,167,514,0,0,0.0,0.0
68,2,161,449,0,0,0.0,0.0
69,2,163,514,0,0,0.0,0.0
7,2,163,387,0,0,0.0,0.0
70,2,161,514,0,0,0.0,0.0
71,2,167,514,0,0,0.0,0.0
72,2,169,514,0,0,0.0,0.0
73,2,169,569,0,0,0.0,0.0
74,2,167,569,0,0,0.0,0.0
75,2,171,514,0,0,0.0,0.0
8,2,163,516,0,0,0.0,0.0
9,2,169,500,0,0,0.0,0.0
