method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
Self_Defense,post,0,target,api,50,450,0,0,0.0
Self_Defense,post,0,self_check,api,518,75,0,0,0.0
Self_Defense,post,4,target,api,43,512,0,0,0.0
Self_Defense,post,4,self_check,api,582,87,0,0,0.0
Self_Defense,post,10,target,api,50,512,0,0,0.0
Self_Defense,post,10,self_check,api,582,86,0,0,0.0
Self_Defense,post,12,target,api,49,342,0,0,0.0
Self_Defense,post,12,self_check,api,410,83,0,0,0.0
Self_Defense,post,18,target,api,44,512,0,0,0.0
Self_Defense,post,18,self_check,api,582,123,0,0,0.0
Self_Defense,post,22,target,api,41,67,0,0,0.0
Self_Defense,post,22,self_check,api,135,87,0,0,0.0
Self_Defense,post,26,target,api,44,469,0,0,0.0
Self_Defense,post,26,self_check,api,537,154,0,0,0.0
Self_Defense,post,30,target,api,44,510,0,0,0.0
Self_Defense,post,30,self_check,api,578,89,0,0,0.0
Self_Defense,post,31,target,api,44,441,0,0,0.0
Self_Defense,post,31,self_check,api,509,92,0,0,0.0
Self_Defense,post,33,target,api,39,506,0,0,0.0
Self_Defense,post,33,self_check,api,574,114,0,0,0.0
Self_Defense,post,39,target,api,44,512,0,0,0.0
Self_Defense,post,39,self_check,api,582,79,0,0,0.0
Self_Defense,post,42,target,api,44,512,0,0,0.0
Self_Defense,post,42,self_check,api,582,102,0,0,0.0
Self_Defense,post,44,target,api,48,512,0,0,0.0
Self_Defense,post,44,self_check,api,581,177,0,0,0.0
Self_Defense,post,45,target,api,45,319,0,0,0.0
Self_Defense,post,45,self_check,api,387,93,0,0,0.0
Self_Defense,post,55,target,api,50,512,0,0,0.0
Self_Defense,post,55,self_check,api,582,75,0,0,0.0
Self_Defense,post,66,target,api,48,466,0,0,0.0
Self_Defense,post,66,self_check,api,534,141,0,0,0.0
Self_Defense,post,67,target,api,47,512,0,0,0.0
Self_Defense,post,67,self_check,api,582,72,0,0,0.0
Self_Defense,post,70,target,api,58,454,0,0,0.0
Self_Defense,post,70,self_check,api,522,135,0,0,0.0
Self_Defense,post,76,target,api,53,512,0,0,0.0
Self_Defense,post,76,self_check,api,582,68,0,0,0.0
Self_Defense,post,77,target,api,44,272,0,0,0.0
Self_Defense,post,77,self_check,api,340,84,0,0,0.0
Self_Defense,post,78,target,api,57,512,0,0,0.0
Self_Defense,post,78,self_check,api,582,102,0,0,0.0
Self_Defense,post,84,target,api,45,356,0,0,0.0
Self_Defense,post,84,self_check,api,424,79,0,0,0.0
Self_Defense,post,89,target,api,60,512,0,0,0.0
Self_Defense,post,89,self_check,api,582,88,0,0,0.0
Self_Defense,post,93,target,api,48,379,0,0,0.0
Self_Defense,post,93,self_check,api,447,182,0,0,0.0
Self_Defense,post,97,target,api,42,512,0,0,0.0
Self_Defense,post,97,self_check,api,582,257,0,0,0.0
Self_Defense,post,101,target,api,49,335,0,0,0.0
Self_Defense,post,101,self_check,api,403,163,0,0,0.0
Self_Defense,post,105,target,api,55,512,0,0,0.0
Self_Defense,post,105,self_check,api,581,133,0,0,0.0
Self_Defense,post,106,target,api,45,512,0,0,0.0
Self_Defense,post,106,self_check,api,581,181,0,0,0.0
Self_Defense,post,110,target,api,52,512,0,0,0.0
Self_Defense,post,110,self_check,api,582,85,0,0,0.0
Self_Defense,post,111,target,api,42,146,0,0,0.0
Self_Defense,post,111,self_check,api,214,107,0,0,0.0
Self_Defense,post,113,target,api,54,512,0,0,0.0
Self_Defense,post,113,self_check,api,581,190,0,0,0.0
Self_Defense,post,119,target,api,50,493,0,0,0.0
Self_Defense,post,119,self_check,api,561,138,0,0,0.0
Self_Defense,post,129,target,api,51,512,0,0,0.0
Self_Defense,post,129,self_check,api,581,85,0,0,0.0
Self_Defense,post,134,target,api,48,31,0,0,0.0
Self_Defense,post,134,self_check,api,99,52,0,0,0.0
Self_Defense,post,135,target,api,44,272,0,0,0.0
Self_Defense,post,135,self_check,api,340,116,0,0,0.0
Self_Defense,post,136,target,api,46,512,0,0,0.0
Self_Defense,post,136,self_check,api,582,80,0,0,0.0
Self_Defense,post,146,target,api,58,512,0,0,0.0
Self_Defense,post,146,self_check,api,582,132,0,0,0.0
Self_Defense,post,148,target,api,46,512,0,0,0.0
Self_Defense,post,148,self_check,api,582,125,0,0,0.0
Self_Defense,post,151,target,api,163,80,0,0,0.0
Self_Defense,post,151,self_check,api,148,81,0,0,0.0
Self_Defense,post,154,target,api,46,512,0,0,0.0
Self_Defense,post,154,self_check,api,582,130,0,0,0.0
Self_Defense,post,159,target,api,45,25,0,0,0.0
Self_Defense,post,159,self_check,api,93,57,0,0,0.0
Self_Defense,post,166,target,api,50,512,0,0,0.0
Self_Defense,post,166,self_check,api,582,285,0,0,0.0
Self_Defense,post,168,target,api,45,512,0,0,0.0
Self_Defense,post,168,self_check,api,582,71,0,0,0.0
Self_Defense,post,171,target,api,65,512,0,0,0.0
Self_Defense,post,171,self_check,api,582,127,0,0,0.0
Self_Defense,post,177,target,api,44,38,0,0,0.0
Self_Defense,post,177,self_check,api,106,66,0,0,0.0
Self_Defense,post,181,target,api,49,492,0,0,0.0
Self_Defense,post,181,self_check,api,560,101,0,0,0.0
Self_Defense,post,187,target,api,59,419,0,0,0.0
Self_Defense,post,187,self_check,api,487,194,0,0,0.0
Self_Defense,post,189,target,api,58,432,0,0,0.0
Self_Defense,post,189,self_check,api,500,98,0,0,0.0
Self_Defense,post,195,target,api,46,372,0,0,0.0
Self_Defense,post,195,self_check,api,440,79,0,0,0.0
Self_Defense,post,199,target,api,44,81,0,0,0.0
Self_Defense,post,199,self_check,api,149,76,0,0,0.0
Self_Defense,post,203,target,api,43,142,0,0,0.0
Self_Defense,post,203,self_check,api,210,102,0,0,0.0
Self_Defense,post,207,target,api,44,257,0,0,0.0
Self_Defense,post,207,self_check,api,325,229,0,0,0.0
Self_Defense,post,208,target,api,40,43,0,0,0.0
Self_Defense,post,208,self_check,api,111,71,0,0,0.0
Self_Defense,post,210,target,api,50,512,0,0,0.0
Self_Defense,post,210,self_check,api,582,148,0,0,0.0
Self_Defense,post,216,target,api,41,35,0,0,0.0
Self_Defense,post,216,self_check,api,103,94,0,0,0.0
Self_Defense,post,219,target,api,64,234,0,0,0.0
Self_Defense,post,219,self_check,api,302,75,0,0,0.0
Self_Defense,post,221,target,api,41,208,0,0,0.0
Self_Defense,post,221,self_check,api,276,86,0,0,0.0
Self_Defense,post,222,target,api,55,512,0,0,0.0
Self_Defense,post,222,self_check,api,582,250,0,0,0.0
Self_Defense,post,230,target,api,73,302,0,0,0.0
Self_Defense,post,230,self_check,api,370,108,0,0,0.0
Self_Defense,post,232,target,api,42,512,0,0,0.0
Self_Defense,post,232,self_check,api,582,201,0,0,0.0
Self_Defense,post,246,target,api,60,512,0,0,0.0
Self_Defense,post,246,self_check,api,582,96,0,0,0.0
Self_Defense,post,247,target,api,44,359,0,0,0.0
Self_Defense,post,247,self_check,api,427,123,0,0,0.0
Self_Defense,post,250,target,api,51,410,0,0,0.0
Self_Defense,post,250,self_check,api,478,165,0,0,0.0
Self_Defense,post,253,target,api,44,301,0,0,0.0
Self_Defense,post,253,self_check,api,369,110,0,0,0.0
Self_Defense,post,254,target,api,59,55,0,0,0.0
Self_Defense,post,254,self_check,api,123,108,0,0,0.0
Self_Defense,post,257,target,api,60,100,0,0,0.0
Self_Defense,post,257,self_check,api,167,92,0,0,0.0
Self_Defense,post,260,target,api,55,512,0,0,0.0
Self_Defense,post,260,self_check,api,582,100,0,0,0.0
Self_Defense,post,265,target,api,46,512,0,0,0.0
Self_Defense,post,265,self_check,api,582,210,0,0,0.0
Self_Defense,post,267,target,api,51,512,0,0,0.0
Self_Defense,post,267,self_check,api,582,107,0,0,0.0
Self_Defense,post,277,target,api,79,125,0,0,0.0
Self_Defense,post,277,self_check,api,193,75,0,0,0.0
Self_Defense,post,281,target,api,47,512,0,0,0.0
Self_Defense,post,281,self_check,api,582,118,0,0,0.0
Self_Defense,post,287,target,api,49,512,0,0,0.0
Self_Defense,post,287,self_check,api,581,175,0,0,0.0
Self_Defense,post,288,target,api,53,156,0,0,0.0
Self_Defense,post,288,self_check,api,224,85,0,0,0.0
Self_Defense,post,289,target,api,57,455,0,0,0.0
Self_Defense,post,289,self_check,api,523,108,0,0,0.0
Self_Defense,post,295,target,api,57,459,0,0,0.0
Self_Defense,post,295,self_check,api,527,76,0,0,0.0
Self_Defense,post,299,target,api,65,512,0,0,0.0
Self_Defense,post,299,self_check,api,582,65,0,0,0.0
Self_Defense,post,303,target,api,75,512,0,0,0.0
Self_Defense,post,303,self_check,api,582,90,0,0,0.0
Self_Defense,post,308,target,api,59,512,0,0,0.0
Self_Defense,post,308,self_check,api,582,80,0,0,0.0
Self_Defense,post,313,target,api,272,512,0,0,0.0
Self_Defense,post,313,self_check,api,582,135,0,0,0.0
Self_Defense,post,317,target,api,50,486,0,0,0.0
Self_Defense,post,317,self_check,api,554,119,0,0,0.0
Self_Defense,post,322,target,api,52,478,0,0,0.0
Self_Defense,post,322,self_check,api,546,164,0,0,0.0
Self_Defense,post,324,target,api,51,245,0,0,0.0
Self_Defense,post,324,self_check,api,313,89,0,0,0.0
Self_Defense,post,330,target,api,50,301,0,0,0.0
Self_Defense,post,330,self_check,api,369,95,0,0,0.0
Self_Defense,post,343,target,api,54,34,0,0,0.0
Self_Defense,post,343,self_check,api,102,92,0,0,0.0
Self_Defense,post,344,target,api,82,254,0,0,0.0
Self_Defense,post,344,self_check,api,322,110,0,0,0.0
Self_Defense,post,346,target,api,59,307,0,0,0.0
Self_Defense,post,346,self_check,api,375,99,0,0,0.0
Self_Defense,post,347,target,api,45,466,0,0,0.0
Self_Defense,post,347,self_check,api,534,133,0,0,0.0
Self_Defense,post,349,target,api,119,117,0,0,0.0
Self_Defense,post,349,self_check,api,185,102,0,0,0.0
Self_Defense,post,357,target,api,51,468,0,0,0.0
Self_Defense,post,357,self_check,api,536,124,0,0,0.0
Self_Defense,post,358,target,api,58,54,0,0,0.0
Self_Defense,post,358,self_check,api,122,68,0,0,0.0
Self_Defense,post,360,target,api,69,162,0,0,0.0
Self_Defense,post,360,self_check,api,230,86,0,0,0.0
