method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_sec
Self_Defense,post,1,target,api,43,512,0.0
Self_Defense,post,1,self_check,api,581,287,0.0
Self_Defense,post,2,target,api,43,490,0.0
Self_Defense,post,2,self_check,api,558,152,0.0
Self_Defense,post,3,target,api,44,512,0.0
Self_Defense,post,3,self_check,api,581,126,0.0
Self_Defense,post,4,target,api,44,512,0.0
Self_Defense,post,4,self_check,api,582,78,0.0
Self_Defense,post,5,target,api,45,475,0.0
Self_Defense,post,5,self_check,api,543,111,0.0
Self_Defense,post,6,target,api,43,512,0.0
Self_Defense,post,6,self_check,api,582,93,0.0
Self_Defense,post,7,target,api,44,396,0.0
Self_Defense,post,7,self_check,api,464,70,0.0
Self_Defense,post,8,target,api,44,483,0.0
Self_Defense,post,8,self_check,api,551,137,0.0
Self_Defense,post,9,target,api,47,512,0.0
Self_Defense,post,9,self_check,api,582,105,0.0
Self_Defense,post,10,target,api,43,380,0.0
Self_Defense,post,10,self_check,api,448,71,0.0
Self_Defense,post,11,target,api,45,402,0.0
Self_Defense,post,11,self_check,api,470,116,0.0
Self_Defense,post,12,target,api,44,482,0.0
Self_Defense,post,12,self_check,api,550,97,0.0
Self_Defense,post,13,target,api,43,473,0.0
Self_Defense,post,13,self_check,api,541,87,0.0
Self_Defense,post,14,target,api,47,19,0.0
Self_Defense,post,14,self_check,api,87,123,0.0
Self_Defense,post,15,target,api,46,512,0.0
Self_Defense,post,15,self_check,api,582,221,0.0
Self_Defense,post,16,target,api,45,137,0.0
Self_Defense,post,16,self_check,api,205,105,0.0
Self_Defense,post,17,target,api,44,285,0.0
Self_Defense,post,17,self_check,api,353,74,0.0
Self_Defense,post,18,target,api,44,512,0.0
Self_Defense,post,18,self_check,api,582,149,0.0
Self_Defense,post,19,target,api,48,511,0.0
Self_Defense,post,19,self_check,api,579,98,0.0
Self_Defense,post,20,target,api,46,312,0.0
Self_Defense,post,20,self_check,api,380,89,0.0
Self_Defense,post,21,target,api,45,512,0.0
Self_Defense,post,21,self_check,api,582,61,0.0
Self_Defense,post,22,target,api,48,43,0.0
Self_Defense,post,22,self_check,api,111,73,0.0
Self_Defense,post,23,target,api,47,512,0.0
Self_Defense,post,23,self_check,api,581,86,0.0
Self_Defense,post,24,target,api,46,493,0.0
Self_Defense,post,24,self_check,api,561,170,0.0
Self_Defense,post,25,target,api,47,18,0.0
Self_Defense,post,25,self_check,api,86,130,0.0
Self_Defense,post,51,target,api,46,512,0.0
Self_Defense,post,51,self_check,api,582,70,0.0
Self_Defense,post,52,target,api,48,244,0.0
Self_Defense,post,52,self_check,api,312,68,0.0
Self_Defense,post,53,target,api,47,507,0.0
Self_Defense,post,53,self_check,api,575,93,0.0
Self_Defense,post,54,target,api,45,485,0.0
Self_Defense,post,54,self_check,api,553,132,0.0
Self_Defense,post,55,target,api,46,508,0.0
Self_Defense,post,55,self_check,api,576,116,0.0
Self_Defense,post,56,target,api,47,426,0.0
Self_Defense,post,56,self_check,api,494,66,0.0
Self_Defense,post,57,target,api,49,425,0.0
Self_Defense,post,57,self_check,api,493,118,0.0
Self_Defense,post,58,target,api,47,471,0.0
Self_Defense,post,58,self_check,api,539,112,0.0
Self_Defense,post,59,target,api,43,512,0.0
Self_Defense,post,59,self_check,api,582,100,0.0
Self_Defense,post,60,target,api,47,512,0.0
Self_Defense,post,60,self_check,api,582,87,0.0
Self_Defense,post,61,target,api,45,512,0.0
Self_Defense,post,61,self_check,api,582,77,0.0
Self_Defense,post,62,target,api,48,508,0.0
Self_Defense,post,62,self_check,api,576,138,0.0
Self_Defense,post,63,target,api,47,512,0.0
Self_Defense,post,63,self_check,api,582,84,0.0
Self_Defense,post,64,target,api,44,512,0.0
Self_Defense,post,64,self_check,api,582,142,0.0
Self_Defense,post,65,target,api,46,509,0.0
Self_Defense,post,65,self_check,api,577,82,0.0
Self_Defense,post,66,target,api,45,512,0.0
Self_Defense,post,66,self_check,api,581,125,0.0
Self_Defense,post,67,target,api,46,512,0.0
Self_Defense,post,67,self_check,api,582,87,0.0
Self_Defense,post,68,target,api,43,390,0.0
Self_Defense,post,68,self_check,api,458,90,0.0
Self_Defense,post,69,target,api,44,512,0.0
Self_Defense,post,69,self_check,api,582,150,0.0
Self_Defense,post,70,target,api,43,512,0.0
Self_Defense,post,70,self_check,api,582,88,0.0
Self_Defense,post,71,target,api,46,512,0.0
Self_Defense,post,71,self_check,api,582,176,0.0
Self_Defense,post,72,target,api,47,512,0.0
Self_Defense,post,72,self_check,api,582,172,0.0
Self_Defense,post,73,target,api,47,512,0.0
Self_Defense,post,73,self_check,api,582,92,0.0
Self_Defense,post,74,target,api,46,512,0.0
Self_Defense,post,74,self_check,api,582,75,0.0
Self_Defense,post,75,target,api,48,512,0.0
Self_Defense,post,75,self_check,api,581,77,0.0
Self_Defense,post,101,target,api,46,512,0.0
Self_Defense,post,101,self_check,api,582,97,0.0
Self_Defense,post,102,target,api,45,404,0.0
Self_Defense,post,102,self_check,api,472,182,0.0
Self_Defense,post,103,target,api,46,276,0.0
Self_Defense,post,103,self_check,api,344,90,0.0
Self_Defense,post,104,target,api,45,512,0.0
Self_Defense,post,104,self_check,api,582,130,0.0
Self_Defense,post,105,target,api,46,512,0.0
Self_Defense,post,105,self_check,api,582,163,0.0
Self_Defense,post,106,target,api,45,38,0.0
Self_Defense,post,106,self_check,api,106,107,0.0
Self_Defense,post,107,target,api,44,458,0.0
Self_Defense,post,107,self_check,api,526,131,0.0
Self_Defense,post,108,target,api,45,512,0.0
Self_Defense,post,108,self_check,api,581,98,0.0
Self_Defense,post,109,target,api,49,286,0.0
Self_Defense,post,109,self_check,api,354,86,0.0
Self_Defense,post,110,target,api,47,512,0.0
Self_Defense,post,110,self_check,api,582,54,0.0
Self_Defense,post,111,target,api,49,420,0.0
Self_Defense,post,111,self_check,api,488,101,0.0
Self_Defense,post,112,target,api,41,512,0.0
Self_Defense,post,112,self_check,api,582,136,0.0
Self_Defense,post,113,target,api,45,435,0.0
Self_Defense,post,113,self_check,api,503,111,0.0
Self_Defense,post,114,target,api,47,471,0.0
Self_Defense,post,114,self_check,api,539,101,0.0
Self_Defense,post,115,target,api,49,512,0.0
Self_Defense,post,115,self_check,api,581,138,0.0
Self_Defense,post,116,target,api,44,342,0.0
Self_Defense,post,116,self_check,api,410,110,0.0
Self_Defense,post,117,target,api,47,512,0.0
Self_Defense,post,117,self_check,api,582,95,0.0
Self_Defense,post,118,target,api,48,486,0.0
Self_Defense,post,118,self_check,api,554,131,0.0
Self_Defense,post,119,target,api,44,512,0.0
Self_Defense,post,119,self_check,api,582,74,0.0
Self_Defense,post,120,target,api,46,463,0.0
Self_Defense,post,120,self_check,api,531,156,0.0
Self_Defense,post,121,target,api,44,497,0.0
Self_Defense,post,121,self_check,api,565,88,0.0
Self_Defense,post,122,target,api,50,512,0.0
Self_Defense,post,122,self_check,api,582,83,0.0
Self_Defense,post,123,target,api,49,497,0.0
Self_Defense,post,123,self_check,api,565,108,0.0
Self_Defense,post,124,target,api,45,512,0.0
Self_Defense,post,124,self_check,api,582,82,0.0
Self_Defense,post,125,target,api,43,383,0.0
Self_Defense,post,125,self_check,api,451,106,0.0
Self_Defense,post,151,target,api,45,300,0.0
Self_Defense,post,151,self_check,api,368,92,0.0
Self_Defense,post,152,target,api,47,317,0.0
Self_Defense,post,152,self_check,api,385,80,0.0
Self_Defense,post,153,target,api,49,355,0.0
Self_Defense,post,153,self_check,api,423,213,0.0
Self_Defense,post,154,target,api,44,501,0.0
Self_Defense,post,154,self_check,api,569,79,0.0
Self_Defense,post,155,target,api,48,340,0.0
Self_Defense,post,155,self_check,api,408,69,0.0
Self_Defense,post,156,target,api,47,452,0.0
Self_Defense,post,156,self_check,api,520,199,0.0
Self_Defense,post,157,target,api,47,269,0.0
Self_Defense,post,157,self_check,api,337,93,0.0
Self_Defense,post,158,target,api,50,219,0.0
Self_Defense,post,158,self_check,api,287,74,0.0
Self_Defense,post,159,target,api,49,93,0.0
Self_Defense,post,159,self_check,api,161,89,0.0
Self_Defense,post,160,target,api,52,52,0.0
Self_Defense,post,160,self_check,api,120,97,0.0
Self_Defense,post,161,target,api,47,512,0.0
Self_Defense,post,161,self_check,api,582,105,0.0
Self_Defense,post,162,target,api,46,18,0.0
Self_Defense,post,162,self_check,api,86,50,0.0
Self_Defense,post,163,target,api,46,490,0.0
Self_Defense,post,163,self_check,api,558,93,0.0
Self_Defense,post,164,target,api,48,512,0.0
Self_Defense,post,164,self_check,api,582,174,0.0
Self_Defense,post,165,target,api,45,475,0.0
Self_Defense,post,165,self_check,api,543,123,0.0
Self_Defense,post,166,target,api,46,478,0.0
Self_Defense,post,166,self_check,api,546,146,0.0
Self_Defense,post,167,target,api,49,447,0.0
Self_Defense,post,167,self_check,api,515,89,0.0
Self_Defense,post,168,target,api,46,8,0.0
Self_Defense,post,168,self_check,api,76,70,0.0
Self_Defense,post,169,target,api,53,489,0.0
Self_Defense,post,169,self_check,api,557,76,0.0
Self_Defense,post,170,target,api,51,512,0.0
Self_Defense,post,170,self_check,api,581,89,0.0
Self_Defense,post,171,target,api,51,362,0.0
Self_Defense,post,171,self_check,api,430,68,0.0
Self_Defense,post,172,target,api,51,344,0.0
Self_Defense,post,172,self_check,api,412,143,0.0
Self_Defense,post,173,target,api,49,512,0.0
Self_Defense,post,173,self_check,api,582,160,0.0
Self_Defense,post,174,target,api,50,490,0.0
Self_Defense,post,174,self_check,api,558,157,0.0
Self_Defense,post,175,target,api,51,31,0.0
Self_Defense,post,175,self_check,api,99,84,0.0
Self_Defense,post,201,target,api,42,304,0.0
Self_Defense,post,201,self_check,api,372,91,0.0
Self_Defense,post,202,target,api,39,512,0.0
Self_Defense,post,202,self_check,api,581,157,0.0
Self_Defense,post,203,target,api,40,296,0.0
Self_Defense,post,203,self_check,api,364,101,0.0
Self_Defense,post,204,target,api,40,296,0.0
Self_Defense,post,204,self_check,api,364,96,0.0
Self_Defense,post,205,target,api,44,211,0.0
Self_Defense,post,205,self_check,api,279,99,0.0
Self_Defense,post,206,target,api,39,482,0.0
Self_Defense,post,206,self_check,api,550,138,0.0
Self_Defense,post,207,target,api,40,469,0.0
Self_Defense,post,207,self_check,api,537,203,0.0
Self_Defense,post,208,target,api,40,442,0.0
Self_Defense,post,208,self_check,api,510,96,0.0
Self_Defense,post,209,target,api,44,512,0.0
Self_Defense,post,209,self_check,api,582,168,0.0
Self_Defense,post,210,target,api,39,372,0.0
Self_Defense,post,210,self_check,api,440,81,0.0
Self_Defense,post,211,target,api,47,328,0.0
Self_Defense,post,211,self_check,api,396,167,0.0
Self_Defense,post,212,target,api,45,240,0.0
Self_Defense,post,212,self_check,api,308,56,0.0
Self_Defense,post,213,target,api,46,196,0.0
Self_Defense,post,213,self_check,api,264,90,0.0
Self_Defense,post,214,target,api,47,213,0.0
Self_Defense,post,214,self_check,api,281,102,0.0
Self_Defense,post,215,target,api,45,230,0.0
Self_Defense,post,215,self_check,api,298,134,0.0
Self_Defense,post,216,target,api,39,396,0.0
Self_Defense,post,216,self_check,api,464,108,0.0
Self_Defense,post,217,target,api,41,407,0.0
Self_Defense,post,217,self_check,api,475,198,0.0
Self_Defense,post,218,target,api,42,331,0.0
Self_Defense,post,218,self_check,api,399,101,0.0
Self_Defense,post,219,target,api,43,220,0.0
Self_Defense,post,219,self_check,api,288,76,0.0
Self_Defense,post,220,target,api,39,512,0.0
Self_Defense,post,220,self_check,api,582,125,0.0
Self_Defense,post,221,target,api,39,366,0.0
Self_Defense,post,221,self_check,api,434,97,0.0
Self_Defense,post,222,target,api,40,409,0.0
Self_Defense,post,222,self_check,api,477,252,0.0
Self_Defense,post,223,target,api,39,367,0.0
Self_Defense,post,223,self_check,api,435,82,0.0
Self_Defense,post,224,target,api,40,472,0.0
Self_Defense,post,224,self_check,api,540,113,0.0
Self_Defense,post,225,target,api,39,345,0.0
Self_Defense,post,225,self_check,api,413,114,0.0
Self_Defense,post,251,target,api,43,242,0.0
Self_Defense,post,251,self_check,api,310,117,0.0
Self_Defense,post,252,target,api,45,382,0.0
Self_Defense,post,252,self_check,api,450,96,0.0
Self_Defense,post,253,target,api,44,125,0.0
Self_Defense,post,253,self_check,api,193,75,0.0
Self_Defense,post,254,target,api,46,132,0.0
Self_Defense,post,254,self_check,api,200,68,0.0
Self_Defense,post,255,target,api,48,95,0.0
Self_Defense,post,255,self_check,api,163,53,0.0
Self_Defense,post,256,target,api,45,288,0.0
Self_Defense,post,256,self_check,api,356,84,0.0
Self_Defense,post,257,target,api,43,156,0.0
Self_Defense,post,257,self_check,api,224,67,0.0
Self_Defense,post,258,target,api,42,138,0.0
Self_Defense,post,258,self_check,api,206,96,0.0
Self_Defense,post,259,target,api,43,136,0.0
Self_Defense,post,259,self_check,api,204,79,0.0
Self_Defense,post,260,target,api,45,243,0.0
Self_Defense,post,260,self_check,api,311,113,0.0
Self_Defense,post,261,target,api,47,461,0.0
Self_Defense,post,261,self_check,api,529,178,0.0
Self_Defense,post,262,target,api,45,125,0.0
Self_Defense,post,262,self_check,api,193,71,0.0
Self_Defense,post,263,target,api,44,203,0.0
Self_Defense,post,263,self_check,api,271,132,0.0
Self_Defense,post,264,target,api,47,193,0.0
Self_Defense,post,264,self_check,api,261,97,0.0
Self_Defense,post,265,target,api,52,26,0.0
Self_Defense,post,265,self_check,api,94,73,0.0
Self_Defense,post,266,target,api,49,204,0.0
