request_id,n_calls,api_in_tokens,api_out_tokens,local_sec
1,2,624,799,0.0
2,2,601,642,0.0
10,2,491,451,0.0
101,2,628,609,0.0
102,2,517,586,0.0
103,2,390,366,0.0
104,2,627,642,0.0
105,2,628,675,0.0
106,2,151,145,0.0
107,2,570,589,0.0
108,2,626,610,0.0
109,2,403,372,0.0
11,2,515,518,0.0
110,2,629,566,0.0
111,2,537,521,0.0
112,2,623,648,0.0
113,2,548,546,0.0
114,2,586,572,0.0
115,2,630,650,0.0
116,2,454,452,0.0
117,2,629,607,0.0
118,2,602,617,0.0
119,2,626,586,0.0
12,2,594,579,0.0
120,2,577,619,0.0
121,2,609,585,0.0
122,2,632,595,0.0
123,2,614,605,0.0
124,2,627,594,0.0
125,2,494,489,0.0
13,2,584,560,0.0
14,2,134,142,0.0
15,2,628,733,0.0
151,2,413,392,0.0
152,2,432,397,0.0
153,2,472,568,0.0
154,2,613,580,0.0
155,2,456,409,0.0
156,2,567,651,0.0
157,2,384,362,0.0
158,2,337,293,0.0
159,2,210,182,0.0
16,2,250,242,0.0
160,2,172,149,0.0
161,2,629,617,0.0
162,2,132,68,0.0
163,2,604,583,0.0
164,2,630,686,0.0
165,2,588,598,0.0
166,2,592,624,0.0
167,2,564,536,0.0
168,2,122,78,0.0
169,2,610,565,0.0
17,2,397,359,0.0
170,2,632,601,0.0
171,2,481,430,0.0
172,2,463,487,0.0
173,2,631,672,0.0
174,2,608,647,0.0
175,2,150,115,0.0
18,2,626,661,0.0
19,2,627,609,0.0
20,2,426,401,0.0
201,2,414,395,0.0
202,2,620,669,0.0
203,2,404,397,0.0
204,2,404,392,0.0
205,2,323,310,0.0
206,2,589,620,0.0
207,2,577,672,0.0
208,2,550,538,0.0
209,2,626,680,0.0
21,2,627,573,0.0
210,2,479,453,0.0
211,2,443,495,0.0
212,2,353,296,0.0
213,2,310,286,0.0
214,2,328,315,0.0
215,2,343,364,0.0
216,2,503,504,0.0
217,2,516,605,0.0
218,2,441,432,0.0
219,2,331,296,0.0
22,2,159,116,0.0
220,2,621,637,0.0
221,2,473,463,0.0
222,2,517,661,0.0
223,2,474,449,0.0
224,2,580,585,0.0
225,2,452,459,0.0
23,2,628,598,0.0
24,2,607,663,0.0
25,2,133,148,0.0
251,2,353,359,0.0
252,2,495,478,0.0
253,2,237,200,0.0
254,2,246,200,0.0
255,2,211,148,0.0
256,2,401,372,0.0
257,2,267,223,0.0
258,2,248,234,0.0
259,2,247,215,0.0
260,2,356,356,0.0
261,2,576,639,0.0
262,2,238,196,0.0
263,2,315,335,0.0
264,2,308,290,0.0
265,2,146,99,0.0
266,2,321,455,0.0
267,2,305,276,0.0
268,2,383,349,0.0
269,2,257,235,0.0
270,2,293,277,0.0
271,2,246,234,0.0
272,2,324,292,0.0
273,2,225,205,0.0
274,2,372,413,0.0
275,2,412,405,0.0
276,2,233,192,0.0
277,2,292,285,0.0
278,2,315,303,0.0
279,2,252,260,0.0
280,2,355,424,0.0
281,2,538,543,0.0
282,2,322,317,0.0
283,2,360,355,0.0
284,2,405,415,0.0
285,2,340,301,0.0
286,2,573,728,0.0
287,2,387,376,0.0
288,2,334,322,0.0
289,2,523,503,0.0
290,2,255,315,0.0
291,2,603,561,0.0
292,2,317,295,0.0
293,2,304,273,0.0
294,2,253,213,0.0
295,2,304,259,0.0
296,2,406,377,0.0
297,2,393,381,0.0
298,2,270,243,0.0
299,2,479,472,0.0
3,2,625,638,0.0
300,2,525,540,0.0
326,2,628,701,0.0
327,2,628,734,0.0
328,2,565,705,0.0
329,2,625,692,0.0
330,2,632,746,0.0
331,2,624,743,0.0
332,2,579,677,0.0
333,2,625,777,0.0
334,2,550,522,0.0
335,2,395,376,0.0
336,2,545,631,0.0
337,2,444,515,0.0
338,2,524,586,0.0
339,2,436,543,0.0
340,2,630,761,0.0
341,2,307,317,0.0
342,2,319,289,0.0
343,2,424,406,0.0
344,2,317,297,0.0
345,2,355,427,0.0
346,2,627,723,0.0
347,2,535,587,0.0
348,2,606,652,0.0
349,2,632,773,0.0
350,2,632,685,0.0
376,2,136,84,0.0
377,2,147,111,0.0
378,2,142,96,0.0
379,2,158,117,0.0
380,2,547,551,0.0
381,2,389,375,0.0
382,2,329,303,0.0
383,2,380,357,0.0
384,2,284,244,0.0
385,2,428,399,0.0
386,2,303,276,0.0
387,2,307,279,0.0
388,2,129,71,0.0
389,2,124,74,0.0
390,2,130,79,0.0
391,2,138,82,0.0
392,2,502,473,0.0
393,2,162,121,0.0
394,2,382,416,0.0
395,2,625,593,0.0
396,2,138,83,0.0
397,2,185,145,0.0
398,2,133,79,0.0
399,2,223,188,0.0
4,2,626,590,0.0
400,2,331,305,0.0
401,2,136,119,0.0
402,2,266,229,0.0
403,2,140,118,0.0
404,2,178,144,0.0
405,2,419,403,0.0
406,2,152,97,0.0
407,2,136,122,0.0
408,2,152,100,0.0
409,2,138,92,0.0
410,2,152,113,0.0
411,2,156,107,0.0
412,2,178,160,0.0
413,2,311,286,0.0
414,2,480,601,0.0
415,2,159,139,0.0
416,2,230,200,0.0
417,2,136,91,0.0
418,2,136,122,0.0
419,2,141,156,0.0
420,2,205,178,0.0
421,2,139,118,0.0
422,2,495,583,0.0
423,2,203,181,0.0
424,2,163,119,0.0
425,2,334,323,0.0
5,2,588,586,0.0
51,2,628,582,0.0
52,2,360,312,0.0
53,2,622,600,0.0
54,2,598,617,0.0
55,2,622,624,0.0
56,2,541,492,0.0
57,2,542,543,0.0
58,2,586,583,0.0
