request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
0,2,705,519,0,0,0.0,0.0
10,2,769,604,0,0,0.0,0.0
101,4,2051,1298,0,0,0.0,0.0
105,5,3437,2144,0,0,0.0,0.0
106,5,3665,2414,0,0,0.0,0.0
110,2,773,602,0,0,0.0,0.0
111,4,1333,785,0,0,0.0,0.0
113,4,1994,914,0,0,0.0,0.0
119,2,739,745,0,0,0.0,0.0
12,2,595,442,0,0,0.0,0.0
129,4,2432,1383,0,0,0.0,0.0
134,2,282,81,0,0,0.0,0.0
135,2,516,383,0,0,0.0,0.0
136,2,762,646,0,0,0.0,0.0
146,2,786,846,0,0,0.0,0.0
148,4,2648,1794,0,0,0.0,0.0
151,2,561,130,0,0,0.0,0.0
154,4,2440,1493,0,0,0.0,0.0
159,5,1335,581,0,0,0.0,0.0
166,5,3644,2368,0,0,0.0,0.0
168,4,2643,1663,0,0,0.0,0.0
171,2,800,654,0,0,0.0,0.0
177,5,1456,857,0,0,0.0,0.0
18,2,757,599,0,0,0.0,0.0
181,4,2166,1105,0,0,0.0,0.0
187,4,1678,686,0,0,0.0,0.0
189,5,3294,2068,0,0,0.0,0.0
195,4,2084,1214,0,0,0.0,0.0
199,2,324,158,0,0,0.0,0.0
203,2,383,203,0,0,0.0,0.0
207,5,2713,1889,0,0,0.0,0.0
208,4,897,349,0,0,0.0,0.0
210,5,3371,2144,0,0,0.0,0.0
216,2,273,98,0,0,0.0,0.0
219,5,2307,1299,0,0,0.0,0.0
22,4,1088,550,0,0,0.0,0.0
221,2,445,283,0,0,0.0,0.0
222,2,779,658,0,0,0.0,0.0
230,2,603,429,0,0,0.0,0.0
232,2,753,644,0,0,0.0,0.0
246,2,789,628,0,0,0.0,0.0
247,4,2015,1211,0,0,0.0,0.0
250,2,667,471,0,0,0.0,0.0
253,5,2733,1767,0,0,0.0,0.0
254,4,1054,448,0,0,0.0,0.0
257,5,1648,713,0,0,0.0,0.0
26,2,714,532,0,0,0.0,0.0
260,2,779,652,0,0,0.0,0.0
265,4,2552,1622,0,0,0.0,0.0
267,5,3843,2560,0,0,0.0,0.0
277,2,438,186,0,0,0.0,0.0
281,5,3476,2219,0,0,0.0,0.0
287,4,2321,1314,0,0,0.0,0.0
288,2,417,241,0,0,0.0,0.0
289,5,3528,2322,0,0,0.0,0.0
295,5,3761,2507,0,0,0.0,0.0
299,2,800,634,0,0,0.0,0.0
30,2,754,587,0,0,0.0,0.0
303,2,820,606,0,0,0.0,0.0
308,4,2700,1600,0,0,0.0,0.0
31,4,2637,1652,0,0,0.0,0.0
313,2,1213,628,0,0,0.0,0.0
317,2,741,594,0,0,0.0,0.0
322,4,2314,1473,0,0,0.0,0.0
324,2,503,315,0,0,0.0,0.0
33,2,747,594,0,0,0.0,0.0
330,2,613,437,0,0,0.0,0.0
343,2,297,111,0,0,0.0,0.0
344,2,574,487,0,0,0.0,0.0
346,5,3003,1958,0,0,0.0,0.0
347,2,714,545,0,0,0.0,0.0
349,2,510,216,0,0,0.0,0.0
357,4,2472,1563,0,0,0.0,0.0
358,2,325,114,0,0,0.0,0.0
360,2,453,273,0,0,0.0,0.0
368,2,747,568,0,0,0.0,0.0
375,5,2458,1306,0,0,0.0,0.0
381,2,291,82,0,0,0.0,0.0
384,2,373,151,0,0,0.0,0.0
387,2,764,672,0,0,0.0,0.0
388,2,649,479,0,0,0.0,0.0
39,4,2392,1428,0,0,0.0,0.0
398,2,787,721,0,0,0.0,0.0
399,2,762,638,0,0,0.0,0.0
4,2,755,672,0,0,0.0,0.0
405,2,706,665,0,0,0.0,0.0
407,5,3463,2376,0,0,0.0,0.0
413,2,746,596,0,0,0.0,0.0
414,2,797,633,0,0,0.0,0.0
417,2,799,659,0,0,0.0,0.0
418,2,809,587,0,0,0.0,0.0
42,4,2560,1548,0,0,0.0,0.0
425,2,773,591,0,0,0.0,0.0
426,4,2491,1447,0,0,0.0,0.0
427,2,503,247,0,0,0.0,0.0
429,5,3105,1762,0,0,0.0,0.0
437,5,4062,2560,0,0,0.0,0.0
44,2,765,781,0,0,0.0,0.0
442,2,789,917,0,0,0.0,0.0
444,2,765,599,0,0,0.0,0.0
445,4,2263,1364,0,0,0.0,0.0
45,2,551,382,0,0,0.0,0.0
450,2,766,592,0,0,0.0,0.0
453,2,759,643,0,0,0.0,0.0
462,5,3751,2255,0,0,0.0,0.0
465,5,3559,2302,0,0,0.0,0.0
466,4,2346,1303,0,0,0.0,0.0
476,5,3308,1978,0,0,0.0,0.0
477,4,2318,1354,0,0,0.0,0.0
479,2,718,686,0,0,0.0,0.0
480,2,803,415,0,0,0.0,0.0
483,4,2713,1608,0,0,0.0,0.0
493,4,2436,1385,0,0,0.0,0.0
495,2,785,681,0,0,0.0,0.0
496,4,2693,1650,0,0,0.0,0.0
497,2,931,673,0,0,0.0,0.0
498,5,3264,2037,0,0,0.0,0.0
510,2,584,474,0,0,0.0,0.0
512,5,3461,2170,0,0,0.0,0.0
513,2,444,301,0,0,0.0,0.0
517,2,761,646,0,0,0.0,0.0
524,5,3465,2192,0,0,0.0,0.0
528,2,676,552,0,0,0.0,0.0
529,2,765,608,0,0,0.0,0.0
531,2,797,728,0,0,0.0,0.0
533,2,734,733,0,0,0.0,0.0
539,2,742,577,0,0,0.0,0.0
546,2,791,592,0,0,0.0,0.0
549,4,1840,1025,0,0,0.0,0.0
55,2,769,644,0,0,0.0,0.0
564,4,1715,911,0,0,0.0,0.0
568,5,3553,2183,0,0,0.0,0.0
572,5,3609,2299,0,0,0.0,0.0
577,2,820,796,0,0,0.0,0.0
584,2,763,631,0,0,0.0,0.0
585,2,520,338,0,0,0.0,0.0
593,2,627,514,0,0,0.0,0.0
595,4,2221,1173,0,0,0.0,0.0
600,5,1288,474,0,0,0.0,0.0
602,4,1623,1292,0,0,0.0,0.0
605,2,552,272,0,0,0.0,0.0
606,4,2367,1376,0,0,0.0,0.0
612,5,3457,2173,0,0,0.0,0.0
613,2,761,616,0,0,0.0,0.0
616,5,3506,2118,0,0,0.0,0.0
623,5,3662,2281,0,0,0.0,0.0
631,4,2164,1262,0,0,0.0,0.0
635,2,785,733,0,0,0.0,0.0
638,2,803,721,0,0,0.0,0.0
641,2,600,463,0,0,0.0,0.0
646,2,755,664,0,0,0.0,0.0
649,4,2305,1288,0,0,0.0,0.0
650,4,2688,1521,0,0,0.0,0.0
651,2,687,648,0,0,0.0,0.0
652,2,759,599,0,0,0.0,0.0
653,2,777,605,0,0,0.0,0.0
654,5,2928,1849,0,0,0.0,0.0
657,2,763,649,0,0,0.0,0.0
658,2,875,590,0,0,0.0,0.0
659,2,765,609,0,0,0.0,0.0
66,2,717,590,0,0,0.0,0.0
669,4,2151,1159,0,0,0.0,0.0
67,4,2423,1459,0,0,0.0,0.0
670,5,3400,2150,0,0,0.0,0.0
676,2,769,627,0,0,0.0,0.0
686,2,620,419,0,0,0.0,0.0
698,5,3332,2114,0,0,0.0,0.0
70,2,725,563,0,0,0.0,0.0
701,5,2409,1118,0,0,0.0,0.0
706,2,645,559,0,0,0.0,0.0
709,2,649,624,0,0,0.0,0.0
715,2,859,605,0,0,0.0,0.0
717,2,765,577,0,0,0.0,0.0
720,2,783,710,0,0,0.0,0.0
724,2,493,290,0,0,0.0,0.0
730,2,678,564,0,0,0.0,0.0
732,5,4097,2542,0,0,0.0,0.0
738,2,414,188,0,0,0.0,0.0
742,2,656,475,0,0,0.0,0.0
748,2,493,208,0,0,0.0,0.0
750,2,518,338,0,0,0.0,0.0
751,2,441,186,0,0,0.0,0.0
753,2,470,306,0,0,0.0,0.0
755,2,782,599,0,0,0.0,0.0
76,4,2387,1337,0,0,0.0,0.0
760,2,793,771,0,0,0.0,0.0
765,2,794,869,0,0,0.0,0.0
769,2,742,631,0,0,0.0,0.0
77,4,1665,899,0,0,0.0,0.0
775,2,768,79,0,0,0.0,0.0
78,2,783,635,0,0,0.0,0.0
781,2,824,642,0,0,0.0,0.0
787,2,811,631,0,0,0.0,0.0
788,2,802,725,0,0,0.0,0.0
790,2,795,580,0,0,0.0,0.0
793,2,846,648,0,0,0.0,0.0
84,2,601,448,0,0,0.0,0.0
89,4,2699,1696,0,0,0.0,0.0
93,2,630,469,0,0,0.0,0.0
97,4,2456,1525,0,0,0.0,0.0
