method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_sec
Self_Refine,post,1,init,api,43,512,0.0
Self_Refine,post,1,feedback_0,api,711,431,0.0
Self_Refine,post,1,refine_0,api,1082,512,0.0
Self_Refine,post,1,feedback_1,api,712,197,0.0
Self_Refine,post,2,init,api,43,490,0.0
Self_Refine,post,2,feedback_0,api,688,339,0.0
Self_Refine,post,2,refine_0,api,967,499,0.0
Self_Refine,post,2,feedback_1,api,697,291,0.0
Self_Refine,post,2,refine_1,api,928,512,0.0
Self_Refine,post,3,init,api,44,512,0.0
Self_Refine,post,3,feedback_0,api,713,311,0.0
Self_Refine,post,3,refine_0,api,965,512,0.0
Self_Refine,post,3,feedback_1,api,713,124,0.0
Self_Refine,post,4,init,api,44,512,0.0
Self_Refine,post,4,feedback_0,api,713,328,0.0
Self_Refine,post,4,refine_0,api,981,512,0.0
Self_Refine,post,4,feedback_1,api,712,233,0.0
Self_Refine,post,4,refine_1,api,885,401,0.0
Self_Refine,post,5,init,api,45,475,0.0
Self_Refine,post,5,feedback_0,api,675,305,0.0
Self_Refine,post,5,refine_0,api,920,450,0.0
Self_Refine,post,5,feedback_1,api,650,512,0.0
Self_Refine,post,5,refine_1,api,1103,507,0.0
Self_Refine,post,6,init,api,43,512,0.0
Self_Refine,post,6,feedback_0,api,712,359,0.0
Self_Refine,post,6,refine_0,api,1011,512,0.0
Self_Refine,post,6,feedback_1,api,712,473,0.0
Self_Refine,post,6,refine_1,api,1125,512,0.0
Self_Refine,post,7,init,api,44,385,0.0
Self_Refine,post,7,feedback_0,api,584,512,0.0
Self_Refine,post,7,refine_0,api,1037,512,0.0
Self_Refine,post,7,feedback_1,api,713,148,0.0
Self_Refine,post,8,init,api,44,483,0.0
Self_Refine,post,8,feedback_0,api,682,343,0.0
Self_Refine,post,8,refine_0,api,965,512,0.0
Self_Refine,post,8,feedback_1,api,713,460,0.0
Self_Refine,post,8,refine_1,api,1113,512,0.0
Self_Refine,post,9,init,api,47,512,0.0
Self_Refine,post,9,feedback_0,api,716,58,0.0
Self_Refine,post,10,init,api,43,380,0.0
Self_Refine,post,10,feedback_0,api,578,203,0.0
Self_Refine,post,10,refine_0,api,721,507,0.0
Self_Refine,post,10,feedback_1,api,705,83,0.0
Self_Refine,post,11,init,api,45,402,0.0
Self_Refine,post,11,feedback_0,api,602,62,0.0
Self_Refine,post,12,init,api,44,482,0.0
Self_Refine,post,12,feedback_0,api,681,200,0.0
Self_Refine,post,12,refine_0,api,821,512,0.0
Self_Refine,post,12,feedback_1,api,713,272,0.0
Self_Refine,post,12,refine_1,api,926,512,0.0
Self_Refine,post,13,init,api,43,512,0.0
Self_Refine,post,13,feedback_0,api,712,311,0.0
Self_Refine,post,14,init,api,47,19,0.0
Self_Refine,post,14,feedback_0,api,221,190,0.0
Self_Refine,post,14,refine_0,api,351,88,0.0
Self_Refine,post,14,feedback_1,api,290,75,0.0
Self_Refine,post,15,init,api,46,512,0.0
Self_Refine,post,15,feedback_0,api,715,274,0.0
Self_Refine,post,15,refine_0,api,929,512,0.0
Self_Refine,post,15,feedback_1,api,715,165,0.0
Self_Refine,post,16,init,api,45,137,0.0
Self_Refine,post,16,feedback_0,api,337,56,0.0
Self_Refine,post,17,init,api,44,285,0.0
Self_Refine,post,17,feedback_0,api,484,198,0.0
Self_Refine,post,17,refine_0,api,622,367,0.0
Self_Refine,post,17,feedback_1,api,566,291,0.0
Self_Refine,post,17,refine_1,api,797,331,0.0
Self_Refine,post,18,init,api,44,512,0.0
Self_Refine,post,18,feedback_0,api,713,231,0.0
Self_Refine,post,18,refine_0,api,885,512,0.0
Self_Refine,post,18,feedback_1,api,712,281,0.0
Self_Refine,post,18,refine_1,api,933,512,0.0
Self_Refine,post,19,init,api,48,511,0.0
Self_Refine,post,19,feedback_0,api,714,92,0.0
Self_Refine,post,20,init,api,46,312,0.0
Self_Refine,post,20,feedback_0,api,513,512,0.0
Self_Refine,post,20,refine_0,api,966,352,0.0
Self_Refine,post,20,feedback_1,api,553,101,0.0
Self_Refine,post,21,init,api,45,512,0.0
Self_Refine,post,21,feedback_0,api,713,265,0.0
Self_Refine,post,21,refine_0,api,918,512,0.0
Self_Refine,post,21,feedback_1,api,714,272,0.0
Self_Refine,post,21,refine_1,api,926,512,0.0
Self_Refine,post,22,init,api,48,43,0.0
Self_Refine,post,22,feedback_0,api,246,63,0.0
Self_Refine,post,23,init,api,47,512,0.0
Self_Refine,post,23,feedback_0,api,715,124,0.0
Self_Refine,post,24,init,api,46,493,0.0
Self_Refine,post,24,feedback_0,api,694,220,0.0
Self_Refine,post,24,refine_0,api,855,512,0.0
Self_Refine,post,24,feedback_1,api,715,124,0.0
