method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
G4D,pre,0,intent_detect,api,290,205,0,0,0.0
G4D,pre,0,paraphrase,api,105,19,0,0,0.0
G4D,pre,0,safety_analyze,api,258,295,0,0,0.0
G4D,pre,0,target,api,109,377,0,0,0.0
G4D,pre,4,intent_detect,api,283,191,0,0,0.0
G4D,pre,4,paraphrase,api,98,9,0,0,0.0
G4D,pre,4,safety_analyze,api,241,371,0,0,0.0
G4D,pre,4,target,api,99,512,0,0,0.0
G4D,pre,10,intent_detect,api,290,183,0,0,0.0
G4D,pre,10,paraphrase,api,105,14,0,0,0.0
G4D,pre,10,safety_analyze,api,245,185,0,0,0.0
G4D,pre,10,target,api,167,356,0,0,0.0
G4D,pre,12,intent_detect,api,289,169,0,0,0.0
G4D,pre,12,paraphrase,api,104,18,0,0,0.0
G4D,pre,12,safety_analyze,api,253,170,0,0,0.0
G4D,pre,12,target,api,206,444,0,0,0.0
G4D,pre,18,intent_detect,api,284,164,0,0,0.0
G4D,pre,18,paraphrase,api,99,13,0,0,0.0
G4D,pre,18,safety_analyze,api,244,207,0,0,0.0
G4D,pre,18,target,api,224,146,0,0,0.0
G4D,pre,22,intent_detect,api,281,159,0,0,0.0
G4D,pre,22,paraphrase,api,96,10,0,0,0.0
G4D,pre,22,safety_analyze,api,240,180,0,0,0.0
G4D,pre,22,target,api,200,477,0,0,0.0
G4D,pre,26,intent_detect,api,284,199,0,0,0.0
G4D,pre,26,paraphrase,api,99,14,0,0,0.0
G4D,pre,26,safety_analyze,api,246,280,0,0,0.0
G4D,pre,26,target,api,282,421,0,0,0.0
G4D,pre,30,intent_detect,api,285,199,0,0,0.0
G4D,pre,30,paraphrase,api,100,13,0,0,0.0
G4D,pre,30,safety_analyze,api,247,180,0,0,0.0
G4D,pre,30,target,api,168,406,0,0,0.0
G4D,pre,31,intent_detect,api,284,197,0,0,0.0
G4D,pre,31,paraphrase,api,99,16,0,0,0.0
G4D,pre,31,safety_analyze,api,249,242,0,0,0.0
G4D,pre,31,target,api,178,512,0,0,0.0
G4D,pre,33,intent_detect,api,279,174,0,0,0.0
G4D,pre,33,paraphrase,api,94,11,0,0,0.0
G4D,pre,33,safety_analyze,api,239,165,0,0,0.0
G4D,pre,33,target,api,146,350,0,0,0.0
G4D,pre,39,intent_detect,api,284,70,0,0,0.0
G4D,pre,39,safety_analyze,api,218,430,0,0,0.0
G4D,pre,39,target,api,100,512,0,0,0.0
G4D,pre,42,intent_detect,api,284,201,0,0,0.0
G4D,pre,42,paraphrase,api,99,14,0,0,0.0
G4D,pre,42,safety_analyze,api,247,303,0,0,0.0
G4D,pre,42,target,api,268,512,0,0,0.0
G4D,pre,44,intent_detect,api,288,202,0,0,0.0
G4D,pre,44,paraphrase,api,103,16,0,0,0.0
G4D,pre,44,safety_analyze,api,250,272,0,0,0.0
G4D,pre,44,target,api,106,411,0,0,0.0
G4D,pre,45,intent_detect,api,285,161,0,0,0.0
G4D,pre,45,paraphrase,api,100,13,0,0,0.0
G4D,pre,45,safety_analyze,api,247,189,0,0,0.0
G4D,pre,45,target,api,211,254,0,0,0.0
G4D,pre,55,intent_detect,api,290,166,0,0,0.0
G4D,pre,55,paraphrase,api,105,12,0,0,0.0
G4D,pre,55,safety_analyze,api,245,327,0,0,0.0
G4D,pre,55,target,api,102,501,0,0,0.0
G4D,pre,66,intent_detect,api,288,163,0,0,0.0
G4D,pre,66,paraphrase,api,103,19,0,0,0.0
G4D,pre,66,safety_analyze,api,252,185,0,0,0.0
G4D,pre,66,target,api,217,434,0,0,0.0
G4D,pre,67,intent_detect,api,287,78,0,0,0.0
G4D,pre,67,safety_analyze,api,225,342,0,0,0.0
G4D,pre,67,target,api,103,448,0,0,0.0
G4D,pre,70,intent_detect,api,298,165,0,0,0.0
G4D,pre,70,paraphrase,api,113,14,0,0,0.0
G4D,pre,70,safety_analyze,api,252,199,0,0,0.0
G4D,pre,70,target,api,217,512,0,0,0.0
G4D,pre,76,intent_detect,api,293,162,0,0,0.0
G4D,pre,76,paraphrase,api,108,16,0,0,0.0
G4D,pre,76,safety_analyze,api,248,256,0,0,0.0
G4D,pre,76,target,api,195,512,0,0,0.0
G4D,pre,77,intent_detect,api,284,196,0,0,0.0
G4D,pre,77,paraphrase,api,99,12,0,0,0.0
G4D,pre,77,safety_analyze,api,245,235,0,0,0.0
G4D,pre,77,target,api,216,493,0,0,0.0
G4D,pre,78,intent_detect,api,297,158,0,0,0.0
G4D,pre,78,paraphrase,api,112,17,0,0,0.0
G4D,pre,78,safety_analyze,api,248,157,0,0,0.0
G4D,pre,78,target,api,183,512,0,0,0.0
G4D,pre,84,intent_detect,api,285,162,0,0,0.0
G4D,pre,84,paraphrase,api,100,14,0,0,0.0
G4D,pre,84,safety_analyze,api,248,344,0,0,0.0
G4D,pre,84,target,api,104,348,0,0,0.0
G4D,pre,89,intent_detect,api,300,172,0,0,0.0
G4D,pre,89,paraphrase,api,115,15,0,0,0.0
G4D,pre,89,safety_analyze,api,252,231,0,0,0.0
G4D,pre,89,target,api,240,512,0,0,0.0
G4D,pre,93,intent_detect,api,288,178,0,0,0.0
G4D,pre,93,paraphrase,api,103,19,0,0,0.0
G4D,pre,93,safety_analyze,api,254,214,0,0,0.0
G4D,pre,93,target,api,183,459,0,0,0.0
G4D,pre,97,intent_detect,api,282,170,0,0,0.0
G4D,pre,97,paraphrase,api,97,14,0,0,0.0
G4D,pre,97,safety_analyze,api,245,259,0,0,0.0
G4D,pre,97,target,api,290,500,0,0,0.0
G4D,pre,101,intent_detect,api,289,164,0,0,0.0
G4D,pre,101,paraphrase,api,104,21,0,0,0.0
G4D,pre,101,safety_analyze,api,260,253,0,0,0.0
G4D,pre,101,target,api,111,365,0,0,0.0
G4D,pre,105,intent_detect,api,295,150,0,0,0.0
G4D,pre,105,paraphrase,api,110,25,0,0,0.0
G4D,pre,105,safety_analyze,api,261,362,0,0,0.0
G4D,pre,105,target,api,296,496,0,0,0.0
G4D,pre,106,intent_detect,api,286,83,0,0,0.0
G4D,pre,106,safety_analyze,api,223,461,0,0,0.0
G4D,pre,106,target,api,403,512,0,0,0.0
G4D,pre,110,intent_detect,api,292,191,0,0,0.0
G4D,pre,110,paraphrase,api,107,21,0,0,0.0
G4D,pre,110,safety_analyze,api,261,232,0,0,0.0
G4D,pre,110,target,api,154,385,0,0,0.0
G4D,pre,111,intent_detect,api,283,164,0,0,0.0
G4D,pre,111,paraphrase,api,98,21,0,0,0.0
G4D,pre,111,safety_analyze,api,253,175,0,0,0.0
G4D,pre,111,target,api,171,231,0,0,0.0
G4D,pre,113,intent_detect,api,295,201,0,0,0.0
G4D,pre,113,paraphrase,api,110,23,0,0,0.0
G4D,pre,113,safety_analyze,api,267,188,0,0,0.0
G4D,pre,113,target,api,216,56,0,0,0.0
G4D,pre,119,intent_detect,api,291,189,0,0,0.0
G4D,pre,119,paraphrase,api,106,18,0,0,0.0
G4D,pre,119,safety_analyze,api,248,363,0,0,0.0
G4D,pre,119,target,api,108,398,0,0,0.0
G4D,pre,129,intent_detect,api,292,193,0,0,0.0
G4D,pre,129,paraphrase,api,107,19,0,0,0.0
G4D,pre,129,safety_analyze,api,262,141,0,0,0.0
G4D,pre,129,target,api,126,21,0,0,0.0
G4D,pre,134,intent_detect,api,288,165,0,0,0.0
G4D,pre,134,paraphrase,api,103,16,0,0,0.0
G4D,pre,134,safety_analyze,api,253,175,0,0,0.0
G4D,pre,134,target,api,189,175,0,0,0.0
G4D,pre,135,intent_detect,api,285,174,0,0,0.0
G4D,pre,135,paraphrase,api,100,20,0,0,0.0
G4D,pre,135,safety_analyze,api,254,314,0,0,0.0
G4D,pre,135,target,api,110,290,0,0,0.0
G4D,pre,136,intent_detect,api,287,175,0,0,0.0
G4D,pre,136,paraphrase,api,102,13,0,0,0.0
G4D,pre,136,safety_analyze,api,249,286,0,0,0.0
G4D,pre,136,target,api,103,512,0,0,0.0
G4D,pre,146,intent_detect,api,299,192,0,0,0.0
G4D,pre,146,paraphrase,api,114,49,0,0,0.0
G4D,pre,146,safety_analyze,api,298,468,0,0,0.0
G4D,pre,146,target,api,139,512,0,0,0.0
G4D,pre,148,intent_detect,api,287,83,0,0,0.0
G4D,pre,148,safety_analyze,api,225,362,0,0,0.0
G4D,pre,148,target,api,206,512,0,0,0.0
G4D,pre,151,intent_detect,api,403,218,0,0,0.0
G4D,pre,151,paraphrase,api,218,65,0,0,0.0
G4D,pre,151,safety_analyze,api,302,179,0,0,0.0
G4D,pre,151,target,api,207,19,0,0,0.0
G4D,pre,154,intent_detect,api,287,204,0,0,0.0
G4D,pre,154,paraphrase,api,102,15,0,0,0.0
G4D,pre,154,safety_analyze,api,251,369,0,0,0.0
G4D,pre,154,target,api,355,512,0,0,0.0
G4D,pre,159,intent_detect,api,286,201,0,0,0.0
G4D,pre,159,paraphrase,api,101,14,0,0,0.0
G4D,pre,159,safety_analyze,api,248,180,0,0,0.0
G4D,pre,159,target,api,165,19,0,0,0.0
G4D,pre,166,intent_detect,api,291,193,0,0,0.0
G4D,pre,166,paraphrase,api,106,29,0,0,0.0
G4D,pre,166,safety_analyze,api,261,489,0,0,0.0
G4D,pre,166,target,api,119,394,0,0,0.0
G4D,pre,168,intent_detect,api,286,161,0,0,0.0
G4D,pre,168,paraphrase,api,101,15,0,0,0.0
G4D,pre,168,safety_analyze,api,248,217,0,0,0.0
G4D,pre,168,target,api,180,512,0,0,0.0
G4D,pre,171,intent_detect,api,306,201,0,0,0.0
G4D,pre,171,paraphrase,api,121,34,0,0,0.0
G4D,pre,171,safety_analyze,api,289,469,0,0,0.0
G4D,pre,171,target,api,124,512,0,0,0.0
G4D,pre,177,intent_detect,api,284,200,0,0,0.0
G4D,pre,177,paraphrase,api,99,12,0,0,0.0
G4D,pre,177,safety_analyze,api,245,181,0,0,0.0
G4D,pre,177,target,api,143,456,0,0,0.0
G4D,pre,181,intent_detect,api,290,192,0,0,0.0
G4D,pre,181,paraphrase,api,105,19,0,0,0.0
G4D,pre,181,safety_analyze,api,252,473,0,0,0.0
G4D,pre,181,target,api,443,475,0,0,0.0
G4D,pre,187,intent_detect,api,300,160,0,0,0.0
G4D,pre,187,paraphrase,api,115,24,0,0,0.0
G4D,pre,187,safety_analyze,api,270,399,0,0,0.0
G4D,pre,187,target,api,114,512,0,0,0.0
G4D,pre,189,intent_detect,api,298,170,0,0,0.0
G4D,pre,189,paraphrase,api,113,23,0,0,0.0
G4D,pre,189,safety_analyze,api,260,315,0,0,0.0
G4D,pre,189,target,api,113,472,0,0,0.0
G4D,pre,195,intent_detect,api,287,215,0,0,0.0
G4D,pre,195,paraphrase,api,102,17,0,0,0.0
G4D,pre,195,safety_analyze,api,253,278,0,0,0.0
G4D,pre,195,target,api,107,357,0,0,0.0
G4D,pre,199,intent_detect,api,284,161,0,0,0.0
G4D,pre,199,paraphrase,api,99,10,0,0,0.0
G4D,pre,199,safety_analyze,api,243,133,0,0,0.0
G4D,pre,199,target,api,171,24,0,0,0.0
G4D,pre,203,intent_detect,api,283,164,0,0,0.0
G4D,pre,203,paraphrase,api,98,16,0,0,0.0
G4D,pre,203,safety_analyze,api,248,485,0,0,0.0
