method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_sec
G4D,pre,1,intent_detect,api,283,162,0.0
G4D,pre,1,paraphrase,api,98,9,0.0
G4D,pre,1,safety_analyze,api,241,188,0.0
G4D,pre,1,target,api,209,512,0.0
G4D,pre,2,intent_detect,api,283,163,0.0
G4D,pre,2,paraphrase,api,98,11,0.0
G4D,pre,2,safety_analyze,api,243,257,0.0
G4D,pre,2,target,api,230,512,0.0
G4D,pre,3,intent_detect,api,284,162,0.0
G4D,pre,3,paraphrase,api,99,15,0.0
G4D,pre,3,safety_analyze,api,248,310,0.0
G4D,pre,3,target,api,291,512,0.0
G4D,pre,4,intent_detect,api,284,76,0.0
G4D,pre,4,paraphrase,api,99,17,0.0
G4D,pre,4,safety_analyze,api,226,443,0.0
G4D,pre,4,target,api,392,435,0.0
G4D,pre,5,intent_detect,api,285,164,0.0
G4D,pre,5,paraphrase,api,100,16,0.0
G4D,pre,5,safety_analyze,api,250,201,0.0
G4D,pre,5,target,api,190,512,0.0
G4D,pre,6,intent_detect,api,283,157,0.0
G4D,pre,6,paraphrase,api,98,12,0.0
G4D,pre,6,safety_analyze,api,244,176,0.0
G4D,pre,6,target,api,198,512,0.0
G4D,pre,7,intent_detect,api,284,169,0.0
G4D,pre,7,paraphrase,api,99,13,0.0
G4D,pre,7,safety_analyze,api,246,169,0.0
G4D,pre,7,target,api,202,478,0.0
G4D,pre,8,intent_detect,api,284,172,0.0
G4D,pre,8,paraphrase,api,99,16,0.0
G4D,pre,8,safety_analyze,api,249,237,0.0
G4D,pre,8,target,api,185,506,0.0
G4D,pre,9,intent_detect,api,287,167,0.0
G4D,pre,9,paraphrase,api,102,14,0.0
G4D,pre,9,safety_analyze,api,250,308,0.0
G4D,pre,9,target,api,212,465,0.0
G4D,pre,10,intent_detect,api,283,166,0.0
G4D,pre,10,paraphrase,api,98,13,0.0
G4D,pre,10,safety_analyze,api,245,408,0.0
G4D,pre,10,target,api,103,380,0.0
G4D,pre,11,intent_detect,api,285,166,0.0
G4D,pre,11,paraphrase,api,100,17,0.0
G4D,pre,11,safety_analyze,api,251,218,0.0
G4D,pre,11,target,api,201,363,0.0
G4D,pre,12,intent_detect,api,284,168,0.0
G4D,pre,12,paraphrase,api,99,15,0.0
G4D,pre,12,safety_analyze,api,248,294,0.0
G4D,pre,12,target,api,292,510,0.0
G4D,pre,13,intent_detect,api,283,162,0.0
G4D,pre,13,paraphrase,api,98,13,0.0
G4D,pre,13,safety_analyze,api,244,245,0.0
G4D,pre,13,target,api,103,411,0.0
G4D,pre,14,intent_detect,api,287,163,0.0
G4D,pre,14,paraphrase,api,102,16,0.0
G4D,pre,14,safety_analyze,api,252,348,0.0
G4D,pre,14,target,api,333,336,0.0
G4D,pre,15,intent_detect,api,286,164,0.0
G4D,pre,15,paraphrase,api,101,15,0.0
G4D,pre,15,safety_analyze,api,250,315,0.0
G4D,pre,15,target,api,283,512,0.0
G4D,pre,16,intent_detect,api,285,166,0.0
G4D,pre,16,paraphrase,api,100,17,0.0
G4D,pre,16,safety_analyze,api,251,256,0.0
G4D,pre,16,target,api,107,320,0.0
G4D,pre,17,intent_detect,api,284,165,0.0
G4D,pre,17,paraphrase,api,99,13,0.0
G4D,pre,17,safety_analyze,api,246,192,0.0
G4D,pre,17,target,api,156,206,0.0
G4D,pre,18,intent_detect,api,284,173,0.0
G4D,pre,18,paraphrase,api,99,18,0.0
G4D,pre,18,safety_analyze,api,251,304,0.0
G4D,pre,18,target,api,108,510,0.0
G4D,pre,19,intent_detect,api,288,175,0.0
G4D,pre,19,paraphrase,api,103,13,0.0
G4D,pre,19,safety_analyze,api,250,472,0.0
G4D,pre,19,target,api,103,465,0.0
G4D,pre,20,intent_detect,api,286,165,0.0
G4D,pre,20,paraphrase,api,101,16,0.0
G4D,pre,20,safety_analyze,api,251,286,0.0
G4D,pre,20,target,api,106,299,0.0
G4D,pre,21,intent_detect,api,285,162,0.0
G4D,pre,21,paraphrase,api,100,16,0.0
G4D,pre,21,safety_analyze,api,250,244,0.0
G4D,pre,21,target,api,250,483,0.0
G4D,pre,22,intent_detect,api,288,192,0.0
G4D,pre,22,paraphrase,api,103,17,0.0
G4D,pre,22,safety_analyze,api,254,224,0.0
G4D,pre,22,target,api,177,411,0.0
G4D,pre,23,intent_detect,api,287,202,0.0
G4D,pre,23,paraphrase,api,102,10,0.0
G4D,pre,23,safety_analyze,api,246,305,0.0
G4D,pre,23,target,api,234,512,0.0
G4D,pre,24,intent_detect,api,286,166,0.0
G4D,pre,24,paraphrase,api,101,15,0.0
G4D,pre,24,safety_analyze,api,250,398,0.0
G4D,pre,24,target,api,370,331,0.0
G4D,pre,25,intent_detect,api,287,164,0.0
G4D,pre,25,paraphrase,api,102,16,0.0
G4D,pre,25,safety_analyze,api,252,502,0.0
G4D,pre,25,target,api,106,512,0.0
G4D,pre,51,intent_detect,api,286,169,0.0
G4D,pre,51,paraphrase,api,101,14,0.0
G4D,pre,51,safety_analyze,api,249,313,0.0
G4D,pre,51,target,api,104,374,0.0
G4D,pre,52,intent_detect,api,288,156,0.0
G4D,pre,52,paraphrase,api,103,13,0.0
