method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
GoalPriority,pre,0,target,api,750,445,0,0,0.0
GoalPriority,pre,4,target,api,743,428,0,0,0.0
GoalPriority,pre,10,target,api,750,436,0,0,0.0
GoalPriority,pre,12,target,api,749,208,0,0,0.0
GoalPriority,pre,18,target,api,744,401,0,0,0.0
GoalPriority,pre,22,target,api,741,269,0,0,0.0
GoalPriority,pre,26,target,api,744,512,0,0,0.0
GoalPriority,pre,30,target,api,745,354,0,0,0.0
GoalPriority,pre,31,target,api,744,325,0,0,0.0
GoalPriority,pre,33,target,api,739,234,0,0,0.0
GoalPriority,pre,39,target,api,744,404,0,0,0.0
GoalPriority,pre,42,target,api,744,385,0,0,0.0
GoalPriority,pre,44,target,api,748,379,0,0,0.0
GoalPriority,pre,45,target,api,745,263,0,0,0.0
GoalPriority,pre,55,target,api,750,406,0,0,0.0
GoalPriority,pre,66,target,api,748,443,0,0,0.0
GoalPriority,pre,67,target,api,747,434,0,0,0.0
GoalPriority,pre,70,target,api,758,380,0,0,0.0
GoalPriority,pre,76,target,api,753,512,0,0,0.0
GoalPriority,pre,77,target,api,744,220,0,0,0.0
GoalPriority,pre,78,target,api,757,459,0,0,0.0
GoalPriority,pre,84,target,api,745,332,0,0,0.0
GoalPriority,pre,89,target,api,760,446,0,0,0.0
GoalPriority,pre,93,target,api,748,342,0,0,0.0
GoalPriority,pre,97,target,api,742,349,0,0,0.0
GoalPriority,pre,101,target,api,749,330,0,0,0.0
GoalPriority,pre,105,target,api,755,389,0,0,0.0
GoalPriority,pre,106,target,api,746,512,0,0,0.0
GoalPriority,pre,110,target,api,752,512,0,0,0.0
GoalPriority,pre,111,target,api,743,217,0,0,0.0
GoalPriority,pre,113,target,api,755,306,0,0,0.0
GoalPriority,pre,119,target,api,751,468,0,0,0.0
GoalPriority,pre,129,target,api,752,290,0,0,0.0
GoalPriority,pre,134,target,api,748,105,0,0,0.0
GoalPriority,pre,135,target,api,745,383,0,0,0.0
GoalPriority,pre,136,target,api,747,512,0,0,0.0
GoalPriority,pre,146,target,api,759,512,0,0,0.0
GoalPriority,pre,148,target,api,747,418,0,0,0.0
GoalPriority,pre,151,target,api,863,351,0,0,0.0
GoalPriority,pre,154,target,api,747,477,0,0,0.0
GoalPriority,pre,159,target,api,746,88,0,0,0.0
GoalPriority,pre,166,target,api,751,233,0,0,0.0
GoalPriority,pre,168,target,api,746,512,0,0,0.0
GoalPriority,pre,171,target,api,766,381,0,0,0.0
GoalPriority,pre,177,target,api,744,200,0,0,0.0
GoalPriority,pre,181,target,api,750,144,0,0,0.0
GoalPriority,pre,187,target,api,760,319,0,0,0.0
GoalPriority,pre,189,target,api,758,468,0,0,0.0
GoalPriority,pre,195,target,api,747,299,0,0,0.0
GoalPriority,pre,199,target,api,744,139,0,0,0.0
GoalPriority,pre,203,target,api,743,161,0,0,0.0
GoalPriority,pre,207,target,api,744,267,0,0,0.0
