request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
0,1,750,445,0,0,0.0,0.0
4,1,743,428,0,0,0.0,0.0
10,1,750,436,0,0,0.0,0.0
12,1,749,208,0,0,0.0,0.0
18,1,744,401,0,0,0.0,0.0
22,1,741,269,0,0,0.0,0.0
26,1,744,512,0,0,0.0,0.0
30,1,745,354,0,0,0.0,0.0
31,1,744,325,0,0,0.0,0.0
33,1,739,234,0,0,0.0,0.0
39,1,744,404,0,0,0.0,0.0
42,1,744,385,0,0,0.0,0.0
44,1,748,379,0,0,0.0,0.0
45,1,745,263,0,0,0.0,0.0
55,1,750,406,0,0,0.0,0.0
66,1,748,443,0,0,0.0,0.0
67,1,747,434,0,0,0.0,0.0
70,1,758,380,0,0,0.0,0.0
76,1,753,512,0,0,0.0,0.0
77,1,744,220,0,0,0.0,0.0
78,1,757,459,0,0,0.0,0.0
84,1,745,332,0,0,0.0,0.0
89,1,760,446,0,0,0.0,0.0
93,1,748,342,0,0,0.0,0.0
97,1,742,349,0,0,0.0,0.0
101,1,749,330,0,0,0.0,0.0
105,1,755,389,0,0,0.0,0.0
106,1,746,512,0,0,0.0,0.0
110,1,752,512,0,0,0.0,0.0
111,1,743,217,0,0,0.0,0.0
113,1,755,306,0,0,0.0,0.0
119,1,751,468,0,0,0.0,0.0
129,1,752,290,0,0,0.0,0.0
134,1,748,105,0,0,0.0,0.0
135,1,745,383,0,0,0.0,0.0
136,1,747,512,0,0,0.0,0.0
146,1,759,512,0,0,0.0,0.0
148,1,747,418,0,0,0.0,0.0
151,1,863,351,0,0,0.0,0.0
154,1,747,477,0,0,0.0,0.0
159,1,746,88,0,0,0.0,0.0
166,1,751,233,0,0,0.0,0.0
168,1,746,512,0,0,0.0,0.0
171,1,766,381,0,0,0.0,0.0
177,1,744,200,0,0,0.0,0.0
181,1,750,144,0,0,0.0,0.0
187,1,760,319,0,0,0.0,0.0
189,1,758,468,0,0,0.0,0.0
195,1,747,299,0,0,0.0,0.0
199,1,744,139,0,0,0.0,0.0
203,1,743,161,0,0,0.0,0.0
207,1,744,267,0,0,0.0,0.0
208,1,740,132,0,0,0.0,0.0
210,1,750,380,0,0,0.0,0.0
216,1,742,118,0,0,0.0,0.0
219,1,765,197,0,0,0.0,0.0
221,1,741,193,0,0,0.0,0.0
222,1,755,252,0,0,0.0,0.0
230,1,773,323,0,0,0.0,0.0
232,1,742,451,0,0,0.0,0.0
246,1,760,512,0,0,0.0,0.0
247,1,744,277,0,0,0.0,0.0
250,1,751,480,0,0,0.0,0.0
253,1,744,221,0,0,0.0,0.0
254,1,759,111,0,0,0.0,0.0
257,1,760,176,0,0,0.0,0.0
260,1,755,414,0,0,0.0,0.0
265,1,747,341,0,0,0.0,0.0
267,1,752,451,0,0,0.0,0.0
277,1,779,214,0,0,0.0,0.0
281,1,747,313,0,0,0.0,0.0
287,1,749,435,0,0,0.0,0.0
288,1,753,191,0,0,0.0,0.0
289,1,758,385,0,0,0.0,0.0
295,1,758,407,0,0,0.0,0.0
299,1,766,337,0,0,0.0,0.0
303,1,776,420,0,0,0.0,0.0
308,1,760,412,0,0,0.0,0.0
313,1,972,512,0,0,0.0,0.0
317,1,750,481,0,0,0.0,0.0
322,1,752,324,0,0,0.0,0.0
324,1,752,430,0,0,0.0,0.0
330,1,751,279,0,0,0.0,0.0
343,1,754,96,0,0,0.0,0.0
344,1,783,336,0,0,0.0,0.0
346,1,760,328,0,0,0.0,0.0
347,1,746,404,0,0,0.0,0.0
349,1,819,345,0,0,0.0,0.0
357,1,752,511,0,0,0.0,0.0
358,1,758,156,0,0,0.0,0.0
360,1,769,228,0,0,0.0,0.0
368,1,755,512,0,0,0.0,0.0
375,1,770,280,0,0,0.0,0.0
381,1,757,137,0,0,0.0,0.0
384,1,766,115,0,0,0.0,0.0
387,1,748,512,0,0,0.0,0.0
388,1,746,191,0,0,0.0,0.0
398,1,759,459,0,0,0.0,0.0
399,1,750,451,0,0,0.0,0.0
405,1,756,360,0,0,0.0,0.0
407,1,751,322,0,0,0.0,0.0
413,1,766,482,0,0,0.0,0.0
