method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
GoalPriority,pre,1,target,api,743,383,0,0,0.0
GoalPriority,pre,2,target,api,743,366,0,0,0.0
GoalPriority,pre,3,target,api,744,373,0,0,0.0
GoalPriority,pre,4,target,api,744,164,0,0,0.0
GoalPriority,pre,5,target,api,745,470,0,0,0.0
GoalPriority,pre,6,target,api,743,428,0,0,0.0
GoalPriority,pre,7,target,api,744,502,0,0,0.0
GoalPriority,pre,8,target,api,744,471,0,0,0.0
GoalPriority,pre,9,target,api,747,402,0,0,0.0
GoalPriority,pre,10,target,api,743,306,0,0,0.0
GoalPriority,pre,11,target,api,745,262,0,0,0.0
GoalPriority,pre,12,target,api,744,387,0,0,0.0
GoalPriority,pre,13,target,api,743,448,0,0,0.0
GoalPriority,pre,14,target,api,747,166,0,0,0.0
GoalPriority,pre,15,target,api,746,397,0,0,0.0
GoalPriority,pre,16,target,api,745,380,0,0,0.0
GoalPriority,pre,17,target,api,744,185,0,0,0.0
GoalPriority,pre,18,target,api,744,431,0,0,0.0
GoalPriority,pre,19,target,api,748,466,0,0,0.0
GoalPriority,pre,20,target,api,746,299,0,0,0.0
GoalPriority,pre,21,target,api,745,452,0,0,0.0
GoalPriority,pre,22,target,api,748,424,0,0,0.0
GoalPriority,pre,23,target,api,747,449,0,0,0.0
GoalPriority,pre,24,target,api,746,392,0,0,0.0
GoalPriority,pre,25,target,api,747,148,0,0,0.0
GoalPriority,pre,51,target,api,746,458,0,0,0.0
GoalPriority,pre,52,target,api,748,336,0,0,0.0
GoalPriority,pre,53,target,api,747,476,0,0,0.0
GoalPriority,pre,54,target,api,745,438,0,0,0.0
GoalPriority,pre,55,target,api,746,397,0,0,0.0
GoalPriority,pre,56,target,api,747,376,0,0,0.0
GoalPriority,pre,57,target,api,749,130,0,0,0.0
GoalPriority,pre,58,target,api,747,512,0,0,0.0
GoalPriority,pre,59,target,api,743,349,0,0,0.0
GoalPriority,pre,60,target,api,747,413,0,0,0.0
GoalPriority,pre,61,target,api,745,346,0,0,0.0
GoalPriority,pre,62,target,api,748,425,0,0,0.0
GoalPriority,pre,63,target,api,747,469,0,0,0.0
GoalPriority,pre,64,target,api,744,188,0,0,0.0
GoalPriority,pre,65,target,api,746,511,0,0,0.0
GoalPriority,pre,66,target,api,745,512,0,0,0.0
GoalPriority,pre,67,target,api,746,344,0,0,0.0
GoalPriority,pre,68,target,api,743,170,0,0,0.0
GoalPriority,pre,69,target,api,744,467,0,0,0.0
GoalPriority,pre,70,target,api,743,490,0,0,0.0
GoalPriority,pre,71,target,api,746,483,0,0,0.0
GoalPriority,pre,72,target,api,747,379,0,0,0.0
GoalPriority,pre,73,target,api,747,503,0,0,0.0
GoalPriority,pre,74,target,api,746,449,0,0,0.0
GoalPriority,pre,75,target,api,748,425,0,0,0.0
GoalPriority,pre,101,target,api,746,453,0,0,0.0
GoalPriority,pre,102,target,api,745,293,0,0,0.0
GoalPriority,pre,103,target,api,746,303,0,0,0.0
GoalPriority,pre,104,target,api,745,436,0,0,0.0
GoalPriority,pre,105,target,api,746,488,0,0,0.0
GoalPriority,pre,106,target,api,745,231,0,0,0.0
GoalPriority,pre,107,target,api,744,436,0,0,0.0
GoalPriority,pre,108,target,api,745,393,0,0,0.0
GoalPriority,pre,109,target,api,749,285,0,0,0.0
GoalPriority,pre,110,target,api,747,396,0,0,0.0
GoalPriority,pre,111,target,api,749,266,0,0,0.0
GoalPriority,pre,112,target,api,741,512,0,0,0.0
GoalPriority,pre,113,target,api,745,364,0,0,0.0
GoalPriority,pre,114,target,api,747,311,0,0,0.0
GoalPriority,pre,115,target,api,749,348,0,0,0.0
GoalPriority,pre,116,target,api,744,288,0,0,0.0
GoalPriority,pre,117,target,api,747,497,0,0,0.0
GoalPriority,pre,118,target,api,748,427,0,0,0.0
GoalPriority,pre,119,target,api,744,512,0,0,0.0
GoalPriority,pre,120,target,api,746,271,0,0,0.0
GoalPriority,pre,121,target,api,744,355,0,0,0.0
GoalPriority,pre,122,target,api,750,427,0,0,0.0
GoalPriority,pre,123,target,api,749,400,0,0,0.0
GoalPriority,pre,124,target,api,745,373,0,0,0.0
GoalPriority,pre,125,target,api,743,360,0,0,0.0
GoalPriority,pre,151,target,api,745,206,0,0,0.0
GoalPriority,pre,152,target,api,747,300,0,0,0.0
GoalPriority,pre,153,target,api,749,168,0,0,0.0
GoalPriority,pre,154,target,api,744,268,0,0,0.0
GoalPriority,pre,155,target,api,748,360,0,0,0.0
GoalPriority,pre,156,target,api,747,284,0,0,0.0
GoalPriority,pre,157,target,api,747,268,0,0,0.0
GoalPriority,pre,158,target,api,750,196,0,0,0.0
GoalPriority,pre,159,target,api,749,168,0,0,0.0
GoalPriority,pre,160,target,api,752,142,0,0,0.0
GoalPriority,pre,161,target,api,747,487,0,0,0.0
GoalPriority,pre,162,target,api,746,393,0,0,0.0
GoalPriority,pre,163,target,api,746,492,0,0,0.0
GoalPriority,pre,164,target,api,748,400,0,0,0.0
GoalPriority,pre,165,target,api,745,309,0,0,0.0
GoalPriority,pre,166,target,api,746,305,0,0,0.0
GoalPriority,pre,167,target,api,749,371,0,0,0.0
GoalPriority,pre,168,target,api,746,112,0,0,0.0
GoalPriority,pre,169,target,api,753,185,0,0,0.0
GoalPriority,pre,170,target,api,751,383,0,0,0.0
GoalPriority,pre,171,target,api,751,140,0,0,0.0
GoalPriority,pre,172,target,api,751,280,0,0,0.0
GoalPriority,pre,173,target,api,749,413,0,0,0.0
GoalPriority,pre,174,target,api,750,293,0,0,0.0
GoalPriority,pre,175,target,api,751,153,0,0,0.0
GoalPriority,pre,201,target,api,742,120,0,0,0.0
GoalPriority,pre,202,target,api,739,181,0,0,0.0
GoalPriority,pre,203,target,api,740,118,0,0,0.0
GoalPriority,pre,204,target,api,740,192,0,0,0.0
GoalPriority,pre,205,target,api,744,148,0,0,0.0
GoalPriority,pre,206,target,api,739,262,0,0,0.0
GoalPriority,pre,207,target,api,740,220,0,0,0.0
GoalPriority,pre,208,target,api,740,340,0,0,0.0
GoalPriority,pre,209,target,api,744,334,0,0,0.0
GoalPriority,pre,210,target,api,739,235,0,0,0.0
GoalPriority,pre,211,target,api,747,171,0,0,0.0
GoalPriority,pre,212,target,api,745,175,0,0,0.0
GoalPriority,pre,213,target,api,746,119,0,0,0.0
GoalPriority,pre,214,target,api,747,191,0,0,0.0
GoalPriority,pre,215,target,api,745,162,0,0,0.0
GoalPriority,pre,216,target,api,739,231,0,0,0.0
GoalPriority,pre,217,target,api,741,287,0,0,0.0
GoalPriority,pre,218,target,api,742,145,0,0,0.0
GoalPriority,pre,219,target,api,743,288,0,0,0.0
GoalPriority,pre,220,target,api,739,236,0,0,0.0
GoalPriority,pre,221,target,api,739,163,0,0,0.0
GoalPriority,pre,222,target,api,740,330,0,0,0.0
GoalPriority,pre,223,target,api,739,276,0,0,0.0
GoalPriority,pre,224,target,api,740,496,0,0,0.0
GoalPriority,pre,225,target,api,739,193,0,0,0.0
GoalPriority,pre,251,target,api,743,229,0,0,0.0
GoalPriority,pre,252,target,api,745,202,0,0,0.0
GoalPriority,pre,253,target,api,744,169,0,0,0.0
GoalPriority,pre,254,target,api,746,228,0,0,0.0
GoalPriority,pre,255,target,api,748,173,0,0,0.0
GoalPriority,pre,256,target,api,745,187,0,0,0.0
GoalPriority,pre,257,target,api,743,168,0,0,0.0
GoalPriority,pre,258,target,api,742,174,0,0,0.0
GoalPriority,pre,259,target,api,743,154,0,0,0.0
GoalPriority,pre,260,target,api,745,142,0,0,0.0
GoalPriority,pre,261,target,api,747,259,0,0,0.0
GoalPriority,pre,262,target,api,745,149,0,0,0.0
GoalPriority,pre,263,target,api,744,163,0,0,0.0
GoalPriority,pre,264,target,api,747,258,0,0,0.0
GoalPriority,pre,265,target,api,752,143,0,0,0.0
GoalPriority,pre,266,target,api,749,167,0,0,0.0
GoalPriority,pre,267,target,api,747,203,0,0,0.0
GoalPriority,pre,268,target,api,744,205,0,0,0.0
GoalPriority,pre,269,target,api,746,171,0,0,0.0
GoalPriority,pre,270,target,api,747,175,0,0,0.0
GoalPriority,pre,271,target,api,749,136,0,0,0.0
GoalPriority,pre,272,target,api,746,185,0,0,0.0
GoalPriority,pre,273,target,api,748,167,0,0,0.0
GoalPriority,pre,274,target,api,750,181,0,0,0.0
GoalPriority,pre,275,target,api,747,187,0,0,0.0
GoalPriority,pre,276,target,api,743,177,0,0,0.0
GoalPriority,pre,277,target,api,748,195,0,0,0.0
GoalPriority,pre,278,target,api,744,234,0,0,0.0
GoalPriority,pre,279,target,api,744,228,0,0,0.0
GoalPriority,pre,280,target,api,747,185,0,0,0.0
GoalPriority,pre,281,target,api,743,186,0,0,0.0
GoalPriority,pre,282,target,api,743,237,0,0,0.0
GoalPriority,pre,283,target,api,742,281,0,0,0.0
GoalPriority,pre,284,target,api,748,284,0,0,0.0
GoalPriority,pre,285,target,api,749,236,0,0,0.0
GoalPriority,pre,286,target,api,746,376,0,0,0.0
GoalPriority,pre,287,target,api,743,185,0,0,0.0
GoalPriority,pre,288,target,api,743,215,0,0,0.0
GoalPriority,pre,289,target,api,748,208,0,0,0.0
GoalPriority,pre,290,target,api,745,174,0,0,0.0
GoalPriority,pre,291,target,api,749,394,0,0,0.0
GoalPriority,pre,292,target,api,743,258,0,0,0.0
GoalPriority,pre,293,target,api,745,253,0,0,0.0
GoalPriority,pre,294,target,api,745,327,0,0,0.0
GoalPriority,pre,295,target,api,746,206,0,0,0.0
GoalPriority,pre,296,target,api,743,224,0,0,0.0
GoalPriority,pre,297,target,api,745,284,0,0,0.0
GoalPriority,pre,298,target,api,746,236,0,0,0.0
GoalPriority,pre,299,target,api,748,206,0,0,0.0
GoalPriority,pre,300,target,api,745,225,0,0,0.0
GoalPriority,pre,326,target,api,746,369,0,0,0.0
GoalPriority,pre,327,target,api,746,422,0,0,0.0
GoalPriority,pre,328,target,api,746,314,0,0,0.0
GoalPriority,pre,329,target,api,743,388,0,0,0.0
GoalPriority,pre,330,target,api,750,403,0,0,0.0
GoalPriority,pre,331,target,api,743,414,0,0,0.0
GoalPriority,pre,332,target,api,745,294,0,0,0.0
GoalPriority,pre,333,target,api,743,303,0,0,0.0
GoalPriority,pre,334,target,api,747,281,0,0,0.0
GoalPriority,pre,335,target,api,749,220,0,0,0.0
GoalPriority,pre,336,target,api,749,321,0,0,0.0
GoalPriority,pre,337,target,api,748,394,0,0,0.0
GoalPriority,pre,338,target,api,741,284,0,0,0.0
GoalPriority,pre,339,target,api,749,364,0,0,0.0
GoalPriority,pre,340,target,api,748,512,0,0,0.0
GoalPriority,pre,341,target,api,742,203,0,0,0.0
GoalPriority,pre,342,target,api,741,270,0,0,0.0
GoalPriority,pre,343,target,api,742,145,0,0,0.0
GoalPriority,pre,344,target,api,743,140,0,0,0.0
GoalPriority,pre,345,target,api,742,391,0,0,0.0
GoalPriority,pre,346,target,api,745,374,0,0,0.0
GoalPriority,pre,347,target,api,748,220,0,0,0.0
GoalPriority,pre,348,target,api,745,325,0,0,0.0
GoalPriority,pre,349,target,api,750,450,0,0,0.0
GoalPriority,pre,350,target,api,750,430,0,0,0.0
GoalPriority,pre,376,target,api,744,68,0,0,0.0
GoalPriority,pre,377,target,api,745,126,0,0,0.0
GoalPriority,pre,378,target,api,744,126,0,0,0.0
GoalPriority,pre,379,target,api,744,74,0,0,0.0
GoalPriority,pre,380,target,api,742,280,0,0,0.0
GoalPriority,pre,381,target,api,742,157,0,0,0.0
GoalPriority,pre,382,target,api,744,170,0,0,0.0
GoalPriority,pre,383,target,api,746,113,0,0,0.0
GoalPriority,pre,384,target,api,746,153,0,0,0.0
GoalPriority,pre,385,target,api,744,163,0,0,0.0
GoalPriority,pre,386,target,api,747,121,0,0,0.0
GoalPriority,pre,387,target,api,745,244,0,0,0.0
GoalPriority,pre,388,target,api,746,60,0,0,0.0
GoalPriority,pre,389,target,api,741,67,0,0,0.0
GoalPriority,pre,390,target,api,745,58,0,0,0.0
GoalPriority,pre,391,target,api,749,73,0,0,0.0
GoalPriority,pre,392,target,api,743,356,0,0,0.0
GoalPriority,pre,393,target,api,748,120,0,0,0.0
GoalPriority,pre,394,target,api,745,312,0,0,0.0
GoalPriority,pre,395,target,api,743,310,0,0,0.0
GoalPriority,pre,396,target,api,746,81,0,0,0.0
GoalPriority,pre,397,target,api,740,127,0,0,0.0
GoalPriority,pre,398,target,api,743,115,0,0,0.0
GoalPriority,pre,399,target,api,744,127,0,0,0.0
GoalPriority,pre,400,target,api,744,180,0,0,0.0
GoalPriority,pre,401,target,api,744,78,0,0,0.0
GoalPriority,pre,402,target,api,751,103,0,0,0.0
GoalPriority,pre,403,target,api,747,124,0,0,0.0
GoalPriority,pre,404,target,api,744,159,0,0,0.0
GoalPriority,pre,405,target,api,744,279,0,0,0.0
GoalPriority,pre,406,target,api,743,114,0,0,0.0
GoalPriority,pre,407,target,api,744,105,0,0,0.0
GoalPriority,pre,408,target,api,744,161,0,0,0.0
GoalPriority,pre,409,target,api,745,138,0,0,0.0
