request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
1,1,743,383,0,0,0.0,0.0
2,1,743,366,0,0,0.0,0.0
3,1,744,373,0,0,0.0,0.0
4,1,744,164,0,0,0.0,0.0
5,1,745,470,0,0,0.0,0.0
6,1,743,428,0,0,0.0,0.0
7,1,744,502,0,0,0.0,0.0
8,1,744,471,0,0,0.0,0.0
9,1,747,402,0,0,0.0,0.0
10,1,743,306,0,0,0.0,0.0
11,1,745,262,0,0,0.0,0.0
12,1,744,387,0,0,0.0,0.0
13,1,743,448,0,0,0.0,0.0
14,1,747,166,0,0,0.0,0.0
15,1,746,397,0,0,0.0,0.0
16,1,745,380,0,0,0.0,0.0
17,1,744,185,0,0,0.0,0.0
18,1,744,431,0,0,0.0,0.0
19,1,748,466,0,0,0.0,0.0
20,1,746,299,0,0,0.0,0.0
21,1,745,452,0,0,0.0,0.0
22,1,748,424,0,0,0.0,0.0
23,1,747,449,0,0,0.0,0.0
24,1,746,392,0,0,0.0,0.0
25,1,747,148,0,0,0.0,0.0
51,1,746,458,0,0,0.0,0.0
52,1,748,336,0,0,0.0,0.0
53,1,747,476,0,0,0.0,0.0
54,1,745,438,0,0,0.0,0.0
55,1,746,397,0,0,0.0,0.0
56,1,747,376,0,0,0.0,0.0
57,1,749,130,0,0,0.0,0.0
58,1,747,512,0,0,0.0,0.0
59,1,743,349,0,0,0.0,0.0
60,1,747,413,0,0,0.0,0.0
61,1,745,346,0,0,0.0,0.0
62,1,748,425,0,0,0.0,0.0
63,1,747,469,0,0,0.0,0.0
64,1,744,188,0,0,0.0,0.0
65,1,746,511,0,0,0.0,0.0
66,1,745,512,0,0,0.0,0.0
67,1,746,344,0,0,0.0,0.0
68,1,743,170,0,0,0.0,0.0
69,1,744,467,0,0,0.0,0.0
70,1,743,490,0,0,0.0,0.0
71,1,746,483,0,0,0.0,0.0
72,1,747,379,0,0,0.0,0.0
73,1,747,503,0,0,0.0,0.0
74,1,746,449,0,0,0.0,0.0
75,1,748,425,0,0,0.0,0.0
101,1,746,453,0,0,0.0,0.0
102,1,745,293,0,0,0.0,0.0
103,1,746,303,0,0,0.0,0.0
104,1,745,436,0,0,0.0,0.0
105,1,746,488,0,0,0.0,0.0
106,1,745,231,0,0,0.0,0.0
107,1,744,436,0,0,0.0,0.0
108,1,745,393,0,0,0.0,0.0
109,1,749,285,0,0,0.0,0.0
110,1,747,396,0,0,0.0,0.0
111,1,749,266,0,0,0.0,0.0
112,1,741,512,0,0,0.0,0.0
113,1,745,364,0,0,0.0,0.0
114,1,747,311,0,0,0.0,0.0
115,1,749,348,0,0,0.0,0.0
116,1,744,288,0,0,0.0,0.0
117,1,747,497,0,0,0.0,0.0
118,1,748,427,0,0,0.0,0.0
119,1,744,512,0,0,0.0,0.0
120,1,746,271,0,0,0.0,0.0
121,1,744,355,0,0,0.0,0.0
122,1,750,427,0,0,0.0,0.0
123,1,749,400,0,0,0.0,0.0
124,1,745,373,0,0,0.0,0.0
125,1,743,360,0,0,0.0,0.0
151,1,745,206,0,0,0.0,0.0
152,1,747,300,0,0,0.0,0.0
153,1,749,168,0,0,0.0,0.0
154,1,744,268,0,0,0.0,0.0
155,1,748,360,0,0,0.0,0.0
156,1,747,284,0,0,0.0,0.0
157,1,747,268,0,0,0.0,0.0
158,1,750,196,0,0,0.0,0.0
159,1,749,168,0,0,0.0,0.0
160,1,752,142,0,0,0.0,0.0
161,1,747,487,0,0,0.0,0.0
162,1,746,393,0,0,0.0,0.0
163,1,746,492,0,0,0.0,0.0
164,1,748,400,0,0,0.0,0.0
165,1,745,309,0,0,0.0,0.0
166,1,746,305,0,0,0.0,0.0
167,1,749,371,0,0,0.0,0.0
168,1,746,112,0,0,0.0,0.0
169,1,753,185,0,0,0.0,0.0
170,1,751,383,0,0,0.0,0.0
171,1,751,140,0,0,0.0,0.0
172,1,751,280,0,0,0.0,0.0
173,1,749,413,0,0,0.0,0.0
174,1,750,293,0,0,0.0,0.0
175,1,751,153,0,0,0.0,0.0
201,1,742,120,0,0,0.0,0.0
202,1,739,181,0,0,0.0,0.0
203,1,740,118,0,0,0.0,0.0
204,1,740,192,0,0,0.0,0.0
205,1,744,148,0,0,0.0,0.0
206,1,739,262,0,0,0.0,0.0
207,1,740,220,0,0,0.0,0.0
208,1,740,340,0,0,0.0,0.0
209,1,744,334,0,0,0.0,0.0
210,1,739,235,0,0,0.0,0.0
211,1,747,171,0,0,0.0,0.0
212,1,745,175,0,0,0.0,0.0
213,1,746,119,0,0,0.0,0.0
214,1,747,191,0,0,0.0,0.0
215,1,745,162,0,0,0.0,0.0
216,1,739,231,0,0,0.0,0.0
217,1,741,287,0,0,0.0,0.0
218,1,742,145,0,0,0.0,0.0
219,1,743,288,0,0,0.0,0.0
220,1,739,236,0,0,0.0,0.0
221,1,739,163,0,0,0.0,0.0
222,1,740,330,0,0,0.0,0.0
223,1,739,276,0,0,0.0,0.0
224,1,740,496,0,0,0.0,0.0
225,1,739,193,0,0,0.0,0.0
251,1,743,229,0,0,0.0,0.0
252,1,745,202,0,0,0.0,0.0
253,1,744,169,0,0,0.0,0.0
254,1,746,228,0,0,0.0,0.0
255,1,748,173,0,0,0.0,0.0
256,1,745,187,0,0,0.0,0.0
257,1,743,168,0,0,0.0,0.0
258,1,742,174,0,0,0.0,0.0
259,1,743,154,0,0,0.0,0.0
260,1,745,142,0,0,0.0,0.0
261,1,747,259,0,0,0.0,0.0
262,1,745,149,0,0,0.0,0.0
263,1,744,163,0,0,0.0,0.0
264,1,747,258,0,0,0.0,0.0
265,1,752,143,0,0,0.0,0.0
266,1,749,167,0,0,0.0,0.0
267,1,747,203,0,0,0.0,0.0
268,1,744,205,0,0,0.0,0.0
269,1,746,171,0,0,0.0,0.0
270,1,747,175,0,0,0.0,0.0
271,1,749,136,0,0,0.0,0.0
272,1,746,185,0,0,0.0,0.0
273,1,748,167,0,0,0.0,0.0
274,1,750,181,0,0,0.0,0.0
275,1,747,187,0,0,0.0,0.0
276,1,743,177,0,0,0.0,0.0
277,1,748,195,0,0,0.0,0.0
278,1,744,234,0,0,0.0,0.0
279,1,744,228,0,0,0.0,0.0
280,1,747,185,0,0,0.0,0.0
281,1,743,186,0,0,0.0,0.0
282,1,743,237,0,0,0.0,0.0
283,1,742,281,0,0,0.0,0.0
284,1,748,284,0,0,0.0,0.0
285,1,749,236,0,0,0.0,0.0
286,1,746,376,0,0,0.0,0.0
287,1,743,185,0,0,0.0,0.0
288,1,743,215,0,0,0.0,0.0
289,1,748,208,0,0,0.0,0.0
290,1,745,174,0,0,0.0,0.0
291,1,749,394,0,0,0.0,0.0
292,1,743,258,0,0,0.0,0.0
293,1,745,253,0,0,0.0,0.0
294,1,745,327,0,0,0.0,0.0
295,1,746,206,0,0,0.0,0.0
296,1,743,224,0,0,0.0,0.0
297,1,745,284,0,0,0.0,0.0
298,1,746,236,0,0,0.0,0.0
299,1,748,206,0,0,0.0,0.0
300,1,745,225,0,0,0.0,0.0
326,1,746,369,0,0,0.0,0.0
327,1,746,422,0,0,0.0,0.0
328,1,746,314,0,0,0.0,0.0
329,1,743,388,0,0,0.0,0.0
330,1,750,403,0,0,0.0,0.0
331,1,743,414,0,0,0.0,0.0
332,1,745,294,0,0,0.0,0.0
333,1,743,303,0,0,0.0,0.0
334,1,747,281,0,0,0.0,0.0
335,1,749,220,0,0,0.0,0.0
336,1,749,321,0,0,0.0,0.0
337,1,748,394,0,0,0.0,0.0
338,1,741,284,0,0,0.0,0.0
339,1,749,364,0,0,0.0,0.0
340,1,748,512,0,0,0.0,0.0
341,1,742,203,0,0,0.0,0.0
342,1,741,270,0,0,0.0,0.0
343,1,742,145,0,0,0.0,0.0
344,1,743,140,0,0,0.0,0.0
345,1,742,391,0,0,0.0,0.0
346,1,745,374,0,0,0.0,0.0
347,1,748,220,0,0,0.0,0.0
348,1,745,325,0,0,0.0,0.0
349,1,750,450,0,0,0.0,0.0
350,1,750,430,0,0,0.0,0.0
376,1,744,68,0,0,0.0,0.0
377,1,745,126,0,0,0.0,0.0
378,1,744,126,0,0,0.0,0.0
379,1,744,74,0,0,0.0,0.0
380,1,742,280,0,0,0.0,0.0
381,1,742,157,0,0,0.0,0.0
382,1,744,170,0,0,0.0,0.0
383,1,746,113,0,0,0.0,0.0
384,1,746,153,0,0,0.0,0.0
385,1,744,163,0,0,0.0,0.0
386,1,747,121,0,0,0.0,0.0
387,1,745,244,0,0,0.0,0.0
388,1,746,60,0,0,0.0,0.0
389,1,741,67,0,0,0.0,0.0
390,1,745,58,0,0,0.0,0.0
391,1,749,73,0,0,0.0,0.0
392,1,743,356,0,0,0.0,0.0
393,1,748,120,0,0,0.0,0.0
394,1,745,312,0,0,0.0,0.0
395,1,743,310,0,0,0.0,0.0
396,1,746,81,0,0,0.0,0.0
397,1,740,127,0,0,0.0,0.0
398,1,743,115,0,0,0.0,0.0
399,1,744,127,0,0,0.0,0.0
400,1,744,180,0,0,0.0,0.0
401,1,744,78,0,0,0.0,0.0
402,1,751,103,0,0,0.0,0.0
403,1,747,124,0,0,0.0,0.0
404,1,744,159,0,0,0.0,0.0
405,1,744,279,0,0,0.0,0.0
406,1,743,114,0,0,0.0,0.0
407,1,744,105,0,0,0.0,0.0
408,1,744,161,0,0,0.0,0.0
409,1,745,138,0,0,0.0,0.0
410,1,744,99,0,0,0.0,0.0
411,1,743,168,0,0,0.0,0.0
412,1,743,162,0,0,0.0,0.0
413,1,745,243,0,0,0.0,0.0
414,1,744,282,0,0,0.0,0.0
415,1,743,114,0,0,0.0,0.0
416,1,747,206,0,0,0.0,0.0
417,1,744,151,0,0,0.0,0.0
418,1,745,143,0,0,0.0,0.0
419,1,748,200,0,0,0.0,0.0
420,1,745,152,0,0,0.0,0.0
421,1,744,83,0,0,0.0,0.0
422,1,743,278,0,0,0.0,0.0
423,1,745,156,0,0,0.0,0.0
424,1,746,145,0,0,0.0,0.0
425,1,743,188,0,0,0.0,0.0
