method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
IA,pre,0,intention,api,127,219,0,0,0.0
IA,pre,0,target,api,383,495,0,0,0.0
IA,pre,4,intention,api,120,276,0,0,0.0
IA,pre,4,target,api,433,508,0,0,0.0
IA,pre,10,intention,api,127,275,0,0,0.0
IA,pre,10,target,api,439,399,0,0,0.0
IA,pre,12,intention,api,126,185,0,0,0.0
IA,pre,12,target,api,348,424,0,0,0.0
IA,pre,18,intention,api,121,192,0,0,0.0
IA,pre,18,target,api,350,407,0,0,0.0
IA,pre,22,intention,api,118,288,0,0,0.0
IA,pre,22,target,api,443,224,0,0,0.0
IA,pre,26,intention,api,121,348,0,0,0.0
IA,pre,26,target,api,506,453,0,0,0.0
IA,pre,30,intention,api,122,229,0,0,0.0
IA,pre,30,target,api,388,512,0,0,0.0
IA,pre,31,intention,api,121,209,0,0,0.0
IA,pre,31,target,api,367,457,0,0,0.0
IA,pre,33,intention,api,116,238,0,0,0.0
IA,pre,33,target,api,391,384,0,0,0.0
IA,pre,39,intention,api,121,153,0,0,0.0
IA,pre,39,target,api,311,397,0,0,0.0
IA,pre,42,intention,api,121,241,0,0,0.0
IA,pre,42,target,api,399,480,0,0,0.0
IA,pre,44,intention,api,125,206,0,0,0.0
IA,pre,44,target,api,368,505,0,0,0.0
IA,pre,45,intention,api,122,241,0,0,0.0
IA,pre,45,target,api,400,368,0,0,0.0
IA,pre,55,intention,api,127,282,0,0,0.0
IA,pre,55,target,api,446,475,0,0,0.0
IA,pre,66,intention,api,125,259,0,0,0.0
IA,pre,66,target,api,421,421,0,0,0.0
IA,pre,67,intention,api,124,197,0,0,0.0
IA,pre,67,target,api,358,352,0,0,0.0
IA,pre,70,intention,api,135,280,0,0,0.0
IA,pre,70,target,api,452,382,0,0,0.0
IA,pre,76,intention,api,130,270,0,0,0.0
IA,pre,76,target,api,437,512,0,0,0.0
IA,pre,77,intention,api,121,219,0,0,0.0
IA,pre,77,target,api,377,207,0,0,0.0
IA,pre,78,intention,api,134,229,0,0,0.0
IA,pre,78,target,api,400,475,0,0,0.0
IA,pre,84,intention,api,122,204,0,0,0.0
IA,pre,84,target,api,363,247,0,0,0.0
IA,pre,89,intention,api,137,247,0,0,0.0
IA,pre,89,target,api,421,512,0,0,0.0
IA,pre,93,intention,api,125,306,0,0,0.0
IA,pre,93,target,api,468,402,0,0,0.0
IA,pre,97,intention,api,119,245,0,0,0.0
IA,pre,97,target,api,401,323,0,0,0.0
IA,pre,101,intention,api,126,222,0,0,0.0
IA,pre,101,target,api,385,294,0,0,0.0
IA,pre,105,intention,api,132,206,0,0,0.0
IA,pre,105,target,api,375,512,0,0,0.0
IA,pre,106,intention,api,123,302,0,0,0.0
IA,pre,106,target,api,462,475,0,0,0.0
IA,pre,110,intention,api,129,237,0,0,0.0
IA,pre,110,target,api,403,502,0,0,0.0
IA,pre,111,intention,api,120,151,0,0,0.0
IA,pre,111,target,api,308,166,0,0,0.0
IA,pre,113,intention,api,132,232,0,0,0.0
IA,pre,113,target,api,401,226,0,0,0.0
IA,pre,119,intention,api,128,241,0,0,0.0
IA,pre,119,target,api,406,408,0,0,0.0
IA,pre,129,intention,api,129,232,0,0,0.0
IA,pre,129,target,api,398,325,0,0,0.0
IA,pre,134,intention,api,125,234,0,0,0.0
IA,pre,134,target,api,396,46,0,0,0.0
IA,pre,135,intention,api,122,189,0,0,0.0
IA,pre,135,target,api,348,215,0,0,0.0
IA,pre,136,intention,api,124,398,0,0,0.0
IA,pre,136,target,api,559,512,0,0,0.0
