request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
0,2,510,714,0,0,0.0,0.0
10,2,566,674,0,0,0.0,0.0
101,2,511,516,0,0,0.0,0.0
105,2,507,718,0,0,0.0,0.0
106,2,585,777,0,0,0.0,0.0
110,2,532,739,0,0,0.0,0.0
111,2,428,317,0,0,0.0,0.0
113,2,533,458,0,0,0.0,0.0
119,2,534,649,0,0,0.0,0.0
12,2,474,609,0,0,0.0,0.0
129,2,527,557,0,0,0.0,0.0
134,2,521,280,0,0,0.0,0.0
135,2,470,404,0,0,0.0,0.0
136,2,683,910,0,0,0.0,0.0
146,2,632,835,0,0,0.0,0.0
148,2,470,558,0,0,0.0,0.0
151,2,694,516,0,0,0.0,0.0
154,2,458,680,0,0,0.0,0.0
159,2,474,242,0,0,0.0,0.0
166,2,317,49,0,0,0.0,0.0
168,2,489,718,0,0,0.0,0.0
171,2,586,753,0,0,0.0,0.0
177,2,467,501,0,0,0.0,0.0
18,2,471,599,0,0,0.0,0.0
181,2,316,135,0,0,0.0,0.0
187,2,553,754,0,0,0.0,0.0
189,2,582,691,0,0,0.0,0.0
195,2,509,545,0,0,0.0,0.0
199,2,428,248,0,0,0.0,0.0
203,2,446,303,0,0,0.0,0.0
207,2,509,502,0,0,0.0,0.0
208,2,402,207,0,0,0.0,0.0
210,2,544,595,0,0,0.0,0.0
216,2,472,241,0,0,0.0,0.0
219,2,612,341,0,0,0.0,0.0
22,2,561,512,0,0,0.0,0.0
221,2,503,402,0,0,0.0,0.0
222,2,673,728,0,0,0.0,0.0
230,2,621,574,0,0,0.0,0.0
232,2,578,815,0,0,0.0,0.0
246,2,579,643,0,0,0.0,0.0
247,2,517,459,0,0,0.0,0.0
250,2,569,710,0,0,0.0,0.0
253,2,608,732,0,0,0.0,0.0
254,2,428,216,0,0,0.0,0.0
257,2,559,760,0,0,0.0,0.0
26,2,627,801,0,0,0.0,0.0
260,2,612,767,0,0,0.0,0.0
265,2,495,622,0,0,0.0,0.0
267,2,502,704,0,0,0.0,0.0
277,2,547,333,0,0,0.0,0.0
281,2,582,707,0,0,0.0,0.0
287,2,480,694,0,0,0.0,0.0
288,2,495,426,0,0,0.0,0.0
289,2,583,642,0,0,0.0,0.0
295,2,507,712,0,0,0.0,0.0
299,2,478,443,0,0,0.0,0.0
30,2,510,741,0,0,0.0,0.0
303,2,560,460,0,0,0.0,0.0
308,2,541,722,0,0,0.0,0.0
31,2,488,666,0,0,0.0,0.0
313,2,1011,688,0,0,0.0,0.0
317,2,462,550,0,0,0.0,0.0
322,2,642,767,0,0,0.0,0.0
324,2,465,516,0,0,0.0,0.0
33,2,507,622,0,0,0.0,0.0
330,2,455,415,0,0,0.0,0.0
343,2,457,177,0,0,0.0,0.0
344,2,554,331,0,0,0.0,0.0
346,2,534,458,0,0,0.0,0.0
347,2,476,535,0,0,0.0,0.0
349,2,663,624,0,0,0.0,0.0
357,2,539,653,0,0,0.0,0.0
358,2,457,270,0,0,0.0,0.0
360,2,552,446,0,0,0.0,0.0
368,2,580,791,0,0,0.0,0.0
375,2,512,481,0,0,0.0,0.0
381,2,532,277,0,0,0.0,0.0
384,2,496,225,0,0,0.0,0.0
387,2,557,680,0,0,0.0,0.0
388,2,498,482,0,0,0.0,0.0
39,2,432,550,0,0,0.0,0.0
398,2,635,838,0,0,0.0,0.0
399,2,625,780,0,0,0.0,0.0
4,2,553,784,0,0,0.0,0.0
405,2,558,565,0,0,0.0,0.0
407,2,583,609,0,0,0.0,0.0
413,2,626,527,0,0,0.0,0.0
414,2,521,689,0,0,0.0,0.0
417,2,640,672,0,0,0.0,0.0
418,2,615,793,0,0,0.0,0.0
42,2,520,721,0,0,0.0,0.0
425,2,604,659,0,0,0.0,0.0
426,2,606,803,0,0,0.0,0.0
427,2,596,339,0,0,0.0,0.0
429,2,501,705,0,0,0.0,0.0
437,2,717,846,0,0,0.0,0.0
44,2,493,711,0,0,0.0,0.0
