method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_sec
IA,pre,6,intention,api,120,188,0.0
IA,pre,6,target,api,345,409,0.0
IA,pre,7,intention,api,121,229,0.0
IA,pre,7,target,api,387,398,0.0
IA,pre,8,intention,api,121,218,0.0
IA,pre,8,target,api,376,394,0.0
IA,pre,9,intention,api,124,323,0.0
IA,pre,9,target,api,484,493,0.0
IA,pre,10,intention,api,120,177,0.0
IA,pre,10,target,api,334,247,0.0
IA,pre,11,intention,api,122,230,0.0
IA,pre,11,target,api,389,351,0.0
IA,pre,12,intention,api,121,238,0.0
IA,pre,12,target,api,396,407,0.0
IA,pre,13,intention,api,120,158,0.0
IA,pre,13,target,api,315,398,0.0
IA,pre,14,intention,api,124,29,0.0
IA,pre,14,target,api,190,54,0.0
IA,pre,15,intention,api,123,192,0.0
IA,pre,15,target,api,352,449,0.0
IA,pre,16,intention,api,122,166,0.0
IA,pre,16,target,api,325,274,0.0
IA,pre,17,intention,api,121,210,0.0
IA,pre,17,target,api,368,216,0.0
IA,pre,18,intention,api,121,205,0.0
IA,pre,18,target,api,363,500,0.0
IA,pre,19,intention,api,125,216,0.0
IA,pre,19,target,api,378,457,0.0
IA,pre,20,intention,api,123,288,0.0
IA,pre,20,target,api,448,314,0.0
IA,pre,21,intention,api,122,235,0.0
IA,pre,21,target,api,394,443,0.0
IA,pre,22,intention,api,125,191,0.0
IA,pre,22,target,api,353,402,0.0
IA,pre,23,intention,api,124,202,0.0
IA,pre,23,target,api,363,402,0.0
IA,pre,24,intention,api,123,334,0.0
IA,pre,24,target,api,494,512,0.0
IA,pre,25,intention,api,124,28,0.0
IA,pre,25,target,api,189,18,0.0
IA,pre,51,intention,api,123,115,0.0
IA,pre,51,target,api,275,447,0.0
IA,pre,52,intention,api,125,157,0.0
IA,pre,52,target,api,319,198,0.0
IA,pre,53,intention,api,124,149,0.0
IA,pre,53,target,api,310,378,0.0
IA,pre,54,intention,api,122,169,0.0
IA,pre,54,target,api,328,434,0.0
IA,pre,55,intention,api,123,205,0.0
IA,pre,55,target,api,365,436,0.0
IA,pre,56,intention,api,124,250,0.0
IA,pre,56,target,api,411,308,0.0
IA,pre,57,intention,api,126,31,0.0
IA,pre,57,target,api,194,21,0.0
IA,pre,58,intention,api,124,250,0.0
IA,pre,58,target,api,411,354,0.0
IA,pre,59,intention,api,120,201,0.0
IA,pre,59,target,api,358,438,0.0
IA,pre,60,intention,api,124,217,0.0
IA,pre,60,target,api,378,453,0.0
IA,pre,61,intention,api,122,256,0.0
IA,pre,61,target,api,415,323,0.0
IA,pre,62,intention,api,125,218,0.0
IA,pre,62,target,api,380,442,0.0
IA,pre,63,intention,api,124,292,0.0
IA,pre,63,target,api,453,494,0.0
IA,pre,64,intention,api,121,30,0.0
IA,pre,64,target,api,188,310,0.0
IA,pre,65,intention,api,123,153,0.0
IA,pre,65,target,api,313,403,0.0
IA,pre,66,intention,api,122,181,0.0
IA,pre,66,target,api,340,416,0.0
IA,pre,67,intention,api,123,237,0.0
IA,pre,67,target,api,397,337,0.0
IA,pre,68,intention,api,120,145,0.0
IA,pre,68,target,api,302,472,0.0
IA,pre,69,intention,api,121,197,0.0
IA,pre,69,target,api,355,404,0.0
IA,pre,70,intention,api,120,233,0.0
IA,pre,70,target,api,390,401,0.0
IA,pre,71,intention,api,123,201,0.0
IA,pre,71,target,api,361,496,0.0
IA,pre,72,intention,api,124,214,0.0
IA,pre,72,target,api,375,478,0.0
IA,pre,73,intention,api,124,236,0.0
IA,pre,73,target,api,397,512,0.0
IA,pre,74,intention,api,123,214,0.0
IA,pre,74,target,api,374,507,0.0
IA,pre,75,intention,api,125,193,0.0
IA,pre,75,target,api,355,428,0.0
IA,pre,101,intention,api,123,200,0.0
IA,pre,101,target,api,360,409,0.0
IA,pre,102,intention,api,122,328,0.0
IA,pre,102,target,api,487,385,0.0
IA,pre,103,intention,api,123,211,0.0
IA,pre,103,target,api,371,250,0.0
IA,pre,104,intention,api,122,254,0.0
IA,pre,104,target,api,413,386,0.0
IA,pre,105,intention,api,123,208,0.0
IA,pre,105,target,api,368,487,0.0
IA,pre,106,intention,api,122,260,0.0
IA,pre,106,target,api,419,69,0.0
IA,pre,107,intention,api,121,200,0.0
IA,pre,107,target,api,358,512,0.0
IA,pre,108,intention,api,122,168,0.0
IA,pre,108,target,api,327,484,0.0
IA,pre,109,intention,api,126,27,0.0
IA,pre,109,target,api,190,17,0.0
IA,pre,110,intention,api,124,279,0.0
