request_id,n_calls,api_in_tokens,api_out_tokens,local_sec
6,2,465,597,0.0
7,2,508,627,0.0
8,2,497,612,0.0
9,2,608,816,0.0
10,2,454,424,0.0
11,2,511,581,0.0
12,2,517,645,0.0
13,2,435,556,0.0
14,2,314,83,0.0
15,2,475,641,0.0
16,2,447,440,0.0
17,2,489,426,0.0
18,2,484,705,0.0
19,2,503,673,0.0
20,2,571,602,0.0
21,2,516,678,0.0
22,2,478,593,0.0
23,2,487,604,0.0
24,2,617,846,0.0
25,2,313,46,0.0
51,2,398,562,0.0
52,2,444,355,0.0
53,2,434,527,0.0
54,2,450,603,0.0
55,2,488,641,0.0
56,2,535,558,0.0
57,2,320,52,0.0
58,2,535,604,0.0
59,2,478,639,0.0
60,2,502,670,0.0
61,2,537,579,0.0
62,2,505,660,0.0
63,2,577,786,0.0
64,2,309,340,0.0
65,2,436,556,0.0
66,2,462,597,0.0
67,2,520,574,0.0
68,2,422,617,0.0
69,2,476,601,0.0
70,2,510,634,0.0
71,2,484,697,0.0
72,2,499,692,0.0
73,2,521,748,0.0
74,2,497,721,0.0
75,2,480,621,0.0
101,2,483,609,0.0
102,2,609,713,0.0
103,2,494,461,0.0
104,2,535,640,0.0
105,2,491,695,0.0
106,2,541,329,0.0
107,2,479,712,0.0
108,2,449,652,0.0
109,2,316,44,0.0
110,2,564,754,0.0
111,2,536,675,0.0
112,2,551,790,0.0
113,2,572,693,0.0
114,2,464,539,0.0
115,2,517,729,0.0
116,2,438,475,0.0
117,2,582,809,0.0
118,2,611,810,0.0
119,2,555,729,0.0
120,2,624,689,0.0
121,2,569,802,0.0
122,2,589,767,0.0
123,2,536,690,0.0
124,2,521,607,0.0
125,2,454,543,0.0
151,2,312,148,0.0
152,2,505,638,0.0
153,2,306,188,0.0
154,2,486,471,0.0
155,2,432,434,0.0
156,2,442,405,0.0
157,2,455,432,0.0
158,2,448,464,0.0
159,2,427,237,0.0
160,2,531,402,0.0
161,2,519,701,0.0
162,2,309,93,0.0
163,2,464,645,0.0
164,2,468,646,0.0
165,2,299,36,0.0
166,2,468,525,0.0
167,2,589,760,0.0
168,2,312,48,0.0
169,2,503,581,0.0
170,2,589,771,0.0
171,2,329,221,0.0
172,2,429,331,0.0
173,2,548,771,0.0
174,2,512,625,0.0
175,2,490,386,0.0
201,2,558,454,0.0
202,2,412,328,0.0
203,2,441,432,0.0
204,2,479,449,0.0
205,2,540,490,0.0
206,2,491,597,0.0
207,2,487,495,0.0
