method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
SAGE,pre,0,target,api,193,288,0,0,0.0
SAGE,pre,4,target,api,186,357,0,0,0.0
SAGE,pre,10,target,api,193,148,0,0,0.0
SAGE,pre,12,target,api,192,258,0,0,0.0
SAGE,pre,18,target,api,187,274,0,0,0.0
SAGE,pre,22,target,api,184,213,0,0,0.0
SAGE,pre,26,target,api,187,375,0,0,0.0
SAGE,pre,30,target,api,188,255,0,0,0.0
SAGE,pre,31,target,api,187,304,0,0,0.0
SAGE,pre,33,target,api,182,273,0,0,0.0
SAGE,pre,39,target,api,187,321,0,0,0.0
SAGE,pre,42,target,api,187,455,0,0,0.0
SAGE,pre,44,target,api,191,346,0,0,0.0
SAGE,pre,45,target,api,188,319,0,0,0.0
SAGE,pre,55,target,api,193,343,0,0,0.0
SAGE,pre,66,target,api,191,269,0,0,0.0
SAGE,pre,67,target,api,190,329,0,0,0.0
SAGE,pre,70,target,api,201,345,0,0,0.0
SAGE,pre,76,target,api,196,261,0,0,0.0
SAGE,pre,77,target,api,187,247,0,0,0.0
SAGE,pre,78,target,api,200,307,0,0,0.0
SAGE,pre,84,target,api,188,320,0,0,0.0
SAGE,pre,89,target,api,203,382,0,0,0.0
SAGE,pre,93,target,api,191,328,0,0,0.0
SAGE,pre,97,target,api,185,335,0,0,0.0
SAGE,pre,101,target,api,192,364,0,0,0.0
SAGE,pre,105,target,api,198,382,0,0,0.0
SAGE,pre,106,target,api,189,432,0,0,0.0
SAGE,pre,110,target,api,195,404,0,0,0.0
SAGE,pre,111,target,api,186,271,0,0,0.0
SAGE,pre,113,target,api,198,249,0,0,0.0
SAGE,pre,119,target,api,194,339,0,0,0.0
SAGE,pre,129,target,api,195,242,0,0,0.0
SAGE,pre,134,target,api,191,168,0,0,0.0
SAGE,pre,135,target,api,188,249,0,0,0.0
SAGE,pre,136,target,api,190,448,0,0,0.0
SAGE,pre,146,target,api,202,485,0,0,0.0
SAGE,pre,148,target,api,190,420,0,0,0.0
SAGE,pre,151,target,api,306,323,0,0,0.0
SAGE,pre,154,target,api,190,425,0,0,0.0
SAGE,pre,159,target,api,189,204,0,0,0.0
SAGE,pre,166,target,api,193,33,0,0,0.0
SAGE,pre,168,target,api,189,512,0,0,0.0
SAGE,pre,171,target,api,209,512,0,0,0.0
SAGE,pre,177,target,api,187,262,0,0,0.0
SAGE,pre,181,target,api,193,24,0,0,0.0
SAGE,pre,187,target,api,203,512,0,0,0.0
SAGE,pre,189,target,api,201,354,0,0,0.0
SAGE,pre,195,target,api,190,210,0,0,0.0
SAGE,pre,199,target,api,187,193,0,0,0.0
SAGE,pre,203,target,api,186,192,0,0,0.0
SAGE,pre,207,target,api,187,170,0,0,0.0
SAGE,pre,208,target,api,183,179,0,0,0.0
SAGE,pre,210,target,api,193,348,0,0,0.0
SAGE,pre,216,target,api,185,181,0,0,0.0
SAGE,pre,219,target,api,208,219,0,0,0.0
SAGE,pre,221,target,api,184,180,0,0,0.0
SAGE,pre,222,target,api,198,312,0,0,0.0
SAGE,pre,230,target,api,216,500,0,0,0.0
SAGE,pre,232,target,api,185,383,0,0,0.0
SAGE,pre,246,target,api,203,359,0,0,0.0
SAGE,pre,247,target,api,187,320,0,0,0.0
SAGE,pre,250,target,api,194,339,0,0,0.0
SAGE,pre,253,target,api,187,355,0,0,0.0
SAGE,pre,254,target,api,202,249,0,0,0.0
SAGE,pre,257,target,api,203,180,0,0,0.0
SAGE,pre,260,target,api,198,467,0,0,0.0
SAGE,pre,265,target,api,189,28,0,0,0.0
SAGE,pre,267,target,api,195,283,0,0,0.0
SAGE,pre,277,target,api,221,260,0,0,0.0
SAGE,pre,281,target,api,190,225,0,0,0.0
SAGE,pre,287,target,api,192,471,0,0,0.0
SAGE,pre,288,target,api,196,240,0,0,0.0
SAGE,pre,289,target,api,201,393,0,0,0.0
SAGE,pre,295,target,api,201,479,0,0,0.0
SAGE,pre,299,target,api,209,274,0,0,0.0
SAGE,pre,303,target,api,219,301,0,0,0.0
SAGE,pre,308,target,api,203,316,0,0,0.0
SAGE,pre,313,target,api,415,453,0,0,0.0
SAGE,pre,317,target,api,193,322,0,0,0.0
SAGE,pre,322,target,api,195,335,0,0,0.0
SAGE,pre,324,target,api,195,272,0,0,0.0
SAGE,pre,330,target,api,194,307,0,0,0.0
SAGE,pre,343,target,api,197,199,0,0,0.0
SAGE,pre,344,target,api,226,244,0,0,0.0
SAGE,pre,346,target,api,203,232,0,0,0.0
SAGE,pre,347,target,api,189,302,0,0,0.0
SAGE,pre,349,target,api,262,278,0,0,0.0
SAGE,pre,357,target,api,195,422,0,0,0.0
SAGE,pre,358,target,api,201,168,0,0,0.0
SAGE,pre,360,target,api,211,244,0,0,0.0
SAGE,pre,368,target,api,198,398,0,0,0.0
SAGE,pre,375,target,api,213,240,0,0,0.0
SAGE,pre,381,target,api,199,164,0,0,0.0
SAGE,pre,384,target,api,208,153,0,0,0.0
SAGE,pre,387,target,api,191,395,0,0,0.0
SAGE,pre,388,target,api,189,212,0,0,0.0
SAGE,pre,398,target,api,202,396,0,0,0.0
SAGE,pre,399,target,api,193,381,0,0,0.0
SAGE,pre,405,target,api,199,380,0,0,0.0
SAGE,pre,407,target,api,194,294,0,0,0.0
SAGE,pre,413,target,api,209,354,0,0,0.0
SAGE,pre,414,target,api,207,512,0,0,0.0
SAGE,pre,417,target,api,208,360,0,0,0.0
SAGE,pre,418,target,api,213,472,0,0,0.0
SAGE,pre,425,target,api,195,347,0,0,0.0
SAGE,pre,426,target,api,205,477,0,0,0.0
SAGE,pre,427,target,api,248,257,0,0,0.0
SAGE,pre,429,target,api,199,357,0,0,0.0
SAGE,pre,437,target,api,239,512,0,0,0.0
SAGE,pre,442,target,api,203,419,0,0,0.0
SAGE,pre,444,target,api,191,374,0,0,0.0
SAGE,pre,445,target,api,201,301,0,0,0.0
SAGE,pre,450,target,api,192,371,0,0,0.0
SAGE,pre,453,target,api,188,395,0,0,0.0
SAGE,pre,462,target,api,238,512,0,0,0.0
SAGE,pre,465,target,api,190,438,0,0,0.0
SAGE,pre,466,target,api,195,334,0,0,0.0
SAGE,pre,476,target,api,205,26,0,0,0.0
SAGE,pre,477,target,api,188,313,0,0,0.0
SAGE,pre,479,target,api,199,347,0,0,0.0
SAGE,pre,480,target,api,343,300,0,0,0.0
SAGE,pre,483,target,api,210,300,0,0,0.0
SAGE,pre,493,target,api,200,341,0,0,0.0
SAGE,pre,495,target,api,201,440,0,0,0.0
SAGE,pre,496,target,api,201,270,0,0,0.0
SAGE,pre,497,target,api,274,377,0,0,0.0
SAGE,pre,498,target,api,221,335,0,0,0.0
SAGE,pre,510,target,api,189,211,0,0,0.0
SAGE,pre,512,target,api,197,255,0,0,0.0
SAGE,pre,513,target,api,187,270,0,0,0.0
SAGE,pre,517,target,api,189,423,0,0,0.0
SAGE,pre,524,target,api,194,512,0,0,0.0
SAGE,pre,528,target,api,188,343,0,0,0.0
