request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
0,1,193,288,0,0,0.0,0.0
10,1,193,148,0,0,0.0,0.0
101,1,192,364,0,0,0.0,0.0
105,1,198,382,0,0,0.0,0.0
106,1,189,432,0,0,0.0,0.0
110,1,195,404,0,0,0.0,0.0
111,1,186,271,0,0,0.0,0.0
113,1,198,249,0,0,0.0,0.0
119,1,194,339,0,0,0.0,0.0
12,1,192,258,0,0,0.0,0.0
129,1,195,242,0,0,0.0,0.0
134,1,191,168,0,0,0.0,0.0
135,1,188,249,0,0,0.0,0.0
136,1,190,448,0,0,0.0,0.0
146,1,202,485,0,0,0.0,0.0
148,1,190,420,0,0,0.0,0.0
151,1,306,323,0,0,0.0,0.0
154,1,190,425,0,0,0.0,0.0
159,1,189,204,0,0,0.0,0.0
166,1,193,33,0,0,0.0,0.0
168,1,189,512,0,0,0.0,0.0
171,1,209,512,0,0,0.0,0.0
177,1,187,262,0,0,0.0,0.0
18,1,187,274,0,0,0.0,0.0
181,1,193,24,0,0,0.0,0.0
187,1,203,512,0,0,0.0,0.0
189,1,201,354,0,0,0.0,0.0
195,1,190,210,0,0,0.0,0.0
199,1,187,193,0,0,0.0,0.0
203,1,186,192,0,0,0.0,0.0
207,1,187,170,0,0,0.0,0.0
208,1,183,179,0,0,0.0,0.0
210,1,193,348,0,0,0.0,0.0
216,1,185,181,0,0,0.0,0.0
219,1,208,219,0,0,0.0,0.0
22,1,184,213,0,0,0.0,0.0
221,1,184,180,0,0,0.0,0.0
222,1,198,312,0,0,0.0,0.0
230,1,216,500,0,0,0.0,0.0
232,1,185,383,0,0,0.0,0.0
246,1,203,359,0,0,0.0,0.0
247,1,187,320,0,0,0.0,0.0
250,1,194,339,0,0,0.0,0.0
253,1,187,355,0,0,0.0,0.0
254,1,202,249,0,0,0.0,0.0
257,1,203,180,0,0,0.0,0.0
26,1,187,375,0,0,0.0,0.0
260,1,198,467,0,0,0.0,0.0
265,1,189,28,0,0,0.0,0.0
267,1,195,283,0,0,0.0,0.0
277,1,221,260,0,0,0.0,0.0
281,1,190,225,0,0,0.0,0.0
287,1,192,471,0,0,0.0,0.0
288,1,196,240,0,0,0.0,0.0
289,1,201,393,0,0,0.0,0.0
295,1,201,479,0,0,0.0,0.0
299,1,209,274,0,0,0.0,0.0
30,1,188,255,0,0,0.0,0.0
303,1,219,301,0,0,0.0,0.0
308,1,203,316,0,0,0.0,0.0
31,1,187,304,0,0,0.0,0.0
313,1,415,453,0,0,0.0,0.0
317,1,193,322,0,0,0.0,0.0
322,1,195,335,0,0,0.0,0.0
324,1,195,272,0,0,0.0,0.0
33,1,182,273,0,0,0.0,0.0
330,1,194,307,0,0,0.0,0.0
343,1,197,199,0,0,0.0,0.0
344,1,226,244,0,0,0.0,0.0
346,1,203,232,0,0,0.0,0.0
347,1,189,302,0,0,0.0,0.0
349,1,262,278,0,0,0.0,0.0
357,1,195,422,0,0,0.0,0.0
358,1,201,168,0,0,0.0,0.0
360,1,211,244,0,0,0.0,0.0
368,1,198,398,0,0,0.0,0.0
375,1,213,240,0,0,0.0,0.0
381,1,199,164,0,0,0.0,0.0
384,1,208,153,0,0,0.0,0.0
387,1,191,395,0,0,0.0,0.0
388,1,189,212,0,0,0.0,0.0
39,1,187,321,0,0,0.0,0.0
398,1,202,396,0,0,0.0,0.0
399,1,193,381,0,0,0.0,0.0
4,1,186,357,0,0,0.0,0.0
405,1,199,380,0,0,0.0,0.0
407,1,194,294,0,0,0.0,0.0
413,1,209,354,0,0,0.0,0.0
414,1,207,512,0,0,0.0,0.0
417,1,208,360,0,0,0.0,0.0
418,1,213,472,0,0,0.0,0.0
42,1,187,455,0,0,0.0,0.0
425,1,195,347,0,0,0.0,0.0
426,1,205,477,0,0,0.0,0.0
427,1,248,257,0,0,0.0,0.0
429,1,199,357,0,0,0.0,0.0
437,1,239,512,0,0,0.0,0.0
44,1,191,346,0,0,0.0,0.0
442,1,203,419,0,0,0.0,0.0
444,1,191,374,0,0,0.0,0.0
445,1,201,301,0,0,0.0,0.0
45,1,188,319,0,0,0.0,0.0
450,1,192,371,0,0,0.0,0.0
