method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_sec
SAGE,pre,1,target,api,186,440,0.0
SAGE,pre,2,target,api,186,282,0.0
SAGE,pre,3,target,api,187,338,0.0
SAGE,pre,4,target,api,187,23,0.0
SAGE,pre,5,target,api,188,406,0.0
SAGE,pre,6,target,api,186,234,0.0
SAGE,pre,7,target,api,187,324,0.0
SAGE,pre,8,target,api,187,263,0.0
SAGE,pre,9,target,api,190,355,0.0
SAGE,pre,10,target,api,186,266,0.0
SAGE,pre,11,target,api,188,207,0.0
SAGE,pre,12,target,api,187,347,0.0
SAGE,pre,13,target,api,186,357,0.0
SAGE,pre,14,target,api,190,28,0.0
SAGE,pre,15,target,api,189,445,0.0
SAGE,pre,16,target,api,188,171,0.0
SAGE,pre,17,target,api,187,171,0.0
SAGE,pre,18,target,api,187,51,0.0
SAGE,pre,19,target,api,191,326,0.0
SAGE,pre,20,target,api,189,202,0.0
SAGE,pre,21,target,api,188,327,0.0
SAGE,pre,22,target,api,191,40,0.0
SAGE,pre,23,target,api,190,416,0.0
SAGE,pre,24,target,api,189,386,0.0
SAGE,pre,25,target,api,190,25,0.0
SAGE,pre,51,target,api,189,339,0.0
SAGE,pre,52,target,api,191,25,0.0
SAGE,pre,53,target,api,190,364,0.0
SAGE,pre,54,target,api,188,272,0.0
SAGE,pre,55,target,api,189,322,0.0
SAGE,pre,56,target,api,190,315,0.0
SAGE,pre,57,target,api,192,26,0.0
SAGE,pre,58,target,api,190,330,0.0
SAGE,pre,59,target,api,186,29,0.0
SAGE,pre,60,target,api,190,26,0.0
SAGE,pre,61,target,api,188,30,0.0
SAGE,pre,62,target,api,191,367,0.0
SAGE,pre,63,target,api,190,501,0.0
SAGE,pre,64,target,api,187,35,0.0
SAGE,pre,65,target,api,189,336,0.0
SAGE,pre,66,target,api,188,390,0.0
SAGE,pre,67,target,api,189,389,0.0
SAGE,pre,68,target,api,186,249,0.0
SAGE,pre,69,target,api,187,373,0.0
SAGE,pre,70,target,api,186,376,0.0
SAGE,pre,71,target,api,189,73,0.0
SAGE,pre,72,target,api,190,333,0.0
SAGE,pre,73,target,api,190,30,0.0
SAGE,pre,74,target,api,189,325,0.0
SAGE,pre,75,target,api,191,409,0.0
SAGE,pre,101,target,api,189,21,0.0
SAGE,pre,102,target,api,188,262,0.0
SAGE,pre,103,target,api,189,21,0.0
SAGE,pre,104,target,api,188,278,0.0
SAGE,pre,105,target,api,189,25,0.0
SAGE,pre,106,target,api,188,43,0.0
SAGE,pre,107,target,api,187,333,0.0
SAGE,pre,108,target,api,188,501,0.0
SAGE,pre,109,target,api,192,26,0.0
SAGE,pre,110,target,api,190,320,0.0
SAGE,pre,111,target,api,192,23,0.0
SAGE,pre,112,target,api,184,389,0.0
SAGE,pre,113,target,api,188,317,0.0
SAGE,pre,114,target,api,190,343,0.0
SAGE,pre,115,target,api,192,30,0.0
SAGE,pre,116,target,api,187,265,0.0
SAGE,pre,117,target,api,190,469,0.0
SAGE,pre,118,target,api,191,277,0.0
SAGE,pre,119,target,api,187,310,0.0
SAGE,pre,120,target,api,189,305,0.0
SAGE,pre,121,target,api,187,379,0.0
SAGE,pre,122,target,api,193,427,0.0
SAGE,pre,123,target,api,192,22,0.0
SAGE,pre,124,target,api,188,357,0.0
SAGE,pre,125,target,api,186,286,0.0
SAGE,pre,151,target,api,188,24,0.0
SAGE,pre,152,target,api,190,341,0.0
SAGE,pre,153,target,api,192,27,0.0
SAGE,pre,154,target,api,187,24,0.0
SAGE,pre,155,target,api,191,23,0.0
SAGE,pre,156,target,api,190,199,0.0
SAGE,pre,157,target,api,190,26,0.0
SAGE,pre,158,target,api,193,30,0.0
SAGE,pre,159,target,api,192,17,0.0
SAGE,pre,160,target,api,195,240,0.0
SAGE,pre,161,target,api,190,26,0.0
SAGE,pre,162,target,api,189,29,0.0
SAGE,pre,163,target,api,189,34,0.0
SAGE,pre,164,target,api,191,380,0.0
SAGE,pre,165,target,api,188,25,0.0
SAGE,pre,166,target,api,189,35,0.0
SAGE,pre,167,target,api,192,26,0.0
SAGE,pre,168,target,api,189,28,0.0
SAGE,pre,169,target,api,196,32,0.0
SAGE,pre,170,target,api,194,335,0.0
SAGE,pre,171,target,api,194,28,0.0
SAGE,pre,172,target,api,194,25,0.0
SAGE,pre,173,target,api,192,32,0.0
SAGE,pre,174,target,api,193,27,0.0
SAGE,pre,175,target,api,194,26,0.0
SAGE,pre,201,target,api,185,177,0.0
SAGE,pre,202,target,api,182,169,0.0
SAGE,pre,203,target,api,183,262,0.0
SAGE,pre,204,target,api,183,218,0.0
SAGE,pre,205,target,api,187,245,0.0
SAGE,pre,206,target,api,182,17,0.0
SAGE,pre,207,target,api,183,32,0.0
SAGE,pre,208,target,api,183,286,0.0
SAGE,pre,209,target,api,187,289,0.0
SAGE,pre,210,target,api,182,270,0.0
SAGE,pre,211,target,api,190,270,0.0
SAGE,pre,212,target,api,188,315,0.0
SAGE,pre,213,target,api,189,224,0.0
SAGE,pre,214,target,api,190,277,0.0
SAGE,pre,215,target,api,188,252,0.0
SAGE,pre,216,target,api,182,22,0.0
SAGE,pre,217,target,api,184,218,0.0
SAGE,pre,218,target,api,185,19,0.0
SAGE,pre,219,target,api,186,23,0.0
SAGE,pre,220,target,api,182,22,0.0
SAGE,pre,221,target,api,182,195,0.0
SAGE,pre,222,target,api,183,292,0.0
SAGE,pre,223,target,api,182,209,0.0
SAGE,pre,224,target,api,183,262,0.0
SAGE,pre,225,target,api,182,218,0.0
SAGE,pre,251,target,api,186,226,0.0
SAGE,pre,252,target,api,188,407,0.0
SAGE,pre,253,target,api,187,182,0.0
SAGE,pre,254,target,api,189,191,0.0
SAGE,pre,255,target,api,191,334,0.0
SAGE,pre,256,target,api,188,322,0.0
SAGE,pre,257,target,api,186,329,0.0
SAGE,pre,258,target,api,185,289,0.0
SAGE,pre,259,target,api,186,28,0.0
SAGE,pre,260,target,api,188,311,0.0
SAGE,pre,261,target,api,190,341,0.0
SAGE,pre,262,target,api,188,188,0.0
SAGE,pre,263,target,api,187,199,0.0
SAGE,pre,264,target,api,190,264,0.0
SAGE,pre,265,target,api,195,24,0.0
SAGE,pre,266,target,api,192,377,0.0
SAGE,pre,267,target,api,190,254,0.0
SAGE,pre,268,target,api,187,286,0.0
SAGE,pre,269,target,api,189,235,0.0
SAGE,pre,270,target,api,190,31,0.0
SAGE,pre,271,target,api,192,327,0.0
SAGE,pre,272,target,api,189,338,0.0
SAGE,pre,273,target,api,191,348,0.0
SAGE,pre,274,target,api,193,394,0.0
SAGE,pre,275,target,api,190,264,0.0
SAGE,pre,276,target,api,186,287,0.0
SAGE,pre,277,target,api,191,207,0.0
SAGE,pre,278,target,api,187,287,0.0
SAGE,pre,279,target,api,187,244,0.0
SAGE,pre,280,target,api,190,287,0.0
SAGE,pre,281,target,api,186,245,0.0
SAGE,pre,282,target,api,186,322,0.0
SAGE,pre,283,target,api,185,262,0.0
SAGE,pre,284,target,api,191,258,0.0
SAGE,pre,285,target,api,192,315,0.0
SAGE,pre,286,target,api,189,262,0.0
SAGE,pre,287,target,api,186,350,0.0
SAGE,pre,288,target,api,186,277,0.0
SAGE,pre,289,target,api,191,360,0.0
SAGE,pre,290,target,api,188,240,0.0
SAGE,pre,291,target,api,192,386,0.0
SAGE,pre,292,target,api,186,282,0.0
SAGE,pre,293,target,api,188,314,0.0
SAGE,pre,294,target,api,188,338,0.0
SAGE,pre,295,target,api,189,225,0.0
SAGE,pre,296,target,api,186,327,0.0
SAGE,pre,297,target,api,188,268,0.0
SAGE,pre,298,target,api,189,344,0.0
SAGE,pre,299,target,api,191,263,0.0
SAGE,pre,300,target,api,188,276,0.0
SAGE,pre,326,target,api,189,255,0.0
SAGE,pre,327,target,api,189,441,0.0
SAGE,pre,328,target,api,189,339,0.0
SAGE,pre,329,target,api,186,268,0.0
SAGE,pre,330,target,api,193,383,0.0
SAGE,pre,331,target,api,186,262,0.0
SAGE,pre,332,target,api,188,31,0.0
SAGE,pre,333,target,api,186,305,0.0
SAGE,pre,334,target,api,190,268,0.0
SAGE,pre,335,target,api,192,21,0.0
SAGE,pre,336,target,api,192,289,0.0
SAGE,pre,337,target,api,191,26,0.0
SAGE,pre,338,target,api,184,22,0.0
SAGE,pre,339,target,api,192,26,0.0
SAGE,pre,340,target,api,191,438,0.0
SAGE,pre,341,target,api,185,233,0.0
SAGE,pre,342,target,api,184,258,0.0
SAGE,pre,343,target,api,185,206,0.0
SAGE,pre,344,target,api,186,23,0.0
SAGE,pre,345,target,api,185,241,0.0
SAGE,pre,346,target,api,188,262,0.0
SAGE,pre,347,target,api,191,268,0.0
SAGE,pre,348,target,api,188,370,0.0
SAGE,pre,349,target,api,193,322,0.0
SAGE,pre,350,target,api,193,404,0.0
SAGE,pre,376,target,api,187,162,0.0
SAGE,pre,377,target,api,188,180,0.0
SAGE,pre,378,target,api,187,161,0.0
SAGE,pre,379,target,api,187,158,0.0
SAGE,pre,380,target,api,185,300,0.0
SAGE,pre,381,target,api,185,194,0.0
SAGE,pre,382,target,api,187,235,0.0
SAGE,pre,383,target,api,189,224,0.0
SAGE,pre,384,target,api,189,199,0.0
SAGE,pre,385,target,api,187,224,0.0
SAGE,pre,386,target,api,190,197,0.0
SAGE,pre,387,target,api,188,236,0.0
SAGE,pre,388,target,api,189,148,0.0
SAGE,pre,389,target,api,184,145,0.0
SAGE,pre,390,target,api,188,149,0.0
SAGE,pre,391,target,api,192,149,0.0
SAGE,pre,392,target,api,186,256,0.0
SAGE,pre,393,target,api,191,179,0.0
SAGE,pre,394,target,api,188,249,0.0
SAGE,pre,395,target,api,186,255,0.0
SAGE,pre,396,target,api,189,138,0.0
SAGE,pre,397,target,api,183,152,0.0
SAGE,pre,398,target,api,186,167,0.0
SAGE,pre,399,target,api,187,173,0.0
SAGE,pre,400,target,api,187,210,0.0
SAGE,pre,401,target,api,187,26,0.0
SAGE,pre,402,target,api,194,27,0.0
SAGE,pre,403,target,api,190,24,0.0
SAGE,pre,404,target,api,187,180,0.0
SAGE,pre,405,target,api,187,261,0.0
SAGE,pre,406,target,api,186,24,0.0
SAGE,pre,407,target,api,187,21,0.0
SAGE,pre,408,target,api,187,21,0.0
SAGE,pre,409,target,api,188,239,0.0
SAGE,pre,410,target,api,187,21,0.0
SAGE,pre,411,target,api,186,216,0.0
SAGE,pre,412,target,api,186,215,0.0
SAGE,pre,413,target,api,188,250,0.0
SAGE,pre,414,target,api,187,248,0.0
SAGE,pre,415,target,api,186,165,0.0
SAGE,pre,416,target,api,190,28,0.0
SAGE,pre,417,target,api,187,26,0.0
SAGE,pre,418,target,api,188,26,0.0
SAGE,pre,419,target,api,191,27,0.0
SAGE,pre,420,target,api,188,237,0.0
SAGE,pre,421,target,api,187,26,0.0
SAGE,pre,422,target,api,186,233,0.0
SAGE,pre,423,target,api,188,24,0.0
SAGE,pre,424,target,api,189,254,0.0
SAGE,pre,425,target,api,186,223,0.0
