method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
Self_Reminder,pre,0,target,api,97,512,0,0,0.0
Self_Reminder,pre,4,target,api,90,493,0,0,0.0
Self_Reminder,pre,10,target,api,97,494,0,0,0.0
Self_Reminder,pre,12,target,api,96,316,0,0,0.0
Self_Reminder,pre,18,target,api,91,512,0,0,0.0
Self_Reminder,pre,22,target,api,88,251,0,0,0.0
Self_Reminder,pre,26,target,api,91,486,0,0,0.0
Self_Reminder,pre,30,target,api,92,501,0,0,0.0
Self_Reminder,pre,31,target,api,91,394,0,0,0.0
Self_Reminder,pre,33,target,api,86,380,0,0,0.0
Self_Reminder,pre,39,target,api,91,491,0,0,0.0
Self_Reminder,pre,42,target,api,91,491,0,0,0.0
Self_Reminder,pre,44,target,api,95,395,0,0,0.0
Self_Reminder,pre,45,target,api,92,297,0,0,0.0
Self_Reminder,pre,55,target,api,97,483,0,0,0.0
Self_Reminder,pre,66,target,api,95,409,0,0,0.0
Self_Reminder,pre,67,target,api,94,500,0,0,0.0
Self_Reminder,pre,70,target,api,105,416,0,0,0.0
Self_Reminder,pre,76,target,api,100,512,0,0,0.0
Self_Reminder,pre,77,target,api,91,213,0,0,0.0
Self_Reminder,pre,78,target,api,104,512,0,0,0.0
Self_Reminder,pre,84,target,api,92,317,0,0,0.0
Self_Reminder,pre,89,target,api,107,512,0,0,0.0
Self_Reminder,pre,93,target,api,95,390,0,0,0.0
Self_Reminder,pre,97,target,api,89,381,0,0,0.0
Self_Reminder,pre,101,target,api,96,355,0,0,0.0
Self_Reminder,pre,105,target,api,102,491,0,0,0.0
Self_Reminder,pre,106,target,api,93,512,0,0,0.0
Self_Reminder,pre,110,target,api,99,459,0,0,0.0
Self_Reminder,pre,111,target,api,90,171,0,0,0.0
Self_Reminder,pre,113,target,api,102,512,0,0,0.0
Self_Reminder,pre,119,target,api,98,447,0,0,0.0
Self_Reminder,pre,129,target,api,99,358,0,0,0.0
Self_Reminder,pre,134,target,api,95,65,0,0,0.0
Self_Reminder,pre,135,target,api,92,291,0,0,0.0
Self_Reminder,pre,136,target,api,94,512,0,0,0.0
Self_Reminder,pre,146,target,api,106,512,0,0,0.0
Self_Reminder,pre,148,target,api,94,460,0,0,0.0
Self_Reminder,pre,151,target,api,210,260,0,0,0.0
Self_Reminder,pre,154,target,api,94,497,0,0,0.0
Self_Reminder,pre,159,target,api,93,69,0,0,0.0
Self_Reminder,pre,166,target,api,98,22,0,0,0.0
Self_Reminder,pre,168,target,api,93,512,0,0,0.0
Self_Reminder,pre,171,target,api,113,512,0,0,0.0
Self_Reminder,pre,177,target,api,91,243,0,0,0.0
Self_Reminder,pre,181,target,api,97,328,0,0,0.0
Self_Reminder,pre,187,target,api,107,460,0,0,0.0
Self_Reminder,pre,189,target,api,105,436,0,0,0.0
Self_Reminder,pre,195,target,api,94,386,0,0,0.0
Self_Reminder,pre,199,target,api,91,171,0,0,0.0
Self_Reminder,pre,203,target,api,90,109,0,0,0.0
Self_Reminder,pre,207,target,api,91,311,0,0,0.0
Self_Reminder,pre,208,target,api,87,153,0,0,0.0
Self_Reminder,pre,210,target,api,97,339,0,0,0.0
Self_Reminder,pre,216,target,api,89,43,0,0,0.0
Self_Reminder,pre,219,target,api,112,144,0,0,0.0
Self_Reminder,pre,221,target,api,88,186,0,0,0.0
Self_Reminder,pre,222,target,api,102,512,0,0,0.0
Self_Reminder,pre,230,target,api,120,317,0,0,0.0
Self_Reminder,pre,232,target,api,89,490,0,0,0.0
Self_Reminder,pre,246,target,api,107,471,0,0,0.0
Self_Reminder,pre,247,target,api,91,293,0,0,0.0
Self_Reminder,pre,250,target,api,98,512,0,0,0.0
Self_Reminder,pre,253,target,api,91,384,0,0,0.0
Self_Reminder,pre,254,target,api,106,134,0,0,0.0
Self_Reminder,pre,257,target,api,107,157,0,0,0.0
Self_Reminder,pre,260,target,api,102,444,0,0,0.0
Self_Reminder,pre,265,target,api,94,29,0,0,0.0
Self_Reminder,pre,267,target,api,99,512,0,0,0.0
Self_Reminder,pre,277,target,api,126,200,0,0,0.0
Self_Reminder,pre,281,target,api,94,250,0,0,0.0
Self_Reminder,pre,287,target,api,96,499,0,0,0.0
Self_Reminder,pre,288,target,api,100,115,0,0,0.0
Self_Reminder,pre,289,target,api,105,405,0,0,0.0
Self_Reminder,pre,295,target,api,105,318,0,0,0.0
Self_Reminder,pre,299,target,api,113,364,0,0,0.0
Self_Reminder,pre,303,target,api,123,479,0,0,0.0
Self_Reminder,pre,308,target,api,107,512,0,0,0.0
Self_Reminder,pre,313,target,api,319,512,0,0,0.0
Self_Reminder,pre,317,target,api,97,419,0,0,0.0
Self_Reminder,pre,322,target,api,99,512,0,0,0.0
Self_Reminder,pre,324,target,api,99,354,0,0,0.0
Self_Reminder,pre,330,target,api,98,262,0,0,0.0
Self_Reminder,pre,343,target,api,101,77,0,0,0.0
Self_Reminder,pre,344,target,api,130,234,0,0,0.0
Self_Reminder,pre,346,target,api,107,306,0,0,0.0
Self_Reminder,pre,347,target,api,93,461,0,0,0.0
Self_Reminder,pre,349,target,api,166,340,0,0,0.0
Self_Reminder,pre,357,target,api,99,432,0,0,0.0
Self_Reminder,pre,358,target,api,105,112,0,0,0.0
Self_Reminder,pre,360,target,api,116,279,0,0,0.0
Self_Reminder,pre,368,target,api,102,508,0,0,0.0
Self_Reminder,pre,375,target,api,117,225,0,0,0.0
Self_Reminder,pre,381,target,api,104,101,0,0,0.0
Self_Reminder,pre,384,target,api,113,151,0,0,0.0
Self_Reminder,pre,387,target,api,95,509,0,0,0.0
Self_Reminder,pre,388,target,api,93,244,0,0,0.0
Self_Reminder,pre,398,target,api,106,512,0,0,0.0
Self_Reminder,pre,399,target,api,97,512,0,0,0.0
Self_Reminder,pre,405,target,api,103,333,0,0,0.0
Self_Reminder,pre,407,target,api,98,295,0,0,0.0
Self_Reminder,pre,413,target,api,113,393,0,0,0.0
Self_Reminder,pre,414,target,api,111,512,0,0,0.0
Self_Reminder,pre,417,target,api,112,512,0,0,0.0
Self_Reminder,pre,418,target,api,117,512,0,0,0.0
Self_Reminder,pre,425,target,api,99,477,0,0,0.0
Self_Reminder,pre,426,target,api,109,512,0,0,0.0
