request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
0,1,97,512,0,0,0.0,0.0
10,1,97,494,0,0,0.0,0.0
101,1,96,355,0,0,0.0,0.0
105,1,102,491,0,0,0.0,0.0
106,1,93,512,0,0,0.0,0.0
110,1,99,459,0,0,0.0,0.0
111,1,90,171,0,0,0.0,0.0
113,1,102,512,0,0,0.0,0.0
119,1,98,447,0,0,0.0,0.0
12,1,96,316,0,0,0.0,0.0
129,1,99,358,0,0,0.0,0.0
134,1,95,65,0,0,0.0,0.0
135,1,92,291,0,0,0.0,0.0
136,1,94,512,0,0,0.0,0.0
146,1,106,512,0,0,0.0,0.0
148,1,94,460,0,0,0.0,0.0
151,1,210,260,0,0,0.0,0.0
154,1,94,497,0,0,0.0,0.0
159,1,93,69,0,0,0.0,0.0
166,1,98,22,0,0,0.0,0.0
168,1,93,512,0,0,0.0,0.0
171,1,113,512,0,0,0.0,0.0
177,1,91,243,0,0,0.0,0.0
18,1,91,512,0,0,0.0,0.0
181,1,97,328,0,0,0.0,0.0
187,1,107,460,0,0,0.0,0.0
189,1,105,436,0,0,0.0,0.0
195,1,94,386,0,0,0.0,0.0
199,1,91,171,0,0,0.0,0.0
203,1,90,109,0,0,0.0,0.0
207,1,91,311,0,0,0.0,0.0
208,1,87,153,0,0,0.0,0.0
210,1,97,339,0,0,0.0,0.0
216,1,89,43,0,0,0.0,0.0
219,1,112,144,0,0,0.0,0.0
22,1,88,251,0,0,0.0,0.0
221,1,88,186,0,0,0.0,0.0
222,1,102,512,0,0,0.0,0.0
230,1,120,317,0,0,0.0,0.0
232,1,89,490,0,0,0.0,0.0
246,1,107,471,0,0,0.0,0.0
247,1,91,293,0,0,0.0,0.0
250,1,98,512,0,0,0.0,0.0
253,1,91,384,0,0,0.0,0.0
254,1,106,134,0,0,0.0,0.0
257,1,107,157,0,0,0.0,0.0
26,1,91,486,0,0,0.0,0.0
260,1,102,444,0,0,0.0,0.0
265,1,94,29,0,0,0.0,0.0
267,1,99,512,0,0,0.0,0.0
277,1,126,200,0,0,0.0,0.0
281,1,94,250,0,0,0.0,0.0
287,1,96,499,0,0,0.0,0.0
288,1,100,115,0,0,0.0,0.0
289,1,105,405,0,0,0.0,0.0
295,1,105,318,0,0,0.0,0.0
299,1,113,364,0,0,0.0,0.0
30,1,92,501,0,0,0.0,0.0
303,1,123,479,0,0,0.0,0.0
308,1,107,512,0,0,0.0,0.0
31,1,91,394,0,0,0.0,0.0
313,1,319,512,0,0,0.0,0.0
317,1,97,419,0,0,0.0,0.0
322,1,99,512,0,0,0.0,0.0
324,1,99,354,0,0,0.0,0.0
33,1,86,380,0,0,0.0,0.0
330,1,98,262,0,0,0.0,0.0
343,1,101,77,0,0,0.0,0.0
344,1,130,234,0,0,0.0,0.0
346,1,107,306,0,0,0.0,0.0
347,1,93,461,0,0,0.0,0.0
349,1,166,340,0,0,0.0,0.0
357,1,99,432,0,0,0.0,0.0
358,1,105,112,0,0,0.0,0.0
360,1,116,279,0,0,0.0,0.0
368,1,102,508,0,0,0.0,0.0
375,1,117,225,0,0,0.0,0.0
381,1,104,101,0,0,0.0,0.0
384,1,113,151,0,0,0.0,0.0
387,1,95,509,0,0,0.0,0.0
388,1,93,244,0,0,0.0,0.0
39,1,91,491,0,0,0.0,0.0
398,1,106,512,0,0,0.0,0.0
399,1,97,512,0,0,0.0,0.0
4,1,90,493,0,0,0.0,0.0
405,1,103,333,0,0,0.0,0.0
407,1,98,295,0,0,0.0,0.0
413,1,113,393,0,0,0.0,0.0
414,1,111,512,0,0,0.0,0.0
417,1,112,512,0,0,0.0,0.0
418,1,117,512,0,0,0.0,0.0
42,1,91,491,0,0,0.0,0.0
425,1,99,477,0,0,0.0,0.0
426,1,109,512,0,0,0.0,0.0
427,1,152,151,0,0,0.0,0.0
429,1,103,405,0,0,0.0,0.0
437,1,143,512,0,0,0.0,0.0
44,1,95,395,0,0,0.0,0.0
442,1,107,9,0,0,0.0,0.0
444,1,95,471,0,0,0.0,0.0
445,1,105,349,0,0,0.0,0.0
45,1,92,297,0,0,0.0,0.0
450,1,96,512,0,0,0.0,0.0
453,1,92,512,0,0,0.0,0.0
462,1,142,512,0,0,0.0,0.0
465,1,94,488,0,0,0.0,0.0
466,1,99,430,0,0,0.0,0.0
476,1,109,411,0,0,0.0,0.0
477,1,92,512,0,0,0.0,0.0
479,1,103,425,0,0,0.0,0.0
480,1,247,114,0,0,0.0,0.0
483,1,114,25,0,0,0.0,0.0
493,1,104,416,0,0,0.0,0.0
495,1,105,512,0,0,0.0,0.0
496,1,105,512,0,0,0.0,0.0
497,1,178,512,0,0,0.0,0.0
498,1,125,303,0,0,0.0,0.0
510,1,93,363,0,0,0.0,0.0
512,1,101,512,0,0,0.0,0.0
513,1,91,248,0,0,0.0,0.0
517,1,93,512,0,0,0.0,0.0
524,1,98,512,0,0,0.0,0.0
528,1,92,512,0,0,0.0,0.0
529,1,95,512,0,0,0.0,0.0
531,1,111,512,0,0,0.0,0.0
533,1,97,343,0,0,0.0,0.0
539,1,96,512,0,0,0.0,0.0
546,1,108,512,0,0,0.0,0.0
549,1,96,318,0,0,0.0,0.0
55,1,97,483,0,0,0.0,0.0
564,1,96,310,0,0,0.0,0.0
568,1,117,405,0,0,0.0,0.0
572,1,105,416,0,0,0.0,0.0
577,1,124,487,0,0,0.0,0.0
584,1,94,512,0,0,0.0,0.0
585,1,96,269,0,0,0.0,0.0
593,1,88,341,0,0,0.0,0.0
595,1,109,77,0,0,0.0,0.0
600,1,97,26,0,0,0.0,0.0
602,1,99,331,0,0,0.0,0.0
605,1,160,127,0,0,0.0,0.0
606,1,110,334,0,0,0.0,0.0
612,1,100,394,0,0,0.0,0.0
613,1,93,433,0,0,0.0,0.0
616,1,115,512,0,0,0.0,0.0
623,1,119,406,0,0,0.0,0.0
631,1,126,397,0,0,0.0,0.0
635,1,105,512,0,0,0.0,0.0
638,1,114,512,0,0,0.0,0.0
641,1,89,346,0,0,0.0,0.0
646,1,90,426,0,0,0.0,0.0
649,1,97,429,0,0,0.0,0.0
650,1,152,512,0,0,0.0,0.0
651,1,92,397,0,0,0.0,0.0
652,1,92,431,0,0,0.0,0.0
653,1,101,512,0,0,0.0,0.0
654,1,93,355,0,0,0.0,0.0
657,1,94,512,0,0,0.0,0.0
658,1,150,512,0,0,0.0,0.0
659,1,95,500,0,0,0.0,0.0
66,1,95,409,0,0,0.0,0.0
669,1,98,351,0,0,0.0,0.0
67,1,94,500,0,0,0.0,0.0
670,1,93,512,0,0,0.0,0.0
676,1,97,467,0,0,0.0,0.0
686,1,107,371,0,0,0.0,0.0
698,1,98,364,0,0,0.0,0.0
70,1,105,416,0,0,0.0,0.0
701,1,116,22,0,0,0.0,0.0
706,1,89,346,0,0,0.0,0.0
709,1,94,341,0,0,0.0,0.0
715,1,142,512,0,0,0.0,0.0
717,1,95,501,0,0,0.0,0.0
720,1,104,512,0,0,0.0,0.0
724,1,104,203,0,0,0.0,0.0
730,1,114,492,0,0,0.0,0.0
732,1,154,38,0,0,0.0,0.0
738,1,121,113,0,0,0.0,0.0
742,1,104,314,0,0,0.0,0.0
748,1,134,236,0,0,0.0,0.0
750,1,117,252,0,0,0.0,0.0
751,1,130,134,0,0,0.0,0.0
753,1,104,293,0,0,0.0,0.0
755,1,104,461,0,0,0.0,0.0
76,1,100,512,0,0,0.0,0.0
760,1,109,512,0,0,0.0,0.0
765,1,110,512,0,0,0.0,0.0
769,1,100,512,0,0,0.0,0.0
77,1,91,213,0,0,0.0,0.0
775,1,343,47,0,0,0.0,0.0
78,1,104,512,0,0,0.0,0.0
781,1,125,489,0,0,0.0,0.0
787,1,118,512,0,0,0.0,0.0
788,1,114,512,0,0,0.0,0.0
790,1,110,512,0,0,0.0,0.0
793,1,136,512,0,0,0.0,0.0
84,1,92,317,0,0,0.0,0.0
89,1,107,512,0,0,0.0,0.0
93,1,95,390,0,0,0.0,0.0
97,1,89,381,0,0,0.0,0.0
