method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
Self_Reminder,pre,1,target,api,90,382,0,0,0.0
Self_Reminder,pre,2,target,api,90,428,0,0,0.0
Self_Reminder,pre,3,target,api,91,484,0,0,0.0
Self_Reminder,pre,4,target,api,91,22,0,0,0.0
Self_Reminder,pre,5,target,api,92,382,0,0,0.0
Self_Reminder,pre,6,target,api,90,471,0,0,0.0
Self_Reminder,pre,7,target,api,91,436,0,0,0.0
Self_Reminder,pre,8,target,api,91,433,0,0,0.0
Self_Reminder,pre,9,target,api,94,460,0,0,0.0
Self_Reminder,pre,10,target,api,90,314,0,0,0.0
Self_Reminder,pre,11,target,api,92,350,0,0,0.0
Self_Reminder,pre,12,target,api,91,373,0,0,0.0
Self_Reminder,pre,13,target,api,90,442,0,0,0.0
Self_Reminder,pre,14,target,api,94,29,0,0,0.0
Self_Reminder,pre,15,target,api,93,512,0,0,0.0
Self_Reminder,pre,16,target,api,92,146,0,0,0.0
Self_Reminder,pre,17,target,api,91,223,0,0,0.0
Self_Reminder,pre,18,target,api,91,512,0,0,0.0
Self_Reminder,pre,19,target,api,95,512,0,0,0.0
Self_Reminder,pre,20,target,api,93,334,0,0,0.0
Self_Reminder,pre,21,target,api,92,497,0,0,0.0
Self_Reminder,pre,22,target,api,95,39,0,0,0.0
Self_Reminder,pre,23,target,api,94,506,0,0,0.0
Self_Reminder,pre,24,target,api,93,458,0,0,0.0
Self_Reminder,pre,25,target,api,94,381,0,0,0.0
Self_Reminder,pre,51,target,api,93,456,0,0,0.0
Self_Reminder,pre,52,target,api,95,197,0,0,0.0
Self_Reminder,pre,53,target,api,94,429,0,0,0.0
Self_Reminder,pre,54,target,api,92,480,0,0,0.0
Self_Reminder,pre,55,target,api,93,461,0,0,0.0
Self_Reminder,pre,56,target,api,94,433,0,0,0.0
Self_Reminder,pre,57,target,api,96,31,0,0,0.0
Self_Reminder,pre,58,target,api,94,478,0,0,0.0
Self_Reminder,pre,59,target,api,90,29,0,0,0.0
Self_Reminder,pre,60,target,api,94,26,0,0,0.0
Self_Reminder,pre,61,target,api,92,440,0,0,0.0
Self_Reminder,pre,62,target,api,95,512,0,0,0.0
Self_Reminder,pre,63,target,api,94,386,0,0,0.0
Self_Reminder,pre,64,target,api,91,441,0,0,0.0
Self_Reminder,pre,65,target,api,93,492,0,0,0.0
Self_Reminder,pre,66,target,api,92,471,0,0,0.0
Self_Reminder,pre,67,target,api,93,425,0,0,0.0
Self_Reminder,pre,68,target,api,90,354,0,0,0.0
Self_Reminder,pre,69,target,api,91,469,0,0,0.0
Self_Reminder,pre,70,target,api,90,504,0,0,0.0
Self_Reminder,pre,71,target,api,93,512,0,0,0.0
Self_Reminder,pre,72,target,api,94,512,0,0,0.0
Self_Reminder,pre,73,target,api,94,512,0,0,0.0
Self_Reminder,pre,74,target,api,93,466,0,0,0.0
Self_Reminder,pre,75,target,api,95,505,0,0,0.0
Self_Reminder,pre,101,target,api,93,482,0,0,0.0
Self_Reminder,pre,102,target,api,92,371,0,0,0.0
Self_Reminder,pre,103,target,api,93,284,0,0,0.0
Self_Reminder,pre,104,target,api,92,512,0,0,0.0
Self_Reminder,pre,105,target,api,93,512,0,0,0.0
Self_Reminder,pre,106,target,api,92,45,0,0,0.0
Self_Reminder,pre,107,target,api,91,432,0,0,0.0
Self_Reminder,pre,108,target,api,92,507,0,0,0.0
Self_Reminder,pre,109,target,api,96,368,0,0,0.0
Self_Reminder,pre,110,target,api,94,512,0,0,0.0
Self_Reminder,pre,111,target,api,96,499,0,0,0.0
Self_Reminder,pre,112,target,api,88,512,0,0,0.0
Self_Reminder,pre,113,target,api,92,366,0,0,0.0
Self_Reminder,pre,114,target,api,94,291,0,0,0.0
Self_Reminder,pre,115,target,api,96,32,0,0,0.0
Self_Reminder,pre,116,target,api,91,357,0,0,0.0
Self_Reminder,pre,117,target,api,94,512,0,0,0.0
Self_Reminder,pre,118,target,api,95,512,0,0,0.0
Self_Reminder,pre,119,target,api,91,512,0,0,0.0
Self_Reminder,pre,120,target,api,93,417,0,0,0.0
Self_Reminder,pre,121,target,api,91,420,0,0,0.0
Self_Reminder,pre,122,target,api,97,509,0,0,0.0
Self_Reminder,pre,123,target,api,96,27,0,0,0.0
Self_Reminder,pre,124,target,api,92,512,0,0,0.0
Self_Reminder,pre,125,target,api,90,363,0,0,0.0
Self_Reminder,pre,151,target,api,92,28,0,0,0.0
Self_Reminder,pre,152,target,api,94,301,0,0,0.0
Self_Reminder,pre,153,target,api,96,28,0,0,0.0
Self_Reminder,pre,154,target,api,91,260,0,0,0.0
Self_Reminder,pre,155,target,api,95,361,0,0,0.0
Self_Reminder,pre,156,target,api,94,308,0,0,0.0
Self_Reminder,pre,157,target,api,94,241,0,0,0.0
Self_Reminder,pre,158,target,api,97,338,0,0,0.0
Self_Reminder,pre,159,target,api,96,128,0,0,0.0
Self_Reminder,pre,160,target,api,99,178,0,0,0.0
Self_Reminder,pre,161,target,api,94,477,0,0,0.0
Self_Reminder,pre,162,target,api,93,32,0,0,0.0
Self_Reminder,pre,163,target,api,93,452,0,0,0.0
Self_Reminder,pre,164,target,api,95,403,0,0,0.0
Self_Reminder,pre,165,target,api,92,25,0,0,0.0
Self_Reminder,pre,166,target,api,93,506,0,0,0.0
Self_Reminder,pre,167,target,api,96,403,0,0,0.0
Self_Reminder,pre,168,target,api,93,23,0,0,0.0
Self_Reminder,pre,169,target,api,100,35,0,0,0.0
Self_Reminder,pre,170,target,api,98,512,0,0,0.0
Self_Reminder,pre,171,target,api,98,35,0,0,0.0
Self_Reminder,pre,172,target,api,98,276,0,0,0.0
Self_Reminder,pre,173,target,api,96,395,0,0,0.0
Self_Reminder,pre,174,target,api,97,376,0,0,0.0
Self_Reminder,pre,175,target,api,98,191,0,0,0.0
Self_Reminder,pre,201,target,api,89,298,0,0,0.0
Self_Reminder,pre,202,target,api,86,287,0,0,0.0
Self_Reminder,pre,203,target,api,87,165,0,0,0.0
Self_Reminder,pre,204,target,api,87,339,0,0,0.0
Self_Reminder,pre,205,target,api,91,312,0,0,0.0
Self_Reminder,pre,206,target,api,86,446,0,0,0.0
Self_Reminder,pre,207,target,api,87,307,0,0,0.0
Self_Reminder,pre,208,target,api,87,342,0,0,0.0
Self_Reminder,pre,209,target,api,91,435,0,0,0.0
Self_Reminder,pre,210,target,api,86,349,0,0,0.0
Self_Reminder,pre,211,target,api,94,348,0,0,0.0
Self_Reminder,pre,212,target,api,92,247,0,0,0.0
Self_Reminder,pre,213,target,api,93,226,0,0,0.0
Self_Reminder,pre,214,target,api,94,237,0,0,0.0
Self_Reminder,pre,215,target,api,92,263,0,0,0.0
Self_Reminder,pre,216,target,api,86,292,0,0,0.0
Self_Reminder,pre,217,target,api,88,347,0,0,0.0
Self_Reminder,pre,218,target,api,89,290,0,0,0.0
Self_Reminder,pre,219,target,api,90,224,0,0,0.0
Self_Reminder,pre,220,target,api,86,344,0,0,0.0
Self_Reminder,pre,221,target,api,86,264,0,0,0.0
Self_Reminder,pre,222,target,api,87,394,0,0,0.0
Self_Reminder,pre,223,target,api,86,274,0,0,0.0
Self_Reminder,pre,224,target,api,87,395,0,0,0.0
Self_Reminder,pre,225,target,api,86,294,0,0,0.0
Self_Reminder,pre,251,target,api,90,15,0,0,0.0
Self_Reminder,pre,252,target,api,92,345,0,0,0.0
Self_Reminder,pre,253,target,api,91,149,0,0,0.0
Self_Reminder,pre,254,target,api,93,32,0,0,0.0
Self_Reminder,pre,255,target,api,95,31,0,0,0.0
Self_Reminder,pre,256,target,api,92,221,0,0,0.0
Self_Reminder,pre,257,target,api,90,269,0,0,0.0
Self_Reminder,pre,258,target,api,89,187,0,0,0.0
Self_Reminder,pre,259,target,api,90,27,0,0,0.0
Self_Reminder,pre,260,target,api,92,145,0,0,0.0
Self_Reminder,pre,261,target,api,94,466,0,0,0.0
Self_Reminder,pre,262,target,api,92,34,0,0,0.0
Self_Reminder,pre,263,target,api,91,30,0,0,0.0
Self_Reminder,pre,264,target,api,94,202,0,0,0.0
Self_Reminder,pre,265,target,api,99,16,0,0,0.0
Self_Reminder,pre,266,target,api,96,221,0,0,0.0
Self_Reminder,pre,267,target,api,94,162,0,0,0.0
Self_Reminder,pre,268,target,api,91,13,0,0,0.0
Self_Reminder,pre,269,target,api,93,159,0,0,0.0
Self_Reminder,pre,270,target,api,94,28,0,0,0.0
Self_Reminder,pre,271,target,api,96,20,0,0,0.0
Self_Reminder,pre,272,target,api,93,176,0,0,0.0
Self_Reminder,pre,273,target,api,95,151,0,0,0.0
Self_Reminder,pre,274,target,api,97,250,0,0,0.0
Self_Reminder,pre,275,target,api,94,187,0,0,0.0
Self_Reminder,pre,276,target,api,90,143,0,0,0.0
Self_Reminder,pre,277,target,api,95,29,0,0,0.0
Self_Reminder,pre,278,target,api,91,10,0,0,0.0
Self_Reminder,pre,279,target,api,91,219,0,0,0.0
Self_Reminder,pre,280,target,api,94,255,0,0,0.0
Self_Reminder,pre,281,target,api,90,297,0,0,0.0
Self_Reminder,pre,282,target,api,90,263,0,0,0.0
Self_Reminder,pre,283,target,api,89,26,0,0,0.0
Self_Reminder,pre,284,target,api,95,335,0,0,0.0
Self_Reminder,pre,285,target,api,96,237,0,0,0.0
Self_Reminder,pre,286,target,api,93,25,0,0,0.0
Self_Reminder,pre,287,target,api,90,290,0,0,0.0
Self_Reminder,pre,288,target,api,90,300,0,0,0.0
Self_Reminder,pre,289,target,api,95,251,0,0,0.0
Self_Reminder,pre,290,target,api,92,135,0,0,0.0
Self_Reminder,pre,291,target,api,96,397,0,0,0.0
Self_Reminder,pre,292,target,api,90,21,0,0,0.0
Self_Reminder,pre,293,target,api,92,21,0,0,0.0
Self_Reminder,pre,294,target,api,92,238,0,0,0.0
Self_Reminder,pre,295,target,api,93,244,0,0,0.0
