method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
erase_and_check,pre,0,filter_check,local,0,0,0,0,0.3662076937034726
erase_and_check,pre,0,target,api,50,450,0,0,0.0
erase_and_check,pre,4,filter_check,local,0,0,0,0,0.10323585290461779
erase_and_check,pre,4,target,api,43,512,0,0,0.0
erase_and_check,pre,10,filter_check,local,0,0,0,0,0.17572111170738935
erase_and_check,pre,10,target,api,50,512,0,0,0.0
erase_and_check,pre,12,filter_check,local,0,0,0,0,0.13772514835000038
erase_and_check,pre,12,target,api,49,342,0,0,0.0
erase_and_check,pre,18,filter_check,local,0,0,0,0,0.05656242556869984
erase_and_check,pre,18,target,api,44,512,0,0,0.0
erase_and_check,pre,22,filter_check,local,0,0,0,0,0.033092327415943146
erase_and_check,pre,22,target,api,41,67,0,0,0.0
erase_and_check,pre,26,filter_check,local,0,0,0,0,0.023211250081658363
erase_and_check,pre,26,target,api,44,471,0,0,0.0
erase_and_check,pre,30,filter_check,local,0,0,0,0,0.03099179081618786
erase_and_check,pre,30,target,api,44,510,0,0,0.0
erase_and_check,pre,31,filter_check,local,0,0,0,0,0.11390382423996925
erase_and_check,pre,31,target,api,44,441,0,0,0.0
erase_and_check,pre,33,filter_check,local,0,0,0,0,0.05709863919764757
erase_and_check,pre,33,target,api,39,506,0,0,0.0
erase_and_check,pre,39,filter_check,local,0,0,0,0,0.03493236657232046
erase_and_check,pre,39,target,api,44,512,0,0,0.0
erase_and_check,pre,42,filter_check,local,0,0,0,0,0.0745919682085514
erase_and_check,pre,42,target,api,44,512,0,0,0.0
erase_and_check,pre,44,filter_check,local,0,0,0,0,0.035606672056019306
erase_and_check,pre,44,target,api,48,512,0,0,0.0
erase_and_check,pre,45,filter_check,local,0,0,0,0,0.026286699809134007
erase_and_check,pre,45,target,api,45,306,0,0,0.0
erase_and_check,pre,55,filter_check,local,0,0,0,0,0.07298980001360178
erase_and_check,pre,55,target,api,50,512,0,0,0.0
erase_and_check,pre,66,filter_check,local,0,0,0,0,0.0855514733120799
erase_and_check,pre,66,target,api,48,466,0,0,0.0
erase_and_check,pre,67,filter_check,local,0,0,0,0,0.061709724366664886
erase_and_check,pre,67,target,api,47,512,0,0,0.0
erase_and_check,pre,70,filter_check,local,0,0,0,0,0.08022962231189013
erase_and_check,pre,70,target,api,58,454,0,0,0.0
erase_and_check,pre,76,filter_check,local,0,0,0,0,0.19397607445716858
erase_and_check,pre,76,target,api,53,512,0,0,0.0
erase_and_check,pre,77,filter_check,local,0,0,0,0,0.1146683543920517
erase_and_check,pre,77,target,api,44,272,0,0,0.0
erase_and_check,pre,78,filter_check,local,0,0,0,0,0.06775887683033943
erase_and_check,pre,78,target,api,57,512,0,0,0.0
erase_and_check,pre,84,filter_check,local,0,0,0,0,0.03544593136757612
erase_and_check,pre,84,target,api,45,356,0,0,0.0
erase_and_check,pre,89,filter_check,local,0,0,0,0,0.224190391600132
erase_and_check,pre,89,target,api,60,512,0,0,0.0
erase_and_check,pre,93,filter_check,local,0,0,0,0,0.15967745892703533
erase_and_check,pre,93,target,api,48,379,0,0,0.0
erase_and_check,pre,97,filter_check,local,0,0,0,0,0.09564358089119196
erase_and_check,pre,97,target,api,42,512,0,0,0.0
erase_and_check,pre,101,filter_check,local,0,0,0,0,0.14290661457926035
erase_and_check,pre,101,target,api,49,335,0,0,0.0
erase_and_check,pre,105,filter_check,local,0,0,0,0,0.07862191274762154
erase_and_check,pre,106,filter_check,local,0,0,0,0,0.03802505228668451
erase_and_check,pre,106,target,api,45,512,0,0,0.0
erase_and_check,pre,110,filter_check,local,0,0,0,0,0.05802625231444836
erase_and_check,pre,110,target,api,52,512,0,0,0.0
erase_and_check,pre,111,filter_check,local,0,0,0,0,0.029620478861033916
erase_and_check,pre,111,target,api,42,146,0,0,0.0
erase_and_check,pre,113,filter_check,local,0,0,0,0,0.06499412376433611
erase_and_check,pre,113,target,api,54,512,0,0,0.0
erase_and_check,pre,119,filter_check,local,0,0,0,0,0.05228419043123722
erase_and_check,pre,129,filter_check,local,0,0,0,0,0.04581265151500702
erase_and_check,pre,129,target,api,51,512,0,0,0.0
erase_and_check,pre,134,filter_check,local,0,0,0,0,0.04133085533976555
erase_and_check,pre,134,target,api,48,31,0,0,0.0
erase_and_check,pre,135,filter_check,local,0,0,0,0,0.030329329892992973
erase_and_check,pre,135,target,api,44,272,0,0,0.0
erase_and_check,pre,136,filter_check,local,0,0,0,0,0.03619056846946478
erase_and_check,pre,136,target,api,46,512,0,0,0.0
erase_and_check,pre,146,filter_check,local,0,0,0,0,0.06304859463125467
erase_and_check,pre,148,filter_check,local,0,0,0,0,0.03466564603149891
erase_and_check,pre,148,target,api,46,512,0,0,0.0
erase_and_check,pre,151,filter_check,local,0,0,0,0,0.08388714492321014
erase_and_check,pre,151,target,api,163,80,0,0,0.0
erase_and_check,pre,154,filter_check,local,0,0,0,0,0.03730395622551441
erase_and_check,pre,154,target,api,46,512,0,0,0.0
erase_and_check,pre,159,filter_check,local,0,0,0,0,0.030672424472868443
erase_and_check,pre,159,target,api,45,25,0,0,0.0
erase_and_check,pre,166,filter_check,local,0,0,0,0,0.04322896711528301
erase_and_check,pre,166,target,api,50,512,0,0,0.0
erase_and_check,pre,168,filter_check,local,0,0,0,0,0.030925467610359192
erase_and_check,pre,168,target,api,45,512,0,0,0.0
erase_and_check,pre,171,filter_check,local,0,0,0,0,0.06878885626792908
erase_and_check,pre,171,target,api,65,512,0,0,0.0
erase_and_check,pre,177,filter_check,local,0,0,0,0,0.030745578929781914
erase_and_check,pre,177,target,api,44,38,0,0,0.0
erase_and_check,pre,181,filter_check,local,0,0,0,0,0.04512534290552139
erase_and_check,pre,181,target,api,49,492,0,0,0.0
erase_and_check,pre,187,filter_check,local,0,0,0,0,0.06467307358980179
