request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
0,2,50,450,0,0,0.3662076937034726,0.0
10,2,50,512,0,0,0.17572111170738935,0.0
101,2,49,335,0,0,0.14290661457926035,0.0
105,1,0,0,0,0,0.07862191274762154,0.0
106,2,45,512,0,0,0.03802505228668451,0.0
110,2,52,512,0,0,0.05802625231444836,0.0
111,2,42,146,0,0,0.029620478861033916,0.0
113,2,54,512,0,0,0.06499412376433611,0.0
119,1,0,0,0,0,0.05228419043123722,0.0
12,2,49,342,0,0,0.13772514835000038,0.0
129,2,51,512,0,0,0.04581265151500702,0.0
134,2,48,31,0,0,0.04133085533976555,0.0
135,2,44,272,0,0,0.030329329892992973,0.0
136,2,46,512,0,0,0.03619056846946478,0.0
146,1,0,0,0,0,0.06304859463125467,0.0
148,2,46,512,0,0,0.03466564603149891,0.0
151,2,163,80,0,0,0.08388714492321014,0.0
154,2,46,512,0,0,0.03730395622551441,0.0
159,2,45,25,0,0,0.030672424472868443,0.0
166,2,50,512,0,0,0.04322896711528301,0.0
168,2,45,512,0,0,0.030925467610359192,0.0
171,2,65,512,0,0,0.06878885626792908,0.0
177,2,44,38,0,0,0.030745578929781914,0.0
18,2,44,512,0,0,0.05656242556869984,0.0
181,2,49,492,0,0,0.04512534290552139,0.0
187,2,59,419,0,0,0.06467307358980179,0.0
189,2,58,432,0,0,0.06688239797949791,0.0
195,2,46,372,0,0,0.03611410688608885,0.0
199,2,44,81,0,0,0.03986006136983633,0.0
203,2,43,142,0,0,0.03614756464958191,0.0
207,2,44,239,0,0,0.025908601470291615,0.0
208,2,40,43,0,0,0.03334174584597349,0.0
210,2,50,512,0,0,0.19378306809812784,0.0
216,2,41,35,0,0,0.028231030330061913,0.0
219,2,64,117,0,0,0.06575389858335257,0.0
22,2,41,67,0,0,0.033092327415943146,0.0
221,2,41,208,0,0,0.11734320409595966,0.0
222,1,0,0,0,0,0.4027044354006648,0.0
230,1,0,0,0,0,0.5989804221317172,0.0
232,2,42,512,0,0,0.30475716292858124,0.0
246,2,60,512,0,0,0.5042975498363376,0.0
247,2,44,359,0,0,0.20247248653322458,0.0
250,1,0,0,0,0,0.5296808425337076,0.0
253,2,44,301,0,0,0.11129436641931534,0.0
254,2,59,55,0,0,0.40976498275995255,0.0
257,1,0,0,0,0,0.06720596086233854,0.0
26,2,44,471,0,0,0.023211250081658363,0.0
260,2,55,512,0,0,0.0607054503634572,0.0
265,2,46,512,0,0,0.03846802096813917,0.0
267,2,51,512,0,0,0.14509619865566492,0.0
277,2,79,125,0,0,0.18422075361013412,0.0
281,1,0,0,0,0,0.09221745654940605,0.0
287,1,0,0,0,0,0.12794379610568285,0.0
288,1,0,0,0,0,0.14365219045430422,0.0
289,2,57,455,0,0,0.15232158545404673,0.0
295,1,0,0,0,0,0.1548171378672123,0.0
299,2,65,512,0,0,0.16621569730341434,0.0
30,2,44,510,0,0,0.03099179081618786,0.0
303,1,0,0,0,0,0.18907073512673378,0.0
308,2,59,512,0,0,0.13568209949880838,0.0
31,2,44,441,0,0,0.11390382423996925,0.0
313,2,272,512,0,0,0.2177845174446702,0.0
317,2,50,486,0,0,0.1303184786811471,0.0
322,2,52,478,0,0,0.14791987463831902,0.0
324,1,0,0,0,0,0.126784379594028,0.0
33,2,39,506,0,0,0.05709863919764757,0.0
330,2,50,357,0,0,0.11944317817687988,0.0
343,2,54,34,0,0,0.15891962498426437,0.0
344,2,82,254,0,0,0.1880940180271864,0.0
346,2,59,307,0,0,0.18003155011683702,0.0
347,2,45,466,0,0,0.107877884991467,0.0
349,2,119,122,0,0,0.18513370398432016,0.0
357,2,51,468,0,0,0.1384013444185257,0.0
358,1,0,0,0,0,0.15069099329411983,0.0
360,2,69,160,0,0,0.15068806614726782,0.0
368,1,0,0,0,0,0.15794847253710032,0.0
375,2,70,302,0,0,0.08949521463364363,0.0
381,1,0,0,0,0,0.06262235715985298,0.0
384,2,66,86,0,0,0.06934364046901464,0.0
387,1,0,0,0,0,0.05253693088889122,0.0
388,2,46,402,0,0,0.03218482434749603,0.0
39,2,44,512,0,0,0.03493236657232046,0.0
398,2,59,512,0,0,0.06425279006361961,0.0
399,2,50,502,0,0,0.04759329929947853,0.0
4,2,43,512,0,0,0.10323585290461779,0.0
405,2,56,439,0,0,0.05973761435598135,0.0
407,2,51,380,0,0,0.05218149535357952,0.0
