request_id,n_calls,api_in_tokens,api_out_tokens,local_sec
1,2,43,512,0.2430568691343069
2,2,43,490,0.029679849743843
3,2,44,512,0.0340946810320019
4,2,44,512,0.0379156060516834
5,2,45,475,0.036124630831182
10,2,43,380,0.03084584604948759
101,2,46,512,0.0428180443122983
102,2,45,404,0.03180758003145456
103,2,46,276,0.04887503478676081
104,2,45,512,0.04059017077088356
105,2,46,512,0.02766191028058529
106,2,45,38,0.03718019090592861
107,2,44,458,0.02607042621821165
108,2,45,512,0.027647769078612328
109,2,49,286,0.0404273122549057
11,2,45,402,0.05282583646476269
110,2,47,512,0.030013807117938995
111,2,49,420,0.03525424748659134
112,2,41,512,0.02296979445964098
113,2,45,361,0.0282568521797657
114,2,47,471,0.040052869357168674
115,2,49,512,0.046125403605401516
116,2,44,358,0.03331674728542566
117,2,47,512,0.04612935986369848
118,2,48,483,0.05565719213336706
119,2,44,512,0.03454752452671528
12,2,44,512,0.04277930222451687
120,2,46,463,0.05307071004062891
121,2,44,497,0.044816987589001656
122,2,50,512,0.047369712963700294
123,2,49,497,0.051167167723178864
124,2,45,512,0.041581450030207634
125,2,43,383,0.030231699347496033
13,2,43,512,0.02912698406726122
14,2,47,19,0.04048486053943634
15,2,46,512,0.0390028553083539
151,2,45,300,0.03773962799459696
152,2,47,317,0.046046716161072254
153,2,49,355,0.05372573062777519
154,2,44,501,0.03824781347066164
155,2,48,340,0.04064149223268032
156,2,47,452,0.036749064922332764
157,2,47,269,0.043112244457006454
158,2,50,219,0.051929923705756664
159,2,49,93,0.04620417766273022
16,2,45,137,0.03911066986620426
160,2,52,52,0.08004254754632711
161,2,47,512,0.04096400924026966
162,2,46,18,0.03663043491542339
163,2,46,490,0.04106954298913479
164,2,48,512,0.04262713994830847
165,2,45,475,0.04551162477582693
166,2,46,478,0.04201242234557867
167,2,49,447,0.05044370889663696
168,2,46,8,0.03777831606566906
169,2,53,489,0.06398995872586966
17,2,44,285,0.03199539985507727
170,2,51,512,0.05614441726356745
171,2,51,352,0.06923621147871017
172,2,51,344,0.047473540529608727
173,2,49,512,0.047884141094982624
174,2,50,490,0.04913071636110544
175,2,51,31,0.05864205304533243
18,2,44,512,0.03242987859994173
19,2,48,511,0.047119454480707645
20,2,46,312,0.04075020272284746
201,2,42,304,0.02758195996284485
202,2,39,512,0.018229414708912373
203,2,40,291,0.02689640037715435
204,2,40,296,0.023974796757102013
205,2,44,211,0.03180014528334141
206,2,39,482,0.017984021455049515
207,2,40,469,0.02855712454766035
208,2,40,442,0.020426739938557148
209,2,44,512,0.03311977721750736
21,2,45,512,0.03532771859318018
210,2,39,372,0.018269277177751064
211,2,47,328,0.039313231594860554
212,2,45,240,0.025955263525247574
213,2,46,196,0.03546264674514532
214,2,47,213,0.050042676739394665
215,2,45,230,0.02833390049636364
216,2,39,396,0.014204544015228748
217,2,41,407,0.024023769423365593
218,2,42,331,0.03191186301410198
219,2,43,220,0.030940648168325424
22,2,48,43,0.06282908655703068
220,2,39,512,0.020547226071357727
221,2,39,366,0.020332726649940014
222,2,40,409,0.02121956553310156
223,2,39,367,0.01805494725704193
224,2,40,472,0.020251953974366188
225,2,39,345,0.0187815111130476
23,2,47,512,0.04541733954101801
24,2,46,493,0.03851146996021271
25,2,47,18,0.04071773961186409
251,2,43,242,0.030327935703098774
252,2,45,365,0.034011960960924625
253,2,44,125,0.044604238122701645
254,2,46,132,0.0372575493529439
255,2,48,95,0.0474006962031126
256,2,45,288,0.03393383137881756
257,2,43,156,0.028906961902976036
258,2,42,138,0.03515177220106125
259,2,43,136,0.031064437702298164
260,2,45,243,0.03861577995121479
261,2,47,461,0.060080272145569324
262,2,45,125,0.03362034820020199
263,2,44,203,0.03856575209647417
264,2,47,193,0.040840513072907925
265,2,52,26,0.06011869851499796
266,2,49,204,0.047819667495787144
267,2,47,190,0.04383075516670942
268,2,44,271,0.03944702632725239
269,2,46,143,0.04113810230046511
270,2,47,178,0.04375459440052509
271,2,49,129,0.04371228814125061
272,2,46,210,0.0314474580809474
273,2,48,109,0.048389632254838943
274,2,50,254,0.04998457804322243
275,2,47,297,0.04274316690862179
276,2,43,122,0.03051561489701271
277,2,48,176,0.05235716421157122
278,2,44,203,0.03434436209499836
279,2,44,140,0.037128123454749584
280,2,47,240,0.04143672343343496
281,2,43,427,0.035165902227163315
282,2,43,211,0.02881645318120718
283,2,42,250,0.035096725448966026
284,2,48,289,0.04295709263533354
285,2,49,223,0.05233479477465153
286,2,46,459,0.038130369037389755
287,2,43,276,0.03454717993736267
288,2,43,223,0.027419484220445156
289,2,48,407,0.04147443175315857
290,2,45,142,0.04251581896096468
291,2,49,512,0.05145301669836044
292,2,43,281,0.03268245980143547
293,2,45,219,0.038166942074894905
294,2,45,140,0.046811473555862904
295,2,46,190,0.04079450108110905
296,2,43,297,0.03598577808588743
297,2,45,280,0.03824640344828367
298,2,46,156,0.04467418696731329
299,2,48,331,0.0404020706191659
300,2,45,412,0.038202340714633465
326,2,46,512,0.0361756207421422
327,2,46,512,0.041671901009976864
328,2,46,451,0.039179214276373386
329,2,43,512,0.020299455150961876
330,2,50,512,0.04961424320936203
331,2,43,512,0.02938829455524683
332,2,45,466,0.03330661728978157
333,2,43,512,0.029288235120475292
334,2,47,435,0.0415894566103816
335,2,49,278,0.06014610920101404
336,2,49,428,0.047292076982557774
337,2,48,328,0.04685712046921253
338,2,41,415,0.02556459978222847
339,2,49,319,0.04241315368562937
340,2,48,512,0.037185763008892536
341,2,42,242,0.03596918750554323
342,2,41,210,0.025344571098685265
343,2,42,344,0.03312651067972183
344,2,43,206,0.03549657016992569
345,2,42,245,0.027094116434454918
346,2,45,512,0.04125812742859125
347,2,48,419,0.04616934061050415
348,2,45,493,0.03531255479902029
349,2,50,512,0.03166212886571884
350,2,50,512,0.03543712943792343
376,2,44,23,0.03423222806304693
377,2,45,34,0.030424616299569607
378,2,44,30,0.027774197049438953
379,2,44,46,0.024197732098400593
380,2,42,437,0.021113473922014236
381,2,42,279,0.02109094336628914
382,2,44,217,0.023495963774621487
383,2,46,266,0.04709151200950146
384,2,46,170,0.04304805118590593
385,2,44,319,0.02482607774436474
386,2,47,188,0.03393970988690853
387,2,45,194,0.029443737119436264
388,2,46,15,0.04441235214471817
389,2,41,15,0.026373455300927162
390,2,45,17,0.04311479814350605
391,2,49,21,0.06497725378721952
392,2,43,391,0.03954620938748121
393,2,48,46,0.03800756484270096
394,2,45,269,0.040277172811329365
395,2,43,512,0.051404581405222416
396,2,46,24,0.0428879726678133
397,2,40,77,0.019302147440612316
398,2,43,22,0.03507114667445421
399,2,44,111,0.032090695574879646
400,2,44,219,0.03300798498094082
401,2,44,24,0.04206963628530502
402,2,51,147,0.059789844788610935
403,2,47,25,0.045286509208381176
404,2,44,66,0.043093704618513584
405,2,44,307,0.03909935988485813
406,2,43,41,0.02592536434531212
407,2,44,24,0.032114043831825256
408,2,44,40,0.03705304954200983
409,2,45,25,0.03516626451164484
410,2,44,40,0.028919591568410397
411,2,43,45,0.04003844875842333
412,2,43,67,0.032488252967596054
413,2,45,198,0.040515284053981304
414,2,44,368,0.034727334044873714
415,2,43,48,0.034917304292321205
416,2,47,115,0.04621696472167969
417,2,44,24,0.03388858214020729
418,2,45,23,0.042748766019940376
419,2,48,25,0.054852452129125595
420,2,45,92,0.036486304365098476
421,2,44,27,0.0386906024068594
422,2,43,384,0.031499311327934265
423,2,45,90,0.043250786140561104
424,2,46,49,0.037574038840830326
425,2,43,223,0.0368825551122427
51,2,46,497,0.03913059923797846
52,2,48,244,0.047918655909597874
53,2,47,512,0.047552015632390976
54,2,45,485,0.03665495757013559
55,2,46,508,0.040984674356877804
56,2,47,426,0.04409777466207743
57,2,49,425,0.0766340047121048
58,2,47,471,0.06167713273316622
59,2,43,512,0.03574396390467882
6,2,43,512,0.26132207177579403
60,2,47,512,0.052610754035413265
61,2,45,512,0.03626818489283323
62,2,48,508,0.04749370273202658
63,2,47,512,0.04455472622066736
64,2,44,512,0.03592050541192293
65,2,46,509,0.04250709060579538
66,2,45,512,0.03549179993569851
67,2,46,512,0.0382614079862833
68,2,43,390,0.029589246958494186
69,2,44,512,0.05054367333650589
7,2,44,385,0.037663983181118965
70,2,43,512,0.039593460969626904
71,2,46,512,0.03959907125681639
72,2,47,512,0.04776161443442106
73,2,47,512,0.052924755960702896
74,2,46,512,0.06764520332217216
75,2,48,512,0.038930718787014484
8,2,44,483,0.0323411887511611
9,2,47,512,0.04978566151112318
