method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
JailbreakAntidote,in,1,antidote_decode,local,0,0,18,29,0.85253397654742
JailbreakAntidote,in,2,antidote_decode,local,0,0,18,512,8.654811635613441
JailbreakAntidote,in,3,antidote_decode,local,0,0,19,512,9.161118279211223
JailbreakAntidote,in,4,antidote_decode,local,0,0,19,21,0.3558484017848968
JailbreakAntidote,in,5,antidote_decode,local,0,0,20,512,8.668599975295365
JailbreakAntidote,in,6,antidote_decode,local,0,0,18,512,8.676313613541424
JailbreakAntidote,in,7,antidote_decode,local,0,0,19,512,8.623545567505062
JailbreakAntidote,in,8,antidote_decode,local,0,0,19,23,0.387650310061872
JailbreakAntidote,in,9,antidote_decode,local,0,0,22,512,8.658032285049558
JailbreakAntidote,in,10,antidote_decode,local,0,0,18,21,0.3521161824464798
JailbreakAntidote,in,11,antidote_decode,local,0,0,20,21,0.3563903346657753
JailbreakAntidote,in,12,antidote_decode,local,0,0,19,22,0.36631379649043083
JailbreakAntidote,in,13,antidote_decode,local,0,0,18,512,8.709281519055367
JailbreakAntidote,in,14,antidote_decode,local,0,0,22,28,0.48787696566432714
JailbreakAntidote,in,15,antidote_decode,local,0,0,21,512,8.620562716387212
JailbreakAntidote,in,16,antidote_decode,local,0,0,20,411,6.896223993971944
JailbreakAntidote,in,17,antidote_decode,local,0,0,19,191,3.1920007737353444
JailbreakAntidote,in,18,antidote_decode,local,0,0,19,30,0.5009935488924384
JailbreakAntidote,in,19,antidote_decode,local,0,0,23,28,0.46703002881258726
JailbreakAntidote,in,20,antidote_decode,local,0,0,21,25,0.4173586405813694
JailbreakAntidote,in,21,antidote_decode,local,0,0,20,512,8.659563515335321
JailbreakAntidote,in,22,antidote_decode,local,0,0,23,31,0.5170766599476337
JailbreakAntidote,in,23,antidote_decode,local,0,0,22,512,9.166211489588022
JailbreakAntidote,in,24,antidote_decode,local,0,0,21,512,9.254397076554596
JailbreakAntidote,in,25,antidote_decode,local,0,0,22,25,0.4226708561182022
JailbreakAntidote,in,51,antidote_decode,local,0,0,21,512,8.649589059874415
JailbreakAntidote,in,52,antidote_decode,local,0,0,23,21,0.3516666926443577
JailbreakAntidote,in,53,antidote_decode,local,0,0,22,30,0.503450027666986
JailbreakAntidote,in,54,antidote_decode,local,0,0,20,512,8.659184438176453
JailbreakAntidote,in,55,antidote_decode,local,0,0,21,512,8.62424421403557
JailbreakAntidote,in,56,antidote_decode,local,0,0,22,469,7.911000776104629
JailbreakAntidote,in,57,antidote_decode,local,0,0,24,28,0.47093210835009813
JailbreakAntidote,in,58,antidote_decode,local,0,0,22,512,8.598092935048044
JailbreakAntidote,in,59,antidote_decode,local,0,0,18,19,0.31784184370189905
JailbreakAntidote,in,60,antidote_decode,local,0,0,22,28,0.4757136106491089
JailbreakAntidote,in,61,antidote_decode,local,0,0,20,34,0.5699251405894756
JailbreakAntidote,in,62,antidote_decode,local,0,0,23,21,0.3605652442201972
JailbreakAntidote,in,63,antidote_decode,local,0,0,22,23,0.3861209461465478
JailbreakAntidote,in,64,antidote_decode,local,0,0,19,21,0.3505850052461028
JailbreakAntidote,in,65,antidote_decode,local,0,0,21,512,8.629662217572331
JailbreakAntidote,in,66,antidote_decode,local,0,0,20,370,6.2405341155827045
JailbreakAntidote,in,67,antidote_decode,local,0,0,21,360,6.043933803215623
JailbreakAntidote,in,68,antidote_decode,local,0,0,18,484,8.172786442562938
JailbreakAntidote,in,69,antidote_decode,local,0,0,19,512,8.594219687394798
JailbreakAntidote,in,70,antidote_decode,local,0,0,18,512,8.684016634710133
JailbreakAntidote,in,71,antidote_decode,local,0,0,21,275,4.6320814695209265
JailbreakAntidote,in,72,antidote_decode,local,0,0,22,21,0.35473569948226213
JailbreakAntidote,in,73,antidote_decode,local,0,0,22,512,8.65228369180113
JailbreakAntidote,in,74,antidote_decode,local,0,0,21,512,8.636959218420088
JailbreakAntidote,in,75,antidote_decode,local,0,0,23,512,8.61535625346005
JailbreakAntidote,in,101,antidote_decode,local,0,0,21,34,0.5746510345488787
JailbreakAntidote,in,102,antidote_decode,local,0,0,20,20,0.36005106754601
JailbreakAntidote,in,103,antidote_decode,local,0,0,21,15,0.254650236107409
JailbreakAntidote,in,104,antidote_decode,local,0,0,20,20,0.33492609672248363
JailbreakAntidote,in,105,antidote_decode,local,0,0,21,24,0.3994318163022399
JailbreakAntidote,in,106,antidote_decode,local,0,0,20,19,0.32003904692828655
JailbreakAntidote,in,107,antidote_decode,local,0,0,19,21,0.35755295399576426
JailbreakAntidote,in,108,antidote_decode,local,0,0,20,21,0.35052814427763224
JailbreakAntidote,in,109,antidote_decode,local,0,0,24,17,0.2841626461595297
JailbreakAntidote,in,110,antidote_decode,local,0,0,22,512,8.734568187966943
JailbreakAntidote,in,111,antidote_decode,local,0,0,24,23,0.38479260727763176
JailbreakAntidote,in,112,antidote_decode,local,0,0,16,512,8.666600284166634
JailbreakAntidote,in,113,antidote_decode,local,0,0,20,512,8.636000701226294
JailbreakAntidote,in,114,antidote_decode,local,0,0,22,21,0.35117898415774107
JailbreakAntidote,in,115,antidote_decode,local,0,0,24,29,0.48500289022922516
JailbreakAntidote,in,116,antidote_decode,local,0,0,19,21,0.3516906648874283
JailbreakAntidote,in,117,antidote_decode,local,0,0,22,38,0.640200954861939
JailbreakAntidote,in,118,antidote_decode,local,0,0,23,28,0.46667669620364904
JailbreakAntidote,in,119,antidote_decode,local,0,0,19,512,8.618467249907553
JailbreakAntidote,in,120,antidote_decode,local,0,0,21,495,8.332665832713246
