request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
0,1,0,0,130,512,17.218932332471013,0.0
10,1,0,0,130,512,16.533677267841995,0.0
101,1,0,0,129,368,11.94767075125128,0.0
105,1,0,0,135,512,16.592338241636753,0.0
106,1,0,0,125,512,16.573174031451344,0.0
110,1,0,0,132,512,16.572266910225153,0.0
111,1,0,0,122,174,5.600030016154051,0.0
113,1,0,0,134,272,8.759507108479738,0.0
119,1,0,0,130,420,13.544054999016225,0.0
12,1,0,0,129,283,9.12736564874649,0.0
129,1,0,0,131,464,15.011060418561101,0.0
134,1,0,0,128,153,4.930680521763861,0.0
135,1,0,0,124,355,11.420851653441787,0.0
136,1,0,0,126,512,16.613213184289634,0.0
146,1,0,0,138,512,16.64836586918682,0.0
148,1,0,0,126,512,16.56311268080026,0.0
151,1,0,0,243,184,5.983876661397517,0.0
154,1,0,0,126,512,16.502318303100765,0.0
159,1,0,0,125,101,3.301101190969348,0.0
166,1,0,0,130,512,16.91204338800162,0.0
168,1,0,0,125,512,16.562808332033455,0.0
171,1,0,0,145,512,16.505910351872444,0.0
177,1,0,0,124,415,13.371489421464503,0.0
18,1,0,0,124,512,16.583786077797413,0.0
181,1,0,0,129,436,14.056565271690488,0.0
187,1,0,0,139,512,16.547067750245333,0.0
189,1,0,0,138,503,16.230155183002353,0.0
195,1,0,0,126,386,12.420021343044937,0.0
199,1,0,0,124,130,4.191193395294249,0.0
203,1,0,0,123,91,2.9539775801822543,0.0
207,1,0,0,124,336,10.810255145654082,0.0
208,1,0,0,120,123,3.96952320728451,0.0
210,1,0,0,130,512,16.510703052394092,0.0
216,1,0,0,121,73,2.3663067230954766,0.0
219,1,0,0,144,119,3.845145897939801,0.0
22,1,0,0,121,284,9.143118817359209,0.0
221,1,0,0,121,166,5.35083794593811,0.0
222,1,0,0,135,439,14.140744103118777,0.0
230,1,0,0,153,363,11.724170997738838,0.0
232,1,0,0,122,500,16.111474501900375,0.0
246,1,0,0,140,493,15.922328319400549,0.0
247,1,0,0,124,198,6.395885022357106,0.0
250,1,0,0,131,20,0.6864899965003133,0.0
253,1,0,0,124,441,14.207261193543673,0.0
254,1,0,0,139,157,5.067189239896834,0.0
257,1,0,0,140,87,2.835184386000037,0.0
26,1,0,0,124,441,14.222582560963929,0.0
260,1,0,0,135,512,16.53919074870646,0.0
265,1,0,0,126,34,1.1216965606436133,0.0
267,1,0,0,131,512,16.518300858326256,0.0
277,1,0,0,159,107,3.4760993225499988,0.0
281,1,0,0,127,341,10.964981603436172,0.0
287,1,0,0,129,512,16.509884202852845,0.0
288,1,0,0,133,197,6.348984846845269,0.0
289,1,0,0,137,357,11.504234462045133,0.0
295,1,0,0,137,361,11.630001940764487,0.0
299,1,0,0,145,277,8.921372696757317,0.0
30,1,0,0,124,411,13.241550323553383,0.0
303,1,0,0,155,389,12.552084627561271,0.0
308,1,0,0,139,512,16.530140548944473,0.0
31,1,0,0,124,470,15.168217507191002,0.0
313,1,0,0,352,512,16.656130165793,0.0
317,1,0,0,130,350,11.296215317212045,0.0
322,1,0,0,132,419,13.496003785170615,0.0
324,1,0,0,131,417,13.431550852023065,0.0
33,1,0,0,119,395,12.72096467576921,0.0
330,1,0,0,130,215,6.949914418160915,0.0
343,1,0,0,134,74,2.4061266547068954,0.0
344,1,0,0,162,145,4.691130963154137,0.0
346,1,0,0,139,324,10.429426963441074,0.0
347,1,0,0,125,391,12.590604729019105,0.0
349,1,0,0,199,218,7.0405554082244635,0.0
357,1,0,0,131,458,14.777238140814006,0.0
358,1,0,0,138,111,3.7044210890308022,0.0
360,1,0,0,149,245,7.908843171782792,0.0
368,1,0,0,134,512,16.584775732830167,0.0
375,1,0,0,150,290,9.35517462529242,0.0
381,1,0,0,137,43,1.4179221680387855,0.0
384,1,0,0,146,67,2.1890021469444036,0.0
387,1,0,0,128,428,13.837027619592845,0.0
388,1,0,0,126,288,9.27476105466485,0.0
39,1,0,0,124,502,16.309171671047807,0.0
398,1,0,0,139,485,15.928534992039204,0.0
399,1,0,0,130,512,16.51008176896721,0.0
4,1,0,0,123,495,15.999721753410995,0.0
405,1,0,0,136,390,12.626214792020619,0.0
407,1,0,0,131,405,13.028576330281794,0.0
413,1,0,0,146,366,11.817105391994119,0.0
414,1,0,0,144,512,16.514384280890226,0.0
417,1,0,0,145,512,16.509695818647742,0.0
418,1,0,0,150,417,13.447248669341207,0.0
42,1,0,0,124,438,14.764986718073487,0.0
425,1,0,0,132,477,15.49866614677012,0.0
426,1,0,0,141,512,16.539800538681448,0.0
427,1,0,0,185,189,6.119458528235555,0.0
429,1,0,0,136,271,8.722473279573023,0.0
437,1,0,0,176,512,16.549089152365923,0.0
44,1,0,0,128,469,15.168208567425609,0.0
442,1,0,0,140,368,11.866759896278381,0.0
444,1,0,0,128,342,11.024269936606288,0.0
445,1,0,0,138,406,13.157584972679615,0.0
45,1,0,0,125,333,10.781856745481491,0.0
450,1,0,0,128,512,16.520734993740916,0.0
453,1,0,0,125,512,16.49073606263846,0.0
462,1,0,0,175,512,16.567214215174317,0.0
465,1,0,0,127,512,16.544942784123123,0.0
466,1,0,0,132,374,12.037903892807662,0.0
476,1,0,0,142,437,14.150203830562532,0.0
477,1,0,0,125,512,16.50958937034011,0.0
479,1,0,0,136,422,13.589833830483258,0.0
480,1,0,0,280,190,6.193595763295889,0.0
483,1,0,0,147,512,16.555420607328415,0.0
493,1,0,0,137,476,15.345041777938604,0.0
495,1,0,0,138,512,16.57134090177715,0.0
496,1,0,0,138,512,16.530312744900584,0.0
497,1,0,0,211,512,16.65151641704142,0.0
498,1,0,0,158,349,11.266281721182168,0.0
510,1,0,0,126,250,8.04377038218081,0.0
512,1,0,0,134,136,4.390751734375954,0.0
513,1,0,0,124,157,5.05851030908525,0.0
517,1,0,0,126,512,16.559680006466806,0.0
524,1,0,0,131,512,16.533359551802278,0.0
528,1,0,0,125,487,15.723177574574947,0.0
529,1,0,0,128,510,16.694437509402633,0.0
531,1,0,0,144,512,16.527286741882563,0.0
533,1,0,0,130,385,12.428887388668954,0.0
539,1,0,0,129,512,16.557110802270472,0.0
546,1,0,0,141,512,16.57178146019578,0.0
549,1,0,0,129,239,7.694858642295003,0.0
55,1,0,0,130,512,16.531932009384036,0.0
564,1,0,0,129,341,11.009143961593509,0.0
568,1,0,0,150,512,16.525463327765465,0.0
572,1,0,0,138,481,15.862830739468336,0.0
577,1,0,0,157,512,16.571071045473218,0.0
584,1,0,0,127,512,16.522214271128178,0.0
585,1,0,0,129,329,10.607877585105598,0.0
593,1,0,0,121,225,7.231236758641899,0.0
595,1,0,0,141,364,11.719207899644971,0.0
600,1,0,0,130,50,1.640660329721868,0.0
602,1,0,0,132,360,11.61382962577045,0.0
605,1,0,0,193,252,8.19022718258202,0.0
606,1,0,0,143,447,14.420550022274256,0.0
612,1,0,0,133,390,12.560498825274408,0.0
613,1,0,0,126,468,15.05623726081103,0.0
616,1,0,0,148,512,16.533428544178605,0.0
623,1,0,0,152,35,1.1713817520067096,0.0
631,1,0,0,159,347,11.246839333325624,0.0
635,1,0,0,138,512,16.56862337142229,0.0
638,1,0,0,146,512,16.52674951031804,0.0
641,1,0,0,122,231,7.4432657938450575,0.0
646,1,0,0,123,367,11.80920703522861,0.0
649,1,0,0,130,454,14.621276571415365,0.0
650,1,0,0,185,512,16.539778099395335,0.0
651,1,0,0,125,388,12.51925176102668,0.0
652,1,0,0,125,399,12.841264721006155,0.0
653,1,0,0,134,512,16.57214251346886,0.0
654,1,0,0,126,279,8.97360050585121,0.0
657,1,0,0,127,512,16.52595756482333,0.0
658,1,0,0,183,512,17.094187119975686,0.0
659,1,0,0,128,512,16.77477732207626,0.0
66,1,0,0,128,478,15.7772411191836,0.0
669,1,0,0,131,194,6.265034191310406,0.0
67,1,0,0,127,474,15.32349319010973,0.0
670,1,0,0,126,512,16.637416949495673,0.0
676,1,0,0,130,512,16.59220367949456,0.0
686,1,0,0,140,415,13.402311774902046,0.0
698,1,0,0,131,410,13.2432762933895,0.0
70,1,0,0,138,413,13.400098033249378,0.0
701,1,0,0,149,512,16.558524602092803,0.0
706,1,0,0,122,336,10.825243204832077,0.0
709,1,0,0,127,258,8.32374023552984,0.0
715,1,0,0,175,512,16.58620325382799,0.0
717,1,0,0,128,505,16.281363614834845,0.0
720,1,0,0,137,512,17.099521472118795,0.0
724,1,0,0,137,274,8.95076931361109,0.0
730,1,0,0,147,386,12.510831354185939,0.0
732,1,0,0,187,486,15.77444791700691,0.0
738,1,0,0,154,187,6.330013404600322,0.0
742,1,0,0,137,315,10.152478881180286,0.0
748,1,0,0,167,267,8.61054985690862,0.0
750,1,0,0,150,218,7.033274197019637,0.0
751,1,0,0,163,123,3.9833933943882585,0.0
753,1,0,0,137,414,13.335675650276244,0.0
755,1,0,0,136,340,10.939796037971973,0.0
76,1,0,0,133,512,16.612794613465667,0.0
760,1,0,0,142,389,12.579729816876352,0.0
765,1,0,0,143,474,15.409307033754885,0.0
769,1,0,0,133,389,12.53460559528321,0.0
77,1,0,0,124,298,9.650385775603354,0.0
775,1,0,0,376,67,2.2284602653235197,0.0
78,1,0,0,137,512,16.587940231896937,0.0
781,1,0,0,158,425,13.722804525867105,0.0
787,1,0,0,151,512,16.525550371035933,0.0
788,1,0,0,147,512,16.570598913356662,0.0
790,1,0,0,143,512,16.539247038774192,0.0
793,1,0,0,168,512,16.57526533305645,0.0
84,1,0,0,125,292,9.459484074264765,0.0
89,1,0,0,140,512,16.55544641520828,0.0
93,1,0,0,128,339,10.936904288828373,0.0
97,1,0,0,122,372,12.01239853259176,0.0
