method,type,request_id,call_label,kind,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec
LED,intra,0,led_decode,local,0,0,25,512,8.56772599555552
LED,intra,4,led_decode,local,0,0,18,512,8.548340814188123
LED,intra,10,led_decode,local,0,0,25,512,8.604142013005912
LED,intra,12,led_decode,local,0,0,24,295,4.923810415901244
LED,intra,18,led_decode,local,0,0,19,512,8.61023283097893
LED,intra,22,led_decode,local,0,0,16,298,4.986201460473239
LED,intra,26,led_decode,local,0,0,19,484,8.098040678538382
LED,intra,30,led_decode,local,0,0,19,512,8.566405697725713
LED,intra,31,led_decode,local,0,0,19,370,6.620979226194322
LED,intra,33,led_decode,local,0,0,14,381,6.3674180675297976
LED,intra,39,led_decode,local,0,0,19,428,7.158512631431222
LED,intra,42,led_decode,local,0,0,19,512,8.67138914577663
LED,intra,44,led_decode,local,0,0,23,40,0.6926437988877296
LED,intra,45,led_decode,local,0,0,20,360,6.447482338175178
LED,intra,55,led_decode,local,0,0,25,512,8.659642986953259
LED,intra,66,led_decode,local,0,0,23,466,7.849712086841464
LED,intra,67,led_decode,local,0,0,22,504,8.476137111894786
LED,intra,70,led_decode,local,0,0,33,467,7.824631624855101
LED,intra,76,led_decode,local,0,0,28,512,8.56436431966722
LED,intra,77,led_decode,local,0,0,19,357,5.973254416137934
LED,intra,78,led_decode,local,0,0,32,512,8.652870963327587
LED,intra,84,led_decode,local,0,0,20,334,5.56443677470088
LED,intra,89,led_decode,local,0,0,35,512,8.600726722739637
LED,intra,93,led_decode,local,0,0,23,463,7.8782477574422956
LED,intra,97,led_decode,local,0,0,17,389,6.526090357452631
LED,intra,101,led_decode,local,0,0,24,401,6.743292708881199
LED,intra,105,led_decode,local,0,0,30,40,0.6711328262463212
LED,intra,106,led_decode,local,0,0,20,512,9.152440237812698
LED,intra,110,led_decode,local,0,0,27,512,8.906798779964447
LED,intra,111,led_decode,local,0,0,17,169,2.8281078906729817
LED,intra,113,led_decode,local,0,0,29,224,3.7656714767217636
LED,intra,119,led_decode,local,0,0,25,315,5.311565236188471
LED,intra,129,led_decode,local,0,0,26,40,0.6631526984274387
LED,intra,134,led_decode,local,0,0,23,40,0.6650789007544518
LED,intra,135,led_decode,local,0,0,19,237,3.9538924489170313
LED,intra,136,led_decode,local,0,0,21,512,8.57318158634007
LED,intra,146,led_decode,local,0,0,33,40,0.666887522675097
LED,intra,148,led_decode,local,0,0,21,511,8.533091022633016
LED,intra,151,led_decode,local,0,0,138,85,1.4337817691266537
LED,intra,154,led_decode,local,0,0,21,512,8.597957225516438
LED,intra,159,led_decode,local,0,0,20,30,0.49718236178159714
LED,intra,166,led_decode,local,0,0,25,40,0.6683842716738582
LED,intra,168,led_decode,local,0,0,20,512,8.623603713698685
LED,intra,171,led_decode,local,0,0,40,469,7.88280067127198
LED,intra,177,led_decode,local,0,0,19,373,6.741158405318856
LED,intra,181,led_decode,local,0,0,24,40,0.6679360382258892
LED,intra,187,led_decode,local,0,0,34,40,0.665253035724163
LED,intra,189,led_decode,local,0,0,33,512,8.579694057814777
LED,intra,195,led_decode,local,0,0,21,346,5.766084499657154
LED,intra,199,led_decode,local,0,0,19,64,1.05871756747365
LED,intra,203,led_decode,local,0,0,18,65,1.0805322360247374
LED,intra,207,led_decode,local,0,0,19,372,6.239426588639617
LED,intra,208,led_decode,local,0,0,15,34,0.5649461392313242
LED,intra,210,led_decode,local,0,0,25,512,8.668591594323516
LED,intra,216,led_decode,local,0,0,16,26,0.43371132016181946
LED,intra,219,led_decode,local,0,0,39,36,0.5979780526831746
LED,intra,221,led_decode,local,0,0,16,173,2.876110227778554
LED,intra,222,led_decode,local,0,0,30,40,0.6650989735499024
LED,intra,230,led_decode,local,0,0,48,335,5.619125212542713
LED,intra,232,led_decode,local,0,0,17,447,7.474922737106681
LED,intra,246,led_decode,local,0,0,35,445,7.445022356696427
LED,intra,247,led_decode,local,0,0,19,306,5.106957880780101
LED,intra,250,led_decode,local,0,0,26,40,0.6691620424389839
LED,intra,253,led_decode,local,0,0,19,455,7.683944733813405
LED,intra,254,led_decode,local,0,0,34,71,1.1821348499506712
LED,intra,257,led_decode,local,0,0,35,61,1.0230756411328912
LED,intra,260,led_decode,local,0,0,30,512,8.600400145165622
LED,intra,265,led_decode,local,0,0,21,40,0.6643895488232374
LED,intra,267,led_decode,local,0,0,26,512,8.621859975159168
LED,intra,277,led_decode,local,0,0,54,113,1.9017869336530566
LED,intra,281,led_decode,local,0,0,22,254,4.244124626740813
LED,intra,287,led_decode,local,0,0,24,502,8.448033248074353
LED,intra,288,led_decode,local,0,0,28,97,1.6279725031927228
LED,intra,289,led_decode,local,0,0,32,366,6.135510937310755
LED,intra,295,led_decode,local,0,0,32,323,5.4021055065095425
LED,intra,299,led_decode,local,0,0,40,167,2.77961462456733
LED,intra,303,led_decode,local,0,0,50,397,6.632582549005747
LED,intra,308,led_decode,local,0,0,34,512,8.571253515779972
LED,intra,313,led_decode,local,0,0,247,394,7.181539545767009
LED,intra,317,led_decode,local,0,0,25,342,5.7414159793406725
LED,intra,322,led_decode,local,0,0,27,480,8.515264008194208
LED,intra,324,led_decode,local,0,0,26,31,0.5147445518523455
LED,intra,330,led_decode,local,0,0,25,204,3.4161100517958403
LED,intra,343,led_decode,local,0,0,29,51,0.8502311622723937
LED,intra,344,led_decode,local,0,0,57,40,0.6670741252601147
LED,intra,346,led_decode,local,0,0,34,162,2.77305527869612
LED,intra,347,led_decode,local,0,0,20,384,6.511599167250097
LED,intra,349,led_decode,local,0,0,94,37,0.6241657752543688
LED,intra,357,led_decode,local,0,0,26,388,6.496324900537729
LED,intra,358,led_decode,local,0,0,33,97,1.616467071697116
LED,intra,360,led_decode,local,0,0,44,218,3.6891451692208648
LED,intra,368,led_decode,local,0,0,29,458,7.671624182723463
LED,intra,375,led_decode,local,0,0,45,163,2.7266434291377664
LED,intra,381,led_decode,local,0,0,32,44,0.7289967350661755
LED,intra,384,led_decode,local,0,0,41,12,0.20044238679111004
LED,intra,387,led_decode,local,0,0,23,454,7.977919616736472
LED,intra,388,led_decode,local,0,0,21,264,4.386225958354771
LED,intra,398,led_decode,local,0,0,34,512,8.659062908031046
LED,intra,399,led_decode,local,0,0,25,512,8.603042676113546
LED,intra,405,led_decode,local,0,0,31,378,6.3393158400431275
LED,intra,407,led_decode,local,0,0,26,348,5.799904553219676
LED,intra,413,led_decode,local,0,0,41,408,6.802766643464565
LED,intra,414,led_decode,local,0,0,39,512,8.647402461618185
LED,intra,417,led_decode,local,0,0,40,512,8.620137182064354
LED,intra,418,led_decode,local,0,0,45,443,7.451323391869664
LED,intra,425,led_decode,local,0,0,27,354,5.913583247922361
LED,intra,426,led_decode,local,0,0,36,512,8.55780754238367
LED,intra,427,led_decode,local,0,0,80,161,2.709884524345398
LED,intra,429,led_decode,local,0,0,31,307,5.1514103738591075
LED,intra,437,led_decode,local,0,0,71,452,7.582287176512182
LED,intra,442,led_decode,local,0,0,35,512,8.644021674059331
LED,intra,444,led_decode,local,0,0,23,406,6.838436278514564
LED,intra,445,led_decode,local,0,0,33,363,6.045538829639554
LED,intra,450,led_decode,local,0,0,23,512,8.562150547280908
LED,intra,453,led_decode,local,0,0,20,512,8.554963986389339
LED,intra,462,led_decode,local,0,0,70,512,8.67061011865735
LED,intra,465,led_decode,local,0,0,22,512,8.64090072736144
LED,intra,466,led_decode,local,0,0,27,390,6.511939922347665
LED,intra,476,led_decode,local,0,0,37,512,8.594891550019383
LED,intra,477,led_decode,local,0,0,20,512,8.585171258077025
LED,intra,479,led_decode,local,0,0,31,368,6.170798820443451
LED,intra,480,led_decode,local,0,0,175,94,1.5849483413621783
LED,intra,483,led_decode,local,0,0,42,512,8.55793075170368
LED,intra,493,led_decode,local,0,0,32,512,8.57160637807101
LED,intra,495,led_decode,local,0,0,33,512,8.60348516330123
LED,intra,496,led_decode,local,0,0,33,512,8.608398435637355
LED,intra,497,led_decode,local,0,0,106,512,9.164819301106036
LED,intra,498,led_decode,local,0,0,53,404,6.7643208941444755
LED,intra,510,led_decode,local,0,0,21,247,4.139554309658706
LED,intra,512,led_decode,local,0,0,29,40,0.6644738931208849
LED,intra,513,led_decode,local,0,0,19,36,0.5991572747007012
LED,intra,517,led_decode,local,0,0,21,512,8.592859053052962
LED,intra,524,led_decode,local,0,0,26,40,0.6609902605414391
LED,intra,528,led_decode,local,0,0,20,512,8.58195135742426
LED,intra,529,led_decode,local,0,0,23,512,8.586678174324334
LED,intra,531,led_decode,local,0,0,39,512,9.039139243774116
LED,intra,533,led_decode,local,0,0,25,512,8.59445502795279
LED,intra,539,led_decode,local,0,0,24,512,8.61233283020556
LED,intra,546,led_decode,local,0,0,36,512,8.580372943542898
LED,intra,549,led_decode,local,0,0,24,360,6.05405103135854
LED,intra,564,led_decode,local,0,0,24,224,4.210558901540935
LED,intra,568,led_decode,local,0,0,45,512,8.975997377187014
LED,intra,572,led_decode,local,0,0,33,512,8.54824939277023
LED,intra,577,led_decode,local,0,0,52,359,5.980161678045988
LED,intra,584,led_decode,local,0,0,22,512,8.58426982536912
LED,intra,585,led_decode,local,0,0,24,307,5.156193773262203
LED,intra,593,led_decode,local,0,0,16,349,5.794299858622253
LED,intra,595,led_decode,local,0,0,36,40,0.670041972771287
LED,intra,600,led_decode,local,0,0,25,76,1.265514811500907
LED,intra,602,led_decode,local,0,0,27,180,2.994677080772817
LED,intra,605,led_decode,local,0,0,88,94,1.5791141586378217
LED,intra,606,led_decode,local,0,0,38,175,2.934293333441019
LED,intra,612,led_decode,local,0,0,28,429,7.299543694593012
LED,intra,613,led_decode,local,0,0,21,40,0.6657440718263388
LED,intra,616,led_decode,local,0,0,43,512,8.604534344747663
LED,intra,623,led_decode,local,0,0,47,411,6.985285423696041
LED,intra,631,led_decode,local,0,0,54,303,5.061449629254639
LED,intra,635,led_decode,local,0,0,33,512,8.583713460713625
LED,intra,638,led_decode,local,0,0,41,512,8.621818116866052
LED,intra,641,led_decode,local,0,0,17,326,5.452144619077444
LED,intra,646,led_decode,local,0,0,18,40,0.6634827125817537
LED,intra,649,led_decode,local,0,0,25,512,8.58470873720944
LED,intra,650,led_decode,local,0,0,80,512,8.624859782867134
LED,intra,651,led_decode,local,0,0,20,363,6.055885729379952
LED,intra,652,led_decode,local,0,0,20,512,8.589814374223351
LED,intra,653,led_decode,local,0,0,29,512,8.591340482234955
LED,intra,654,led_decode,local,0,0,21,384,6.448111522011459
LED,intra,657,led_decode,local,0,0,22,512,8.672307006083429
LED,intra,658,led_decode,local,0,0,78,472,7.946592167019844
LED,intra,659,led_decode,local,0,0,23,512,8.639159147627652
LED,intra,669,led_decode,local,0,0,26,511,8.565832136198878
LED,intra,670,led_decode,local,0,0,21,512,8.66430697310716
LED,intra,676,led_decode,local,0,0,25,484,8.06747677270323
LED,intra,686,led_decode,local,0,0,35,390,6.504545549862087
LED,intra,698,led_decode,local,0,0,26,512,9.097022385336459
LED,intra,701,led_decode,local,0,0,44,40,0.6668386552482843
LED,intra,706,led_decode,local,0,0,17,482,8.115816618315876
LED,intra,709,led_decode,local,0,0,22,40,0.6646677777171135
LED,intra,715,led_decode,local,0,0,70,512,8.678342150524259
LED,intra,717,led_decode,local,0,0,23,512,8.630529282614589
LED,intra,720,led_decode,local,0,0,32,512,8.612024391070008
LED,intra,724,led_decode,local,0,0,32,278,5.094826597720385
LED,intra,730,led_decode,local,0,0,42,429,8.210972698405385
LED,intra,732,led_decode,local,0,0,82,255,4.270456367172301
LED,intra,738,led_decode,local,0,0,49,198,3.292278171516955
LED,intra,742,led_decode,local,0,0,32,349,5.831869727000594
LED,intra,748,led_decode,local,0,0,62,148,2.4818129148334265
LED,intra,750,led_decode,local,0,0,45,280,4.686298117041588
LED,intra,751,led_decode,local,0,0,58,61,1.084397609345615
