request_id,n_calls,api_in_tokens,api_out_tokens,local_in_tokens,local_out_tokens,local_sec,train_sec
1,1,0,0,18,479,8.014476964250207,0.0
10,1,0,0,18,369,6.336893007159233,0.0
101,1,0,0,21,480,8.009687351994216,0.0
102,1,0,0,20,424,7.10104450955987,0.0
103,1,0,0,21,40,0.6736655281856656,0.0
104,1,0,0,20,512,8.61184497922659,0.0
105,1,0,0,21,466,7.835073886439204,0.0
106,1,0,0,20,422,7.193634849973023,0.0
107,1,0,0,19,40,0.6652283864095807,0.0
108,1,0,0,20,512,8.582703597843647,0.0
109,1,0,0,24,36,0.6039056703448296,0.0
11,1,0,0,20,470,8.147695043124259,0.0
110,1,0,0,22,494,8.34534614533186,0.0
111,1,0,0,24,422,7.075079376809299,0.0
112,1,0,0,16,512,8.636347098276019,0.0
113,1,0,0,20,396,6.663099966943264,0.0
114,1,0,0,22,482,8.073276206851006,0.0
115,1,0,0,24,40,0.6655536480247974,0.0
116,1,0,0,19,40,0.6712938193231821,0.0
117,1,0,0,22,512,8.59979759901762,0.0
118,1,0,0,23,512,8.698883371427655,0.0
119,1,0,0,19,512,9.04670779965818,0.0
12,1,0,0,19,512,8.585130457766354,0.0
120,1,0,0,21,512,8.70348179154098,0.0
121,1,0,0,19,470,7.84038146212697,0.0
122,1,0,0,25,512,8.604158197529614,0.0
123,1,0,0,24,443,7.431422202847898,0.0
124,1,0,0,20,512,8.636987924575806,0.0
125,1,0,0,18,382,6.391093133948743,0.0
13,1,0,0,18,506,8.511047780513763,0.0
14,1,0,0,22,36,0.6040485296398401,0.0
15,1,0,0,21,512,8.622692404314876,0.0
151,1,0,0,20,40,0.6635674554854631,0.0
152,1,0,0,22,375,6.2606297340244055,0.0
153,1,0,0,24,40,0.6634804755449295,0.0
154,1,0,0,19,409,6.857393829151988,0.0
155,1,0,0,23,40,0.6672453843057156,0.0
156,1,0,0,22,40,0.6724769864231348,0.0
157,1,0,0,22,369,6.24524611979723,0.0
158,1,0,0,25,36,0.6049537071958184,0.0
159,1,0,0,24,36,0.6040883902460337,0.0
16,1,0,0,20,164,2.7220036322250962,0.0
160,1,0,0,27,188,3.154516172595322,0.0
161,1,0,0,22,512,8.579868466593325,0.0
162,1,0,0,21,40,0.6614374471828341,0.0
163,1,0,0,21,40,0.6630830755457282,0.0
164,1,0,0,23,512,8.557758678682148,0.0
165,1,0,0,20,40,0.6602418841794133,0.0
166,1,0,0,21,40,0.6609221827238798,0.0
167,1,0,0,24,494,9.21080135088414,0.0
168,1,0,0,21,40,0.6618160083889961,0.0
169,1,0,0,28,40,0.674199964851141,0.0
17,1,0,0,19,230,3.8892873991280794,0.0
170,1,0,0,26,512,8.559082671068609,0.0
171,1,0,0,26,40,0.6600862871855497,0.0
172,1,0,0,26,428,7.155796001665294,0.0
173,1,0,0,24,503,8.415403471328318,0.0
174,1,0,0,25,40,0.665115344338119,0.0
175,1,0,0,26,170,2.8230234682559967,0.0
18,1,0,0,19,40,0.6623843796551228,0.0
19,1,0,0,23,507,8.553697722032666,0.0
2,1,0,0,18,375,6.2822976894676685,0.0
20,1,0,0,21,366,6.217278049327433,0.0
201,1,0,0,17,512,8.600594502873719,0.0
202,1,0,0,14,36,0.6004842575639486,0.0
203,1,0,0,15,40,0.6602737894281745,0.0
204,1,0,0,15,309,5.169336150400341,0.0
205,1,0,0,19,40,0.6596725806593895,0.0
206,1,0,0,14,36,0.5928896488621831,0.0
207,1,0,0,15,40,0.6687138164415956,0.0
208,1,0,0,15,36,0.6082378374412656,0.0
209,1,0,0,19,457,7.715465573593974,0.0
21,1,0,0,20,512,8.606169190257788,0.0
210,1,0,0,14,417,6.968276034109294,0.0
211,1,0,0,22,40,0.660728900693357,0.0
212,1,0,0,20,40,0.6647252179682255,0.0
213,1,0,0,21,240,4.002366716042161,0.0
214,1,0,0,22,40,0.6621626252308488,0.0
215,1,0,0,20,329,5.528369109146297,0.0
216,1,0,0,14,40,0.6723248269408941,0.0
217,1,0,0,16,40,0.6695057330653071,0.0
218,1,0,0,17,40,0.667945982888341,0.0
219,1,0,0,18,40,0.6687511801719666,0.0
22,1,0,0,23,40,0.6651379968971014,0.0
220,1,0,0,14,40,0.6691571390256286,0.0
221,1,0,0,14,40,0.6715843230485916,0.0
222,1,0,0,15,403,6.768268620595336,0.0
223,1,0,0,14,284,4.767189263366163,0.0
224,1,0,0,15,370,6.208249827846885,0.0
225,1,0,0,14,324,5.385426967404783,0.0
23,1,0,0,22,512,8.629599933512509,0.0
24,1,0,0,21,474,7.920861673541367,0.0
25,1,0,0,22,40,0.6634283866733313,0.0
251,1,0,0,18,36,0.6028918772935867,0.0
252,1,0,0,20,40,0.6645564250648022,0.0
253,1,0,0,19,93,1.5563524635508657,0.0
254,1,0,0,21,36,0.5989447180181742,0.0
255,1,0,0,23,79,1.44634900521487,0.0
256,1,0,0,20,138,2.611632576212287,0.0
